mediaName,restaurant,oldestDate,theDay,updatedDate,before_theDay,after_theDay,countName,reference_before,reference_after,power,reliability2,reliability,group
6시내고향,새만금횟집,2016-09-04,2099-12-31,2021-10-21,30433,-28560,0,8,90,-0.0639467119118537,100.0,0.0,방송프로그램
6시내고향,바로방,2017-05-15,2099-12-31,2021-10-20,30180,-28561,0,7,93,-0.0564728278091218,100.0,0.0,방송프로그램
6시내고향,슬지네찐빵,2018-02-07,2099-12-31,2021-10-21,29912,-28560,0,9,91,-0.047146363974849,100.0,0.0,방송프로그램
6시내고향,메밀꽃필무렵,2021-10-16,2099-12-31,2021-10-21,28565,-28560,0,0,98,-0.0001715686274509,100.0,0.0,방송프로그램
6시내고향,원조유박사곱창,2017-11-04,2099-12-31,2021-09-29,30007,-28582,0,98,2,-0.0475362719286382,100.0,0.0,방송프로그램
김준현,서유기짬뽕,2019-03-31,2021-09-18,2021-10-18,902,30,1,62,36,10.543379157427935,102.85714285714285,2.7777777777777777,연예인
김준현,태조석갈비,2020-04-16,2021-06-06,2021-10-14,416,130,4,36,64,2.2155,106.66666666666669,6.25,연예인
김준현,주은감자탕,2017-11-05,2021-07-12,2021-10-21,1345,101,5,38,60,8.181563693915859,109.09090909090908,8.333333333333332,연예인
김준현,원조수구레,2019-07-12,2099-12-31,2021-10-13,29392,-28568,0,72,28,-0.0282612535169979,100.0,0.0,연예인
김준현,낭만짜장,2019-09-02,2019-09-02,2021-10-19,0,778,8,0,100,,108.69565217391305,8.0,연예인
더들리,로우앤슬로우,2020-09-17,2099-12-31,2021-10-21,28959,-28560,0,5,95,-0.0139609638271552,100.0,0.0,유튜버
더들리,신라호텔,2021-05-28,2099-12-31,2021-10-21,28706,-28560,0,1,99,-0.0051117848170411,100.0,0.0,유튜버
더들리,정식당,2021-04-23,2099-12-31,2021-10-21,28741,-28560,0,0,100,-0.0063375350140056,100.0,0.0,유튜버
더들리,워커힐호텔,2021-04-06,2099-12-31,2021-10-21,28758,-28560,0,2,98,-0.0069318184607454,100.0,0.0,유튜버
더들리,포시즌스,2019-09-18,2099-12-31,2021-10-21,29324,-28560,0,2,98,-0.0267367611619739,100.0,0.0,유튜버
맛있는녀석들,씨엘비베이커리,2020-01-31,2099-12-31,2021-10-22,29189,-28559,0,9,91,-0.0220167448814059,100.0,0.0,방송프로그램
맛있는녀석들,성심당,2019-06-18,2099-12-31,2021-10-22,29416,-28559,0,5,95,-0.0299643410647161,100.0,0.0,방송프로그램
맛있는녀석들,명동교자본점,2019-10-22,2099-12-31,2021-10-21,29290,-28560,0,5,95,-0.0255283719838225,100.0,0.0,방송프로그램
맛있는녀석들,강릉짬뽕순두부,2018-07-26,2099-12-31,2021-10-22,29743,-28559,0,1,98,-0.041026950418419,100.0,0.0,방송프로그램
맛있는녀석들,이성당,2020-08-10,2099-12-31,2021-10-21,28997,-28560,0,0,100,-0.0153011204481792,100.0,0.0,방송프로그램
모닝와이드,진아떡집,2017-06-05,2099-12-31,2021-10-21,30159,-28560,0,98,2,-0.0530783672167763,100.0,0.0,방송프로그램
모닝와이드,연경,2019-08-14,2099-12-31,2021-10-21,29359,-28560,0,7,93,-0.0279228947803788,100.0,0.0,방송프로그램
모닝와이드,용성통닭,2015-12-18,2099-12-31,2021-10-21,30694,-28560,0,7,93,-0.0743562450001177,100.0,0.0,방송프로그램
