,Unnamed: 0,content,hashtag,date,like,place
0,8,대전 백종원맛집 모음집-!!백종원의 3대천왕 부터-TV방영맛집 대 모음집!..이게 진정한 로컬 맛집이지~~대전 백종원맛집 투어할싸람!@태그.#개천식당 #공주분식 #고단백식당 #광천식당 #금성삼계탕 #메시노센세 #스마일칼국수 #아줌마돈까스 #한영식당.#대전로컬맛집#대전맛집#대전맛집모음#대전맛집모음집#대전백종원#대전백종원맛집#대전3대천왕#대전백종원의3대천왕#백종원의3대천왕#백종원맛집,"['#개천식당', '#공주분식', '#고단백식당', '#광천식당', '#금성삼계탕', '#메시노센세', '#스마일칼국수', '#아줌마돈까스', '#한영식당.', '#대전로컬맛집', '#대전맛집', '#대전맛집모음', '#대전맛집모음집', '#대전백종원', '#대전백종원맛집', '#대전3대천왕', '#대전백종원의3대천왕', '#백종원의3대천왕', '#백종원맛집']",2020-03-11,0,
1,18,#대전맛집 #백종원맛집 #콩국수 #고단백식당 #고운콩국물#셋이서네접시,"['#대전맛집', '#백종원맛집', '#콩국수', '#고단백식당', '#고운콩국물', '#셋이서네접시']",2021-10-07,0,
2,24,서리태콩국시🖤...#존맛탱 #서리태콩국수 #고단백식당 #대전맛집 #히히 #백종원맛집 #🖤,"['#존맛탱', '#서리태콩국수', '#고단백식당', '#대전맛집', '#히히', '#백종원맛집', '#🖤']",2021-09-04,0,고단백식당
3,25,⠀ ⠀ 8. 11. 2021 ︎ ︎ ☀︎ ⠀..⠀고단백식당 ෆ📍대전 중구 선화동 282-11 ⠀⠀D+ ①⓪④⑧⠀등산갔다가 내려와서 단백질 섭취 -⠀ ⠀시내에 화목난로 팰릿 사고 근처에 유명한 콩국수 가게가 있다고 해서 가봄 ㅎㅎ ⠀-백종원도 다녀가고 하도 유명하다 줄서서 먹는다 재료 소진하면 두세시에도 닫는다 그래서 전화까지 하고 갔는데 ⠀-⠀콩물이 그렇게 진한 것도 아니고 고소한 것도 아니고 가게가 깨끗한 것도 아니고 친절한 것도 아니고. 티비 나오고 초심을 잃으셨나봄 😒⠀#대전 #나름 #대전맛집 #이라네요 #삼대천왕 #백종원 #다녀간곳 #고단백식당 #콩국수 #단백질섭취,"['#대전', '#나름', '#대전맛집', '#이라네요', '#삼대천왕', '#백종원', '#다녀간곳', '#고단백식당', '#콩국수', '#단백질섭취']",2021-08-30,0,고단백식당
4,27,콩국수먹으면으면서국물까지먹어본적은 #고단백식당 이 처음가보면 또 볼겁니다.#항하사 #고단백식당 #냉콩국수 #대전 #선화동#9000원 #백종원 #맛집 #맛집추천 #노란 #검정,"['#고단백식당', '#항하사', '#고단백식당', '#냉콩국수', '#대전', '#선화동', '#9000원', '#백종원', '#맛집', '#맛집추천', '#노란', '#검정']",2021-08-26,0,고단백식당
5,29,"#콩국수백종원이다녀간그곳!올해 여름은 유독 콩국수를 자주먹었다.백종원3대천왕에 나왔으며 여름에만 장사를한다는 이곳은콩국수맛집으로 대전에서 유명하다!개인취향으로 노란콩국수보다 검은콩국수가 맛있고아주 건강한 콩국수 느낌! 가게 안 콩삶은 냄새로 신뢰200%좋은 경험이었다,,내입맛에는 쏘쏘개인취향으로는 콩국수는 대성콩국수, 콩물은 진월당인걸로,,..#20210815sun #고단백식당 #콩국수맛집#대전맛집 #대전콩국수맛집 #대전선화동맛집 #중구선화동맛집","['#콩국수백종원이다녀간그곳!올해', '#20210815sun', '#고단백식당', '#콩국수맛집', '#대전맛집', '#대전콩국수맛집', '#대전선화동맛집', '#중구선화동맛집']",2021-08-19,0,대전선화동
6,30,#여름이가기전에 #고소하고 #시원한#콩국수🍜 어때요?📍#고단백식당📍#고단백식당콩국수#내돈내산#내돈내먹#먹스타그램#맛집탐방#대전맛집추천#대전#대전맛집#선화동맛집#대전중구맛집#중구맛집#대전콩국수#콩국수맛집#검은콩#노란콩국수#국수맛집#점심스타그램#백종원3대천왕#맛집탐방그램#열무김치#호로록#면스타그램#국수#좋아요,"['#여름이가기전에', '#고소하고', '#시원한', '#콩국수🍜', '#고단백식당📍', '#고단백식당콩국수', '#내돈내산', '#내돈내먹', '#먹스타그램', '#맛집탐방', '#대전맛집추천', '#대전', '#대전맛집', '#선화동맛집', '#대전중구맛집', '#중구맛집', '#대전콩국수', '#콩국수맛집', '#검은콩', '#노란콩국수', '#국수맛집', '#점심스타그램', '#백종원3대천왕', '#맛집탐방그램', '#열무김치', '#호로록', '#면스타그램', '#국수', '#좋아요']",2021-08-18,0,
7,34,백종원의 3대천왕 출연 콩국수 맛집 대전 고단백식당🍜4월~9월 까지만 영업하고 콩국수만 파는 식당😁단일메뉴 식당은 실패할 확률이 적다는 학계의 정설답게 서리태 콩국수 존맛👍👍👍#먹스타그램 #대전 #선화동 #맛집 #대전맛집 #선화동맛집 #고단백식당 #콩국수 #서리태콩국수 #백종원의3대천왕 #jmt #lunch #noodles #koreanfood #점심 #단일메뉴 #학계의정설 #고독한대식가 #🍜 #혼밥,"['#먹스타그램', '#대전', '#선화동', '#맛집', '#대전맛집', '#선화동맛집', '#고단백식당', '#콩국수', '#서리태콩국수', '#백종원의3대천왕', '#jmt', '#lunch', '#noodles', '#koreanfood', '#점심', '#단일메뉴', '#학계의정설', '#고독한대식가', '#🍜', '#혼밥']",2021-08-13,0,고단백식당
8,41,'◡'나이가 드니(?) 절대 안 먹을 거 같던 콩국수를 찾게 되네요🤣 #신기해백종원님 다녀가신 #고단백식당 포장해오기✌🏻 코로나 4단계 쫌!!!#먹스타그램#대전맛집#백종원맛집#콩국수,"['#신기해백종원님', '#고단백식당', '#먹스타그램', '#대전맛집', '#백종원맛집', '#콩국수']",2021-08-02,0,
9,53,대전의 찐맛집 몽땅대전에서 알려준다😘백종원도 인정한 3대 천왕에 나온 대전 맛집#미세노센세 🍛👣대전 서구 계룡로553번안길 65🎈탄방역 4번 출구에서 376m🎈일요일 휴무#선화동실비식당 🍲👣대전 중구 선화로 126🎈중앙로역 7번 출구에서 519m🎈일요일 휴무#고단백식당 🍜👣대전 중구 대종로517번길 62🎈중앙로역 7번 출구에서 472m🎈4월~9월까지 영업,"['#미세노센세', '#선화동실비식당', '#고단백식당']",2021-07-19,0,
10,57,성심당의 도시#대전 #대전맛집 #대전여행 #성심당 #튀김소보로 #공룡 #고단백식당 #콩국수 #백종원 #백종원3대천왕 #태평소국밥 #국립중앙박물관 #시민칼국수 #돈까스 #두부두루치기,"['#대전', '#대전맛집', '#대전여행', '#성심당', '#튀김소보로', '#공룡', '#고단백식당', '#콩국수', '#백종원', '#백종원3대천왕', '#태평소국밥', '#국립중앙박물관', '#시민칼국수', '#돈까스', '#두부두루치기']",2021-07-18,0,"Daejeon, South Korea"
11,70,여름이다~~~여름에는 콩국수🍜 맛있게 잘 먹었습니다☺☺☺#백종원삼대천왕맛집 #고단백식당 #검은콩국수 #노랑콩국수 #jmt❤️,"['#백종원삼대천왕맛집', '#고단백식당', '#검은콩국수', '#노랑콩국수', '#jmt❤️']",2021-07-10,0,
12,75,".백종원의 3대천왕에 나왔던 콩국수 맛집~!!#고단백식당 여긴느 4-9월에만 영업을 하신다고!!완전 장인맛집 스멜 난다구~~ ㅎㅎ 메뉴는 단 두가지 검은콩국수와 노란콩국수@@면발도 짬뽕면처럼 쫄깃하고 노란것이 특징!!설탕, 소금 기호에 맞춰서 넣은다음 후루룩 먹으면..진짜 더위 싹가셔...오늘 콩국수 각이다 징짜;;-대전 중구 대종로517번길 62-매일 11:00 - 19:004월부터 9월까지 영업하며 휴무 없습니다.",['#고단백식당'],2021-07-09,0,Daejeon
13,89,고단백 식당백종원의 3대천왕에도 나왔던 콩국수집개인적으로는 대성 콩국수가 더 괜찮긴 하지만 그래도 맛있음인천 집근처에도 이런 콩국수집들이 있었으면...ㅜㅜ#대전맛집 #고단백식당,"['#대전맛집', '#고단백식당']",2021-06-22,0,
14,97,"날도 덥고 그래서 얼마전에 먹은 콩국수 사진 보며 더위 식히기. 여긴 대전시내 볼일보러나갔다가 우연히 보고 간판이나 연식을 보고 보통 내공이 아니겠다 싶어 원래가려던 식당 대신 선택한곳. 백종원 3대천왕도 나오고 매스컴도 여러번 탄듯 한데 젤 많이 나가는게 검은콩이래서 그거 시켜먹었다.주문하고 나온게 면이 마치 계란고명처럼 보이는게 국물 한숫가락 떠먹어보니 어이구 고소해,고소해,고소해!!그런데 콩국수도 콩국수지만 난 반찬으로 나온 열무김치가 더 대박. 딱 봐도 갓 담은 듯한 정갈한 비주얼에 나도 모르게 계속 손이가더라는...이름도  #고단백식당 또 단백질 보충하러 가야지~#대전맛집#선화동맛집#콩국수맛집#열무김치#고단백식당#대전가볼만한곳#백종원의3대천왕#foodie#noodle#soymilknoodle#veganfood","['#고단백식당', '#대전맛집', '#선화동맛집', '#콩국수맛집', '#열무김치', '#고단백식당', '#대전가볼만한곳', '#백종원의3대천왕', '#foodie', '#noodle', '#soymilknoodle', '#veganfood']",2021-06-14,0,고단백식당
