,Unnamed: 0,content,hashtag,date,like,place
0,1,알탕 먹으러 강원도 함 가야되는데.존맛집만 모아요 👉👉@tastynews 👈👈..#까치알탕 #알탕 #최자로드 #까치둥지 #까치둥지알탕 #강원도 #강원도원주 #원주맛집 #강원도맛집 #강원도알탕 #원주알탕 #최자 #맛집뉴스 #맛뉴픽 #맛뉴 #맛뉴_원주,"['#까치알탕', '#알탕', '#최자로드', '#까치둥지', '#까치둥지알탕', '#강원도', '#강원도원주', '#원주맛집', '#강원도맛집', '#강원도알탕', '#원주알탕', '#최자', '#맛집뉴스', '#맛뉴픽', '#맛뉴', '#맛뉴_원주']",2019-03-16,0.0,까치둥지
1,3,대한민국 알탕 원탑 까치둥지 클라스 #알탕 #까치둥지 #최자로드 #원주,"['#알탕', '#까치둥지', '#최자로드', '#원주']",2019-03-19,0.0,
2,4,#까치둥지⠀점점 더 추워지니까 간절히 생각나는 알탕...바로 고고‼️최자로드로 어느순간 확 떠버린 원주알탕맛집 까치둥지!⠀평일에도 웨이팅 쪼끔 있는데 1시쯤 넘으면 자리 널널해서그때가는거 추천드려요😆 알탕 먹을생각하니 설레는구만⠀자리는 많은데 거리두기때문에 안쓰는 테이블이 많아요그래서 좀 기다렸다먹었네요...바로 알탕 4인준 주문 완료!⠀기본찬도 잘나오고 일단 알탕비쥬얼 완전 영롱 그자체다!팔팔 끓여서 먹으면되요 동태알도 실하고 곤이도 듬뿍듬뿍⠀국물 한 모금 마셔주니 속 제대로 풀리는 느낌이다❣️언제먹어도 맛있구만 허허...밥 한그릇 야무지게 뚝딱했다⠀#원주맛집 #원주맛집추천 #원주핫플 #단구동맛집#최자로드 #최자로드맛집 #원주알탕맛집 #알탕맛집#원주까치둥지 #최자맛집 #노포맛집 #원주현지인맛집,"['#까치둥지⠀점점', '#원주맛집', '#원주맛집추천', '#원주핫플', '#단구동맛집', '#최자로드', '#최자로드맛집', '#원주알탕맛집', '#알탕맛집', '#원주까치둥지', '#최자맛집', '#노포맛집', '#원주현지인맛집']",2020-11-10,0.0,까치둥지
3,10,원주에가면 가야할집1순위 알완전신선하고~감동적이다ㅜ#까치둥지#원주맛집#알탕#곤이#탕맛집#최자로드,"['#까치둥지', '#원주맛집', '#알탕', '#곤이', '#탕맛집', '#최자로드']",2021-10-20,0.0,
4,12,웨이팅 1시간 만에 맛본 알탕 전국1Top칼칼 시원 탱글~이래서 다들 기다려서 먹는거구나맛있는건 또 먹어야지! 포장까지 알차게#최자로드 #까치둥지 #알탕 #알탕맛집 #원주맛집 #칼칼 #시원 #탱글탱글 #해장 #웨이팅 #지옥,"['#최자로드', '#까치둥지', '#알탕', '#알탕맛집', '#원주맛집', '#칼칼', '#시원', '#탱글탱글', '#해장', '#웨이팅', '#지옥']",2021-10-19,0.0,
5,20,🇰🇷강원도 평창비는 왔지만 하늘 목장과 월정사 전나무숲😎마지막은 최자로드 까치둥지 알탕맛집😋오픈 30분 전부터 가서 일등으로 줄섰다🤓,[],2021-10-13,0.0,강원도 평창
6,25,앞으로 단골이 될 집#원주 #까치둥지 #알탕 #최자로드 #까치둥지알탕 #🥚,"['#원주', '#까치둥지', '#알탕', '#최자로드', '#까치둥지알탕', '#🥚']",2021-10-10,0.0,물맑고 공기좋은 강원도 원주
7,29,알탕 먹으러 쉰나게 달려왔는데마감 되었다고ㅠ 뚜둥😥출발하면서 걸었던전화 덕분에 먹을수 있었던까치둥지 알탕신선한 야채 탱글탱글 고니와 알 소주가 간절히 땡기는얼큰 시원한 국물👍맛있게 잘 먹고 갑니다🙇‍♀️..#강원도#강원도여행#원주#원주여행#원주맛집#알탕맛집#최자로드맛집#까치둥지#알탕#해물가득#고니가득#알가득#착한가격#마지막손님#잘먹었습니다#🤤,"['#강원도', '#강원도여행', '#원주', '#원주여행', '#원주맛집', '#알탕맛집', '#최자로드맛집', '#까치둥지', '#알탕', '#해물가득', '#고니가득', '#알가득', '#착한가격', '#마지막손님', '#잘먹었습니다', '#🤤']",2021-10-09,0.0,
8,35,"최자로드 맛집 <까치둥지>알탕이 맛있는 곳!솔직히 저는 알탕에 대한 거부감으로...34년만에 처음으로 먹어봤는데 맛있네요☺️❤️다만, 고니는 역시 취향이 아닌;;; 알만 먹은 ㅋㅋ부모님 드시라고 포장도 해옴~🤗그런데 남친님은 취향이 아니라고 하셨다..🥲",[],2021-10-06,0.0,
9,38,깡패(@bbo_ggi0203)와 함께 #까치둥지 #알탕 #최자로드 #원주,"['#까치둥지', '#알탕', '#최자로드', '#원주']",2021-10-05,0.0,
