,Unnamed: 0,content,hashtag,date,like,place
0,0,#첫줄..#화양면 #나진국밥..성시경 맛집으로 유명한 나진국밥🥄괜히 웨이팅이 있는게 아님 ㅠㅠ 존맛시원하고 칼칼해서 해장용으로 딱임ㅎㅎ수육이랑 같이 먹으면 천국 열림💙..위치: 전남 여수시 화양면 화양로 1391출처: 이미지 내 표기📌 DM 문의/제보 언제든 환영합니다!..#여수맛집 #여수국밥맛집 #여수현지인맛집 #여수여행 #여수데이트 #여수가볼만한곳 #여수맛집추천 #성시경맛집 #여수데이트추천 #여수여행지 #먹스타그램,"['#첫줄..', '#화양면', '#나진국밥..성시경', '#여수맛집', '#여수국밥맛집', '#여수현지인맛집', '#여수여행', '#여수데이트', '#여수가볼만한곳', '#여수맛집추천', '#성시경맛집', '#여수데이트추천', '#여수여행지', '#먹스타그램']",2021-07-26,0,여수 나진국밥
1,3,#여수 #화양면 #나진국밥 1박 2일의 멤버들이 먹고 반하고 성시경님이 여수 갈때마다 꼭 방문한다는 나진국밥🍚🤍➰10시 30분이 오픈시간이라 시간 맞춰 갔는데 제가 들어가고나서 두팀 더 들어오더니 월요일임에도 불구하고 자리가 만석이 되었더라구요👍➰국밥은 소고기 국밥 + 돼지국밥? 느낌으로 콩나물과 고기가 듬뿍 들어가있었고 특히 이집 시그니처인 통들깨가 들어가서 톡톡 씹히는 고소한 식감도 너무 좋았고 국물이 진해서 좋았던 나진국밥 😋.#먹스타그램 #여수여행 #여수맛집 #여수나진국밥 #여수1박2일맛집 #여수국밥맛집 #여수가볼만한곳 #여수맛집리스트 #1박2일 #나진국밥리뷰 #전남맛집 #전국국밥 #여수국밥 #국밥 #여수밥집 #수육 #성시경 #맛집 #한식 #먹팔 #맞팔 #선팔,"['#여수', '#화양면', '#나진국밥', '#먹스타그램', '#여수여행', '#여수맛집', '#여수나진국밥', '#여수1박2일맛집', '#여수국밥맛집', '#여수가볼만한곳', '#여수맛집리스트', '#1박2일', '#나진국밥리뷰', '#전남맛집', '#전국국밥', '#여수국밥', '#국밥', '#여수밥집', '#수육', '#성시경', '#맛집', '#한식', '#먹팔', '#맞팔', '#선팔']",2021-10-21,0,나진국밥
2,4,"이 느낌은 첫사랑이다. 발라드의 황제 성시경 그 자체다. 2001년부터 @mayersung 형님의 노래를 들었지만, 가장 큰 감동은 성시경님 인생맛집인 여기다. 이곳은📍여수 나진국밥📍이다. 넌 내게 감동이였어..-대체제가 없는 음식이다. 몇십만원짜리 하이엔드 스시도, 소고기도, 중식코스도 좋지만, 때로는 오직 하나, only one의 음식이 모든 것을 압살할 때가 있다. -이거 먹으러 KTX왕복 끊어서 여수 다녀올 생각이 있다. 물론 #꽃돌게장1번가 와 #청해식당 도 꼭 갈꺼지만 여기가 여수 1위다. -고기도 많이 들어있고 콩나물도 많이 들어있어서 진짜 든든하다. 밥의 클라스는 약간 떨어졌던걸로 기억하는데, 그걸 커버할 수 있을정도였다. -핵심은 국물이다. 그깟 고기건더기 많이 주는데는 수두룩빽빽해도 이곳만한 국물을 내놓는 곳은 없다. 맑으면서도 짙고, 얼큰하면서도 고소하고, 시원하면서도 매콤하다. 아. 겨자씨도 들어있어서, 너무나 독보적인 맛이다. -참고로 몇몇 이모님들 불친절하세요. 처음 입장했을때만해도 좀 짜증날정도였는데 진짜 하나도 기억안나고 찌푸린 이모님 얼굴도 선녀같아보였습니다. -세달전에 먹었던 일품진로까지 해장되는 기분이다. 그리고 해장도 해장이지만 그냥 한숟갈 국물 마시는순간 소주한병 까놓고 반주하고싶은 느낌이 든다. -그냥 가세요. 점수 10점 만점에 10점이고혹시 드셔보신 분들중에서 서울이나 부산에서 이런 맛을 비스무리하게라도 내는 곳이 있다면 추천해주세요. 제발요. -#여수 #여수여행 #여수맛집 #여수핫플 #여수맛집추천 #여수낭만포차 #여수가볼만한곳 #여수밤바다 #나진국밥 #국밥 #국밥맛집 #해장국","['#꽃돌게장1번가', '#청해식당', '#여수', '#여수여행', '#여수맛집', '#여수핫플', '#여수맛집추천', '#여수낭만포차', '#여수가볼만한곳', '#여수밤바다', '#나진국밥', '#국밥', '#국밥맛집', '#해장국']",2021-03-31,0,나진국밥
3,13,#결혼5주년❤️여행 #여수여행 #여행둘째날 여행지에만오면 일찍 일어나는 나 🤣 #호텔방에서일출보기 성공 😎 오늘 아침은 #성시경추천맛집 #나진국밥 본점은 휴무라 분점인 #나진국밥형제가 에서 #한그릇뚝딱🍚 #맛집인정 #여수유월드루지테마파크 에서 #루지🏎 도 타고 #이순신광장맛집 #여수당 #여수당바게트버거🥖 랑 #아이스크림옥🍦 에서 #해풍쑥아이스크림 #샤인머스캣아이스크림 도 사서 #여수바다 보며 #냠냠😋 오늘의 #1일1카페 는 #여수뷰카페 #낭만카페 무알콜칵테일 #여수푸른바다 #선셋로맨스 🍹 한잔씩하고 오늘도 일정중간에 호텔서 낮잠타임💤 재충전 후 호텔근처인  #여수아쿠아플라넷 까지 걸어가서 벨루가🐳 도 만나고 여보가 좋아하는 물멍도 실컷했다 😁 저녁은 #여수게장맛집 #두꺼비게장 #꽃게장정식🦀 까지 오늘도 알차게 보냈군 🎶 #여행스타그램 #selfie,"['#결혼5주년❤️여행', '#여수여행', '#여행둘째날', '#호텔방에서일출보기', '#성시경추천맛집', '#나진국밥', '#나진국밥형제가', '#한그릇뚝딱🍚', '#맛집인정', '#여수유월드루지테마파크', '#루지🏎', '#이순신광장맛집', '#여수당', '#여수당바게트버거🥖', '#아이스크림옥🍦', '#해풍쑥아이스크림', '#샤인머스캣아이스크림', '#여수바다', '#냠냠😋', '#1일1카페', '#여수뷰카페', '#낭만카페', '#여수푸른바다', '#선셋로맨스', '#여수아쿠아플라넷', '#여수게장맛집', '#두꺼비게장', '#꽃게장정식🦀', '#여행스타그램', '#selfie']",2021-10-19,0,아쿠아플라넷 여수
4,25,#만만한여수여행#성시경인증맛집#나진국밥#아르떼뮤지엄갬성의자 하나 사자.....,"['#만만한여수여행', '#성시경인증맛집', '#나진국밥', '#아르떼뮤지엄갬성의자']",2021-10-17,0,
5,29,#여수맛집 #여수해장맛집 #돼지국밥맛집 #나진국밥 #수육도맛있다 #성시경이추천한나진국밥 #해장하면서술땡기는맛 #얼큰합니다요,"['#여수맛집', '#여수해장맛집', '#돼지국밥맛집', '#나진국밥', '#수육도맛있다', '#성시경이추천한나진국밥', '#해장하면서술땡기는맛', '#얼큰합니다요']",2021-10-15,0,나진국밥
6,32,성시경이 극찬했다는 국밥집.자극적이지 않고 담백하니 맛있네.수육(입에 넣으면 없어짐).쫌만 늦었음 대기할뻔^^#여수맛집#나진국밥 #돼지수육 #맛이미쳤네 #추천,"['#여수맛집', '#나진국밥', '#돼지수육', '#맛이미쳤네', '#추천']",2021-10-15,0,
7,48,"여수가면 1빠로 먹기로한 나진국밥 성시경,허영만 극찬한 국밥집! 매주 화요일이정기휴일이라 수요일로 계획도 짜서 내려갔건만 주인할머니 종합검진날이라고 쉼...아쉬움을 뒤로하고 차에 오랐는데 엄마가 울면서 전화가 오셨네..... 외삼촌이... 5분있다 올라간다 여수야~ㅃㅃ2#여수 #나진국밥 #성시경 #허영만백반기행 #꼭먹고싶었다 #아쉽네😢 #다음기회에","['#여수', '#나진국밥', '#성시경', '#허영만백반기행', '#꼭먹고싶었다', '#아쉽네😢', '#다음기회에']",2021-10-09,0,여수 나진국밥
8,55,이번 여름도 시끌벅적했었었었지#친구들#여름여행#나진국밥#성시경맛집,"['#친구들', '#여름여행', '#나진국밥', '#성시경맛집']",2021-10-07,0,Yeosu
9,65,오늘 해장하러 여수 #나진국밥 원래는 아침에 게장백반을 먹을려했지만 어제 무리하게 술을 흡입하여 속이 안좋아~~ 해장국으로~ㅎㅎ여기는 성시경님과 허영만님이 극찬했던 곳이기도 하고 돼지국밥이 그리 맛있다 하여 온곳~~국밥에 고기가 한가득하고 청양고추와 들깨가 많이있어 무엇보다 해장하기에는 너무좋음~ㅎㅎ 해장하고해안도로 드라이브 하며 #클리프39  카페에서바다바라보며 아이스아메 한잔~~ㅎㅎ 여수 너무좋타~~ 😄😆😆😆#휴가#여수#여수여행#혼자여행#여수맛집#해장국#돼지국밥#맛집투어#먹방여행#맛집스타그램#여수일주도로#해안도로#드라이브#아이스아메리카노#티라미수#싱글라이프#나혼자산다#yolo#소확행#혼술#혼밥#프로혼밥러#프로혼술러#프로먹방러#프로혼자러,"['#나진국밥', '#클리프39', '#휴가', '#여수', '#여수여행', '#혼자여행', '#여수맛집', '#해장국', '#돼지국밥', '#맛집투어', '#먹방여행', '#맛집스타그램', '#여수일주도로', '#해안도로', '#드라이브', '#아이스아메리카노', '#티라미수', '#싱글라이프', '#나혼자산다', '#yolo', '#소확행', '#혼술', '#혼밥', '#프로혼밥러', '#프로혼술러', '#프로먹방러', '#프로혼자러']",2021-10-01,0,여수 나진국밥
