,Unnamed: 0,content,hashtag,date,like,place
0,0,꺄아아아!!!퐈이어🔥🔥🔥화려한 치즈 불 쇼오랜만에 호강😋_#다연닭갈비#광주맛집#광주투어#광주닭갈비#광산구#생활의달인#닭갈비맛집#고다치즈#운남동맛집#맛있다#퐈이어🔥#koreafood#소통환영,"['#다연닭갈비', '#광주맛집', '#광주투어', '#광주닭갈비', '#광산구', '#생활의달인', '#닭갈비맛집', '#고다치즈', '#운남동맛집', '#맛있다', '#퐈이어🔥', '#koreafood', '#소통환영']",2021-01-24,0.0,"Gwangju, South Korea"
1,29,#다연닭갈비#친절한사장님 역시 생활의달인에 맞게 손님한분한분 다 케어하심~바뿐와중에 옷에 냄새베인다며 자켓을 직접벗어주며 스타일러에 넣어주고 센스쟁이👍담에 또갈께용^^스타일러3개나 있다구ㅋ식당에 깜놀😯#너무맛있어서 4인분포장해서  언니네배달해줌~🚘#일상#좋아요#저녁#맛집#먹스타#먹방#생활의달인#먹방#어제#하루#명품#운동#카페#핫플#인증샷#소통#힐링#여행#옷#패션#쇼핑#개띠#광주#운남지구#,"['#다연닭갈비', '#친절한사장님', '#너무맛있어서', '#일상', '#좋아요', '#저녁', '#맛집', '#먹스타', '#먹방', '#생활의달인', '#먹방', '#어제', '#하루', '#명품', '#운동', '#카페', '#핫플', '#인증샷', '#소통', '#힐링', '#여행', '#옷', '#패션', '#쇼핑', '#개띠', '#광주', '#운남지구']",2021-09-15,0.0,
2,30,#생활의달인 에 출연한 #다연닭갈비 그만큼 맛있다는거겠져?😋😋👍친절하신 사장님 때문에 자꾸 찾게돼 ~ 불쑈 보여주는 포포몬쓰❤️.@우리오늘 닭갈비 먹으러갈래?,"['#생활의달인', '#다연닭갈비']",2021-09-15,0.0,
3,32,"#검사끝#금식끝#금주끝오늘은 내가 #인싸#진상인가?첫 식사인데 기분내러링거 맞고있다고 미리 벽자리나 걸수있는 자리요청하고 방문함!#대박사장님이 우산을 들고 버선발로 마중나오심#킹스맨 보는줄멋지게 우산을 천장에 걸어주시더니 링거걸어주심#ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코로나대비 센스 물품들 테이블마다 있어 넘 #감동 생활의 달인도 나왔다해서 가보고싶었던 집인데 닭갈비 맛도 완전 맛있었는데 사장님의 친절과 고객응대 서비스가 더 #생활의달인#인정입도,맘도,몸도 즐겁게 #과식했다금주 풀린기렴으러 #카아아아쓰#ㅋㅋㅋㅋㅋ와 거품만 먹어도 취하는 기분이네ㅋㅋㅋㅋㅋㅋㅋ#알쓰다됨오늘은 맥주 거품으로 만족❤거품맛 보게해준 @yu.pppppp15일기다리는 @dksgushk""Manners Maketh Men""#다연닭갈비#멋짐","['#검사끝', '#금식끝', '#금주끝오늘은', '#인싸', '#진상인가?첫', '#대박사장님이', '#킹스맨', '#ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코로나대비', '#감동', '#생활의달인', '#인정입도', '#과식했다금주', '#카아아아쓰', '#ㅋㅋㅋㅋㅋ와', '#알쓰다됨오늘은', '#다연닭갈비', '#멋짐']",2021-09-11,0.0,
4,38,.다연닭갈비!!🥘오랜만에 정말 맛있게 먹은 닭갈비!!생활의달인 맛집은 다르다 ㅋㅋㅋ내 팔이 떨어져나갈뻠 했지만 맛있는 닭갈비를 위해서!! 쉐킷쉐킷그런데 알바생님 불을 너무 크게 내시는거 아닌가요 ㅋㅋㅋㅋ🔥🔥🔥막국수와 볶음밥도 필수!!#광주맛집 #생활의달인 #생활의달인맛집 #광주광산구맛집 #광산구맛집 #운남동맛집 #다연닭갈비 #닭갈비맛집 #광주닭갈비 #음식사진 #블라뚬보 #주미소통 #히언 #히언사진 #히언포토,"['#광주맛집', '#생활의달인', '#생활의달인맛집', '#광주광산구맛집', '#광산구맛집', '#운남동맛집', '#다연닭갈비', '#닭갈비맛집', '#광주닭갈비', '#음식사진', '#블라뚬보', '#주미소통', '#히언', '#히언사진', '#히언포토']",2021-08-21,0.0,광주광역시
5,45,#뷰띠끄 #다연닭갈비 #굉주맛집 #광주닭갈비맛집추천 #생활의달인 #생활의달인맛집 #개학#아들맘 #가족 #가족외식 #아들과데이트 #비오는일요일 #공부해 #잘먹는다 #ㅋㅋㅋ #축복이#내보물1호 #여름방학끝 #공부스따뚜 #욜심욜심 #힐링  😘똥강아징 낼 개학 ㅠ ㅋㅋ 😱욜심히 또 ㄱ ㅗ ㅇㅎㅎ  🤗하자🙏하자👏👏👏 😁잘먹넹😍😍😍😍😍 ☔️비오는 주말 가족과함께~~ 😃삼촌말좀 들~~~ㅇ ㅓ ㄹ ㅏ~이 ㅇ 😜몰래~ㅋㅋㅋ,"['#뷰띠끄', '#다연닭갈비', '#굉주맛집', '#광주닭갈비맛집추천', '#생활의달인', '#생활의달인맛집', '#개학', '#아들맘', '#가족', '#가족외식', '#아들과데이트', '#비오는일요일', '#공부해', '#잘먹는다', '#ㅋㅋㅋ', '#축복이', '#내보물1호', '#여름방학끝', '#공부스따뚜', '#욜심욜심', '#힐링']",2021-08-08,0.0,
6,49,인생닭갈비 #다연닭갈비 '광주 최고의 닭갈비 맛집' '생활의달인'출연궁금해서 가봤다!닭도 부드럽고 매콤달달함 양념도 맛있었다. 특히  넙적당면 추가했더니 정말 잘 어울림👍야채도 신선하고 된장미역국같은걸 주시는게 그게 진짜 진하고 맛있다😁 된장국맛집 이 날 볶음밥 못먹은게 아쉬움 😭#광주맛집 #운남동맛집 #광주닭갈비 #먹스타그램 #먹팔,"['#다연닭갈비', '#광주맛집', '#운남동맛집', '#광주닭갈비', '#먹스타그램', '#먹팔']",2021-08-02,0.0,다연닭갈비
7,72,우리동네 맛집♡사장님 진짜 세상에서 제일친절...그런사장님 첨봤...그덕에 10년째 방문...---#우리동네#맛집#닭갈비#닭갈비맛집#운남동맛집#다연닭갈비#생활의달인#생활의달인맛집#👍#닭발#치즈#추가#6세미만공깃밥무료#자극적이지않아#좋아요#👌#점심메뉴#일상,"['#우리동네', '#맛집', '#닭갈비', '#닭갈비맛집', '#운남동맛집', '#다연닭갈비', '#생활의달인', '#생활의달인맛집', '#👍', '#닭발', '#치즈', '#추가', '#6세미만공깃밥무료', '#자극적이지않아', '#좋아요', '#👌', '#점심메뉴', '#일상']",2021-06-23,0.0,
8,84,#다연닭갈비 #광산구맛집 #광주맛집 #생활의달인 #닭갈비 #점심맛집 #네이버예약 #회식 #점심 #광주핫플 #첨단맛집 #사랑각 #생고기 #자유부인 #10 #광주 #fallow #jb #naver #waterfall #mi #company #대한민국구석구석 #korea 다연닭갈비리모델링후 첫방문인데도 날 기억하는 사장님♡네이버당일예약도 가능!네이버예약시 2인분주문시 1인분추가로 줌!가본 식당중 이렇게 세심한곳 첨봄♡여자머리끈.손거울 비치♡마스크보관비닐봉투.물티슈 비치♡일회용앞치마.칫솔 비치치즈추가해 미남직원이 화려한불쑈도 보고~~이곳은 6세미만은 김가루+밥이무료셀바에 두부김치 및 야채 있음테라3병이 1만냥그밖에 포장시 2+2 이벤등 다양함!!!친절하신사장님 담에또올게요!!그리고 어제 간 첨단 사랑각간만의 자유부인근데도 숙제안하고 기다리는애들땜에 10시귀가사랑각 생고기 28000원 가성비는 갑임질은 식육식당처럼 아니지만 그래도 나름ㅎ그리고 화장한김에 셀카♡♡주름이 어플로도 안지워진당ㅠ이젠 시술을 받아야할 나이 41살ㅠ,"['#다연닭갈비', '#광산구맛집', '#광주맛집', '#생활의달인', '#닭갈비', '#점심맛집', '#네이버예약', '#회식', '#점심', '#광주핫플', '#첨단맛집', '#사랑각', '#생고기', '#자유부인', '#10', '#광주', '#fallow', '#jb', '#naver', '#waterfall', '#mi', '#company', '#대한민국구석구석', '#korea']",2021-06-04,0.0,
9,86,#다연닭갈비 #광주맛집 #생활의달인시간 잘맞춰오니 웨이팅없고 좋네맛있게 잘 먹었습니다.,"['#다연닭갈비', '#광주맛집', '#생활의달인시간']",2021-05-30,0.0,
