,Unnamed: 0,content,hashtag,date,like,place
0,3,#부산맛집#돈까스감만에 갔다왔다 시장에서 오천원 할때 처음 먹었는데 지금은 두배가격 냐캬캬캬그 만큼 내가 나이가 들었네 ㅠㅠ 사람 너무 많다그래도 역쉬 수제비도 맛나고 돈까스도 여전히 맛난다 오늘도 완돈! 쫄면을 못먹었다 ㅠㅠ#만덕맛집#박용채의대박터진돈까스#백종원#수제비맛집 #쫄면맛집,"['#부산맛집', '#돈까스감만에', '#만덕맛집', '#박용채의대박터진돈까스', '#백종원', '#수제비맛집', '#쫄면맛집']",2021-08-03,0,
1,4,"지난번 갔을땐 확장 이전 한다고 못먹고 왔었는데..근처 갔다가 오늘은 성공!돈까스 크기가 어마어마..둘이서 돈까스, 쫄면 시켜서 너무 많다고 남겠다 해놓곤 다먹고온 🤣🤣옆테이블 엄마,아빠,아이  셋이서 돈까스 하나 먹던데 우린 돼지인가봄😆아니야..우리 5시에 첫끼였엉. . .넘 배고팠던거야😂🤣😂#돈까스맛집#백종원맛집#박용채의대박터진돈까스 #부산맛집#가성비갑","['#돈까스맛집', '#백종원맛집', '#박용채의대박터진돈까스', '#부산맛집', '#가성비갑']",2020-10-10,0,
2,8,부산 3호선 여행기🚋#2남산정-> 만덕 ->미남 ->사직 ->종합운동장남산정엔 마카롱 집 디어 버터가 있지만덕엔 백종원이 추천한 돈가스집이있는데 비추하지 #박용채의대박터진돈까스 미남역엔 웹툰역이 있지사직은 와플만 먹었지종합운동장엔 지쳐서 사진만 찍엇지#버킷리스트,"['#2남산정->', '#박용채의대박터진돈까스', '#버킷리스트']",2020-06-23,0,
3,11,"#박용채의대박터진돈까스 부산 여행을 준비하면 맛집 찾다가 알게된 곳!!😃가는 길이라 들려서 먹어보기로 했어요^^ 부산 만덕에 만덕돈가스라고 유명하더라구요~~백종원이 인정한 집이래요🤭늘 웨이팅이 있다고 합니다평일 오후 2시 정도인데도 20분을 기다리다 들어갔어요~~ 얼마나 맛있길래~~ 😋돈가스와 수제비가 유명해서 1개씩 시켰어요~~수제비는 메뉴시키면 국물대신 사이드로 작게 주네요~ ^^ 돈가스 왕돈가스라 크긴 크네요😆돈가스랑 수제비 한입 먹었는데 ..어?  여기가 줄서서 먹을 정도의 대박집인가? 이런 느낌이 들었어요~~🙄그런데.. 두입 세입 먹을 수록 묘하게 끌리는~~ 맛이있어요~~🤩🤩🤩돈가스는 담백하면서 맛있고~~ 😘수제비는 처음에는 조금 밍밍한거 같았지만 먹을수록 시원하고 깊은맛에 국물을 계속 흡입했어요 😘돈가스, 수제비 맛집인정!!👍👍👍양도 넘 많아서 결국 조금 남겼지만 정말 맛있게 먹었어요^^ #부산맛집#부산만덕맛집 #만덕맛집#돈가스맛집#수제비맛집#왕돈가스맛집#만덕돈가스#돈까스맛집#백종원맛집#미식가#먹방#먹부림#내돈내산#맛스타그램#먹스타그램#먹팔환영#좋아요환영#먹스타맞팔#인친환영#인친해요#선팔맞팔#선팔하면맞팔#팔로우#맛집투어#맛집탐방#맛집라운딩","['#박용채의대박터진돈까스', '#부산맛집', '#부산만덕맛집', '#만덕맛집', '#돈가스맛집', '#수제비맛집', '#왕돈가스맛집', '#만덕돈가스', '#돈까스맛집', '#백종원맛집', '#미식가', '#먹방', '#먹부림', '#내돈내산', '#맛스타그램', '#먹스타그램', '#먹팔환영', '#좋아요환영', '#먹스타맞팔', '#인친환영', '#인친해요', '#선팔맞팔', '#선팔하면맞팔', '#팔로우', '#맛집투어', '#맛집탐방', '#맛집라운딩']",2021-10-11,0,
4,14,몇개월만에 왔네!옛날돈까스 생각나면 오는곳!예전에 백종원도 왔다갔다!돈까스도 먹을만하지만 이집은 쫄면이 인사되는데!#박용채의대박터진돈까스,['#박용채의대박터진돈까스'],2021-10-09,0,
5,17,만덕에서 유명하다는돈가스집..저도 가봤습니다! 🤣일단 돈가스가 크네요미남이얼굴보다 큼요..수제비랑 쫄면이던가 그것도맛있었어요#만덕맛집#박용채의대박터진돈까스#돈까스맛집#점심#백종원,"['#만덕맛집', '#박용채의대박터진돈까스', '#돈까스맛집', '#점심', '#백종원']",2021-10-03,0,
6,18,"📍 부산 북구 덕천로304번길 18💁🏻‍♀️#만덕 #박용채의대박터진돈까스 .백종원이 다녀갔대서 유명해진 곳이에요사실 동네주민들 사이에서는 이미 입소문 자자했어요맛은 옛날이나 지금이나 똑같이 맛나요((근데 전 옛날 시장바이브가 가끔 그립긴해요그 특유의 옛날 돈까스 느낌,,자꾸자꾸 생각나서 재방문 2749번 함수제비도, 쫄면도 뭐하나 빼놓을 것 없이 맛있음짱 추천해요사실 추천안해요 웨이팅 길어지니께하지만 맛있으니까 피드박제예요.돈까스+밥 10,000쫀득 손수제비 6,500쫄면 7,000.#만덕_네임맛 #덕천_네임맛","['#만덕', '#박용채의대박터진돈까스', '#만덕_네임맛', '#덕천_네임맛']",2021-10-02,0,"Busan 釜山, South Korea"
7,20,"백종원3대천왕 돈까스집 !! 경양식 !! 무난한 맛의 돈까스와 쫄면 수제비돈까스는 조금 느끼한면이 없지않아있고 그래도 쫄면이랑 같이먹으니 느끼함을 조금 잡아줌수제비는 멸치육수가 진해서 살착 비리게 느껴졌지만 무난함전체적으로 양이 많다 특히 돈까스는 왕돈까스!!다행히 웨이팅없이 들어갔지만 손님이 많이있어서평소엔 웨이팅있고, 체계가 잘되있어 크게 기다림없이회전율이 좋음 전체적으로 서비스가 좋고 친절하시며 손님 한명한명 잘 체크하시는듯 그래서 그런지 음식도 빨리나오고 서비스 수제비도 육수 없으면 금방 채워주심 🙂 맛있게 잘먹었습니당#데일리그램 #일상스타그램 #데이트 #점심메뉴 #돈까스 #박용채의대박터진돈까스 #쫄면 #쫀득쫀득수제비 #백종원3대천왕 #부산덕천#만덕#만덕역1번출구#모두가친절 #서비스가좋음 #회전율빠름","['#데일리그램', '#일상스타그램', '#데이트', '#점심메뉴', '#돈까스', '#박용채의대박터진돈까스', '#쫄면', '#쫀득쫀득수제비', '#백종원3대천왕', '#부산덕천', '#만덕', '#만덕역1번출구', '#모두가친절', '#서비스가좋음', '#회전율빠름']",2021-09-30,0,
8,21,#박용채의대박터진돈까스 쫄면 먹고 싶다......#부산맛집#전국맛집#일상#일상기록#소통#소통그램#맛스타그램#맛집#먹스타그램#내돈내산#데이트#럽스타그램#소통#소통그램 #먹팔#맞팔#선팔맞팔#먹팔로우#먹팔환영#먹스타맞팔#음식스타그램#푸드스타그램#맛스타#술스타그램#돈까스#쫄면#대박터진돈까스#만덕#만덕맛집#만덕돈까스#백종원,"['#박용채의대박터진돈까스', '#부산맛집', '#전국맛집', '#일상', '#일상기록', '#소통', '#소통그램', '#맛스타그램', '#맛집', '#먹스타그램', '#내돈내산', '#데이트', '#럽스타그램', '#소통', '#소통그램', '#먹팔', '#맞팔', '#선팔맞팔', '#먹팔로우', '#먹팔환영', '#먹스타맞팔', '#음식스타그램', '#푸드스타그램', '#맛스타', '#술스타그램', '#돈까스', '#쫄면', '#대박터진돈까스', '#만덕', '#만덕맛집', '#만덕돈까스', '#백종원']",2021-09-30,0,
9,23,#박용채의대박터진돈까스 #대박터진돈까스 이게 먼데 기다리고 음식도 늦게 나오고 .... 🥲#부산맛집#전국맛집#일상#일상기록#소통#소통그램#맛스타그램#맛집#먹스타그램#내돈내산#데이트#럽스타그램#소통#소통그램 #먹팔#맞팔#선팔맞팔#먹팔로우#먹팔환영#먹스타맞팔#음식스타그램#푸드스타그램#맛스타#술스타그램#만덕돈까스#만덕맛집 #만덕밥집#백종원#백종원출연집,"['#박용채의대박터진돈까스', '#대박터진돈까스', '#부산맛집', '#전국맛집', '#일상', '#일상기록', '#소통', '#소통그램', '#맛스타그램', '#맛집', '#먹스타그램', '#내돈내산', '#데이트', '#럽스타그램', '#소통', '#소통그램', '#먹팔', '#맞팔', '#선팔맞팔', '#먹팔로우', '#먹팔환영', '#먹스타맞팔', '#음식스타그램', '#푸드스타그램', '#맛스타', '#술스타그램', '#만덕돈까스', '#만덕맛집', '#만덕밥집', '#백종원', '#백종원출연집']",2021-09-27,0,
