,Unnamed: 0,content,hashtag,date,like,place
0,0,믿고 먹는 이영자의 추천 맛집 리스트!!@@같이 먹으러 맛집 가자!!#이영자 #이영자맛집 #존맛 #산골농원 #돈육지존 #한방통닭#남도분식 #도동집 #몽탄 #슬로우치즈 #구삼부대찌개,"['#이영자', '#이영자맛집', '#존맛', '#산골농원', '#돈육지존', '#한방통닭', '#남도분식', '#도동집', '#몽탄', '#슬로우치즈', '#구삼부대찌개']",2021-09-22,0,
1,1,".이영자님도 인정한 가마솥 솥뚜껑 닭볶음탕 맛집#가평 #산골농원 💗.아직도 주말에 가면 웨이팅 장난없다고 함,,ㅠㅠ양도많고!! 무엇보다 마무리 볶음밥까지,,,,😃.@@나랑같이 여기가자,,,,벌써 침고여ㅠㅠ","['#가평', '#산골농원']",2020-02-05,0,
2,5,#우또먹맛집소개 믿고 먹는 이영자님 픽📌이영자님 맛집 리스트 수첩 정말 탐나여..❤️• #도동집서울 용산구 후암동 439-13 1층• #산골농원가평군 설악면 어비산길99번길 75-7• #뉴만두집서울 강남구 압구정로338• #한방통닭서울 용산구 대사관로34길 38• #제스티살룬서울 성동구 서울숲2길 19📌맛집 근처 사는 친구들 데리고 한군데라도 다녀오자📌,"['#우또먹맛집소개', '#도동집서울', '#산골농원가평군', '#뉴만두집서울', '#한방통닭서울', '#제스티살룬서울']",2021-10-05,0,
3,6,"가평 산골농원 (양평)총평: 난이도 최상급의 셀프 조리집한줄평: 이대로 가면 산골 no one.이영자 전참시에 나왔던 닭도리탕(닭볶음탕) 집에 다녀왔다. 지금부터 리뷰를 시작하겠다..전참시가 아니더라도 몇십개의 방송에서 소개한 곳이다. 비쥬얼이 너무 좋다. 장작을 때워 가마솥에 닭도리탕을 끓여준다. 정말 비쥬얼은 환상적이다..단점부터 얘기하자면, 계산을 하자마자 조리를 시작한다. 최소 20분 조리를 한다. 불을 조절하는 방법은 없다. 만약 자리가 안나오면 20분이 30분이되고 40분이 된다. 그럼 육수를 넣어서 물을 맞추는데, 맛이 테이블마다 다르다. 이걸 우리는 QC에 실패한 집이라고 한다..내가 착석해서 받은 가마솥은 30분정도가 지났다. 육수가 쫄은 감이 있어 빠르게 라면사리를 넣고 직접 조리해야한다. 다행히 가마솥에 요리를 해본 적이 있다. 와.... 태어나서 먹은 라면 중에 가장 맛있다.  여긴 라면 맛집이다..노계 특성상 제대로 조리해야 하는데 불을 조절하는 방법 따위는 없다. 가마솥 요리에 익숙한 손님이 직접 적당한 타이밍에 닭을 빼야 한다. 당연히  10중 9는 맛이 없다고 할 것이다..너무 긴 웨이팅 때문에 많이 쫄아 짜다. 나 진짜 짜게 먹는데 짜다. 육수를 첨가하면 말도 안되게 싱겁다. 그냥 짜게 먹자..방송을 보면 하나씩 사장님이 직접 조리해주면서 먹는다. 당연히 맛있을 것이다. 이제는 공장처럼 순서대로 30개씩 조리하고 있다. 맛은 천차만별이다. 말도 안되는 가격에 이런 음식을 먹는 건 절대 추천하고 싶지 않다. 차라리 공덕 뫼촌을 2번 가는게 낫다. 8만원짜리 라면을 먹는 다는 마인드라면 추천하고 싶다. 여기서  라면은 세상에서 제일 맛있게 끓일 수 있다..♤ 주소: 경기 가평군 설악면 어비산길99번길 75-7♤ 가격: 2인(72000)♤ 영업시간: 09:00-18:00♤ 특징: 전참시, 각종매체♤ 전화: 0507-1324-7415",[],2020-04-28,0,산골농원
4,7,"[영자언니가 추천해주는 믿고 먹는 맛집 모음.zip🍖]#한남동한방통닭📍주소 서울 용산구 대사관로34길 38📍영업시간 매일 16:50~02:00 일요일 휴무#제스티살룬📍주소 서울 성동구 서울숲2길 19📍영업시간 매일 11:30~21:30#남도분식📍주소 서울 종로구 수표로28길 33📍영업시간 매일 11:30~21:30#슬로우치즈📍주소 서울 강남구 삼성로145길 13 101호📍영업시간 매일 11:30~17:00 일,월요일 휴무#송쉐프📍주소 서울 강남구 도산대로1길 40📍영업시간 매일 11:30~21:30#몽탄📍주소 서울 용산구 백범로99길 50📍영업시간 매일 12:00~21:00#도동집📍주소 서울 용산구 후암로 80 1층📍영업시간 매일 11:00~21:40#굴다리식당📍주소 서울 마포구 새창로 8-1📍영업시간 매일 08:00~22:00 #돈육지존📍주소 서울 강남구 테헤란로19길 18📍영업시간 평일 11:00~23:00 주말 16:00~22:00#뉴만두집📍주소 서울 강남구 압구정로 338📍영업시간 매일 12:00~21:30#산골농원📍주소 경기 가평군 설악면 어비산길99번길 75-7📍영업시간 11:00~20:00 화요일 휴무...@@자기야 우리 영자언니 추천 맛집갈까?!🤩#이영자 #이영자추천맛집 #이영자추천 #이영자맛집 #맛집추천 #맛집","['#한남동한방통닭📍주소', '#제스티살룬📍주소', '#남도분식📍주소', '#슬로우치즈📍주소', '#송쉐프📍주소', '#몽탄📍주소', '#도동집📍주소', '#굴다리식당📍주소', '#돈육지존📍주소', '#뉴만두집📍주소', '#산골농원📍주소', '#이영자', '#이영자추천맛집', '#이영자추천', '#이영자맛집', '#맛집추천', '#맛집']",2021-07-26,0,
5,9,어제 속초여행 마치고 컴백홈하고 오전 운동후 백신 2차 잡종시간까지 집에서 쉬기비 온 화요일 비가 오기전 #영금정 에서 동해바다 구경하는데 바람이 너무 세서 빨리 내려오기중앙시장들려 점심거리 사서숙소인#마리나베이 얼리체크인 후부모님은 낮잠 나는 비가 잦아들었을때#속초해수욕장 과 #아바이마을 #벽화마을 구경딱 내 또래가 좋아할 만한 만화 캐릭터들이 잔뜩꼬마자동자 붕붕이  개구리왕눈이 태권브이 등아바이 마을 상징하는 벽화가 아니라 좀 아쉽수요일에는 숙소근처 #청초호수공원 산책과 전망대에서 마지막으로 속초 둘러보기오는 길에 #이영자맛집 #산골농원 에 들러 #솥뚜껑닭볶음탕 을 먹고평일 오후 2시라 20분 기다리고 식사가능했던토종닭이라 좀 질기지만 실망한 리뷰 보고가서오히려 맛이 괜찮았던가보고 싶아하던 엄마도 만족하고 끝까지 먹은#볶음밥 은 사랑입니다^^,"['#영금정', '#마리나베이', '#속초해수욕장', '#아바이마을', '#벽화마을', '#청초호수공원', '#이영자맛집', '#산골농원', '#솥뚜껑닭볶음탕', '#볶음밥']",2021-10-21,0,
6,12,가평솥뚜껑닭볶음탕맛집!! 🔥 산골농원 믿고먹는이영자맛집 입니다주말웨이팅 장난아니네요.....#일상 #소통 #맞팔 #선팔맞팔 #좋아요반사 #소통좋아요 #데일리 #맞팔해요 #맛집 #가평맛집추천 #맛스타그램 #좋반 #맞팔환영 #산골농원 #선팔하면맞팔 #좋아요 #팔로우환영,"['#일상', '#소통', '#맞팔', '#선팔맞팔', '#좋아요반사', '#소통좋아요', '#데일리', '#맞팔해요', '#맛집', '#가평맛집추천', '#맛스타그램', '#좋반', '#맞팔환영', '#산골농원', '#선팔하면맞팔', '#좋아요', '#팔로우환영']",2021-10-20,0,산골농원
7,16,#솥뚜껑닭볶음탕 #유명산맛집 #산골농원 #이영자맛집#가평산골농원 #가평닭볶음탕 #한번쯤가볼만한곳 #볶음밥이제일맛있다#맛은비추 지난주에 맛집이라고해서 다녀온 가평 산골농원 값은 비싸고맛은 비추ㅠㅠ왜? 여기가 맛집이라고 하는걸까?한번쯤은가볼만하지만추천은 노노노~!!!,"['#솥뚜껑닭볶음탕', '#유명산맛집', '#산골농원', '#이영자맛집', '#가평산골농원', '#가평닭볶음탕', '#한번쯤가볼만한곳', '#볶음밥이제일맛있다', '#맛은비추']",2021-10-18,0,
8,21,이영자맛집 가평 산골농원🐔솥뚜껑 닭볶음탕!! 산처람쌓여있는 장작과 동시에 끓고있는 솥뚜닭볶음탕의 비쥬얼..드디어가봄!!주말에방문했는데 웨이팅없이 바로주문했고주문즉시 조리라 40분기다렸다 바로먹은 나는 럭키🍀 사리는 닭볶음탕나오면 바로주문해야하는데 라면사리추가!! 고구마한입🍠 먹고나서 고구마추가안한걸 땅치고 후회함🤦‍♀️ 반찬들도 맛있어서 셀프바에서 리필! 그중 알타리는 집에 싸와서 짜파게티랑 먹고싶은 욕구뿜뿜주고3명이서 볶음밥2개까지 깔끔하게!갑자기 추워진 날씨로 음식조리시간 40분도 힘들었지만 맛은👍#산골농원#이영자맛집#가평이영자맛집#솥뚜껑닭볶음탕#닭볶음탕#가평맛집#청평맛집#이영자#이영자추천#맛집#추천#맛집추천#내돈내먹#일상#daily#weekend#주말#드라이브#힐링#먹팔#먹스타#먹부림#맞팔#선팔#소통#댓글#좋아요,"['#산골농원', '#이영자맛집', '#가평이영자맛집', '#솥뚜껑닭볶음탕', '#닭볶음탕', '#가평맛집', '#청평맛집', '#이영자', '#이영자추천', '#맛집', '#추천', '#맛집추천', '#내돈내먹', '#일상', '#daily', '#weekend', '#주말', '#드라이브', '#힐링', '#먹팔', '#먹스타', '#먹부림', '#맞팔', '#선팔', '#소통', '#댓글', '#좋아요']",2021-10-18,0,산골농원
9,22,"가평(춘천)남이섬에서 신나게?? 놀구가평 산골농원 닭볶음탕 흡입!!주말이라 예약은 안되고도착하니 앞에 15팀, 1시간 넘게 기다림삼촌&고모는 배고프고 돌아갈길 멀다고 기다림에 투덜투덜..코로나 여파로 이정도가 양호한편이라니…이곳으로 추천했던 난 죄인이였다  ㅠㅠ#가평맛집 #산골농원 #가마솥닭볶음탕🥘 #이영자맛집 #앞에15팀 #1시간기다림 #배고파죽을뻔😭 #점심을5시에먹는구나 #이건저녁이자나 #고구마감자빼고다먹었음 #그래도죄인","['#가평맛집', '#산골농원', '#가마솥닭볶음탕🥘', '#이영자맛집', '#앞에15팀', '#1시간기다림', '#배고파죽을뻔😭', '#점심을5시에먹는구나', '#이건저녁이자나', '#고구마감자빼고다먹었음', '#그래도죄인']",2021-10-17,0,산골농원
10,35,가평 #산골농원 #산골농원닭볶음탕 화력도 엄청 강하고 진짜 양도 엄청 마노고 야채랑 고구마 감자까지 뭐하나 부족한게 없었던 가마솥 닭볶음탕 7만원 돈이 안아까웠던 ㅠㅠ 분위기도 좋고 진짜 맛있었던 산골농원 가마솥 닭볶음탕 🧡#이영자맛집 #가평맛집추천,"['#산골농원', '#산골농원닭볶음탕', '#이영자맛집', '#가평맛집추천']",2021-10-13,0,산골농원
11,43,이영자 추천맛집~!산골농원~!#가평 #산골농원 #솥뚜껑닭볶음탕 #닭볶음탕 #가평맛집 #맛집 #이영자,"['#가평', '#산골농원', '#솥뚜껑닭볶음탕', '#닭볶음탕', '#가평맛집', '#맛집', '#이영자']",2021-10-11,0,
