,Unnamed: 0,content,hashtag,date,like,place
0,0,"#협찬 #가락시장 #송파사랑방인님들 안녕하세요 현입니당 :) 이번에는 송파구 가락동에 새로 오픈한 #송파사랑방참숯화로구이 에 방문했어요🤗요기는 #최자로드 맛집인 용산 후암동 '송파사랑방'을 그대로! 가락동에 옮긴 핫🔥한 곳인데, 안그래도 최자로드 보면서 송파사랑방 넘 궁금했는데 이번 기회에 가게되어서 너무 설렜어요🥺❤️저희는 삼겹살 시그니처 2인세트를 먹었는데요~ 구성은 삼겹살 2인분, 냉면 1개, 음료 1개로 고기를 맛있게 즐길 수 있는 최고의 조합이었어요 ✨• 삼겹살 1인분 (14.0), 냉면(5.0)▫️삼겹살을 주문하면 기본으로 미나리와 김치가 같이 나오는데, 기호에 따라 미나리도 굽거나 같이 싸서 먹을 수 있어요 :)저희는 김치를 노릇노릇하게 구워 삼겹살이랑 같이 먹었는데요! 같이 나오는 쪽파, 콩나물무침도 구워 먹었답니다🤤▫️삼겹살은 한 번 초벌되서 나오는데, 그 덕에 오래 기다릴 필요 없이🔥 금방 먹을 수 있는게 좋았고, 냄새에 민감한 편인데 걱정없이 맛있게 먹을 수 있었어요👏▫️같이 나온 냉면은 살얼음 동동 띄워져있는게 넘 좋았고, 입가심으로 시원~하고 맛나게 먹었답니다😋 진짜 구성이 너무 좋은 것 같아요🤓💓협찬으로 방문했지만, 최자로드에 나와있는 곳이라 기대하고 갔는데 기대를 완벽하게 충족시켜준 곳이었습니다👏 가격도 무난해서 가까웠다면 땡길 때마다 자주 갔을 것 같아요🥺사랑방 주변에도 다른 즐길거리가 많으니, 맛난 삼겹살 드시고 데이트 즐기시는건 어떠신가요 ❤️ 완전 추천드립니다🧚🏻‍♀️ (실제로 친구들이랑 요기에서 반나절 놀다갔어요🤣)📍 서울 송파구 양재대로62길 42-1#송파 #송파맛집 #가락동맛집 #송파고기집 #고기맛집 #최자로드맛집 #송파구맛집 #가락시장맛집 #먹스타그램 #맛스타그램 #맛있다그램 #고기스타그램 #삼겹살맛집 #먹스타 #먹스타맞팔 #먹스타그램🍴 #먹스타소통 #먹팔 #먹팔로우 #먹팔맞팔 #먹팔환영 #먹팔소통 #먹팔하면맞팔 #문의 #문의는dm","['#협찬', '#가락시장', '#송파사랑방인님들', '#송파사랑방참숯화로구이', '#최자로드', '#송파', '#송파맛집', '#가락동맛집', '#송파고기집', '#고기맛집', '#최자로드맛집', '#송파구맛집', '#가락시장맛집', '#먹스타그램', '#맛스타그램', '#맛있다그램', '#고기스타그램', '#삼겹살맛집', '#먹스타', '#먹스타맞팔', '#먹스타그램🍴', '#먹스타소통', '#먹팔', '#먹팔로우', '#먹팔맞팔', '#먹팔환영', '#먹팔소통', '#먹팔하면맞팔', '#문의', '#문의는dm']",2021-07-10,0,가락시장역
1,7,협찬) 불금은 삼겹살 달려야쥬~?🤗최자로드에도 나온 미나리 곁들인 맛있는 삼겹살🤎🌿개방감 넘치는 테이블에서 맛있게 먹기😖꿀 주말보내세용❣📍송파사랑방(서울 가락시장역 부근)삼겹살 (1인 14000원)@songpa__sarang#송파사랑방 #송파맛집 #가락동맛집 #송파고기집,"['#송파사랑방', '#송파맛집', '#가락동맛집', '#송파고기집']",2021-06-11,0,송파사랑방
2,10,"좋은 숯과 좋은 고기가 만나니 맛없을수 없는 꿀조합미나리가 올라간 삼겹살을 구운 묵은지와 한입하면 입에서 난리난다. 판갈아 올린, 숯향입힌 목살 한입에 여기 캠핑장인줄..? 송파에 있는 최자로드에도 나왔다는 송파 사랑방. 고기에 진심인 듯 이름도 사랑방친절한 응대와 맛있는 고기에 기분좋게 식사한 송파 맛집#송파맛집 #가락시장맛집 #고기집 #경창병원역맛집 #송파고기집 #송파사랑방 #최자로드","['#송파맛집', '#가락시장맛집', '#고기집', '#경창병원역맛집', '#송파고기집', '#송파사랑방', '#최자로드']",2021-10-06,0,
3,12,가락동 삼겹살 맛집에 다녀왔습니다. 프리미엄 돼지고기에 고기의 맛을 더 맛있게 끌어 올려 주는 고급진 숯!! 대표님께서 삼겹살에 진지하신 편 삼겹살을 다 먹고 또 냉면을 먹어야 하지 않겠습니까? 그래서 물냉 비냉 이렇게 주문했는데 와.. 냉면에도 진심이신 편 너무 맛있게 먹었습니다. 삼겹살에 미나리가 나오면 여기는 맛집 맞습니다. 최자로드 맛집 송파사랑방 삼겹살 좋아하시는 분들은 꼭 꼭 다녀오세요. #가락동삼겹살맛집#송파사랑방#가락동맛집#가락맛집#송파맛집#삼겹살맛집#삼겹살#송파삼겹살#가락삼겹살#미나리는못참지#냉면도맛있어#최자로드맛집 #최자로드,"['#가락동삼겹살맛집', '#송파사랑방', '#가락동맛집', '#가락맛집', '#송파맛집', '#삼겹살맛집', '#삼겹살', '#송파삼겹살', '#가락삼겹살', '#미나리는못참지', '#냉면도맛있어', '#최자로드맛집', '#최자로드']",2021-09-22,0,
4,15,#가락동맛집 #송파사랑방예전에 #최자로드 에 나왔던 후암동 #사랑방참숯화로구이 가 경찰병원역 근처 가락동 먹자골목에도 생겼다는 🥰미나리랑 삼겹살이 은근 잘 어울리네? 예전 수서에서 근무할 때 퇴근 후 한잔 하려고 저 동네 자주 갔었는데 ㅋㅋㅋㅋ #추억이새록새록 🚘 주차는 근처 가락2공영주차장 이용,"['#가락동맛집', '#송파사랑방예전에', '#최자로드', '#사랑방참숯화로구이', '#추억이새록새록']",2021-08-29,0,
5,16,"후암동에있는 최자맛집 삼겹살이 송파에도 생겼넹! 가보고싶었는데 가까운데에 생겨서 이번에 출동해봤음^^ 오랜만에 먹는 고기라 신나서먹었다 미나리랑 김치랑 삼겹살이랑 먹었는데 궁합이찰떡 비냉/물냉 까지먹었는데 허겁지겁먹느라 사진을 못찍었네 마무리로 짱 좋았다직원분들이 너무 친절하시고, 오픈한지 4개월정도되서 가게도 쾌적하고 깨끗!#맛스타그램 #송파맛집 #가락시장역맛집 #삼겹살맛집 #최자맛집 #송파사랑방#처묵이로드","['#맛스타그램', '#송파맛집', '#가락시장역맛집', '#삼겹살맛집', '#최자맛집', '#송파사랑방', '#처묵이로드']",2021-08-29,0,송파사랑방
6,18,"🥩 삼겹살 맛집 송파사랑방 🥩⠀🙏🏻멋스럽게 삼겹살이 세팅되어 나오는 송파사랑방!⠀⠀⠀🍵 녹차를 먹인 삼겹살에 냉면까지 완벽하게⠀맛있었던 송파사랑방 🤤 이건 안 먹을 수 없죠🙆🏻‍♀️⠀⠀⠀🎉 삼겹살 (2인) (2.8만원)⠀물냉면 (1만원) +음료수 주문했어요 !⠀⠀⠀🙌🏻 사장님께서 삼겹살을 심혈을 기울여 구워주셔서⠀여름인데 먹으면서 땀도 나지 않고⠀너무 쾌적했어요!⠀⠀💕 미나리와 김치, 콩나물이 삼겹살을 잘 받쳐주는 맛‼️⠀⠀⠀⠀🥺 가장 중요한 맛은,,⠀올해 먹은 삼겹살 중 가장 맛있었지 뭐에요.. 😭⠀⠀🤭최자로드에도 나온 찐맛집이라는 게 이해갔어용⠀⠀⠀👀 원래 냉면은 형식적으로 먹는데 ⠀여긴 국물까지 호로록 하게 되는 냉면의 정석집! ⠀⠀⠀⠀#송파사랑방 #송파맛집 #가락시장맛집 #가락시장역 #최자로드 #녹차삼겹살 #서울맛집 #삼겹살 #고기 #냉면 #냉면에고기 #미나리삼겹살 #미나리⠀","['#송파사랑방', '#송파맛집', '#가락시장맛집', '#가락시장역', '#최자로드', '#녹차삼겹살', '#서울맛집', '#삼겹살', '#고기', '#냉면', '#냉면에고기', '#미나리삼겹살', '#미나리⠀']",2021-08-09,0,
7,24,"가락동 삼겹살 드디어 맛집을 찾았다👍.가락동에 은근히 맛집이 많지만 삼겹살 맛집이 많지 않아요😭.그래서 맨날 집에서 구워먹거나 ㅋㅋㅋ 다른동네가서 삼겹살 먹고 왔었는데 .드디어 미나리랑 같이 먹는 삼겹살 맛집을 발견👏👏👏.외관이랑 간판 완전 뉴트로 물씬 :)최자로드 삼겹살맛집 으로도 방송에 나옴난왜 이제알았던것이냐...........100프로 강원도 참숯!과 프리미엄 보성 녹돈을 사용! 한데요 맛있겠쥬?😍품질인증된 돼지 육질이 우수하며 쫄깃 깔끔하고 담백! 젤 중요한 돼지 특유의 잡내가 없고 구수한 향이😍👍.우와 청춘 소주 처음 봤어용👍1병 먹음 컨디션 환 1포 준데여 ㅋㅋㅋ그렇지만... 알쓰는....쏘주 PASS .어제 맥주 먹었으니 오늘은.....알콜 패스.삼겹살2인분+물냉+비냉+콜라.거의 다 구워서 바로 나왔어요:)역시 예약이 좋구만👍👍.꺄❤️❤️미나리❤️❤️삼겹살에 미나리 같이먹음 존맛탱이라구 예전 피드에 올려드렸던거 같은데👏미나리랑 삼겹살이랑 진짜 최고에용😋👍.미나리 짤라주시면서 한번만 뒤집고 드시면 된다고 친절하게 얘기해주심👍된장찌개도 나옴👍비쥬얼 진짜 끝판왕😍👍.열시미 쌈싸먹긔🙈🙈👏👏헣 ㅠㅠ 완전 존맛탱이에요 진짜 ㅠㅠㅠ 녹차먹인 돼지라 그런가 왜 더 맛있는거야 ㅠㅠㅠㅠㅠㅠ진짜 맛있어요.물냉은 가위로 싹둑싹둑 ㅋㅋ고기랑 냉면이랑 같이먹어야 더 맛있쮸?비냉은 자르지 않고 그냥:).오늘도 싹쓰리샷:).와 요기 진짜 존맛탱~!!!!뉴트로 느낌의 송파사랑방 진짜 존맛탱 인정사장님, 직원 모두 친절해서 넘 좋았음!아빠랑 나랑 돼지냄새 쫌이라도 나면 싫어하는데 이집 고기는 냄새도 안나고 쫄깃쫄깃하고 넘 맛있었음👍👍가락동 삼겹살 맛집 인정😍🙌👍❤️.송파사랑방 🥩 📍주  소: 서울특별시 송파구 양재대로 62길 42-1 (가락동86-12) 1층📍전화번호: 02-3012-5332📍영업시간: 매일 16:00~00:00   설,추석 당일만 휴무..맞팔은 댓글남겨주셔야 확인가능해요🙈늦어도 답방 무조건 갑니당 🙌..#가락동맛집 #가락동삼겹살 #가락동삼겹살맛집 #가락동맛집추천 #가락동고기맛집 #가락동고기 #미나리삼겹살 #미나리삼겹살맛집 #송파사랑방 #송파사랑방참숯화로구이 #맛집인정 #존맛탱 #먹부림 #맛스타그램 #먹팔맞팔 #먹스타맞팔 #좋아요 #좋아요꾹 #야식 #저녁메뉴 #오늘뭐먹지 #삼겹살데이 #삼겹살","['#가락동맛집', '#가락동삼겹살', '#가락동삼겹살맛집', '#가락동맛집추천', '#가락동고기맛집', '#가락동고기', '#미나리삼겹살', '#미나리삼겹살맛집', '#송파사랑방', '#송파사랑방참숯화로구이', '#맛집인정', '#존맛탱', '#먹부림', '#맛스타그램', '#먹팔맞팔', '#먹스타맞팔', '#좋아요', '#좋아요꾹', '#야식', '#저녁메뉴', '#오늘뭐먹지', '#삼겹살데이', '#삼겹살']",2021-07-26,0,
8,26,"2021/07/25#송파사랑방 #내돈내산 @songpa__sarang 설은미님의 팬인 친구의 추천으로 방문한 곳!나도 팔로우했는데 왜 게시물 못봤지(?)네이버예약 요청사항으로 설은미님 이름 기재하면 미나리 삼겹살 2인분이상 주문시 ‘1인분 + 냉면’을 서비스로 주신답니당!! 분위기도 맘에들고 직원분들도 친절하셔서 맛있는 식사하고 왔어요😍자세한 내용은 설은미님 인스타 확인 해보세용!@_eun.me 참고로 여기 #최자로드 맛집 이래요!#미나리삼겹살 🐷x4삼겹살은 초벌구이해서 나와요!화장실 다녀온사이 다 익었더라구여..!고기가 너무 한번에 다 익어버려서 3인분을 한번에 급하게 먹으라(?) 좀 아쉬웠어요술 드시는 분들은 고기를 추가하실때 한번에 시키지마세여😉고기는 너무 두툼하지도 얇지도 않은 정도의 두께였어요!삼겹살 많이먹으면 느끼할 수 있는데 여기는 미나리 뿐만 아니라 구운 김치, 양파절임, 할라피뇨랑 마늘쫑, 부추절임, 콩나물, 된장찌개까지 나와서 다양하게 곁들여 먹을수 있어 너무 좋았어요🥰(소주까지 같이 먹음 최고! 엄청 시원하게 나와여 ㅠ)₩14000#냉면 냉면 시원하고 맛나요💙가성비까지 좋은 냉면~고기엔 물냉이져!₩5000","['#송파사랑방', '#내돈내산', '#최자로드', '#미나리삼겹살', '#냉면']",2021-07-25,0,경찰병원
9,28,미나리올려먹는 #삼겹살 #숯불구이 라 더 맛있었다 #송파사랑방 #최자로드맛집 #최자로드삼겹살집,"['#삼겹살', '#숯불구이', '#송파사랑방', '#최자로드맛집', '#최자로드삼겹살집']",2021-07-18,0,
