,Unnamed: 0,content,hashtag,date,like,place
0,5,오늘의 맛집.인별에서 핫한! #아이맛이야장작철판구이 근데 핫 한 곳 정말 맞나요? 이 큰 테이블에 우리만😂근데 사실 그래서 더 좋았다. 뭔가 전세낸 기분🤣삼겹살 + 목살 잘라서 김치랑 콩나물에 부추에 구워구워🙌따로 볶아서 주는 볶음밥도 맛있고 완전 술이 술술.얼마만의 이즈백이냐 ㅜㅜㅜㅜ 지대로 불금🙌:#일상그램 #알콜그램 #아이맛이야장작철판구이 #이영자맛집 #전참시 #맛집 #일산 #행신동맛집 #일산맛집 #불금그램 #불타는금요일 #플레이모빌 #playmobil #플모랑놀자 #장작구이 #삼겹살목살 #고기는옳다 #술그램 #우리만얌얌 #전세그램 #플모만드는여자 #좋아요 #추천 #좋아요반사,"['#아이맛이야장작철판구이', '#일상그램', '#알콜그램', '#아이맛이야장작철판구이', '#이영자맛집', '#전참시', '#맛집', '#일산', '#행신동맛집', '#일산맛집', '#불금그램', '#불타는금요일', '#플레이모빌', '#playmobil', '#플모랑놀자', '#장작구이', '#삼겹살목살', '#고기는옳다', '#술그램', '#우리만얌얌', '#전세그램', '#플모만드는여자', '#좋아요', '#추천', '#좋아요반사']",2020-11-20,0,
1,6,#아이맛이야장작철판구이 어쩔...#맛있다👍 집에서 #뒹굴모드앞머리 떡진채로 #궈궈울두찌 차에서 자다 #짜증과투정고기한입먹고 바로 #먹방모드 😘😘.....#전지적참견시점 #이영자맛집 #이영자맛집리스트 #삽겹살맛집 #철판구이 #맛집투어#맛집그램 #순삭각 #진짜맛나다👍#주말저녁#외식그램,"['#아이맛이야장작철판구이', '#맛있다👍', '#뒹굴모드앞머리', '#궈궈울두찌', '#짜증과투정고기한입먹고', '#먹방모드', '#전지적참견시점', '#이영자맛집', '#이영자맛집리스트', '#삽겹살맛집', '#철판구이', '#맛집투어', '#맛집그램', '#순삭각', '#진짜맛나다👍', '#주말저녁', '#외식그램']",2020-03-01,0,아이맛이야
2,11,행주산성 이영자의 맛집행주산성 근처 공원#아이맛이야장작철판구이#만보걷기#동네 산책,"['#아이맛이야장작철판구이', '#만보걷기', '#동네']",2021-10-11,0,
3,23,#이영자맛집 #아이맛이야 #철판산성⠀아빠 따라 서울 왔다가 내려가는 길에 대형 흑돼지 철판구이 🐖🐖보는 재미 먹는 재미 잘 먹었습니다🤤🤤⠀⠀⠀⠀⠀⠀#고양맛집 #행주산성 #행주산성맛집 #장작철판구이 #아이맛이야장작철판구이 #전참시맛집 #삼겹살맛집 #드라이브 #여행 #캠핑 #일상그램 #일상기록 #여행그램 #카페그램 #소통그램 #소통환영 #선팔환영 #데일리 #평택 #송탄 #고덕신도시 #팔로우 #맞팔 #좋아요 #좋반,"['#이영자맛집', '#아이맛이야', '#철판산성⠀아빠', '#고양맛집', '#행주산성', '#행주산성맛집', '#장작철판구이', '#아이맛이야장작철판구이', '#전참시맛집', '#삼겹살맛집', '#드라이브', '#여행', '#캠핑', '#일상그램', '#일상기록', '#여행그램', '#카페그램', '#소통그램', '#소통환영', '#선팔환영', '#데일리', '#평택', '#송탄', '#고덕신도시', '#팔로우', '#맞팔', '#좋아요', '#좋반']",2021-10-04,0,아이맛이야장작철판구이
4,25,"경기 행주산성 ""아이맛이야장작철판구이"".- 흑돼지 목살 -- 흑돼지 삼겹살 -- 비빔국수 -- 볶음밥 -.초 거대한 철판, 그 밑 폐쇄형 화로에선 장작이 끊임없이 타오르는데 고기 익는속도와익힘의 깊이가 과연 철판이긴 한 것 같다.손님이 없을때도 꺼지지 않는 뜨거운 철판위에생고기, 김치, 통마늘, 콩나물, 부추 순으로 올리는데과정이 지나갈수록 점점 그 냄새가 괴롭다아 얼른 얼른 빨리 빨리요 현기증난단말이예요.8명 정도 둘러 앉을수 있는 원형 테이블이라서반대편에 있는 남에게 내가 못생기게 먹는 모습을여지없이 보여줄수 있다 ㅋㅋㅋ.목소리도 은근히 섞이는데 난 목소리가 크니까괜찮다 아주 괜찮다 아임파인땡큐앤유?.이렇게 쓰잘떼기 없는 얘기를 계속한다는건음식에 집중을 못했다는거 ^^;;.일단 덥다. 많이 덥다. 확 더운건 아닌데 덥다.그리고 이곳에 여러 맛집이 모여 있어서말 그대로 주차대란, 주차지옥이다(할말하않)오토바이 주차가 빡칠일이면 말 다했지🤬(화난다같은단정한거말고개빡침이옳은표현인듯).주차빡침과 화로열기를 잊게 할만한 맛은 아니고위생에 강박있는 사람은 여기 안오시는걸 추천🙏.음.. 뭐랄까? 그냥 동네 고기집에서 먹는맛인데고기가 좀 더 두껍고 육향이 좋다? 정도??(당연하지생고긴데ㅋ).정도껏의 노동이나 운동후에 삼삼오오 모여서왁자지껄 떠들며 막걸리에 안주삼아 먹는건 추천.대박고기맛집은 아니지만 비빔국수는 선방👏👏볶음밥은 내 손이 큰거지 양이 작은건 아니고 ㅎㅎ.@minoing85 야 근데 여기 이영자맛집이래.#제주도민 #행주산성맛집 #이영자맛집 #철판구이#아이맛이야장작철판구이 #흑돼지목살 #내돈내산#흑돼지오겹살 #비빔국수 #김치볶음밥 #쏘쏘#맛집투어 #맛집이라기엔 #할말하않 #주차대란#주차지옥 #간만에빡침 #아주화가단단히났는데","['#제주도민', '#행주산성맛집', '#이영자맛집', '#철판구이', '#아이맛이야장작철판구이', '#흑돼지목살', '#내돈내산', '#흑돼지오겹살', '#비빔국수', '#김치볶음밥', '#쏘쏘', '#맛집투어', '#맛집이라기엔', '#할말하않', '#주차대란', '#주차지옥', '#간만에빡침', '#아주화가단단히났는데']",2021-10-03,0,아이맛이야장작철판구이
5,30,#아이맛이야장작철판구이 #행주산성 #맛집투어 #철판구이 #장작구이#이영자맛집 #두번은안가는걸로#삼겹살 #목살 #비계싫어,"['#아이맛이야장작철판구이', '#행주산성', '#맛집투어', '#철판구이', '#장작구이', '#이영자맛집', '#두번은안가는걸로', '#삼겹살', '#목살', '#비계싫어']",2021-09-27,0,
6,32,생각하는게 똑같아🤭초대형철판에 지글지글~!!사람 없는시간에 맞춰가서 여유롭게 첩첩~!!ㆍㆍㆍ#주말 #일상 #저녁 #일상스타그램 #저녁 #저녁메뉴 #고양 #삼겹살구이 #고양맛집 #덕양구 #덕양구맛집 #행주산성 #행주산성맛집 #아이맛이야장작철판구이 #지글지글 #철판구이 #이영자맛집리스트 #이영자맛집 #맛집 #철판구이 #삼겹살 #흙돼지삼겹살 #가브리살 #비빔국수,"['#주말', '#일상', '#저녁', '#일상스타그램', '#저녁', '#저녁메뉴', '#고양', '#삼겹살구이', '#고양맛집', '#덕양구', '#덕양구맛집', '#행주산성', '#행주산성맛집', '#아이맛이야장작철판구이', '#지글지글', '#철판구이', '#이영자맛집리스트', '#이영자맛집', '#맛집', '#철판구이', '#삼겹살', '#흙돼지삼겹살', '#가브리살', '#비빔국수']",2021-09-25,0,아이맛이야장작철판구이
7,34,식샤를 합시다🤤.....#아이맛이야장작철판구이 #이영자추천 #맛스타그램 #먹스타그램 #푸드스타그램 #음식스타그램 #맛집투어 #맛집 #맛집탐방 #행주산성 #행주산성국수 #행주산성맛집 #오리고기 #삼겹살 #고기맛집 #인친 #소통 #좋아요 #팔로우 #선팔 #맞팔,"['#아이맛이야장작철판구이', '#이영자추천', '#맛스타그램', '#먹스타그램', '#푸드스타그램', '#음식스타그램', '#맛집투어', '#맛집', '#맛집탐방', '#행주산성', '#행주산성국수', '#행주산성맛집', '#오리고기', '#삼겹살', '#고기맛집', '#인친', '#소통', '#좋아요', '#팔로우', '#선팔', '#맞팔']",2021-09-24,0,
8,39,.가끔 나의 기동성을 책임져주시던 분들그 기동성 제가 책임을지니 감회가 새롭던~ ^^.#아이맛이야장작철판구이#흑돼지삼겹살 #흑돼지목살 #항정살 먹느라 #비빔국수 사진은 깜빡😆#전참시이영자맛집 #고양맛집 #행주산성맛집 #대형철판구이 #일상그램#먹방그램🍴,"['#아이맛이야장작철판구이', '#흑돼지삼겹살', '#흑돼지목살', '#항정살', '#비빔국수', '#전참시이영자맛집', '#고양맛집', '#행주산성맛집', '#대형철판구이', '#일상그램', '#먹방그램🍴']",2021-09-20,0,
9,41,#행주산성 #권율장군👍 .이현이랑 또 와야집.모기기피제 잔뜩 뿌리고 와야집.맑은 날에 사진 이렇게 어두울일?조앵갱 쥐챠. . 🤣🤣🤣이영자 맛집은 나랑 안맞나뵤.두번째 실패..#아이맛이야장작철판구이#합석필수,"['#행주산성', '#권율장군👍', '#아이맛이야장작철판구이', '#합석필수']",2021-09-17,0,
