,Unnamed: 0,content,hashtag,date,like,place
0,0,"오먹애들이 사먹고 쓰는 솔직한 리얼후기#오먹투어 131탄 #익선동 #오죽이네.최자님이 픽한 바로 그집>>오죽이네에 다녀왔어요!닭볶음탕이 아닌 ""닭매운탕""을 파는데 비슷한 생김새지만 국물이 더 많습니다 ㅎㅎㅎ마늘맛이 엄청 강했눈데요!! 칼칼하면서 달짝한게호불호 없는 맛이에요ㅎㅎㅎ,,(술부터 생각나는 어른이^^)닭 크기는 작은 편이지만 그래서 더 야들하고국물이 엄청 잘 스며들어서 간이 너무 잘 됐음>_<칼국수+수제비 사리는 국룰입니댜.... 진짜 잘 들어가요ㅎㅎ흔한 맛 같으면서도 흔치 않은 맛이라 저는 또 갈거예요~~~!!((늦게가면 웨이팅하니 조금 일찍 가세요)).📍오죽이네📍서울 종로구 돈화문로11가길 25📍평일 11:30-22:00(토요일 12:00-22:00), 일요일 휴무📍닭매운탕 소 (25,000원), 칼국수 사리(2,000원), 수제비 사리(1,000원). #익선동데이트 #익선동술집 #익선동맛집 #배고파 #종로맛집 #종로3가맛집 #종로술집 #닭매운탕 #닭볶음탕맛집 #최자로드 #먹스타그램 #안주추천 #안주스타그램 #익선동핫플 #야식추천 #야식스타그램 #닭도리탕맛집 #서울맛집추천 #서울맛집","['#오먹투어', '#익선동', '#오죽이네.최자님이', '#익선동데이트', '#익선동술집', '#익선동맛집', '#배고파', '#종로맛집', '#종로3가맛집', '#종로술집', '#닭매운탕', '#닭볶음탕맛집', '#최자로드', '#먹스타그램', '#안주추천', '#안주스타그램', '#익선동핫플', '#야식추천', '#야식스타그램', '#닭도리탕맛집', '#서울맛집추천', '#서울맛집']",2021-07-05,0,
1,3,".#오죽이네닭매운탕 (小) 25,000@eumsungcityboy_9z님의 리뷰 요청으로소개드리는 가게 '오죽이네'는'최자로드'에서 최자님의 단골집으로 유명한 가게입니다.평소 최자로드를 애청하는 만큼 많은 기대를 하고 갔는데요, 기대보다 아쉬움이 많았던 한 끼 였습니다.'닭매운탕' 이름이 처음엔 생소하게 들릴 수 있는데요,닭볶음탕보다는 훨씬 국물이 많고, 걸쭉하지 않은 말 그대로 '매운탕'에 가까운 음식입니다.본관은 대기가 10팀이 있어 신관으로 이동했는데,본관과 신관 모두 장단점이 있습니다.개인적인 의견으로는✅진득하게 한잔한다면 본관✅가벼운 식사를 원한다면 신관으로 가는 것을 추천드립니다!🔅닭 매운탕전골냄비에 빨간 국물과 닭 한마리가 퐁당 빠져있습니다.닭볶음탕 보다는 매운 닭한마리에 가까운 비주얼이구요.냄비가 끓기 시작하면서 알싸한 마늘 향이 그득이 전해집니다.기대가 컸던 만큼 아쉬운 점이 꽤 많았어요.국물은 생각보다 너무 매워 혀가 아릴 정도여서 깜짝 놀랐습니다.(매운거 아주 잘 먹습니다)처음에는 닭 육수의 감칠맛보다는 밍밍한 매운맛이 강하게 올라와조금 더 끓이고 졸여먹었습니다.닭 크기는 교촌 치킨 크기였습니다. 닭이 작을수록 살이 부드럽고 양념이 잘 밴다는 장점이 있지만이건 좀 너무 작지 않나... 싶었습니다. 아쉬웠어요.그래도 술안주로 먹으면 꽤 매력 있겠다는 느낌은 받았습니다.마늘 가득 들어간 칼칼한 국물은 소주에 곁들이기 참 좋은 조합이니까요.🔅칼국수 & 수제비닭매운탕 안에 수제비가 몇 개 들어있긴 합니다만,탄수화물이 적어서 그런지 자동으로 사리에 손이 갑니다.칼국수는 얼큰한 국물에 꽤 잘 어울렸습니다. 면에 국물이 자작하게 배어들어 확실히 맛있었습니다.너무 매워서 콜라 하나 시키긴 했지만요,수제비를 몇 개 건져 먹다보니 이게 또 별미더군요.추가로 수제비 사리를 시켜서 먹었는데, 수제비가 끓으면 국물이 걸죽해집니다. ❗ 맑은 국물을 좋아하시는 분들께는 추천드리지 않습니다.🔅볶음밥밥은 따로 볶아서 가져다주셨는데, 딱 비주얼 만큼의 맛, 그 이상도 이하도 아니었습니다.사실 등촌 칼국수 볶음밥 같은 꼬수운 볶음밥이면 더 좋았을 뻔 지만, 나름 나쁘지 않게 먹었습니다.------기본 반찬도, 닭 크기도 여러가지 아쉬운 점이 많았습니다.원래 더 맛있는 가게인데, 제가 운이 없었던 건지,사람이 많아지면서 맛이 변한건지는 모르겠지만, 여전히 많은 손님들께 사랑받고 있는 가게입니다.저도 그 혀가 아릴 정도의 매운맛이 좀 빠지고닭 크기가 더 커지면, 가끔 먹고 싶어 질 것 같습니다.오늘 재슐랭은 여기까지이구요,다음에 더 좋은 컨텐츠로 찾아뵙겠습니다!감사합니다.",['#오죽이네닭매운탕'],2021-09-03,0,종로 오죽이네
2,15,요즘 만나면 다 오랜만이네 🤣.#익선동 #오죽이네 #최자맛집 #닭매운탕,"['#익선동', '#오죽이네', '#최자맛집', '#닭매운탕']",2021-10-19,0,
3,18,"최자가 추천한 닭매운탕#오죽이네 #종로최자로드로 유명해진 오죽이네가는길에 우연히 신관 보게되서 신간으로 들어갔는데 깔끔한 가게에서 쾌적하게 먹고왔어요!닭매운탕이라고 하면 좀 생소하잖아요??닭볶음탕은 많이 먹어봤어도!근데 국물 한입 먹으면 진짜 매운탕 맛이 나요!!!!해장하러갔는데 술을 또 시켜버렸을정도로...소주 땡기게 하는 맛살짝 걸쭉하게 끓여서 먹고 칼국수 사리 넣어먹고 마지막으로 볶음밥까지 꼭 먹어줘야하는거 아시져???📍위치_서울 종로구 삼일대로30길 10-3 1층⏰시간_평일 11:30~22:00 토요일 12:00~22:00 (BT 15:00~16:00)❌ 일요일 휴무📌가격_#닭매운탕 소 25,000#데이_종로#종로맛집#종로3가맛집#닭볶음탕맛집#닭매운탕맛집#최자로드#최자맛집#먹스타그램#맛스타그램#종로술집#소주안주추천","['#오죽이네', '#종로최자로드로', '#닭매운탕', '#데이_종로', '#종로맛집', '#종로3가맛집', '#닭볶음탕맛집', '#닭매운탕맛집', '#최자로드', '#최자맛집', '#먹스타그램', '#맛스타그램', '#종로술집', '#소주안주추천']",2021-10-17,0,종로3가역
4,41,"#오죽이네 📍닭매운탕(소): 25,000📍우동사리: 2,000📍볶음밥: 3,000안녕하세요! 오늘은 제가 애정하는 맛집인 ‘오죽이네’를 소개해드리려고합니다🥳 이곳은 닭매운탕 맛집이에요!! 닭볶음탕은 많이 들어보셨어도, 닭매운탕은 좀 생소하시죠?! 음 국물이 많은 닭볶음탕이라고 생각하시면 되는데, 이 국물이 진짜 예술입니다…국물에서 찐-한 마늘의 감칠맛이 아주 잘! 느껴져요ㅎㅎ 거기에 부드러우면서도 담백한 닭고기라니… 존맛입니다🤤 저희는 여기에 우동사리를 넣어서 먹었어요! 우동사리 이외에도 라면, 감자, 야채, 칼국수 등 다양한 사리가 있으니 취향에 맞게 추가하시면 될 것 같아요🖤그리고 마지막으로 빼놓을 수 없는 볶음밥! 그냥 먹으면 좀 싱거워서 덜어놓은 국물과 함께 먹었습니다🥰사실 이곳은 제가 지인들에게 추천할 때마다 지인들의 반응이 다 좋았어요! 그래서 여러분들께도 추천드립니다✨ by. 주먹고양이...#오죽이네닭매운탕 #닭매운탕맛집 #익선동맛집 #익선동맛집추천 #종로맛집 #을지로맛집 #익선동데이트 #술안주맛집 #최자로드 #먹스타맞팔 #푸드매거진","['#오죽이네', '#오죽이네닭매운탕', '#닭매운탕맛집', '#익선동맛집', '#익선동맛집추천', '#종로맛집', '#을지로맛집', '#익선동데이트', '#술안주맛집', '#최자로드', '#먹스타맞팔', '#푸드매거진']",2021-10-06,0,종로 오죽이네
5,42,익선동_오죽이네-닭볶음탕이 아닌 닭매운탕-이미 최자로드로 인해 많이 유명해진 오죽이네. 리모델링 전부터 방문한 종로 최애 맛집이다. 오죽이네의 닭매운탕의 매력은 진한 국물에 있는 것 같다. 마늘이 듬뿍 들어가 한국인의 영혼을 울리며 국물이 얼큰하면서 칼칼해 술과 함께 먹기 정말 좋다. 닭매운탕의 닭은 사이즈가 작은편이지만 쫄깃하고 끓일수록  닭고기에 국물이 베어 상당히 맛있다. 국물 맛은 점점 발전해 맛이 깊어지는 느낌이 드는 반면에 볶음밥은 날마다 맛이 다르다. 특히 이날 볶음밥은 나왔을때부터 하얀색에 가까웠으면 너무 싱거워서 식사의 마무리가 찝찝했다. 그래도 여전히 닭매운탕만큼은 서울 1등이라고 생각된다.-#오죽이네 #닭매운탕 #익선동맛집 #익선동 #종로맛집 #fff #foodporn #foodphotography #foodstagram #foodie #gourmet #lfl #먹스타그램 #먹팔 #먹팔해요 #맛집 #좋아요반사 #맛집추천 #맛집스타그램 #맛집탐방 #코이종로 #코이익선동,"['#오죽이네', '#닭매운탕', '#익선동맛집', '#익선동', '#종로맛집', '#fff', '#foodporn', '#foodphotography', '#foodstagram', '#foodie', '#gourmet', '#lfl', '#먹스타그램', '#먹팔', '#먹팔해요', '#맛집', '#좋아요반사', '#맛집추천', '#맛집스타그램', '#맛집탐방', '#코이종로', '#코이익선동']",2021-10-06,0,종로 오죽이네
6,54,#오죽이네 .드디어 가본 종로 대표 맛집 오죽이네!최자맛집으로 유명하기도하고 매운탕을 워낙 좋아해서 닭매운탕이라는 메뉴가 정말 궁금했다.추석연휴 마지막날에 방문했는데 원래도 웨이팅이 굉장히 긴 집이라고해서 오픈 시간에 맞춰서 방문했다.5분거리에 본관도 있지만 신관이 궁금해서 신관 방문!이 날 공휴일이라 12시 오픈이었는데 평일 시간 오픈인줄알고 밖에서 기다리는 나를 보시고 들어와서 기다려도 된다고 ㅠㅠ닭볶음탕 전문점은 굉장히 많이 봤는데 닭매운탕은 생소해서 꼭 먹어봐야지 생각했는데 결론은 맛있었다!개인적으로 탕에서 단 맛이 나는 걸 좋아하지 않는 편인데 오죽이네 닭매운탕은 단 맛 하나도 안나는 칼칼하고 감칠맛 가득한 맛이었다. 특히 마늘이 굉장히 많이 들어가있는데 마늘 덕분에 물리지 않고 계속 먹을 수 있다. 끓이면서 점점 진해지는데 안에 들어가있는 감자가 예술.. 닭도 사이즈가 크지는 않지만 잡내가 안나고 아주 부드러웠던.사리 종류가 다양한데 저는 우동사리 추천드려요! 닭매운탕 국물과 너무 잘어울리더라구요. 칼칼하고 개운해서 술안주로도 유명하던데.. 저는 아침에가서 식사만 했지만 다음번에는 저녁에도 와보고싶은. 그리고 사장님이 너무 친절하셔서 더 기분 좋게 식사하고 나올 수 있었어요!📌서울 종로구 삼일대로30길 10-3 1층📜일요일 휴무 (평일 Brake time 15:00~16:00),['#오죽이네'],2021-09-27,0,오죽이네신관
7,57,#최자로드맛집 #삼청동 #오죽이네 #먹스타그램 #닭매운탕 #25000원 #주말 #오죽이네신관 옻닭매운탕은 아니었지만 닭볶음탕과의 차별점은 충분히 느낄 수 있었다. 네이버 리뷰와는 달리 닭의 양도 충분했고 살코기도 퍽퍽하지 않고 맛있었다. 신관은 충분히 깔끔했고 조용했다. 본점과는 풍겨오는 향에서 부터 차이가 있었으나 그게 맛까지 이어질 지는 모르겠다. 다음 기회에는 본점을 가볼 것.,"['#최자로드맛집', '#삼청동', '#오죽이네', '#먹스타그램', '#닭매운탕', '#25000원', '#주말', '#오죽이네신관']",2021-09-25,0,종로 오죽이네
8,58,".#오죽이네#닭매운탕#최자로드맛집#소주안주이건 무조건 소주를 시켜야 됨닭매운탕 소 자에 감자사리, 우동사리 추가탕을 먹다가 우동사리를 추가하는 편이 깔끔할듯국물을 딱 한 입 넣으면 무조건 소주각이다.","['#오죽이네', '#닭매운탕', '#최자로드맛집', '#소주안주이건']",2021-09-25,0,
9,61,내가 하는 부업이 최고야 ~그러니까 너도 이거해 ᕕ( ᐛ )ᕗ⠀⠀나의 일에 자부심이 있지만절대로 강요하지 않는다는 것 -⠀⠀최선을 다해 설명을 드리지만결국 선택은 본인이 하는거니깐 🤍⠀⠀저를 선택하시겠어요 ?그럼 돈 벌어갈 마음이면 준비 끝입니다 ! 😎#오죽이네 #닭매운탕 #종로맛집 #익선동맛집 #최자로드 #일상 #육아맘 #dailygram #parenting,"['#오죽이네', '#닭매운탕', '#종로맛집', '#익선동맛집', '#최자로드', '#일상', '#육아맘', '#dailygram', '#parenting']",2021-09-24,0,
