,Unnamed: 0,content,hashtag,date,like,place
0,7,오랜만에 먹으니 맛있다 #을지칼국수#성시경맛집,"['#을지칼국수', '#성시경맛집']",2020-09-26,0,
1,11,비 오는 날은 역시 칼국수죠!.성시경이 을지로 오면 무조건 들른다고방송에서 얘기하는 걸 보고 처음 와봤었는데오늘로 벌써 세 번째 방문이네요쑥으로 만든 면과 칼국수 국물이 찐입니다.#을지손칼국수 #을지손만두칼국수 #을지칼국수.#서울맛집 #을지로맛집 #힙지로맛집 #칼국수 #칼국수맛집 #찐맛집 #먹스타그램 #맛스타그램 #맛집스타그램 #맛있다그램 #맛집 #맛집추천 #푸드 #선팔 #맞팔 #먹팔 #먹팔맞팔 #좋아요 #좋반 #팔반 #먹방 #일상 #daily #like #follow #food #seoul,"['#을지손칼국수', '#을지손만두칼국수', '#을지칼국수.', '#서울맛집', '#을지로맛집', '#힙지로맛집', '#칼국수', '#칼국수맛집', '#찐맛집', '#먹스타그램', '#맛스타그램', '#맛집스타그램', '#맛있다그램', '#맛집', '#맛집추천', '#푸드', '#선팔', '#맞팔', '#먹팔', '#먹팔맞팔', '#좋아요', '#좋반', '#팔반', '#먹방', '#일상', '#daily', '#like', '#follow', '#food', '#seoul']",2021-08-21,0,
2,16,20210703비오는날 칼국수얌얌을지로 탐험중을지칼국수 ㅎㅎ#을지로맛집 #을지칼국수 #을지로만두칼국수 #맛집 #맛집탐방 #맛집탐방그램 #맛집탐험 #맛스타 #맛있어 #칼국수 #칼국수맛집 #맛스타맞팔 #맛집추천 #서울맛집 #쑥칼국수 #성시경맛집#냠냠 #먹스타그램 #먹방 #먹스타,"['#을지로맛집', '#을지칼국수', '#을지로만두칼국수', '#맛집', '#맛집탐방', '#맛집탐방그램', '#맛집탐험', '#맛스타', '#맛있어', '#칼국수', '#칼국수맛집', '#맛스타맞팔', '#맛집추천', '#서울맛집', '#쑥칼국수', '#성시경맛집', '#냠냠', '#먹스타그램', '#먹방', '#먹스타']",2021-07-03,0,을지칼국수
3,19,여기 좀 많이 존맛 대체될 칼국수집이 안 떠올랐다 #쑥손칼국수 #쑥칼국수 #칼국수 #손칼국수 #을지로맛집 #을지손칼국수 #을지칼국수 #성시경 추천이라고.. 또 가게 될듯:),"['#쑥손칼국수', '#쑥칼국수', '#칼국수', '#손칼국수', '#을지로맛집', '#을지손칼국수', '#을지칼국수', '#성시경']",2021-06-18,0,을지칼국수
4,21,#을지칼국수#을지로3가 쑥칼국수전지적참견시점 성시경이맛있다고 말해서 갔다온집진짜 쑥향이 진해서 맛있어요왕만두도 담백하고 국물도 담백해요~따로 면을 삶아서 육수를 붓는것 같아요~국물이맑아요~면은 쫄깃하고 굵은편제취향에 딱좋아요~담엔 그냥국수만 먹을려고요~진한 쑥맛이 좋더라구요~양도 많아서 아깝지만 남기고 왔어유 ㅠㅠ,"['#을지칼국수', '#을지로3가']",2021-06-10,0,
5,40,"#맛집소개칼국수는 이곳이예요.실은 밀가루를 넘넘 좋아하는 저지만건강을 생각해서 많이 자제하고 있는 요즘,얼마전부터 칼국수가 참 먹고 싶었어요.드디어 오늘 먹었습니다.면발이 이렇게 탱탱할수가...국물부터 겉절이에 삭힌고추까지 예술입니다.#리얼맛집 #성시경도인정한곳 #을지칼국수#만칼","['#맛집소개칼국수는', '#리얼맛집', '#성시경도인정한곳', '#을지칼국수', '#만칼']",2020-09-23,0,
6,43,#을지칼국수 #을지로3가맛집 #성시경맛집 #삼겹살 #칼국수국물서비스 #p40prophotography,"['#을지칼국수', '#을지로3가맛집', '#성시경맛집', '#삼겹살', '#칼국수국물서비스', '#p40prophotography']",2020-09-02,0,을지칼국수
7,58,서울 나들이칼국수는 언제 먹어도 맛있네심지어 성시경님도 다녀간 곳이라면 맛집임이 틀림없다🤣#을지로 #을지칼국수 #주말 #점심,"['#을지로', '#을지칼국수', '#주말', '#점심']",2020-04-25,0,Euljiro 3-ga Station
8,70,저녁먹으러을지로로~~사골국물 너무찐해요!!!!🍜왠일이야 막걸리달달해ㅋㅋㅋ#을지칼국수#레오니다스#mayersung#성식영#성시경#성시경맛집,"['#을지칼국수', '#레오니다스', '#mayersung', '#성식영', '#성시경', '#성시경맛집']",2020-01-09,0,"을지로 3-가 , Seoul, Rep Of Korea"
9,87,.2019.06.03.前回渡韓したときに食べて気に入って、今回も絶対に行きたかったお店。このカルグクス本当に好き♡.お店のお兄さんが色々話しかけてくれて、すごく盛り上がって楽しかった🤓最後に良い思い出ができました〜♫*#カルグクス #칼국수 #乙支路 #乙支路3街 #을지손만두칼국수 #을지로3가 #을지로맛집 #을지칼국수 #성시경 #韓国グルメ #韓国料理,"['#カルグクス', '#칼국수', '#乙支路', '#乙支路3街', '#을지손만두칼국수', '#을지로3가', '#을지로맛집', '#을지칼국수', '#성시경', '#韓国グルメ', '#韓国料理']",2019-06-09,0,을지칼국수
