,Unnamed: 0,content,hashtag,date,like,place
0,5,청담동 맛집 뜨락신동엽의인생안심!!☺️🙃🙃역시👍👍👍#헬로우의먹방월드#1일10식#술스타그램#먹스타그램 #맛스타그램 #푸드스타그램 #foodie #foodstagram #foodphoto#뜨락#청담동맛집#청담동뜨락#안심맛집#신동엽의인생안심,"['#헬로우의먹방월드', '#1일10식', '#술스타그램', '#먹스타그램', '#맛스타그램', '#푸드스타그램', '#foodie', '#foodstagram', '#foodphoto', '#뜨락', '#청담동맛집', '#청담동뜨락', '#안심맛집', '#신동엽의인생안심']",2020-03-23,0.0,청담동 뜨락
1,6,_어제 은정이 생일밥 먹으러.수요미식회 신동엽의 인생안심으로소개되었던 곳이라는데 진짜 너무 맛있어서 7인분이나 흡입했어요@maria_chuu 생일 너무 축하해🥳#뜨락 #청담동뜨락 #파티또있는거실화니,"['#뜨락', '#청담동뜨락', '#파티또있는거실화니']",2020-07-19,0.0,뜨락
2,8,청담동 뜨락3층의 한우 오마카세는고기구성도 훌륭하지만 함께 나오는메뉴들도 하나같이 정갈하고 맛있다이런 훌륭한 구성을 만든 @tteurak_jk 의대표님 칭찬해요 👏👏👏#헬로우의먹방월드#1일10식#술스타그램#먹스타그램 #맛스타그램 #푸드스타그램 #foodie #foodstagram #foodphoto#뜨락#청담동맛집#청담동뜨락#안심맛집#신동엽의인생안심,"['#헬로우의먹방월드', '#1일10식', '#술스타그램', '#먹스타그램', '#맛스타그램', '#푸드스타그램', '#foodie', '#foodstagram', '#foodphoto', '#뜨락', '#청담동맛집', '#청담동뜨락', '#안심맛집', '#신동엽의인생안심']",2020-08-14,0.0,청담동 뜨락
3,10,소고기 사주면 이쁜 언니~♡#청담동뜨락#신동엽인생안심#수요미식회,"['#청담동뜨락', '#신동엽인생안심', '#수요미식회']",2021-10-17,0.0,
4,14,"#뜨락 많은 분들에게 신동엽님의 인생안심으로 수요미식회를 통해 더 많이 알려졌던 청담동 한우 전문점 뜨락.  1인분 가격을 보면 가격 좀 한다 싶다가도 어디가서 이 금액에 이정도 찬과 서비스, 고기를 구해오라 하면 선뜻 자신이 없어 중요한 저녁약속을 종종 진행하는 곳.  안심은 2-3인분 시키며 한덩어리로 달라 하면 난감한 미소와 함께 좋은 샤또브리앙으로 내어주고, 특별히 추천하고 싶은 부위는 오히려 안창살.  정확한 기준은 기억이 가물거리나 일행당 몇병 까지는 글라스교체비 이외엔 무료 콜키지가 가능했고, 맛좋은 #이네딧담 맥주와 다양한 국산소맥, 와인 등도 겸비한.. 달래를 넣어주신 진한 된장찌개도 좋고 안동산 하몽이나 육전도 술안주 하기에 괜찮은 한우 맛집.  #서울맛집 #강남맛집 #청담동맛집 #강남한우 #강남한우맛집 #청담동한우 #청담동한우맛집 #안창살맛집 #한우맛집 #콜키지프리 #육전 #육전맛집 #하몽 #안동하몽 #청담동회식 #청담동모임장소 #강남모임 #강남모임장소 #청담동모임 #신동엽맛집 #수요미식회 #수요미식회맛집 #청담뜨락 #청담동뜨락 #먹박사맛집","['#뜨락', '#이네딧담', '#서울맛집', '#강남맛집', '#청담동맛집', '#강남한우', '#강남한우맛집', '#청담동한우', '#청담동한우맛집', '#안창살맛집', '#한우맛집', '#콜키지프리', '#육전', '#육전맛집', '#하몽', '#안동하몽', '#청담동회식', '#청담동모임장소', '#강남모임', '#강남모임장소', '#청담동모임', '#신동엽맛집', '#수요미식회', '#수요미식회맛집', '#청담뜨락', '#청담동뜨락', '#먹박사맛집']",2021-09-20,0.0,청담동 뜨락
5,33,#청담 #뜨락@my_yummy_yum 님 생일 기념한우 오마카세 방문!채광 좋은 루프탑 룸에서좋은 사람들과 함께한 시간이라너무 즐거웠다.생일 축하해요 마얌님🧡🧡🧡#글쓰다날아가서짧게씀 #즐거웠지만 #이돈스 #청담동뜨락 #신동엽의인생안심 #생일축하해 #다음엔어디갈까 #먹요정 #청담맛집 #한우오마카세 #뜨락오마카세,"['#청담', '#뜨락@my_yummy_yum', '#글쓰다날아가서짧게씀', '#즐거웠지만', '#이돈스', '#청담동뜨락', '#신동엽의인생안심', '#생일축하해', '#다음엔어디갈까', '#먹요정', '#청담맛집', '#한우오마카세', '#뜨락오마카세']",2021-07-22,0.0,청담동 뜨락
6,35,"세상에. 이런 점심은 언제나 옳다.배를 채우기 위해 먹느냐.맛있는 음식을 즐기기 위해 먹느냐.난 아무래도 후자인편.나에게 이만한 곳이 없을듯.최고다. 정말….맛도, 분위기도, 서비스도 최고인데.점심메뉴가 어쩜 저럴일?이제야 뜨락에 점심먹으러간 나님이 잘못했네. 내가 잘못했어…. 흑흑흑너무 맛있어서 흡입흡입.점심먹으러 가세요.저녁먹으러 가세요.두번가세요.또가세요.#뜨락#먹스타그램 #맛스타그램 #푸드스타그램 #foodie #foodstagram #foodphoto#뜨락#청담동맛집#청담동뜨락#안심맛집#신동엽의인생안심 #청담동한우맛집#한나언니#한나언니추천#한나언니맛집#푸드스타일리스트추천맛집 @tteurak_jk","['#뜨락', '#먹스타그램', '#맛스타그램', '#푸드스타그램', '#foodie', '#foodstagram', '#foodphoto', '#뜨락', '#청담동맛집', '#청담동뜨락', '#안심맛집', '#신동엽의인생안심', '#청담동한우맛집', '#한나언니', '#한나언니추천', '#한나언니맛집', '#푸드스타일리스트추천맛집']",2021-07-19,0.0,
7,36,"✔️청담_뜨락 신동엽의 인생 안심이라는 '뜨락' 가격대는 좀 있는 편이지만, 안심은 끝내주게 맛있었다. 콜키지는 한병만 free(두병부터 요금발생)레드 스파클링 #콘체르토 들고갔는데 은근 고기랑 잘어울렸다. 고기만 먹으면 심심하구 마무리로 냉면과 탄수화물먹으니 든든😋 누가 사준다고하면 또 가고싶댜♥️",['#콘체르토'],2021-07-18,0.0,청담동 뜨락
8,38,이렇게 알흠다운 안심 보셨나요?.청담동 뜨락에 가시면 세상 알흠다운안심이 기다리고 있어요.가성비좋은 점심세트에 반주 너무 맛있어예~~~🥰😍시원한 산토리 프리미엄 몰츠 생맥주도 꼭꼭함께 드세요 🍺🍻#헬로우의먹방월드#1일10식#술스타그램#먹스타그램 #맛스타그램 #푸드스타그램 #foodie #foodstagram #foodphoto#뜨락#청담동맛집#청담동뜨락#안심맛집#신동엽의인생안심 #청담동한우맛집,"['#헬로우의먹방월드', '#1일10식', '#술스타그램', '#먹스타그램', '#맛스타그램', '#푸드스타그램', '#foodie', '#foodstagram', '#foodphoto', '#뜨락', '#청담동맛집', '#청담동뜨락', '#안심맛집', '#신동엽의인생안심', '#청담동한우맛집']",2021-07-16,0.0,청담동 뜨락
9,39,"[청담동 #뜨락 🍽]신동엽 안심맛집으로 유명한 뜨락에서의 오마카세 코스요리4인이상 예약으로 운영되며, 예약시 예약금도 입금해야한다. 회사 동기들과 다이어트 종료기념으로 가기로 했는데 자꾸 일이 생겨 몇번이나 예약을 변경했는데 친절히 응대해 주셨다.인당 15만원, 4인 60만원의 값어치를 하느냐? YES!!YES!! (*오마카세이용시 콜키지별도)1. 우선 룸이라 프라이빗하게 즐길 수 있고 우리 룸은 테라스도 있어서 외국 리조트 온 척 사진도 찍었다📷 2. 맛이랑 구성은 말할 것도 없다.. 너무 맛있는 한우였다. 안심으로 유명한 집이지만, 원픽은 안창살이었다(단품 가격도 더 비쌈). 고기뿐 아니라 다양항 제철재료를 곁들인 요리들이 인상깊었다. 그리고 소꼬리찜과 솥밥과 여러 반찬과 함께하는 마지막 식사까지 먹고나면 배가 터진다!! 먹깨비 친구들도 음식을 남길 정도👍3. 무엇보다 고기구워주시는 쉐프슨생님이 매우 친절하시다. 부위설명도 잘해주시고 고기도 잘 구워주셨당👨‍🍳좋은날, 좋은사람과 함께하기 좋은 곳!#뜨락 #청담맛집 #청담동뜨락 #청담뜨락 #청담동맛집 #한우오마카세 #맛스타 #맛스타그램 #먹스타 #먹스타그램 #맛집스타그램 #음식스타그램 #서울맛집추천 #맛집 #맛집소개 #맛집추천 #food #데이트맛집","['#뜨락', '#뜨락', '#청담맛집', '#청담동뜨락', '#청담뜨락', '#청담동맛집', '#한우오마카세', '#맛스타', '#맛스타그램', '#먹스타', '#먹스타그램', '#맛집스타그램', '#음식스타그램', '#서울맛집추천', '#맛집', '#맛집소개', '#맛집추천', '#food', '#데이트맛집']",2021-07-12,0.0,청담동 뜨락
