,content,hashtag,date,like,place
0, ,[],,0,
1,"#시니의카페투어 #김포 #글린공원 경기도 김포에 위치한 공간으로,대형 식물원에 방문한 느낌이 들었다🤭김포에 위치한 대형 식물원 카페☕️📍글린공원🔎경기 김포시 양촌읍 석모리 937 카페 글린공원🗓매일 10:00 - 21:00, 매월 첫 번째 월요일 휴무✔️Tips* 노을빛이 예쁜 공간이니, 참고하고 가시는 것을 추천드려요 :)","['#시니의카페투어', '#김포', '#글린공원']",2021-06-09,0,글린공원
2,Secret Garden 🌿#글린공원,['#글린공원'],2021-02-25,0,글린공원
3,"#도심속의_정원_식물원카페_글린공원🌿빵순이들 진정한 빵지순례 할 수있는 식물원컨셉 김포카페🥗🥞🧇⠀📍 #김포 #글린공원경기 김포시 양촌읍 석모리 937⠀📍운영시간매일 10:00 - 21:00* 매월 첫번째 월요일 1회 휴무⠀☕ 메뉴-아메리카노 5,500원-시그니처 커피누베7,500원-그린주스 8,000원-오렌지주스 8,000원-샐러드류 15,000원⠀⠀🍯꿀팁✔ 1층 잔디캠핑 분위기자리 / 2층 해먹자리는12시전에 가시면 선점하실수있어요🙏🏻ㄴ12시이전 어택 추천❗️⠀⠀⠀✔ 인공연못에 모든 식물이 생화인 식물원컨셉카페 💚✔️ 브런치먹기 좋은카페 🥗✔️현금안되는 카페✔️넓은 주차장겸비 🚘✔️여러종류의 케이크, 빵, 샐러드, 음료를 한 곳에서 맛볼수 있는 김포 인싸카페✔️일산엔 #더티드링크 #포레스트아웃팅스 라면김포는 #글린공원⠀ insta @insta_tatata_ta","['#도심속의_정원_식물원카페_글린공원🌿빵순이들', '#김포', '#글린공원경기', '#더티드링크', '#포레스트아웃팅스', '#글린공원⠀']",2020-11-19,0,카페글린공원
4,"2021.10.3.동탄 글린정원🌿 애프터눈티세트 & 브런치를 즐길 수 있는 정원 카페'◡'오늘의 픽은샐러드 + 스테이크 + 피자 + 파스타(or 리조또) + 음료로 구성된 3인세트🤎매콤매콤 갈릭쉬림프 피자가 제일 취향저격이었어요~.~부모님 입맛에도 맞으셨는지 포장해갈까 고민하다가 집으로 배달시켜달라고 하시더라구요!좋은 자리는 대부분 예약석이어서 예약 꼭 하고 가시는걸 추천합니다📍➡️ 메뉴, 자리배치 및 예약 등 자세한 정보는 프로필링크에!..#화성카페 #동탄카페 #글린정원 #하우스스테이크 #꽃게로제파스타 #로제파스타 #갈릭쉬림프피자 #애프터눈티세트 #애프터눈티 #글린공원 #동탄맛집 #동탄파스타 #카페스타그램 #먹스타그램","['#화성카페', '#동탄카페', '#글린정원', '#하우스스테이크', '#꽃게로제파스타', '#로제파스타', '#갈릭쉬림프피자', '#애프터눈티세트', '#애프터눈티', '#글린공원', '#동탄맛집', '#동탄파스타', '#카페스타그램', '#먹스타그램']",2021-10-17,0,
5,#쪙스_바프 ➪ D-94 ✨.#210411 #쪙스_저녁 #쪙스_외식.#닭가슴살샐러드 #아이스아메리카노( #글린공원 )..오늘 저녁은 외식❕김포에 사는 이모가 꽃구경 가자해서 갔는데 제가 너무 늦게 가는 바람에 꽃구경 없이 바로 카페로 향했어요😅저 샐러드가 15000원... 비싸긴 하지만 2인분은 되는 것 같아요~!오늘 고구마 1개에 프로틴 1컵 밖에 안 먹어서 진짜 코끼리처럼 우걱우걱 혼자 다 먹었습니다..ㅎㅎ지금 밀가루 최대한 안 먹는 중이라 샐러드에 빵은 빼고 먹었어요😁.카페는 생각보다 작았지만 괜춘하고 샐러드도 맛있었습니다♥️...,"['#쪙스_바프', '#210411', '#쪙스_저녁', '#쪙스_외식.', '#닭가슴살샐러드', '#아이스아메리카노(', '#글린공원']",2021-04-11,0,글린공원
6,김포는 너무 멀어,[],2021-10-04,0,글린공원
7,", 대형 수목원 컨셉 카페#글린공원#김포카페숲속에 온 듯한 느낌을 받을 수 있는 이곳은해먹, 그네, 정자, 평상 등 다양한 좌석이공간 곳곳에 배치되어 있어 여유와 편안함을 가져다줍니다.힐링이 필요하신 분들에게 추천드립니다 :)📌  경기 김포시 양촌읍 석모로5번길 34📌  예스키즈존-, a large arboretum vibe cafe#gleenpark #gimpocafe You can feel like as if you're in a forest. A variety of seats, including hammocks, swings, pavilions, and casualties, are arranged throughout the space, bringing relaxation and comfort.I recommend it to people who need healing :)","['#글린공원', '#김포카페숲속에', '#gleenpark', '#gimpocafe']",2021-07-25,0,글린공원
8,><,[],2021-10-05,0,글린공원
9,Travel to Hometown! Beautiful cafe with beautiful coffee😍#gleenpark #korea #seoul #gimpo #orangecoffee #lavendercoffee #torontocafe #prettycoffee #글린공원 #존예커피,"['#gleenpark', '#korea', '#seoul', '#gimpo', '#orangecoffee', '#lavendercoffee', '#torontocafe', '#prettycoffee', '#글린공원', '#존예커피']",2021-10-21,0,글린공원
