,content,hashtag,date,like,place
0,"#뚝도농원성수동에서 요즘 가장 핫하기로 유명하다는여행 온듯한 착각을 주는 뚝도농원에 다녀왔습니다서울에서 현존하는 가장 잘 되는 식당 뜨락, 몽탄, 금돼지식당사장님들이 오픈 한 식당이라 더 많은 기대감을 갖게 하네요이렇게 통으로 나오는 방식의 오리구이는 또 처음이라비주얼부터 압도적인데 불판까지 특이해서모든 손님들이 영상으로 담으시느라 바빠 보였습니다잘 익은 오리로스구이는 함께 준비해 주신바질패스토, 무화과소스 등을 함께 곁들여 드시면보다 더 맛있는 로스구이를 즐길 수 있었습니다많은 분들이 오리탕을 드셨지만 양이 너무 많아간단하게 주문한 훈제오리 냉국수는 마무리 입가심으로 좋네요그리고 마지막으로 주문한 감자와 옥수수는 손으로 들고 뜯게 되는 매력이 또 있어서 재미있었습니다🤦🏻‍♂️서울 도심 속에서 여행 온듯한 착각을 주는뚝도농원도 꼭 한번 오시면 좋겠네요🙏+주소: 서울 성동구 아차산로 82+전화번호: 02-499-3330+영업시간: 평일 16시-22시 주말 14시-22시 월요일휴무+메뉴:오리로스구이 한마리 75.000원 훈제오리 냉국수 10.000원#성수동맛집#아가리성수","['#뚝도농원성수동에서', '#성수동맛집', '#아가리성수']",2021-08-17,0,
1,"서울산다면 다~아는 계정 @seoul_thehotple.표지사진 업체명: 골목집연예인들도 자주 간다는 진짜 맛집 순위를 알려드릴게요!이촌시장 안에 위치해 2차로 딱인 삼겹더덕삼합 맛집, #이촌골목집BTS도 방문하는 미슐랭에 선정 삼겹살 맛집, #금돼지식당 등-진짜 맛집이 궁금하다면 얼른 확인해봐요!.※가급적 외출을 삼가하며, 업체 임시휴무 날짜를 꼭 확인해주세요.#더핫플_top5#서울연예인맛집#서울맛집추천#서울맛집투어#서울맛집#서울가볼만한곳#서울여행태그금돼지식당 @haniunni서촌계단집 @aassdd12jinjin 한남동 한방통닭 @cherry.meal 삼성원조양곱창 @yyoonding 골목집 @_yong.t","['#이촌골목집BTS도', '#금돼지식당', '#더핫플_top5', '#서울연예인맛집', '#서울맛집추천', '#서울맛집투어', '#서울맛집', '#서울가볼만한곳', '#서울여행태그금돼지식당']",2021-05-31,0,"Seoul, South Korea - 서울"
2,"#금돼지식당돼지고기 하나 정도는 먹고 가도 괜찮잖아?거 돼지고기 먹기 딱 좋은 날씨네~신세계 정용진 부회장도 인정한 고깃집이다.역시 대기업 부회장의 인정을 받아서 그런지이름부터가 금이다.위치도 신세계 부회장이 인정한 만큼 중구에 위치해있다.(거! 중구형 장난이 너무 심한 거 아니요)금돼지식당은 프리미엄 돼지고깃집답게0.3% 국내산 프리미엄 돼지만 사용한다고 한다.(요크셔 + 버크셔 + 듀록 = 프리미엄 돼지)게다가 소금도 특별하게 영국 이스트해안가의 말돈 지방에서 생산되는120년 전통의 왕실 소금을 사용한다고 한다.메뉴는 이곳의 자랑인 눈꽃목살과 본삼겹을 주문했다.본삼겹은 뼈 있는 부분을 먹기 위해선 2인분 이상 주문해야 한다고 한다.고기를 주문하면 대파와 은박지에 쌓아져있는 버섯과 마늘이 나온다.은박지 안에는 돼지비계와 버섯이 같이 구워지는데,돼지고기의 기름 덕분에 더욱 기름지고 고소한 느낌의 버섯을 맛볼 수 있었다.눈꽃목살과 본삼겹살은 모두 직접 구워주시는데,옆에서 직원분들이 메뉴에 관련된 설명을 잘 해주신다.전체적인 그릴링 서비스는 괜찮았다고 생각한다.고기는 당연하게도 너무나 맛있었다.육즙이 살아 있었고, 육향도 잘 느껴지는 게 맛있는 고기임이 분명했다.다만, 본삼겹 같은 경우는 개인적으로 2인분을 시켜가면서 뼈가 붙은 부위를 먹을 정도의 매력은 아니라고 생각이 들었다.오히려 눈꽃목살이 육즙도 많고 더욱 부드러워서 눈꽃목살을 더 주문하고 싶었다.그렇지만 처음 방문하는 것이라면 나름 색다른 경험을 할 수 있으니 한 번쯤은 주문해도 좋다.같이 구워준 대파도 달달하니 맛있었다.김치찌개도 나쁘진 않았다.(김치찌개는 역시 연남제비가 원탑이다.)요즘은 웨이팅이 미칠 지경이라고 하는데,근처에 살거나 방문할 일이 있다면 추천하고 싶다.그러나 요즘 워낙 잘하는 프리미엄 고깃집들도 많아서멀리서 찾아가 오랜 시간 대기를 해야 한다면 나는 고민해 볼 것 같다.그렇지만 금돼지식당이라는 이름답게 고기의 맛과 서비스는 괜찮으니한 번쯤은 방문해 보길 추천한다.[메뉴정보]🎈먹거리본삼겹 170g 17,000눈꽃목살 170g 16,000등목살 170g 17,000껍데기 120g 12,000🎈더할거리통돼지 김치찌개 8,000공기밥 1,000🎈마실거리메이커스 하이볼 10,000산토리 하이볼 8,000짐 빔 하이볼 8,000제임슨 진저 하이볼 8,000위스키 샷 추가 3,000레몬 추가 1,000🟠서울_중구 금돼지식당🟠서울 중구 신당동 370-69🟠매일 11:30~22:00 / L.O 21:20🟠Tel 0507-1307-8750🟠불펌 및 크롤링 금지 ⓒ굥플레이스#굥플_중구","['#금돼지식당돼지고기', '#굥플_중구']",2021-10-13,0,금돼지식당
3,"약수역 #금돼지식당 3년 연속 미슐랭가이드에 소개된 넘넘 유명한 삼겹살맛집✔️사실 멀리않은 거리인데도 늦은시간까지 웨이팅하시는분들을 보고 엄두도 못내던 곳이였는데 한번쯤은 가보고싶어서 방문했는데 오후4시에 도착했음에도 불구하고 1시간30분 웨이팅 끝에 자리에 앉을수 있었네요..ㅎㅎ(저는 주변 카페에서 기다렸고 자리 준비되면 전화주시더라구요)메뉴는 단 네가지이고 사이드는 김치찌개뿐이더라구요.네가지 다 맛보고 싶었는데 한정메뉴인 등목살은 진즉에 품절..그래서 본삼겹, 눈꽃목살, 껍데기, 김치찌개 주문했고 일단 고기은 직원분들이 정성스럽게 구워주시고 친철하게 설명도 해주신답니다.삼겹살은 일단 기대한 만큼 너무 맛있었고 약수역 근처에 산다면 자주 방문할것 같습니다. (새송이버섯 추가 필수입니다. 처음에 한개 나오는데찜처럼 안에 돼지기름넣고 푹 익혀주시는데이거 진짜 최고예요)목살은 임팩트가 약간 부족했고 대망의 껍데기 요거 요물이예요. 쫀뜩하니 잡내도 안나고 껍데기는 사실 구우면서 튈까봐 걱정하면서 먹는데 알아서 다 구워주시고 살펴주셔서 감동 두배김치찌개는 2시간 푹 고아서 바로 서빙해주시는데 공기밥시켜서 말아먹으니고기는 녹는다는 표현이 맞는거 같고 김치도 시큼하니 너무 맛있게 먹었습니다.일단 단 한개뿐인 삼겹살 미슐랭가이드 맛집이고 워낙 유명한곳이라서 방문해주셔도 실망은 절대 없으실거 같습니다.🐷영업시간: 12시~23시🐷주소: 서울 중구 다산로 149🐷본삼겹 17,000원 눈꽃목살 16,000원 껍데기 12,000원 김치찌개 8,000원#맛집 #맛스타그램 #맛집추천 #맛집스타그램 #맛집탐방 #미슐랭가이드서울 #미슐랭맛집 #약수역맛집 #삼겹살맛집 #신당동맛집 #먹스타그램 #서울맛집 #목살맛집 #껍데기맛집 #요니얌약수 #요니얌서울","['#금돼지식당', '#맛집', '#맛스타그램', '#맛집추천', '#맛집스타그램', '#맛집탐방', '#미슐랭가이드서울', '#미슐랭맛집', '#약수역맛집', '#삼겹살맛집', '#신당동맛집', '#먹스타그램', '#서울맛집', '#목살맛집', '#껍데기맛집', '#요니얌약수', '#요니얌서울']",2021-09-03,0,금돼지식당
4,검은 머리 꿀꿀이는 은혜를 갚습니다#신당동 #금돼지식당,"['#신당동', '#금돼지식당']",2021-09-12,0,금돼지식당
5,🐽세상 가장 아름다운 여성 세분이랑 세상 가장 맛있는 본삼겹집🔥-#인간금돼지#bestkoreanbbq &#bestmanager#금돼지식당,"['#인간금돼지', '#bestkoreanbbq', '#bestmanager', '#금돼지식당']",2021-10-15,0,금돼지식당
6,#금돼지식당X홍신애김치 이제 금돼지 식당에 가시면 홍신애김치를 맛 보실 수 있어요! 금돼지식당 특유의 고소한 돼지고기와 찰떡 궁합인 새콤 담백한 #홍신애김치 ! #홍신애깍두기 ! 맛있는 금돼지식당을 더 맛있게 즐기세요!#금돼지식당 #홍신애김치 #홍신애깍두기 #여름극복콜라보프로젝트 #감사합니다! 구매는 프로필링크 https://link.inpock.co.kr/hong21,"['#금돼지식당X홍신애김치', '#홍신애김치', '#홍신애깍두기', '#금돼지식당', '#홍신애김치', '#홍신애깍두기', '#여름극복콜라보프로젝트', '#감사합니다!']",2021-07-30,0,금돼지식당
7,"#금돼지식당 #미쉐린가이드서울2021 #미쉐린가이드빕구르망 #미슐랭맛집 #약수역삼겹살 #약수역맛집 #약수맛집 #약수금돼지식당 #돼지고기맛집 #신당동맛집.BTS, 엑소, 정용진 신세계그룹 부회장, 개그맨 김영철, 홍윤화, 지석진, 김수용, 골프선수 박세리 등 내노라하는 셀럽이 다 다녀가서 이곳이 유명해진 건지 아니면 이곳이 유명해서 그들이 오는 건지 알이 먼저인지 닭이 먼저인지는 잘 모르겠지만 바로 그곳 ‘금돼지식당’을 뿌시고 왔습니다😊😊삼겹살 맛집으로는 최초로 미쉐린가이드의 가성비 좋은 식당을 선정하는 ‘빕구르망’에 2019년~2021년 3년 연속 꼽힐 정도로 맛과 가성비를 갖추고 있고 국내 방송 프로그램에도 ‘생방송오늘저녁’, ‘생생정보’ 등 수 많은 프로그램에서 홍보하였고 현재는 다양한 기업들과 콜라보를 하는 명실상부한 국내 최고의 삼겹살집이 아닌가 합니다🙆🏻🙆🏻그렇기에 신당동 길가에 자리한, 흰색 타일에 황금색 간판이 눈에 띄는 ‘금돼지식당’은 식사 시간이 아닌데도 문밖으로 길게 줄 서 있는 풍경이 낯설지 않은 거쥬💕💕일단 이곳의 돼지고기는 0.3% 국내산 프리미엄 돼지(YBD)만 사용해서 지방의 풍미와 육즙이 풍부하고 식감은 쫄깃하면서 느끼함은 적은게 특징입니당🐷🐷* 프리미엄 돼지(YBD) : 부드러운 육질의 요크셔(Y)와 쫀득한 식감의 버크셔(B) 그리고 마블이 촘촘한 듀록(D)의 장점만을 모아 개량시켜 만든 우리나라 고유 한돈 품종 (Y=요크셔, B=버크셔, D=듀록)테이블 마다 모든 고기와 야채를 전담직원이 직접 구워주는데 대표메뉴인 ‘본삼겹’은 두툼한 삼겹살을 잘라 구워 먹는 동안 갈빗대에 붙은 살을 먹기 좋게 발라주는데 겉바속초라고 말은 많이 했지만 여기야 말로 찐입니다👍🏻👍🏻 (2인분이상 주문해야 뼈째로 제공합니당)특이하게 숯이 아닌 연탄을 사용하는데 이 연탄이 특허받은 ‘청결연탄’ 으로 몸에 해로운 황화수소를 빼 안전하며, 연탄 특유의 불맛이 기가 막히는 거죠 😭😭소금도 역시 말돈 소금~~ 영국 이스트해안가의 말돈 지방에서 생산되는 120년 전통의 왕실소금🙏🏻🙏🏻‘등목살’, ‘껍데기’, ‘통돼지김치찌개’, ‘산토리 하이볼’ 쓸말은 많지만 직접 가서 드셔 보시고 간단하게 하이볼 이야기나 더 할게요👏🏻👏🏻여기 식당에서 국내 2대만 있는 일본의 산토리에서 가져온 ‘산토리 하이볼 머신’이 있는데 그야말로 최적의 비율로 하이볼과 짐빔을 만들어 준다고 합니당 🍺🍸🍹🥃여기서 힌트~ 여성분들은 산토리 하이볼을 드실 때 토닉워터로 바꿔 드시면 달달달한 인생을 느끼실 수 있을 거에욥🧡💖♡ 메인요리 –본삼겹, 등목살, 껍데기, 통돼지 김치찌개, 산토리 하이볼.","['#금돼지식당', '#미쉐린가이드서울2021', '#미쉐린가이드빕구르망', '#미슐랭맛집', '#약수역삼겹살', '#약수역맛집', '#약수맛집', '#약수금돼지식당', '#돼지고기맛집', '#신당동맛집.BTS']",2021-07-21,0,금돼지식당
8,"드디어 가봤다 🐷#금돼지식당 정용진맛집, 미쉐린식당이라고 해서 엄청 기대하고 갔는데고기보다 산토리하이볼 맛집이더라 금돼지식당가시면 하이볼이랑 김치찌개 꼭 시키세요#하이볼맛집 #금돼지식당 #미슐랭맛집 #정용진맛집 #bts맛집 #약수동 #김치찌개맛집 #약수동맛집 #신당동맛집 #🐷","['#금돼지식당', '#하이볼맛집', '#금돼지식당', '#미슐랭맛집', '#정용진맛집', '#bts맛집', '#약수동', '#김치찌개맛집', '#약수동맛집', '#신당동맛집', '#🐷']",2021-09-04,0,금돼지식당
9,여기 이제야 온 나...반성해 🤦🏻‍♀️🤦🏻‍♀️한시간 웨이팅이 안아까운맛#금돼지식당 #약수맛집#조연탄고도식제끼고1등,"['#금돼지식당', '#약수맛집', '#조연탄고도식제끼고1등']",2021-10-21,0,금돼지식당
