,content,hashtag,date,like,place
0,.내가 원래 들깨를 싫어해서 😅ㅡ내 느낌 맛 평가: ⭐⭐⭐☆☆내 느낌 가격: ⭐⭐⭐⭐☆내 느낌 직원친절: ⭐⭐⭐⭐☆다시 먹으러 갈 의향은 ⭕ㅡ주소: 서울 강남구 압구정로2길 15 신사아이빌ㅡ#서울 #일상 #일상스타그램 #데일리 #데일리그램 #먹방 #먹방스타그램 #맛있다 #맛있다그램 #맛집 #맛집그램 #먹스타 #먹스타그램 #여행 #리뷰하는여자 #개취#강남 #신사동 #김북순큰남비집 #한식 #밥 #먹자#선팔 #맞팔 #팔로우 #인친 #소통 #좋반 #좋아요,"['#서울', '#일상', '#일상스타그램', '#데일리', '#데일리그램', '#먹방', '#먹방스타그램', '#맛있다', '#맛있다그램', '#맛집', '#맛집그램', '#먹스타', '#먹스타그램', '#여행', '#리뷰하는여자', '#개취', '#강남', '#신사동', '#김북순큰남비집', '#한식', '#밥', '#먹자', '#선팔', '#맞팔', '#팔로우', '#인친', '#소통', '#좋반', '#좋아요']",2021-06-02,0,김북순 큰남비집
1,#김북순큰남비집#목살김치찌개 #김치찌개#해물순두부찌개 #순두부찌개 #신사맛집 #압구정맛집 #맛있는녀석들 #맛스타그램 #먹스타그램 #음식스타그램,"['#김북순큰남비집', '#목살김치찌개', '#김치찌개', '#해물순두부찌개', '#순두부찌개', '#신사맛집', '#압구정맛집', '#맛있는녀석들', '#맛스타그램', '#먹스타그램', '#음식스타그램']",2021-06-11,0,김북순 큰남비집
2,#맛있는녀석들역시 #믿먹 🙊 #김북순큰남비집 #김북순큰남비집신사본점무슨 #김치찌개 #초란뚝배기탕 #계란말이가 일케 맛있엉😍 특히 요 요 #초란탕 대박이네요 대왕 #차왕무시 느낌으로 안에 해물이랑 날치알이 쏙쏙‼️ 진짜 넘 맛있어요😍심지어 오뎅볶음 콩나물무침 샐러드(사라다 퓔ㅋㅋ) 명엽채볶음 반찬 하나하나 다 내 서타일💙💗 #초딩입맛 취향저격💘#맛있는점심 먹구 우리 이번주도 화이팅해요😎#지나_먹방 #지나_맛집 #먹스타 #맛스타 #먹방 #맛있는녀석들맛집 #신사맛집 #압구정맛집 #강남맛집 #가로수길맛집 #김치찌개맛집 #계란말이맛집 #반찬맛집 #다맛있는집,"['#맛있는녀석들역시', '#믿먹', '#김북순큰남비집', '#김북순큰남비집신사본점무슨', '#김치찌개', '#초란뚝배기탕', '#계란말이가', '#초란탕', '#차왕무시', '#초딩입맛', '#맛있는점심', '#지나_먹방', '#지나_맛집', '#먹스타', '#맛스타', '#먹방', '#맛있는녀석들맛집', '#신사맛집', '#압구정맛집', '#강남맛집', '#가로수길맛집', '#김치찌개맛집', '#계란말이맛집', '#반찬맛집', '#다맛있는집']",2021-10-18,0,김북순 큰남비집
3,"新沙洞林蔭大道上的餐廳，總給人高貴又吃不飽的感覺，但藏身巷弄間，深受韓國人喜愛👍同時也是紅遍大半天的美食「金北順大鍋家」，一鍋只要8,000韓元，可說物超所值呢。要說有多熱門呢🤔用餐時段座無虛席，而且店內超多演藝人員的造訪簽名🧚‍♂️就可見一斑囉。-📍地址：서울 강남구 압구정로2길 15📍時間：平日10:30至22:30（15:30至17:00午休）；週六10:30至21:30；週日公休。-詳細資訊請在creatrip搜尋🔍金北順，會有詳細食記。-#creatrip帶你吃-#韓國美食 #首爾美食 #金北順大鍋家 #泡菜鍋 #新沙 #新沙洞 #美食 #泡菜 #林蔭大道 #新沙洞林蔭道 #新沙洞林蔭大道 #金北順 #김북순큰남비집 #맛집 #신사동 #가로수길 #가로수길맛집 #신사동맛집 #신사맛집","['#creatrip帶你吃-', '#韓國美食', '#首爾美食', '#金北順大鍋家', '#泡菜鍋', '#新沙', '#新沙洞', '#美食', '#泡菜', '#林蔭大道', '#新沙洞林蔭道', '#新沙洞林蔭大道', '#金北順', '#김북순큰남비집', '#맛집', '#신사동', '#가로수길', '#가로수길맛집', '#신사동맛집', '#신사맛집']",2019-08-07,0,金北順大鍋家
4,-#가로수길 #텐동 집 오픈 축 🎉 맛이가 좋구나 👏🏻 -온천계란 은 필수!  료하나 우오하나 이어 하나텐 까지 🙉 -#하나텐 #하나텐동 #가로수길맛집 훌륭하다 👍🏽,"['#가로수길', '#텐동', '#하나텐', '#하나텐동', '#가로수길맛집']",2020-01-09,0,"가로수길 Sinsa, Seoul"
5,"압구정 김북순큰남비집에서 목살듬뿍김치찌게, 초란뚝배기탕 먹구왓어요😋~ 목살듬뿍김치찌게는 깜빡잊고 먹다가 찍엇네요ㅜㅜ 돼지고기도 듬뿍들어잇어서 항상 밥이 모자라는집👍 둘이서 찌게하나시키고 초란뚝배기탕이랑 먹음 딱맞아요 김치찌게는 짭쪼름한데 부드러운 초란탕이랑 같이 먹음👍👍그리고 넘친절한 단골집입니당...#김북순큰남비집 #김치찌게 #압구정맛집 #일상 #소통 #먹스타 #먹스타그램🍴 #먹방스타그램 #맛스타 #맛스타그램 #맛집스타그램 #인친 #좋아요 #직장인 #직장인스타그램 #맛있다 #셀피 #좋반 #환영 #셀스타그램 #food #foodstagram #jmt #존맛 #데일리 #선팔 #맞팔","['#김북순큰남비집', '#김치찌게', '#압구정맛집', '#일상', '#소통', '#먹스타', '#먹스타그램🍴', '#먹방스타그램', '#맛스타', '#맛스타그램', '#맛집스타그램', '#인친', '#좋아요', '#직장인', '#직장인스타그램', '#맛있다', '#셀피', '#좋반', '#환영', '#셀스타그램', '#food', '#foodstagram', '#jmt', '#존맛', '#데일리', '#선팔', '#맞팔']",2019-09-05,0,신사동 김북순 큰남비집
6,ㅋㅋㅋㅋㅋㅋ 나 강남까지 가서 김치찌개 먹고옴 근데 그럴이유 있어..맛있어...#김북순큰남비집김진수 고기랑 김치만 있으면 만사오케이야....어제 소맥에 져서 장기까지 토했구.. 토 한번할때마다 양치하는데 아침에 그 치약맛때매 또 올라올뻔했구.. 청주와서 커피랑 저거 먹음 ㅎㅎ데이트 아님^^ 왜냐면 뽀뽀는 했는데 껴안진 않았어......,['#김북순큰남비집김진수'],2021-04-07,0,
7,#맛집 #먹방 #신사 #가로수길 #신사맛집 #강남 #청담 #selfie #셀스타그램 #인스타데일리 #foodporn #food #foodie #foodstagram #foodphotography #일상 #일상스타그램 #instadaily #instafood #맞팔 #맞팔해요 #맞팔선팔환영 #맞팔100 #압구정 #불목 #김북순큰남비집,"['#맛집', '#먹방', '#신사', '#가로수길', '#신사맛집', '#강남', '#청담', '#selfie', '#셀스타그램', '#인스타데일리', '#foodporn', '#food', '#foodie', '#foodstagram', '#foodphotography', '#일상', '#일상스타그램', '#instadaily', '#instafood', '#맞팔', '#맞팔해요', '#맞팔선팔환영', '#맞팔100', '#압구정', '#불목', '#김북순큰남비집']",2020-09-17,0,김북순 큰남비집
8,오늘의 점심 김북순 김치찌개 점심시간 맞춰서 갔더니 역시나 손님들이 바글바글목살김치찌개와 계란말이...말해뭐해..말이 필요없는 조합 밥 두공기 순삭하는 맛ㅜㅜ 참고로 참치김치찌개도 존맛입니덩🥺#서울 #서울맛집 #신사동 #신사동맛집 #김북순큰남비집 #김치찌개 #김치찌개맛집 #계란말이 #먹스타그램,"['#서울', '#서울맛집', '#신사동', '#신사동맛집', '#김북순큰남비집', '#김치찌개', '#김치찌개맛집', '#계란말이', '#먹스타그램']",2021-10-15,0,
9,#김북순큰남비집 가로수길에서 김치찌개하면 여기..지갑이 가벼웠던 스무살때 김치찌개 계란찜 시켜서 소주를 비우던곳!! 그렇다고 엄청난 맛을 자랑하는건 아니지만 생각나는곳 18년을 지켜왔다는 자체가 모든걸 말해주는거 같음(자리는 이동함)미우도 이렇게 오랫동안 열심히할수 있도록 노력해야겠다..👍맛있게 잘먹었습니다🙇‍♂️🙇‍♂️#강남 #신사동 #가로수길 #김치찌개 #계란말이,"['#김북순큰남비집', '#강남', '#신사동', '#가로수길', '#김치찌개', '#계란말이']",2021-10-11,0,김북순 큰남비집
