,content,hashtag,date,like,place
0,꺄아아아!!!퐈이어🔥🔥🔥화려한 치즈 불 쇼오랜만에 호강😋_#다연닭갈비#광주맛집#광주투어#광주닭갈비#광산구#생활의달인#닭갈비맛집#고다치즈#운남동맛집#맛있다#퐈이어🔥#koreafood#소통환영,"['#다연닭갈비', '#광주맛집', '#광주투어', '#광주닭갈비', '#광산구', '#생활의달인', '#닭갈비맛집', '#고다치즈', '#운남동맛집', '#맛있다', '#퐈이어🔥', '#koreafood', '#소통환영']",2021-01-24,0,"Gwangju, South Korea"
1,#불금🔥 #닭갈비맛집 #운남동맛집#다연닭갈비#광주닭갈비오메 더운그 닭갈비 볶다 사망할뻔했네밥먹고 영화보러 가야지 #선팔하면맞팔환영#전남맛집#광주맛집#광주술집#맛집탐방#맛집투어#맛집추천#일상#일상기록#일상소통#상무지구맛집#수완지구맛집#금호지구맛집#용봉지구맛집#풍암지구맛집#맛집지구방위대,"['#불금🔥', '#닭갈비맛집', '#운남동맛집', '#다연닭갈비', '#광주닭갈비오메', '#선팔하면맞팔환영', '#전남맛집', '#광주맛집', '#광주술집', '#맛집탐방', '#맛집투어', '#맛집추천', '#일상', '#일상기록', '#일상소통', '#상무지구맛집', '#수완지구맛집', '#금호지구맛집', '#용봉지구맛집', '#풍암지구맛집', '#맛집지구방위대']",2019-08-16,0,
2,#첫줄운남동에 위치한 #다연닭갈비2인분 시켰는데 양도 엄청많고 맛있었습니다😁#닭갈비는주기적으로,"['#첫줄운남동에', '#다연닭갈비2인분', '#닭갈비는주기적으로']",2021-03-08,0,"Gwangju, South Korea"
3,#다연닭갈비 #광주맛집 #먹스타그램,"['#다연닭갈비', '#광주맛집', '#먹스타그램']",2021-07-23,0,다연닭갈비
4,역시 닭갈비엔 치즈~#다연닭갈비.....#광주닭갈비#수완지구닭갈비#광주맛집#단짠단짠광주맛집#수완지구맛집#광주명소#전라도광주맛집#광주#광주맛집다연닭갈비최고#광주존맛#광산구맛집#광주의자랑#광주운남동맛집#운남동맛집,"['#다연닭갈비.....', '#광주닭갈비', '#수완지구닭갈비', '#광주맛집', '#단짠단짠광주맛집', '#수완지구맛집', '#광주명소', '#전라도광주맛집', '#광주', '#광주맛집다연닭갈비최고', '#광주존맛', '#광산구맛집', '#광주의자랑', '#광주운남동맛집', '#운남동맛집']",2018-11-21,0,
5,#광주 #운남동 #다연닭갈비 #냠냠 #닭갈비 #맛있다 #막국수 #먹스타그램 #조아요 찾아보니까 경으니네 집앞이라 같이 가려했는데 연수갔다고해서 맛있게먹고옴ㅋ_ㅋ 요기는 음료수도 서비스로줌👍🏻,"['#광주', '#운남동', '#다연닭갈비', '#냠냠', '#닭갈비', '#맛있다', '#막국수', '#먹스타그램', '#조아요']",2018-08-06,0,
6,"<다연닭갈비>광주 떠나기 전 남친이랑 가족들이랑 닭갈비 먹으러 왔어요! 맛집이라는데 생각보다 가까이 있더라구요..!저희는 4인분에 치즈추가했어요! 고구마, 떡, 깻잎 등등 들어가고 떡이 엄청 많아서 떡볶이 같기두? ㅎㅎ 맛은 기본맛인데 신라면 정도의 맵기였어요. 딱 클래식한 닭갈비맛! 깔끔하고 담백하니 맛있었어요😆😆 가족들이랑 주말에 외식하기 좋은것 같아요!! <다연닭갈비>뼈없는 닭갈비 1인분 ₩12,000치즈추가 ₩4,000",[],2021-09-12,0,
7,-드림챌린지 2차 회식룰루랄라 신난다...#코다리집문닫아#다연닭갈비#맥주한짝클리어,"['#코다리집문닫아', '#다연닭갈비', '#맥주한짝클리어']",2018-07-24,0,"Gwangju, South Korea"
8,#먹스타맞팔 #닭갈비맛집 #다연닭갈비 왔습니다.이른시간에도 대기줄 쫙~#치즈추가 무조건!토치로 #불쇼🔥 #닭갈비 #고구마 #떡사리 #푸짐 🙊.철판이 엄청커요~#너무맛있다 😁#배부르게냠냠 #또가야지.#광주맛집추천 #광주맛집 #운남동맛집#치즈닭갈비 #광주닭갈비 #광산구맛집 #불맛 #헬요일시작 #점심메뉴추천 #비온다 #먹스타그램 #맛난거먹고 #즐건하루 되세용~🙋‍♀️.,"['#먹스타맞팔', '#닭갈비맛집', '#다연닭갈비', '#치즈추가', '#불쇼🔥', '#닭갈비', '#고구마', '#떡사리', '#푸짐', '#너무맛있다', '#배부르게냠냠', '#또가야지.', '#광주맛집추천', '#광주맛집', '#운남동맛집', '#치즈닭갈비', '#광주닭갈비', '#광산구맛집', '#불맛', '#헬요일시작', '#점심메뉴추천', '#비온다', '#먹스타그램', '#맛난거먹고', '#즐건하루']",2020-06-29,0,
9,#광주맛집 #광주닭갈비 #다연닭갈비 #광주투어 #광주닭갈비맛집 #광주닭갈비맛집추천,"['#광주맛집', '#광주닭갈비', '#다연닭갈비', '#광주투어', '#광주닭갈비맛집', '#광주닭갈비맛집추천']",2021-10-17,0,
10,"사장님께서 스타일러에 직접 옷을 넣어주셨고테이블마다 머리끈, 베베숲물티슈, 마스크담는롤팩이 세팅되어 있었으며벽면에는 밑반찬에 대한 설명을 액자로 만들어서 아예 인테리어로 해놓으셨음.임산부에게는 안녕히가세요 대신 화이팅입니다. 순산하세요라고 하셨음.음식도 맛있었음.시간이 지나도 여러가지가 기억에 남는 재밌는가게.#다연닭갈비 #운남동맛집 #사장님번창하세요 #맛집블로거아님 #그냥아내출산이임박해서외식많이하는거임","['#다연닭갈비', '#운남동맛집', '#사장님번창하세요', '#맛집블로거아님', '#그냥아내출산이임박해서외식많이하는거임']",2021-10-14,0,
11,닭갈비는 불쇼죠.#다연닭갈비 #광주맛집 #광주닭갈비 #광주투어#이거하면음료수서비스준댔는데깜빡했지만친구가사서갠춘,"['#다연닭갈비', '#광주맛집', '#광주닭갈비', '#광주투어', '#이거하면음료수서비스준댔는데깜빡했지만친구가사서갠춘']",2021-10-12,0,
12,#다연닭갈비.일어나자마자 싯고닭갈비를먹겠다는 열정에 내머리는산발ㅋ그래도 기엽고만 🤣🤣🤣큭큭,['#다연닭갈비.일어나자마자'],2021-10-10,0,다연닭갈비
13,#첫줄데이트 먹 그램#데이트그램 #맛집 #먹스타그램#닭갈비 #다연닭갈비,"['#첫줄데이트', '#데이트그램', '#맛집', '#먹스타그램', '#닭갈비', '#다연닭갈비']",2021-10-10,0,
14,백신2차맞고 닭갈비먹으러 광산구까지 출동 ㅎㅎ잘하면 춘천까지 가겠어 ~~~오늘 아무일 없겠지???🐓🐓🌶🥵생달에 나왔다 하니 믿어보겠어 ~~#다연닭갈비#광주맛집#광주닭갈비#광주투어#광주맛집#머리끈도준비해주는센스,"['#다연닭갈비', '#광주맛집', '#광주닭갈비', '#광주투어', '#광주맛집', '#머리끈도준비해주는센스']",2021-10-08,0,다연닭갈비
15,2021. 10. 05. (화) #밥스타그램점심#다연닭갈비 #닭갈비 #고다치즈 #볶음밥저녁#쿠캣마켓 #감자탕볶음밥 #달걀프라이한줄평999일 기념 생활의 달인 닭갈비 영접❤,"['#밥스타그램점심', '#다연닭갈비', '#닭갈비', '#고다치즈', '#볶음밥저녁', '#쿠캣마켓', '#감자탕볶음밥', '#달걀프라이한줄평999일']",2021-10-05,0,
16,다연닭갈비 네이버 예약하면 2+1 좋으다#광주맛집 #광주닭갈비 #다연닭갈비 #광주투어 #운남동 #좋아요 #화요일 #맛집,"['#광주맛집', '#광주닭갈비', '#다연닭갈비', '#광주투어', '#운남동', '#좋아요', '#화요일', '#맛집']",2021-10-05,0,
17,주제 : 센스넘치는 #닭갈비재료 : #광주맛집 #운남동맛집 #다연닭갈비 #닭갈비 #내사랑❤️#신혼 #신혼스타그램 #초보주부 #초보주부요리 #초보요리스타그램#아침 #점심 #저녁 #집밥 #집밥메뉴 #집밥메뉴추천 #가정식 #홈쿠킹#맛스타그램 #먹스타그램 #요리스타그램 #요알못의요리도전기 #도전#요알못의도전은계속,"['#닭갈비재료', '#광주맛집', '#운남동맛집', '#다연닭갈비', '#닭갈비', '#내사랑❤️', '#신혼', '#신혼스타그램', '#초보주부', '#초보주부요리', '#초보요리스타그램', '#아침', '#점심', '#저녁', '#집밥', '#집밥메뉴', '#집밥메뉴추천', '#가정식', '#홈쿠킹', '#맛스타그램', '#먹스타그램', '#요리스타그램', '#요알못의요리도전기', '#도전', '#요알못의도전은계속']",2021-10-03,0,
18,주제 : 센스넘치는 #닭갈비재료 : #광주맛집 #운남동맛집 #다연닭갈비 #닭갈비 #내사랑❤️#신혼 #신혼스타그램 #초보주부 #초보주부요리 #초보요리스타그램#아침 #점심 #저녁 #집밥 #집밥메뉴 #집밥메뉴추천 #가정식 #홈쿠킹#맛스타그램 #먹스타그램 #요리스타그램 #요알못의요리도전기 #도전#요알못의도전은계속,"['#닭갈비재료', '#광주맛집', '#운남동맛집', '#다연닭갈비', '#닭갈비', '#내사랑❤️', '#신혼', '#신혼스타그램', '#초보주부', '#초보주부요리', '#초보요리스타그램', '#아침', '#점심', '#저녁', '#집밥', '#집밥메뉴', '#집밥메뉴추천', '#가정식', '#홈쿠킹', '#맛스타그램', '#먹스타그램', '#요리스타그램', '#요알못의요리도전기', '#도전', '#요알못의도전은계속']",2021-10-03,0,
19,#다연닭갈비,['#다연닭갈비'],2021-10-03,0,
20,"#맛있다, 낮술🍺#쟝리#다연닭갈비#1차소맥#2차생맥#즐거운시간#수다시간","['#맛있다', '#쟝리', '#다연닭갈비', '#1차소맥', '#2차생맥', '#즐거운시간', '#수다시간']",2021-09-30,0,쟝리
21,밥먹다 🔥 불쑈보기 ㅎㅎ멋있다웅#광주맛집#광주닭갈비#다연닭갈비#불쑈😘,"['#광주맛집', '#광주닭갈비', '#다연닭갈비', '#불쑈😘']",2021-09-29,0,
