,content,hashtag,date,like,place
0,"오늘은 용산구 후암동으로 갑니다이영자도 극찬한 국수 맛집 도동집을 소개 합니다이 곳은 점심시간이면 항상 웨이팅이 있습니다_매뉴는 국수와 불고기, 전, 두부 등 단품 요리가 있고도동탕면과 도동비면, 아세다시도후를 주문합니다_반찬은 무짠지, 김치, 어묵볶음이 나옵니다_도동탕면은 불고기, 목이버섯, 파, 쑥갓이 들어 있고국물은 다시마 등 해물로 만든 육수입니다면은 쫄면과 비슷합니다_도동비면은 고추장 앙념이 아닌 간장, 참기름 소스에불고기, 목이버섯, 계란지단이 들어 있습니다간장 베이스의 특이한 비빔면입니다_아세다시도후는직접만든 간장소스에 두부튀김이 들어있는데목이버섯과 갈은 무가 올려져 있어 같이 먹습니다_도동집은 방송에서도 몇차례 소개된 적이 있을 정도로 유명세를 타고 있습니다식사나 간단히 술한잔하기도 좋을 것 같습니다이상 도동집 리뷰 끝[추신] 오늘 오후에는 후암동 디저트 까페가 이어집니다#맛집추천해주는남자 #맛집여행 #맛집투어그램 #핵존맛 #오늘뭐먹지#점심메뉴추천 #용산맛집 #후암동맛집 #도동탕면#아세다시도후 #도동집","['#맛집추천해주는남자', '#맛집여행', '#맛집투어그램', '#핵존맛', '#오늘뭐먹지', '#점심메뉴추천', '#용산맛집', '#후암동맛집', '#도동탕면', '#아세다시도후', '#도동집']",2021-08-26,0,도동집
1,"이영자 맛집으로 유명한 도동집 드디어 방문👋 웨이팅이 길다고 소문이 자자해서 브레이크타임 끝나고 바로 방문해서 웨이팅없이 들어갔다._불고기로 시작해서 베스트메뉴 도동비면까지 하나부터 열까지 맛없는게 없었다. 특히 불고기파전은 꼭꼭 먹어야한다👏_술안주로 딱인데 워낙 사람이 많아서 2시간 한정인점이 너무 아쉽지만 그래도 꼭 갔으면하는 추천맛집!_📍도동집 후암점운영시간 : 11시 - 21시 40분주소 : 서울 용산구 후암로 80 1층추천메뉴 : 도동비면 8,000원 / 도동불고기 15,000원 / 불고기파전 16,000원 / 아게다시도후 9,000원_#후암동 #후암동맛집 #서울역 #서울역맛집 #용산맛집 #도동집 #도동집후암점 #이영자맛집 #내취향 #IMVIEWP","['#후암동', '#후암동맛집', '#서울역', '#서울역맛집', '#용산맛집', '#도동집', '#도동집후암점', '#이영자맛집', '#내취향', '#IMVIEWP']",2021-03-16,0,도동집
2,"애기때 유모차타고 가던 도동집을 아빠랑 손잡고 간 복슝이이젠 어였한 1인분을 뚝딱 해치우는 아이가 되었네, 연신 맛있다고 사장님께 엄지 척척하니사장님이 예뻐 하실수 밖에 ㅎㅎ잘먹고 잘 웃어주고 어디가서 맛있는거 먹으면맛있다고 꼭 얘기하라고 했더니 열정적으로 실천!복슝이 함께 외식할 맛이 나는구만!다먹고 나니 “다음에 또가요!” 🍑 ‘좋아!’#로지구이삼의하루 #42개월복슝이 #모모복슝이#후암동 #도동집 #리액션부자","['#로지구이삼의하루', '#42개월복슝이', '#모모복슝이', '#후암동', '#도동집', '#리액션부자']",2021-10-16,0,도동집
3,믿고 먹는 이영자의 추천 맛집 리스트!!@@같이 먹으러 맛집 가자!!#이영자 #이영자맛집 #존맛 #산골농원 #돈육지존 #한방통닭#남도분식 #도동집 #몽탄 #슬로우치즈 #구삼부대찌개,"['#이영자', '#이영자맛집', '#존맛', '#산골농원', '#돈육지존', '#한방통닭', '#남도분식', '#도동집', '#몽탄', '#슬로우치즈', '#구삼부대찌개']",2021-09-22,0,
4,막걸리가 있으면 좋았을텐데🤤#도동집 #후암동 #후암동맛집,"['#도동집', '#후암동', '#후암동맛집']",2018-02-09,0,도동집
5,#후암동 #불고기파전 #도동집 후암동에서 알만한 사람은 다 안다는 그집. 도동집🧡지금은 이영자 맛집으로 많이 알고 계시지만사실 전참시 방송 나오기 전부터 웨이팅맛집이었다.점심시간엔 한시간도 웨이팅한다는 이 근방에선꽤나 유명한 집👍🏻방송을 타고 웨이팅이 더 심해졌다고 해서가보기로 결정한 후 괜히 쫄았었는데 다행히 시간대를 잘 맞춰 웨이팅 없이 입장!🤗도동집에 오면 무조건 시켜야 하는 불고기파전여기에 맥주가 빠질 수 없었다.불고기파전은 고기간이 잘 배어 따로 간장이 없어도맛있게 먹을 수 있었고도동면은 살짝 얼큰해 입맛을 돋구고고명들의 식감이 정말 좋았다.혼밥하기에도 좋고 혼술하기에도너무 좋겠지만 웨이팅하면서혼술하긴 너무 시간이아까우니😭우리집앞이었음 좋으련만🤦🏻‍♀️#옴뇸이로드 #옴뇸이후암동#옴뇸뇸😋 #맛집스타그램 #맛집추천 #후암동맛집 #먹스타그램 #먹스타 #먹팔,"['#후암동', '#불고기파전', '#도동집', '#옴뇸이로드', '#옴뇸이후암동', '#옴뇸뇸😋', '#맛집스타그램', '#맛집추천', '#후암동맛집', '#먹스타그램', '#먹스타', '#먹팔']",2021-02-22,0,도동집
6,비올땐 탕면 그리고 파전#비올때갈만한곳 #도동집,"['#비올때갈만한곳', '#도동집']",2021-03-20,0,후암동
7,먹방 좀 한다는 사람들이 워런 버핏보다 더 만나고 싶어하는 먹교수 이영자의 서울맛집 모음#이영자맛집 #전참시맛집 #밥블레스유 #먹교수 #이영자 #한남동한방통닭 #몽탄 #도동집 #남도분식 #슬로우치즈 #구삼부대찌개 #굴다리식당 #한입소반 #송쉐프 #라이프 #데일리 #daily #life,"['#이영자맛집', '#전참시맛집', '#밥블레스유', '#먹교수', '#이영자', '#한남동한방통닭', '#몽탄', '#도동집', '#남도분식', '#슬로우치즈', '#구삼부대찌개', '#굴다리식당', '#한입소반', '#송쉐프', '#라이프', '#데일리', '#daily', '#life']",2021-07-28,0,
8,뀰토마토 🍅,[],2017-03-02,0,도동집
9,.⭐⭐⭐⭐⭐#도동집 #모듬초회 #가지볶음 #알볶음 #신길동 #보라매역 #맛집,"['#도동집', '#모듬초회', '#가지볶음', '#알볶음', '#신길동', '#보라매역', '#맛집']",2021-10-21,,
