,content,hashtag,date,like,place
0,여전히 작업중... 낼모래 오픈하겠다는데 언제 다 하나... ..#작업중 #돝고기 #역삼역 #돝506 #숙성돼지 #할일이구만리 #브랜드컨설팅 #공간기획 #spacebranding #works #branding #consulting #dot506 #grill #pork #busybusy #filamentandcompany,"['#작업중', '#돝고기', '#역삼역', '#돝506', '#숙성돼지', '#할일이구만리', '#브랜드컨설팅', '#공간기획', '#spacebranding', '#works', '#branding', '#consulting', '#dot506', '#grill', '#pork', '#busybusy', '#filamentandcompany']",2017-10-29,0,돝고기506
1,"20210417 역삼동 돝고기506돼지고기 숙성육 전문점 돝고기506돝고기506은 미슐랭에 등록된 소고기 전문점 우가에서런칭한 돼지고기 숙성육 전문점입니다메인메뉴는 506, 806시간씩 숙성한 삼겹살입니다506시간 숙성 삼겹살은 풍부한 돼지고기 육즙을 느낄 수 있고806시간은 크림치즈향이 나는 유니크한 육향이 아주 매력적이네요고기에 대한 철학이 확고하신 사장님 덕분에믿고 먹을 수 있는 곳이기도 해요정말 누구보다 열정적이십니다 @sebyung_heo 고기도 맛있고 공간도 넓어 각종 모임하기도 좋네요적극 추천드립니다#강남구재영 #강남구맛집#역삼동재영 #역삼동맛집#돼지고기재영 #돼지고기맛집#삼겹살재영 #삼겹살맛집#돝고기506재영 #돝고기506#역삼맛집 #돝고기#wine #酒 #日本酒 #맛스타그램 #먹스타그램 #술스타그램 #instafood #foodie #food #foodstagram #와인 #ワイン","['#강남구재영', '#강남구맛집', '#역삼동재영', '#역삼동맛집', '#돼지고기재영', '#돼지고기맛집', '#삼겹살재영', '#삼겹살맛집', '#돝고기506재영', '#돝고기506', '#역삼맛집', '#돝고기', '#wine', '#酒', '#日本酒', '#맛스타그램', '#먹스타그램', '#술스타그램', '#instafood', '#foodie', '#food', '#foodstagram', '#와인', '#ワイン']",2021-04-29,0,돝고기506
2,#스모어쿠키 #만들기 #클래스 에 간 사람들 ㅎㅎ 완전 재밌었고 심지어 쿠키가 맛있음 ㅎㅎ 다음주에 동료 어쏘님들께 나눠줘야지 ㅎㅎ #상상력이란게 폭발한다 #베이킹 #소피아쿠킹ㅋㅋㅋ그리구 오빠가 좋아하는 #돝고기 에 감 ㅋㅋㅋ #크림볶음밥 JMT,"['#스모어쿠키', '#만들기', '#클래스', '#상상력이란게', '#베이킹', '#소피아쿠킹ㅋㅋㅋ그리구', '#돝고기', '#크림볶음밥']",2021-10-03,0,"Seoul, Korea"
3,[역삼 맛집] 돝고기506이영자맛집으로 너무 유명한 역삼역 돝고기 다녀왓어요~주문하면 이렇게 초벌해서 나오구요직원분이 불판 온도 체크해가면서 맛있게 구워줘요비쥬얼 보이시나요??😆삼겹살 목살 둘다 너무 맛있어요~마무리는 볶음밥이죠??근데 요기는 특이하게 크림볶음밥이에요~전혀 안느끼하고 맛있더라고요 ㅎㅎ요즘 숙성삼겹살 맛집이 너무 많은데그중에서도 제 입엔 제일 맛있는거같아요~ (내돈내먹입니다^^)#역삼맛집 #강남맛집 #돝고기 #돝고기506 #삼겹살맛집 #목살맛집 #이영자맛집 #먹스타그램 #맛스타그램 #먹팔 #맞팔 #내돈내먹,"['#역삼맛집', '#강남맛집', '#돝고기', '#돝고기506', '#삼겹살맛집', '#목살맛집', '#이영자맛집', '#먹스타그램', '#맛스타그램', '#먹팔', '#맞팔', '#내돈내먹']",2020-11-18,0,
4,연휴끝. 연휴내 달렸는데 갈길이 머네 ... ..#project #branding #brandconsulting #food #meat #grilling #새로운공간 #인테리어 #갈길이머네 #고기먹고싶다🍖 #돝고기 #506 #filamentandcompany,"['#project', '#branding', '#brandconsulting', '#food', '#meat', '#grilling', '#새로운공간', '#인테리어', '#갈길이머네', '#고기먹고싶다🍖', '#돝고기', '#506', '#filamentandcompany']",2017-10-11,0,
5,"근처에 있는 회사친구쓰랑 역삼역 존맛이라는 숙성고기 맛집 ㄹㅇ 존맛탱 🥳 숙성고기 전문점인데 크림리조또랑 김치찌개는 더 맛있다 식사메뉴먹으려고 고기는 사이드로 먹는느낌이라긔 웨이팅쩌니까 칼퇴는 필수,,ㅎ#돝고기506 #돝고기 #강남맛집 #역삼맛집 #역삼동맛집 #역삼역맛집 #역삼고기집 #역삼동고기집 #역삼역고기집 #고기맛집 #숙성고기 #숙성고기전문점 #크림리조또 #김치찌개 #진로이즈백","['#돝고기506', '#돝고기', '#강남맛집', '#역삼맛집', '#역삼동맛집', '#역삼역맛집', '#역삼고기집', '#역삼동고기집', '#역삼역고기집', '#고기맛집', '#숙성고기', '#숙성고기전문점', '#크림리조또', '#김치찌개', '#진로이즈백']",2021-02-19,0,돝고기506
6,2018.12.19안젤리카 첫 삼겹살나혼자산다비와 이시언이 삼겹살 먹었던 곳ㅎㅎ그때 하나하나가 모두 여행같았지😄😄,[],2021-10-18,0,돝고기506
7,"약 2주 전 한국왔을때 처음 맛 본 #미톨로지 #우가 #돝고기 의 새제품들 . #캠핑 , #여행 #혼밥 족들에게 특화 된 제품들로 언제든 가볍게 요리해 먹을 수 있는 제품들이다.  그리고 이번에 한국에 오자마자 집에 배송되어 있는 이 제품들을 부모님과 함께  감사해하며 저녁으로 맛있게 먹었다..#감사합니다 @sebyung_heo 형 .#thankx..P.s 요리, 음식점 리뷰, 포스팅은 15년째 협찬 X ,  모두 제 돈 내고 먹고 씁니다. 이번 제품은 pop up 스토어에서만 판매 된 제품으로 제가 먼저 맛보고 난 뒤 부모님께도 맛보여 드리고 싶어서 아마 제 인생 처음으로 친구인 형에게 부탁해서 받은 제품입니다. #마늘로드 @wooga_official @dot506_official #한우 #한우맛집 #발효숙성 #등심 #숙성불고기","['#미톨로지', '#우가', '#돝고기', '#캠핑', '#여행', '#혼밥', '#감사합니다', '#thankx..P.s', '#마늘로드', '#한우', '#한우맛집', '#발효숙성', '#등심', '#숙성불고기']",2020-02-27,0,우가
8,"🥩🥩☃️⛄🌨🌨 급폭설, 내 인스타에서 #분량확보 욕심내시는 중ㅎ~‼️🥴( 들림?  영상  빨리 찍으라고 하명ㅎ~~)..조만간  인스타 시작 한다는 대장.밥 먹이고, 눈까지 치워주시는..💯황공하옵니다 🙊🙊🙊..일마치고 8시부터 식사 시작해서식사시간  딱 한시간 걸렸는데.그 동안 차에 고드름 ❄❄ 생김.이거 실화임 ‼️ 😱😱..#btx 가 자주 간다고 해서 떠 버린 돝고기506🐷🐖#숙성돼지 먹을때가 좋았지,그 후 나는 역삼동에서 반포까지 오는데.2시간 걸림 😱😱😱그나마 겨울마다 폭설인  미국 동북부 에서 운전 하던 실력으로 겨우 빠져나옴 (까분다)...🚩 참  놀라운건 ‼️‼️‼️우성아파트  교차로가  무법천지가 되어 모든 방향으로 한 차도 지나가지 못 하는데. 완전 헬 ~~😱😱.제설작업 전무 ‼️대부분 차들이  약간의 경사에서도  밀리고, 헛바퀴돌고 엉금엉금 기어다니는  눈지옥👻👻👻이 따로 없었는데..경찰도,  제설차도  그림자도 보이지않음.🚔🚔🚔2시간 동안  흔적조차 볼 수 없었던 교통경찰분들은  대체 어디서 뭘하고 계셨을까요? 😤😤😤..🚩 경찰의 통제가 간절했으나 뒷통수도 안보임. 광화문광장에 인간 만리장성 쌓던 인력들.이럴 때, 조금만 도와주면 안되나? 경찰은 어디에?👮‍♂️👮‍♀️👮👮‍♂️👮‍♀️👮..아니  진짜. 진짜 궁금해서 ... 한번도 경험하지 못한 나라강설량 120mm 로  헬로 만드는 나라......피드올리면서 한 피드에 이렇게나  많은 동영상 올리기는 처음.6개나 돼  ㅋㅋㅋ~~~ 🙀🙀🙀.....#눈 #폭설 #서울눈 #교통마비 #도로마비 #경찰은뭐하나 #경찰은어디에 #2.5단계 #돝고기 #발렛비3000원 #집까지오는데두시간 #방돈인친 #클로이팅 #고드름 #돝고기506 #이베리코 #숙성돼지#한번도경험하지못한나라 #눈지옥 #528i ........","['#분량확보', '#btx', '#숙성돼지', '#눈', '#폭설', '#서울눈', '#교통마비', '#도로마비', '#경찰은뭐하나', '#경찰은어디에', '#2.5단계', '#돝고기', '#발렛비3000원', '#집까지오는데두시간', '#방돈인친', '#클로이팅', '#고드름', '#돝고기506', '#이베리코', '#숙성돼지', '#한번도경험하지못한나라', '#눈지옥', '#528i']",2021-01-06,0,돝고기506
9,#돝고기 #방탄맛집 #멋진형이랑 #삼겹살폭발,"['#돝고기', '#방탄맛집', '#멋진형이랑', '#삼겹살폭발']",2021-10-20,0,
