,content,hashtag,date,like,place
0,"#💁🏻‍♀️🥄🥄🥄🥄🥄#디라이프스타일키친 #광화문맛집 #파스타맛집👉🏻맛수저톡톡드라마 '부부의 세계'에 나온 분위기와 맛을모두 잡은 레스토랑 디라이프스타일키친을 소개합니당👍🏻제가 첫 사진을 뭘로 할지 참 고민하게 될만큼내부 조명, 디자인 다 너무 고급지고 예뻤어요🤍가족이나 연인분들 또는 친구분들끼리특별한 날 분위기내러 가기에 왕추천!!😊저희는 둘이서 가서 떠먹는피자, 알리오올리오파스튜 이렇게 두개를 시켰어욤!!사진은 메뉴는 세개시킨거 같죠~?😉바로바로 파스튜 라는 메뉴 덕분이에용!!홍합가득한 저것이 바로 파스튜! 홍합을 까서 술찜먹듯이 먹다가 1/3정도 남으면 파스타로 샥샥 만들어주십니다!!🔥👍🏻한번에 여러맛을 볼수있는 메뉴 쵝오떠먹는 피자는 밀가루가 하나도 안들어 갔다고 해서 오잉?!했는데치즈가 5가지나 들어가서 치즈맛이 정말 풍부했어욤🧀전체적으로 음식이 저탄고지!건강한 방식으로 요리된다고 하네용🤍👉🏻 맛수저 점수: 🥄🥄🥄🥄🥄✨서울 중구 세종대로 136 서울파이낸스센터 지하 1층 101호✨평일 11:15-22:00  주말 11:30-22:00✨ 0507-1494-0100#종로구맛집 #시청역맛집 #시청맛집 #분위기맛집 #광화문맛집추천 #데이트코스 #데이트맛집 #맛집추천 #맛수저 #맛스타그램 #맛수저광화문 #맛수저시청 #맛수저종로구 #맛수저파스타 #팔로우 #선팔하면맞팔 #선맞팔 #맞팔 #먹스타맞팔 #먹팔 #먹팔맞팔 #소통해요 #좋아요 #좋아요반사 #좋반 #맛집","['#💁🏻\u200d♀️🥄🥄🥄🥄🥄', '#디라이프스타일키친', '#광화문맛집', '#파스타맛집👉🏻맛수저톡톡드라마', '#종로구맛집', '#시청역맛집', '#시청맛집', '#분위기맛집', '#광화문맛집추천', '#데이트코스', '#데이트맛집', '#맛집추천', '#맛수저', '#맛스타그램', '#맛수저광화문', '#맛수저시청', '#맛수저종로구', '#맛수저파스타', '#팔로우', '#선팔하면맞팔', '#선맞팔', '#맞팔', '#먹스타맞팔', '#먹팔', '#먹팔맞팔', '#소통해요', '#좋아요', '#좋아요반사', '#좋반', '#맛집']",2021-07-06,0,디라이프 스타일
1,분위기에 한번 맛에 두번 압도되는 #디라이프스타일키친 광화문 Sfc건물 지하로 들어가면 가장 눈에띄는 디랖!! 첫번째 사진을 음식 사진으로 해야하나 내부인테리어로 해야하나 고민했어요. 지하이지만 숲속에 들어온듯한 따듯한 초록초록들이 힐링됩니다💚 그리고 이런 인테리어를 자랑하는데 저탄고지의 건강식+맛도정말맛있음..+직원분들도 엄청 친절하심..여기는 19년에 영업시작하고도 꽤여러번 가서 사진 이거저거 모았어요. 오늘 먹었던 해물빠에야랑 떠먹는 피자 모두 조합 좋았고 특히 여긴 저번에 먹은 관자뇨끼 굳굳입니다 ㅎㅎ 잠실점도 오픈했다니 가봐야게써욤✨,['#디라이프스타일키친'],2021-08-17,0,D.Lifestyle
2,고데기 잘대또💗💗💗기분조움🥰,[],2020-07-16,0,
3,"[서울/중구] 디라이프스타일키친 광화문점-화려한 조명 인테리어로 유명한 지중해식 레스토랑💡#쀼의세계 마지막화 촬영지이기도 해요!(사진 넘겨보시면 드라마 장면 나와용)모든 메뉴에 설탕을 사용하지 않고, 천연 감미료와 국내산 꿀로 대신한다고 해요👍 메뉴판 보니까 곤약미와 현미만 사용하는 저탄고지 식단도 있더라구요..?🤭.사진 속 메뉴는👇#감자퓨레등심스테이크 44900원#해산물토마토파스타 18000원#아보카도보트 25900원#까베르네쇼비뇽 8500원#산펠레그리노 7000원-#무니박스_종로 #디라이프스타일키친","['#쀼의세계', '#감자퓨레등심스테이크', '#해산물토마토파스타', '#아보카도보트', '#까베르네쇼비뇽', '#산펠레그리노', '#무니박스_종로', '#디라이프스타일키친']",2020-06-11,0,디라이프스타일키친 광화문점
4,아~ 💛💚 여기 어딘지 아시겠나요~ 부부의세계 마지막회에 나왔던 레스토랑이요~ 너무 와보고싶던 곳인데 친구가 센스있게 데려와줬어요 🌿🌿 마침 친구 일하는 곳 근처여서~ 인테리어 환상 💛💚 음식도 너무 맛있었는데 제가 사진을 잘 못찍었네요~ 홍합스튜를 다먹고나면 파스타를 올려줘요. 담엔 또 와서 명란비빔밥을 먹겠다며~ 생각보다 사람없어서 좋았네요. 💚💚 연휴끝나고 살뺄거라했는데~ 다시 내일부터요 ㅎㅎㅎㅎ .#디라이프스타일키친 #부부의세계 #취향저격 #취저 #분위기 #인테리어 #레스토랑 #데이트 #광화문 #점심 #센스있는 #친구 #너정말좋다 ㅋㅋ,"['#디라이프스타일키친', '#부부의세계', '#취향저격', '#취저', '#분위기', '#인테리어', '#레스토랑', '#데이트', '#광화문', '#점심', '#센스있는', '#친구', '#너정말좋다']",2020-10-05,0,디라이프스타일키친 광화문점
5,D.LIFESTYLE KITCHEN 🍽🥂블링블링 이쁜 인테리어에 맛 좋은 음식들~드라마 부부의 세계에 나온 이후로 더욱 인기가 많아진 이곳~저녁 타임은 거진 매일 풀북..::::::::::::::::::::::#디라이프스타일키친 #sfc #광화문 #광화문맛집 #서울파이낸스센터 #sfcmall #생활의달인맛집 #instadaily #daily #데일리 #데일리그램 #주말 #불토 #불일 #오후 #일상 #인스타일상 #일상스타그램 #서울 #중구 #커플 #데이트 #데이트코스 #광화문역 #양식 #파스타 #와인 #맛집 #먹방 #먹는게남는거 🐽,"['#디라이프스타일키친', '#sfc', '#광화문', '#광화문맛집', '#서울파이낸스센터', '#sfcmall', '#생활의달인맛집', '#instadaily', '#daily', '#데일리', '#데일리그램', '#주말', '#불토', '#불일', '#오후', '#일상', '#인스타일상', '#일상스타그램', '#서울', '#중구', '#커플', '#데이트', '#데이트코스', '#광화문역', '#양식', '#파스타', '#와인', '#맛집', '#먹방', '#먹는게남는거']",2020-08-23,0,디라이프스타일키친 광화문점
6,#오늘아니고정신없이 행복했던8월 중 하루 박제,['#오늘아니고정신없이'],2021-09-02,0,
7,분위기 최고✨#디라이프스타일키친,['#디라이프스타일키친'],2021-05-18,0,D.Lifestyle
8,어랜만에 신상맛집헌터 너낌으로😁화려함에 현혹돼서 들어왔다가맛있어서 반하고 가기🌟저탄고지가 아니라… 고탄고지인것같지만 추석이니깐!🥰즐추 보내세요🙏🏻#잠실맛집 #롯데월드맛집 #디라이프스타일키친 #디라이프스타일키친잠실,"['#잠실맛집', '#롯데월드맛집', '#디라이프스타일키친', '#디라이프스타일키친잠실']",2021-09-18,0,롯데월드몰
9,마지막땅아땡일빠티💛행벅❤️#요트투어 #에릭요한슨사진전 #디라이프스타일키친 #애플워치,"['#요트투어', '#에릭요한슨사진전', '#디라이프스타일키친', '#애플워치']",2021-10-21,0,
10,#디라이프스타일키친,['#디라이프스타일키친'],2021-10-21,0,
11,아윤이 첫생일날♡엄빠가 맛있는거 먹음 ㅋㅋ내년부터는 미역국 끓여줄께♡#돌끝맘 #돌아기 #첫생일 #롯데월드몰 #디라이프스타일키친,"['#돌끝맘', '#돌아기', '#첫생일', '#롯데월드몰', '#디라이프스타일키친']",2021-10-21,0,
12,조카태어나기전 즐거운외식🥰😋#동탄롯데백화점 #디라이프스타일키친,"['#동탄롯데백화점', '#디라이프스타일키친']",2021-10-21,0,
13,#디라이프스타일키친#dlifestylekitchen #저탄고지#LCHF#뷰맛집#샹글리에맛집#잠실맛집이런 식단이면 다이어트 가능한데...어떻게 안되겠니?마시따#무설탕 맞나?#생일기념#남편이랑은족발#친구랑은레스토랑,"['#디라이프스타일키친', '#dlifestylekitchen', '#저탄고지', '#LCHF', '#뷰맛집', '#샹글리에맛집', '#잠실맛집이런', '#무설탕', '#생일기념', '#남편이랑은족발', '#친구랑은레스토랑']",2021-10-21,0,
14,#동탄롯데백화점맛집 #동탄롯데백화점 #동탄맛집 #디라이프스타일키친동탄 #디라이프스타일키친 #관자감자퓨레👍 #포르치니라구파스타 #해산물빠에야,"['#동탄롯데백화점맛집', '#동탄롯데백화점', '#동탄맛집', '#디라이프스타일키친동탄', '#디라이프스타일키친', '#관자감자퓨레👍', '#포르치니라구파스타', '#해산물빠에야']",2021-10-21,0,
15,"💉백신룩💉2차는 살짝 어지럽긴한데1차보다 안아프다 다행,",[],2021-10-21,0,롯데백화점 동탄점
16,"⠀15년지기친구가 사준 꽃은 더 부끄럽네( ⁼̴̤̆◡̶͂⁼̴̤̆ )⠀철없이 매일 놀던 초딩들이 벌써 이렇게 커서,,내가 시집 간다니 울거 같다는 친구ㅎㅎㅎ축가부르다 울지마라 제발..⠀⠀⠀#대구#경산#사동#사동초 ㅋㅋㅋ⠀⠀⠀#디라이프스타일키친#또갈만한곳 #관자감자퓨레 강추#통오징어리조또 비추","['#대구', '#경산', '#사동', '#사동초', '#디라이프스타일키친', '#또갈만한곳', '#관자감자퓨레', '#통오징어리조또']",2021-10-21,0,롯데월드타워·롯데월드몰
17,"동탄에 롯데백화점이 크게 생겼다고 해서 가보기 시작한게, 어느새 단골이 되어가고 있다😂 집에서도 멀지않고, 쇼핑하면서 누릴 수 있는 공간도 넓어서 좋고, 맛집 많은 것도 좋고ㅎㅎ 동탄이 교통도 점점 좋아지고 있고, 여러모로 더 크게 커갈 것 같다는 느낌이 많이 든다. 지해님과 점심도 잘 해결하고, 넓은 백화점 걸으면서 같이 사이좋게 산책도 하고 만족스런 백화점 데이트ㅎㅎ☺️ #동탄 #동탄롯데백화점 #동탄맛집 #디라이프스타일키친 #damiani #다미아니 #dlifestyle #dlifestylekitchen #롯데백화점 #mvg #date #dating #데이트 #백화점","['#동탄', '#동탄롯데백화점', '#동탄맛집', '#디라이프스타일키친', '#damiani', '#다미아니', '#dlifestyle', '#dlifestylekitchen', '#롯데백화점', '#mvg', '#date', '#dating', '#데이트', '#백화점']",2021-10-21,0,롯데백화점 동탄점
18,퇴근길에 꽃다발 사온 신랑💗#2주년축하 #꽃다발 #롯데백화점동탄점 #디라이프스타일키친 #배터지게먹음🐷 #저녁운동은언제🤷‍♀️ #건강하자우리💪,"['#2주년축하', '#꽃다발', '#롯데백화점동탄점', '#디라이프스타일키친', '#배터지게먹음🐷', '#저녁운동은언제🤷\u200d♀️', '#건강하자우리💪']",2021-10-21,0,롯데백화점 동탄점
19,디라이프스타일키친 JMT #롯데월드몰맛집 #잠실맛집 #디라이프스타일키친잠실 #디라이프스타일키친,"['#롯데월드몰맛집', '#잠실맛집', '#디라이프스타일키친잠실', '#디라이프스타일키친']",2021-10-21,0,
20,#롯데월드맛집#잠실맛집#디라이프스타일키친잠실#디라이프스타일키친,"['#롯데월드맛집', '#잠실맛집', '#디라이프스타일키친잠실', '#디라이프스타일키친']",2021-10-21,0,
21,내부도 너무 이쁘고음식맛도 모두 최상👍👍👍#롯데월드몰맛집#잠실맛집#디라이프스타일키친잠실#디라이프스타일키친,"['#롯데월드몰맛집', '#잠실맛집', '#디라이프스타일키친잠실', '#디라이프스타일키친']",2021-10-21,0,디라이프스타일키친 잠실점
