,content,hashtag,date,like,place
0,📍홍대 <로쏘1924 나폴리피자>요즘 화덕피자가 너무너무 땡겨서 가게안에 큰 화덕이 있는 피자맛집에 다녀왔어요!🍕마르게리타 (￦9900)가장무난하고 맛있는 토마토소스피자! 치즈가 맛있어서 너무 좋아요❤❤🍕로사리오 (￦15900)리코타와 모짜렐라 그 위에 햄과 피스타치오가 올라와 있는데 짭짤하고 고소해요 강추!🥒수제피클 (￦1000)와여기 피클맛집이네! 오이 무 파프리카가 너무 맛있게 절여져있어요. 하나 더 시키고 싶었을 정도!음료수는 각 2000원이에요!피자맛집 한번 들려보세요😁.....#또비_홍대 #또비_맛집 #홍대맛집 #홍대피자 #홍대피자맛집 #pizza #로쏘1924 #먹스타 #먹스타그램 #맛스타그램 #먹부림 #먹방 #먹스타맞팔 #맛집 #맛집스타그램 #먹팔 #먹팔맞팔 #일상 #데일리 #daily #food #서울맛집추천 #데이트추천#맞팔 #선팔하면맞팔 #소통 #좋반 #좋아요반사,"['#또비_홍대', '#또비_맛집', '#홍대맛집', '#홍대피자', '#홍대피자맛집', '#pizza', '#로쏘1924', '#먹스타', '#먹스타그램', '#맛스타그램', '#먹부림', '#먹방', '#먹스타맞팔', '#맛집', '#맛집스타그램', '#먹팔', '#먹팔맞팔', '#일상', '#데일리', '#daily', '#food', '#서울맛집추천', '#데이트추천', '#맞팔', '#선팔하면맞팔', '#소통', '#좋반', '#좋아요반사']",2021-09-09,0,로쏘1924 홍대맛집 홍대피자
1,너무 맛있어.......🤭진짜 로쏘1924 다들 외않가?👍❤,[],2020-07-28,0,로쏘1924 홍대맛집 홍대피자
2,"홍대 근방(망원, 상수, 연희, 연남)에서 외국에서 피자배워왔다고 어줍잖게 분위기잡고 비싸게 피자파는님들 여기와서 다 혼나야지#홍대 #로쏘1924 #진짜싸고맛있다 #홍대생들부럽다","['#홍대', '#로쏘1924', '#진짜싸고맛있다', '#홍대생들부럽다']",2019-11-16,0,로쏘 1924
3,"만두킹과 홍대맛집 로쏘1924 가서 나폴리 피자 먹고 교보문고 데이트 다녀왔습니다 일요일은 애들 담당인데 같이 다니면 재미있네요요놈도 이제 만두킹은 찡얼 찡얼 거리네요 ㅎㅎ 큰놈은 이제 같이 안다닐라 하는데 이놈도 조만간 그럴듯 그전에 많이 데리고 다닐라고 합니다 ^^.......,....................#만두킹 #딸바보 #홍대맛집 #로쏘1924 #교보문고 #딸들과데이트 #사랑하는딸","['#만두킹', '#딸바보', '#홍대맛집', '#로쏘1924', '#교보문고', '#딸들과데이트', '#사랑하는딸']",2021-10-17,0,교보문고 합정점
4,로쏘1924•Don adolfo,[],2019-11-10,0,
5,"9,900원 피자는 한국에서 처음이지. 지난달인가 두달전에 홍대에서 가격 저렴하면서 정통 피자집이 생겼는데 드디어 가봤다. 가격 어떻게 이렇게 저렴할 수 있을까 의심하다가 일반 피자보다 크기 조금 작아서 조금 이해가 됐다. 우선 가게에서 먹고 싶다면 자리를 잡기전 주문해야된다. (난 이어폰 꽂고 들어가서 나한테 무슨 얘기를 햇는지 듣지도 못해서 하주 민망했다 하하). 근데 그것보다는 이탈리아사람에게 더욱 감동적인 점은 바로 테이크아웃 가능하다는 점. 테이크아웃하고 집에서 먹으면 얼마나 더 맛있게요!난 마르게리따 콘 부팔라 (11.9)와 코카콜라 시켰는데, 치즈 맛이 와우. 이탈리아사람이면 감동할 맛이다. 친구들 다른 피자들 시켰는데, 여기는 마르게리따 맛집이다 그냥. 개인적인 의견.그리고 후식으로 피자 돌체 시켯는데, 에스프레소와 누텔라 들어가 있더라고. 흠. 난 패스. 여기 그냥 마르게리따피자 맛집 ㅋㅋ #로쏘1924 #홍대피자집 #정통피자 #마르게리따콘부팔라 #피자맛집 #화덕피자 #스태피의맛집 #스태피의이탈리아식당","['#로쏘1924', '#홍대피자집', '#정통피자', '#마르게리따콘부팔라', '#피자맛집', '#화덕피자', '#스태피의맛집', '#스태피의이탈리아식당']",2019-12-15,0,로쏘 1924
6,1인 1피자 먹고 맛있는 커피 마시고 마지막은 소품집 #일상 #일상스타그램 #daily #먹스타그램 #로쏘1924 #피자 #1인1피자 #테일러커피 #오브젝트,"['#일상', '#일상스타그램', '#daily', '#먹스타그램', '#로쏘1924', '#피자', '#1인1피자', '#테일러커피', '#오브젝트']",2021-08-23,0,
7,🔸로쏘 1924🔸화덕피자이태리에서 직접 공수한 재료만으로300도가 넘는 화덕에서 명장들이 굽는이태리 정통피자겉바속촉은 기본 도우가 쫀득하니 완전 맛나고숙성을 잘 시켜서 다 먹어도 속이 편안건강하고 맛있는 피자1인 1피자 했슴다#로쏘1924#홍대맛집#홍대피자#홍대피자추천#홍대피자맛집#이태리정통피자,"['#로쏘1924', '#홍대맛집', '#홍대피자', '#홍대피자추천', '#홍대피자맛집', '#이태리정통피자']",2021-05-25,0,로쏘1924 홍대맛집 홍대피자
8,#로쏘1924 #돈아돌포#라이즈오토그래프컬렉션 호텔 바로 옆 화덕피자가 싼데도 맛있어서 살짝 놀람이태리를 수시로 가는 민 모 보좌관이 찐 이태리 맛이라 하셨음ㅋ갑자기 맥주에 이 피자 생각난다.,"['#로쏘1924', '#돈아돌포', '#라이즈오토그래프컬렉션']",2020-08-27,0,로쏘1924 홍대맛집 홍대피자
9,홍대맛집 로쏘1924 에서 돼지갈비 밀키트 주문하시고화덕에 구워드신다고 사진을 보내주셨네요 아~저도 먹고 싶습니다...맛있게 드세요 ㅜㅜ.................................#김영갑교수 #로쏘1924 #홍대맛집 #미소그릴 #수제돼지갈비 #돼지갈비밀키트 #돼지갈비택배 #돼지갈비포장 #돼지갈비구독서비스 #돼지갈비한돈다이닝 #인스타공구 #인스타공동구매 #인스타공구모집 #위탁판매 #밴드공구 #공동구매 #돼지갈비공동구매 #페쇄몰납품 #지역상점공구 #과일상점공동구매 #맘카페단체주문 #맘카페공구 #맘카페공동구매 #맘카페추천,"['#김영갑교수', '#로쏘1924', '#홍대맛집', '#미소그릴', '#수제돼지갈비', '#돼지갈비밀키트', '#돼지갈비택배', '#돼지갈비포장', '#돼지갈비구독서비스', '#돼지갈비한돈다이닝', '#인스타공구', '#인스타공동구매', '#인스타공구모집', '#위탁판매', '#밴드공구', '#공동구매', '#돼지갈비공동구매', '#페쇄몰납품', '#지역상점공구', '#과일상점공동구매', '#맘카페단체주문', '#맘카페공구', '#맘카페공동구매', '#맘카페추천']",2021-10-21,0,미소그릴
