,content,hashtag,date,like,place
0,짱맛낫던#휴게소간식#호떡#깨찰빵#츄러스 🍞🥖🍘🥮🍡🍩🍪#망향휴게소 이디야 딸기주스는 항상 존맛🍓👍🏻❤️,"['#휴게소간식', '#호떡', '#깨찰빵', '#츄러스', '#망향휴게소']",2019-02-07,0,
1,"♥♥♥ 일 마치고 서울 가고 싶어요 ㅠ., ㅜ ♥ 맛저하세요 #먹스타그램 #언팔나빠요 #휴게소 #망향휴게소 #닭개장 #닭 #개장 #망향 #휴게소스타그램 #먹팔환영 #먹팔해요 #금강산도식후경 #먹팔해요 #먹팔맞팔 #냠냠 #맛저하세요 #팔로우 #팔로우환영 ♥♥♥","['#먹스타그램', '#언팔나빠요', '#휴게소', '#망향휴게소', '#닭개장', '#닭', '#개장', '#망향', '#휴게소스타그램', '#먹팔환영', '#먹팔해요', '#금강산도식후경', '#먹팔해요', '#먹팔맞팔', '#냠냠', '#맛저하세요', '#팔로우', '#팔로우환영']",2021-05-21,0,
2,망향휴게소 방문이 어려운 분들을 위한 동영상🤗 아 그리고 화장실 뒷편의 Recharge zone에는 방문하시는 분들의 더욱 업그레이드 된 경험을 위해 제 개인 소장품이였던 고구려와 신라 시대의 토기 9점을 기증하여 디스플레이 하였습니다~ 많은 관심 부탁드리겠습니다 🤗🤗 #망향휴게소 #한국도로공사,"['#망향휴게소', '#한국도로공사']",2016-07-22,0,
3,고속도로 한가운데 미술관이 있다는 사실 알고 계셨나요?⠀바로 망향휴게소(부산 방향)에 있는 열린 미술관입니다.⠀탁 트인 야외에 그리움을 주제로 한 각종 조각 작품들이 자리하고 있는데요.⠀잠시 쉬며 미술 감상도 하시면 좋을 것 같습니다.⠀특히 지난해 전국의 고속도로 휴게소 중 사진 촬영하기에 가장 좋은 명소로 꼽혔답니다.⠀#망향휴게소 #열린미술관 #인증샷명소#제6기_전기사랑기자단_송화춘#한국전력 #한전 #KEPCO #켑코스타그램,"['#망향휴게소', '#열린미술관', '#인증샷명소', '#제6기_전기사랑기자단_송화춘', '#한국전력', '#한전', '#KEPCO', '#켑코스타그램']",2020-02-05,0,
4,"내가 꼽는 3대 #우동맛집 1. #길동우동 아버지 손에 끌려 처음 맛본 우동. 향수2. #망향휴게소 유부우동, 플라스틱 용기에 담긴 감성 #최애 3. #홍제동우동국수 포장마차 우동 맛이 생각날때 #최자로드","['#우동맛집', '#길동우동', '#망향휴게소', '#최애', '#홍제동우동국수', '#최자로드']",2021-08-19,0,
5,⠀역시 휴게소는 이맛👍🏻💕⠀라임이가 자줘서 엄빠는 간식좀 먹을게 🙂⠀#휴게소 #망향휴게소#맥반석쥐포 #통감자 #호두과자#경부고속도로 #드라이브코스,"['#휴게소', '#망향휴게소', '#맥반석쥐포', '#통감자', '#호두과자', '#경부고속도로', '#드라이브코스']",2020-07-21,0,
6,사진 많아서 나눠서 올림#주말휴무 #여유만끽 #소소한일상 #데일리 #하고싶은거하면서살자 #먹스타그램 #망향휴게소 #콜팝 #매직핫도그 #오징어핫바 #세종여행 #세종드라이브 #국립세종수목원 #가을하늘 #풍성한한가위 #추석잘보내세요 #사진찍어줘서고마워요 #과장님최고 #연휴시작 #럽스타그램 #일상 #일상소통 #소통 #맞팔선팔 #맞팔 #좋아요반사 #좋반 #좋아요,"['#주말휴무', '#여유만끽', '#소소한일상', '#데일리', '#하고싶은거하면서살자', '#먹스타그램', '#망향휴게소', '#콜팝', '#매직핫도그', '#오징어핫바', '#세종여행', '#세종드라이브', '#국립세종수목원', '#가을하늘', '#풍성한한가위', '#추석잘보내세요', '#사진찍어줘서고마워요', '#과장님최고', '#연휴시작', '#럽스타그램', '#일상', '#일상소통', '#소통', '#맞팔선팔', '#맞팔', '#좋아요반사', '#좋반', '#좋아요']",2021-09-19,0,망향휴게소
7,망향휴게소 flex. 군산 촬영가는길. 비가와서 차는 많이 없어요ㅡ 대신 시야가.... ㅋ 타이칸으로 첫 장거리. 회생액셀로  50키로 늘어남. 최장 주행거리  400정도  나오는듯. 히히히♡ 지금은 호텔에서 대본 연습중입니다. 내일 새벽 6시부터 스탠바이예요. 매니저도  같이 왔어요. 호텔.스위트룸  빌렸더니  넓고  좋아용. 히히 ♡♡ 낼은 비가 그치겠됴? ^^ 모두  좋은밤 되세용 ^^ #올리비아킴 #망향휴게소 #군산가는길 #휴게소플렉스 #소떡소떡 #먹방 #휴게소 #31절 #비오는날 #촬영가는길 #사랑해요 #좋은밤되세요,"['#올리비아킴', '#망향휴게소', '#군산가는길', '#휴게소플렉스', '#소떡소떡', '#먹방', '#휴게소', '#31절', '#비오는날', '#촬영가는길', '#사랑해요', '#좋은밤되세요']",2021-03-01,0,경부고속도로 망향휴게소
8,#뀨밀_울진 #망향휴게소.엔젤리너스 신메뉴 노맛.........#울진여행 #울진카페 #울진맛집 #울진바다 #울진오션뷰 #오션뷰카페 #오션뷰 #엔젤리너스 #아이스아메리카노 #아아 #아메리카노 #7번국도 #맛집 #일상 #맛스타그램 #daily #먹스타그램 #먹스타 #울산맛집 #데이트 #울산데이트 #먹스타맞팔 #먹팔 #food #아이폰11,"['#뀨밀_울진', '#망향휴게소.엔젤리너스', '#울진여행', '#울진카페', '#울진맛집', '#울진바다', '#울진오션뷰', '#오션뷰카페', '#오션뷰', '#엔젤리너스', '#아이스아메리카노', '#아아', '#아메리카노', '#7번국도', '#맛집', '#일상', '#맛스타그램', '#daily', '#먹스타그램', '#먹스타', '#울산맛집', '#데이트', '#울산데이트', '#먹스타맞팔', '#먹팔', '#food', '#아이폰11']",2020-05-06,0,
9,"대전 출장 내려가면서 들른 망향휴게소.우리의 황제차 배너도 잘 세워져 있고,제품들도 잘 있는거 확인하고 이동합니다.#망향휴게소 #커피니 #황제차 #휴게소입점 #휴게소행사 #휴게소팝업 #알피엠에프앤비 #외식창업도우미","['#망향휴게소', '#커피니', '#황제차', '#휴게소입점', '#휴게소행사', '#휴게소팝업', '#알피엠에프앤비', '#외식창업도우미']",2021-10-20,0,
