,content,hashtag,date,like,place
0,■목향원■□ 주소: 경기도 남양주시 덕릉로1071번길 34-12□ 메뉴/가격: 유기농석쇠불고기쌈밥정식 15□ 총점: 4.5점(가성비 갑 맛도 갑 인정)□ 특이사항: 웨이팅 1시간이상 소요#먹스타그램#맛스타그램#좋아요#셀피#존맛탱#맛집#맛집추천#좋아요반사#고기스타그램#불고기#쌈밥맛집#목향원#쌈밥#수요미식회#남양주맛집#남양주#수요미식회맛집#건강식#followme#like4like#selfie#instadaily#food#likeforlike#yummy#instafood#lfl#koreanfood#selfie#jmt#foodporn,"['#먹스타그램', '#맛스타그램', '#좋아요', '#셀피', '#존맛탱', '#맛집', '#맛집추천', '#좋아요반사', '#고기스타그램', '#불고기', '#쌈밥맛집', '#목향원', '#쌈밥', '#수요미식회', '#남양주맛집', '#남양주', '#수요미식회맛집', '#건강식', '#followme', '#like4like', '#selfie', '#instadaily', '#food', '#likeforlike', '#yummy', '#instafood', '#lfl', '#koreanfood', '#selfie', '#jmt', '#foodporn']",2019-08-15,0,남양주 목향원
1,🌷#마이영정보요기는 #별내맛집 #목향원 이예요이미 너무 유명하지만 꼬옥 드셔보셔용,"['#마이영정보요기는', '#별내맛집', '#목향원']",2020-02-15,0,남양주 목향원
2,"❣️#협찬 #럽잇 #loveat❣목향원❣️위치경기 남양주시 덕릉로1071번길 34-11❣️영업시간 매일 10:30 - 24:00 연중무휴(명절포함)👉🏻쌈밥정식 1인 (16.0)--------------------------------❤️‍🔥 오늘은 블로그 협찬으로 두 번이나 방문한 저희 동네, 남양주 한정식 맛집으로 유명한 '목향원'이에요! 수요미식회에도 나온 곳으로, 규모도 엄청 크고 분위기도 좋아서 부모님이랑 같이 방문했어요☺️😆넓은만큼 사람도 많고 일하시는 분들도 많은 곳!  1인 쌈밥정식 단일메뉴이고, 추가로 게장과 파전만 주문이 가능해요! 그래서 방문하면 바로 자리 안내받고 척척척 음식이 나온답니다 5분컷!🤭🤭 그래서인지 일하시는 분들이 친절하진 않으시고 굉장히 시크,,, ㅎㅎ😋 남양주 한정식 맛집답게 한상 가득 먹음직스러운 반찬들 + 우렁된장 + 직접 재배하는 쌈채소들 + 석쇠불고기가 나오는데요, 건강과 맛 동시에 즐기기 좋은 곳이라고 생각해요!(반찬들은 셀프바에서 무한리필 가능~~~👍🏻) 그래서 가족행사나 부모님 모시고 가기에도 추천추천! 😄 배부르게 먹고 마지막으로는 바로 옆 카페에서 커피까지!!! 후식도 한번에 해결가능하다는 점😉 조금 아쉬운건 고기는 미리 구워놓고 주문과 동시에 데워서 나오는 느낌이더라고요?? 그래도 기본적으로 숯불향 강해 맛있고 반찬들도 다 맛있는 편이라 한 번쯤 방문해보셔도 좋을 것 같네용~!---------------------🤭 주말인데 다들 맛난거 한가득 드셨나요?_? 저는 주말내내 정신없이 보냈어요 😔 그래도 내일 대체공휴일 덕분에 간만에 여유좀 부리려고요 ㅎㅎ 여러분들 모두 맛저하세요❣️..#수요미식회 #수요미식회맛집 #남양주목향원 #목향원 #남양주맛집추천 #남양주한정식 #남양주맛집 #남양주맛집추천","['#협찬', '#럽잇', '#loveat❣목향원❣️위치경기', '#수요미식회', '#수요미식회맛집', '#남양주목향원', '#목향원', '#남양주맛집추천', '#남양주한정식', '#남양주맛집', '#남양주맛집추천']",2021-08-15,0,남양주 목향원
3,🥂이글스 월요 미식회 🍽오늘은 브런치 데이~김재민 ESL님 생일 기념 저희 엄니가 끓여주신 미역국들고 다같이 경치 좋은 쌈밥 맛집에서 맛나게 식사 완료 ✅ 😊직장인들은 헬요일이라고하는 피곤한 한주의 시작을 기분 좋게 시작 할 수 있게 자리 마련해주신 이상규 지점장님 감사합니다‼️ @king_jae_min #마흔번째 #생일축하해유 #마이브로#심여사 #미역국은 #사랑입니다 #남양주 #남양주맛집 #목향원 #이런회사또없습니다 #월요일만기다려,"['#마흔번째', '#생일축하해유', '#마이브로', '#심여사', '#미역국은', '#사랑입니다', '#남양주', '#남양주맛집', '#목향원', '#이런회사또없습니다', '#월요일만기다려']",2020-05-18,0,남양주 목향원
4,.#남양주 #목향원 🍚방송에도 많이 나온 목향원 갔다왔어요!수락산 등산하고 먹었더니 완전 꿀맛◡̈ 밥이 섞여서 나오는게 아니라 따로따로 나와서 신기하더라구요ㅎㅎ🪧목향원🪧경기 남양주시 덕릉로1071번길 34-11🪧유기농석쇠불고기 쌈밥정식 16.0,"['#남양주', '#목향원']",2021-09-20,0,
5,#목향원 #남양주맛집.남양주 쌈밥 맛집 목향원경치까지 좋아서 어른들이랑 오기 좋고연인끼리 오기도 좋은곳메뉴는 #석쇠불고기 단일메뉴.상호: 목향원주소: 경기 남양주시 별내동 2335-3전화: 031 - 527 - 2255영업: AM 10:30 ~ PM 24:00.#남양주쌈밥맛집 #별내맛집 #남양주맛집추천 #한식맛집 #불맛팍팍 #밥은 #삼색밥 #맛있음 #두번째방문 #카페도있음 #커피비쌈,"['#목향원', '#남양주맛집.남양주', '#석쇠불고기', '#남양주쌈밥맛집', '#별내맛집', '#남양주맛집추천', '#한식맛집', '#불맛팍팍', '#밥은', '#삼색밥', '#맛있음', '#두번째방문', '#카페도있음', '#커피비쌈']",2021-08-15,0,남양주 목향원
6,#기록 #생후885일 #29개월아기#홈요리 #홈쿡 #식판식 🍳🥘🍲오늘은 서울에 온 동생을 위한 #힐링타임맛있게 쌈밥 먹고 #드라이브 하고#티타임 ☕️ #처제사랑은형부 #동생사랑언니#내일은뭐먹지 #먹스타그램 #이자매 ❤💚💛#자매스타그램 #2탄 #목향원 #수요미식회#별내맛집 #남양주맛집 #한정식 #쌈밥#쌈밥맛집 #경치맛집 #나들이그램,"['#기록', '#생후885일', '#29개월아기', '#홈요리', '#홈쿡', '#식판식', '#힐링타임맛있게', '#드라이브', '#티타임', '#처제사랑은형부', '#동생사랑언니', '#내일은뭐먹지', '#먹스타그램', '#이자매', '#자매스타그램', '#2탄', '#목향원', '#수요미식회', '#별내맛집', '#남양주맛집', '#한정식', '#쌈밥', '#쌈밥맛집', '#경치맛집', '#나들이그램']",2021-04-08,0,남양주 목향원
7,류: 네이버에 남양주 한식 이라고 검색하면 제일 첫번째로 뜨는곳 #목향원 ! 주차요원만 6명넘는것 같고 유명한곳 답게 번호표를 뽑고 기다립니당  앞에20팀 넘게 있었는데 40분정도 대기하고 들어갔어요 체계적으로 운영되는 곳이라 금방 빠지는 느낌이에요  메뉴는 단일 메뉴이고 사실 특별한 맛은 아니지만 쌈채소가 싱싱해서 좋았어요 ✔️정식 15000원 ✔️음료수 천원인곳 오랜만,['#목향원'],2020-05-07,0,
8,.자연속에서..신선한 쌈종류와 숯불 향이 가득한 불고기~갓 지은 3가지의 밥까지..ㅋㅋ맛이 없을수가 없네요~~🤗 🎶🎶#목향원#석쇠구이쌈밥정식#한끼메뉴,"['#목향원', '#석쇠구이쌈밥정식', '#한끼메뉴']",2021-10-12,0,
9,😎,[],2021-10-21,1,
