,content,hashtag,date,like,place
0,🌟 인싸 먹방로드 #잠실맛집 🌟송리단길 핫플까지 싹다 모아놔뜸!!@@우리 어디부터 갈까아~?💕..#잠실맛집추천 #송리단길맛집 #송리단길 #장미맨숀 #쿠차라 #배키욘방 #차알 #단디 #팔레트커리 #미자식당 #라이언하트 #니엔테,"['#잠실맛집', '#잠실맛집추천', '#송리단길맛집', '#송리단길', '#장미맨숀', '#쿠차라', '#배키욘방', '#차알', '#단디', '#팔레트커리', '#미자식당', '#라이언하트', '#니엔테']",2020-05-21,0,
1,파도 파도 끝없다는 잠실 스테키동 클라쓰;;스테이크를 산더미처럼 쌓아준다고 함👀한정수량이니 무조건 달려갈것@@@#잠실 #배키욘방.#잠실역 #방이동 #잠실맛집 #방이동맛집 #잠실핫플 #방이동핫플 #차슈 #덮밥 #비빔우동 #사케동 #차슈동 #미소카라메 #세세리동 #명란 #오먹_잠실 #오먹_잠실역 #먹스타그램 #맛스타그램 #맛있다그램 #먹방 #존맛 #일상 #instafood #koreanfood #f4f,"['#잠실', '#배키욘방.', '#잠실역', '#방이동', '#잠실맛집', '#방이동맛집', '#잠실핫플', '#방이동핫플', '#차슈', '#덮밥', '#비빔우동', '#사케동', '#차슈동', '#미소카라메', '#세세리동', '#명란', '#오먹_잠실', '#오먹_잠실역', '#먹스타그램', '#맛스타그램', '#맛있다그램', '#먹방', '#존맛', '#일상', '#instafood', '#koreanfood', '#f4f']",2019-06-05,0,
2,(광고) 여기가 바로 비쥬얼맛집이지 #송리단길맛집 #배키욘방외관부터 너무 독특해 ! 메뉴는 또 얼마나 예쁜지 사진찍느라 정신없다고키오스크로 주문하니 편리하고 음식사진까지있어서 보고 고를 수가 있당여기 덮밥 한 번 맛보면 못잊지 ~ 덮밥은 비비지않고 떠먹어야 진짜 맛있당여기 이제 배달까지 돼서 행복해잠실_배키욘방02-418-7773서울시 송파구 방이동 62-3,"['#송리단길맛집', '#배키욘방외관부터']",2021-09-17,0,
3,(광고) 수제요리라서 속이 편한 #송리단길맛집 #배키욘방 예쁘고 맛있고 다 하니까 내가 단골될 수 밖에없지조미료를 쓰지않으면서 건강하고 맛있게 만드는 비결이 뭘까?거기다가 이렇게 힙한 느낌까지 잘 ~ 살렸고핫플에는 다 이유가 있는거라구 ~덮밥에다가 통레몬사이코사와도 같이 마셔주면 최고잠실_배키욘방02-418-7773서울시 송파구 방이동 62-3,"['#송리단길맛집', '#배키욘방']",2021-10-21,0,
4,하.. . 비주얼 미쳤다 ㅠ.. .. . #연어처돌이 들 모여르앗 .. .❣@@@ #연어투어 고? @@@..#동차밥#배키욘방#신사연어#연어롭다#이이요#킨지#호호식당...#서울맛집 #서울연어맛집 #서울연어 #서울연어덮밥 #서울연어덮밥맛집 #서울사케동 #사케동맛집 #연어 #서울사시미맛집 #서울덮밥맛집 #가로수길맛집 #flex__seoul,"['#연어처돌이', '#연어투어', '#동차밥', '#배키욘방', '#신사연어', '#연어롭다', '#이이요', '#킨지', '#호호식당...', '#서울맛집', '#서울연어맛집', '#서울연어', '#서울연어덮밥', '#서울연어덮밥맛집', '#서울사케동', '#사케동맛집', '#연어', '#서울사시미맛집', '#서울덮밥맛집', '#가로수길맛집', '#flex__seoul']",2021-03-11,0,"Seoul, Korea"
5,"(광고) 와~ 여기 생활에 달인에 나왔던 #송리단길맛집 #배키욘방 정말 맛있는 음식들 스테키동,한우곱창덮밥 리얼 존맛탱외관도 이쁘고 주문은 셀프로 진행되니까 고르고 주문하면 되니 편하넹특이하고 이색적인 메뉴가 정말 많아서 뭐부터 먹을지 고민되넹~소고기도 이 가격에 먹을 수 있다니 넘 행복해잠실_배키욘방서울시 송파구 방이동 62-302-418-7773","['#송리단길맛집', '#배키욘방']",2021-10-01,0,
6,(광고) 맛있다고 소문난 #송리단길맛집 #배키욘방 밥과 함께 먹으면 정말 맛있는 곱창덮밥~계란노른자에 찍어먹으면 정말 맛있고 감칠맛난다..덮밥 종류도 다양하고 이색적이라서 안갈 수가 없다특이한 메뉴도 많아서 데이트 장소로도 딱이네?잠실_배키욘방서울시 송파구 방이동 62-302-418-7773,"['#송리단길맛집', '#배키욘방']",2021-10-11,0,
7,(광고) 이미 SNS에서 소문난 #송리단길맛집 #배키욘방 ♡스테키동 사케동 호르몬동 워낙 유명해서 다들 알지?부드러워서 녹아내리는 네기도로동까지특히 호루몬동 완전 인기 폭발 !가게 분위기도 좋고 메뉴도 예쁘고 ~생활의 달인에 나온 이유가 있었네 !잠실_배키욘방서울시 송파구 방이동 62-302-418-7773,"['#송리단길맛집', '#배키욘방']",2021-10-18,0,
8,(광고) 비쥬얼부터 장난아닌 #송리단길맛집 #배키욘방분위기 너무 좋아서 데이트장소로도 인기 폭발이야키오스크로 주문하니 편리하고 음식사진까지있어서 보고 고를 수가 있당사장님이 생활의달인에 나와서 그런지 맛부터 플레이팅까지 예술 ~비비지않고 떠먹어야 진짜 맛있는 덮밥들 다 사랑햇 !요즘은 배달도 시작해서 집에서도 만나볼 수 있네잠실_배키욘방서울시 송파구 방이동 62-302-418-7773,"['#송리단길맛집', '#배키욘방분위기']",2021-10-14,0,
9,웨이팅 없이 오픈하자마자 입성~!!시그니처랑 한정판매 주문성공🤗이야기하느라 재미있어서 시간가는줄 몰랐네#좋는분이랑 좋은시간#배키욘방 #스태이크덮밥 #소곱창덮밥 #맛있어,"['#좋는분이랑', '#배키욘방', '#스태이크덮밥', '#소곱창덮밥', '#맛있어']",2021-10-21,0,배키욘방
