,content,hashtag,date,like,place
0,"주말다운 주말 보내기🤎칼국수먹으러 집에서 43키로 을 달렸답니다 ..맛 ,서비스 아주 만점가게!!코로나땜에 커피한잔을 여유롭게 먹을수가 없으니다시 달려 하남까지 와서 커피에 브런치 또 먹고 ㅎㅎ빰바이야 스타일이랑 찰떡카페 🤎커피먹고 수다 떨다보니벌써 저녁 뭐 먹을지 회의하는중 ..괜찮아 나에겐 슬랜더데이 가 있으니 😆먹자 먹자 계속먹자 ..주말다운 주말 즐겁게 보내시길 바래요 🤎⠀⠀#주말#칼국수맛집 #시흥맛집 #서운칼국수 #하남카페 #카페웨더 #심현섭#사바나의아침 #마르카토#습관성오오티디#바야바 #슬랜더데이","['#주말', '#칼국수맛집', '#시흥맛집', '#서운칼국수', '#하남카페', '#카페웨더', '#심현섭', '#사바나의아침', '#마르카토', '#습관성오오티디', '#바야바', '#슬랜더데이']",2020-12-05,0,
1,추울때 생각나는 멸치 손 칼국수🥢보리밥에 진한국물을 모르면 서!운!한 칼국수🍜#리얼푸드 #리얼맛집 #서운칼국수 ....#능곡맛집 #시흥맛집 #경기도맛집 #칼국수 #손칼국수 #멸치칼국수 #만두 #보리밥 #맛집 #맛집탐방 #좋아요 #좋반 #REAL #팔로우 #반사 #jmt #jmtgr #겨울 #소통 #소통해요 #선팔 #맞팔 #일상,"['#리얼푸드', '#리얼맛집', '#서운칼국수', '#능곡맛집', '#시흥맛집', '#경기도맛집', '#칼국수', '#손칼국수', '#멸치칼국수', '#만두', '#보리밥', '#맛집', '#맛집탐방', '#좋아요', '#좋반', '#REAL', '#팔로우', '#반사', '#jmt', '#jmtgr', '#겨울', '#소통', '#소통해요', '#선팔', '#맞팔', '#일상']",2020-01-02,0,서운칼국수
2,이밤중에 맛집사진 올리면 재미있을거 같아서..#서운칼국수 #시흥칼국수 #맛있는녀석들 #시흥맛집 #맛있는녀석들투어 #칼국수,"['#서운칼국수', '#시흥칼국수', '#맛있는녀석들', '#시흥맛집', '#맛있는녀석들투어', '#칼국수']",2021-06-16,0,시흥 서운칼국수
3,"서운 칼국수..꽤 오래전부터 좋아하던 멸치칼국수 집이다.두, 세달에 한번씩은 가던 집인데와이프가 밀가루를 먹지 못하는 상황이라꽤 오랫동안 방문하지 못했다.오늘은 오후에 시간이 나,자전거로 슬승 가서 먹고 복귀했다.역시 먹고 싶을 때 먹어야 더 맛있음ㅋㅋ#로드자전거 #시흥맛집 #서운칼국수 #맛있는녀석들 왔다간뒤로 손님이 늘었다고ㅠㅠ","['#로드자전거', '#시흥맛집', '#서운칼국수', '#맛있는녀석들']",2021-08-11,0,
4,#맛이는녀석들에서나왔던집 시흥 서운칼국수 방문만두는 맛있고 칼국수는 개인적으로살짝 서운하당….🤣🤣너무 기대가 컸나….사람 입맛은 다 다르니까❤️❤️#토요일점심#시흥맛집#맛있는녀석들 #서운칼국수#맛집탐방#내생일#미역국대신#실망#먹팔해요#먹팔환영#선팔맛팔#일상#좋방#❤️,"['#맛이는녀석들에서나왔던집', '#토요일점심', '#시흥맛집', '#맛있는녀석들', '#서운칼국수', '#맛집탐방', '#내생일', '#미역국대신', '#실망', '#먹팔해요', '#먹팔환영', '#선팔맛팔', '#일상', '#좋방', '#❤️']",2021-08-21,0,
5,비오는날 뜨끈한칼국수한그릇...#서운칼국수 #시흥맛집 #비오는날 #칼국수 #동네친구구함 #술친구구함 #인친환영 #공감 #공감글귀 #선팔 #맞팔 #좋아요 #송산그린시티 #송산신도시 #새솔동 #안산고기남🍖 #농부김씨🤠 #농스타그램👨🏻‍🌾 #영스타그램💋 #영후니는사랑입니다💕 #영훈어른이💝 #후니닷컴🤡 #나두혼자산다,"['#서운칼국수', '#시흥맛집', '#비오는날', '#칼국수', '#동네친구구함', '#술친구구함', '#인친환영', '#공감', '#공감글귀', '#선팔', '#맞팔', '#좋아요', '#송산그린시티', '#송산신도시', '#새솔동', '#안산고기남🍖', '#농부김씨🤠', '#농스타그램👨🏻\u200d🌾', '#영스타그램💋', '#영후니는사랑입니다💕', '#영훈어른이💝', '#후니닷컴🤡', '#나두혼자산다']",2020-07-28,0,시흥시 능곡동
6,#서운칼국수 #칼국수명절만 되면 땡기는 서운칼국수.이집 칼국수는 정말 최고임.추가 사리 무료😃.#시흥맛집 #시흥시청맛집 #장현맛집 #칼국수맛집 #노포맛집,"['#서운칼국수', '#칼국수명절만', '#시흥맛집', '#시흥시청맛집', '#장현맛집', '#칼국수맛집', '#노포맛집']",2021-02-13,0,
7,오늘 아점으로 또 서운칼국수ㅋㅋㅋㅋㅋ오늘도 역시나 웨이팅...😂밀가루 안좋아하는 신랑 첨으로 완칼!나는 국물만 완샷! 역시 맛납니다요 👍.....#맛있는녀석들 #칼국수특집 #시흥 #서운칼국수 #홍보대사인줄 #역시나맛있다 #완칼,"['#맛있는녀석들', '#칼국수특집', '#시흥', '#서운칼국수', '#홍보대사인줄', '#역시나맛있다', '#완칼']",2021-04-17,0,
8,"[시흥맛집] 더미냉면 서운칼국수, 투박하고 깊은 국물이 예술이야! 그레잇🐥🐤🍁 .이렇게 추운날에 생각나는 4년째 단골집 안산 시흥맛집 더미냉면시흥칼국수맛집 양이 많아서 깜짝놀랬어요!여기 겨울과 잘어울리는 메뉴 여기있어요 ㅎㅎㅎ거모동맛집 더미냉면에서 뜨끈한 깊은 국물이 맛있는 서운칼국수 어떠신가요??? 시흥맛집 더미냉면주소 : 경기도 시흥시 도일로 102길 5-17전화번호 : 031-492-0003영업시간 : 평일 오전 11시~오후9시까지일요일 : 12시 30분~오후7시까지#시흥맛집 #더미냉면 #서운칼국수 #칼국수 #불고기 #냉면 #비빔냉면 #경기도 #시흥시 #도일로 #미역칼국수 #물냉면 #맛집 #시흥맛집추천","['#시흥맛집', '#더미냉면', '#서운칼국수', '#칼국수', '#불고기', '#냉면', '#비빔냉면', '#경기도', '#시흥시', '#도일로', '#미역칼국수', '#물냉면', '#맛집', '#시흥맛집추천']",2017-12-22,0,
9,#서운칼국수#맛집#방아머리해수욕장#샤브샤브#친구네#잘먹었다,"['#서운칼국수', '#맛집', '#방아머리해수욕장', '#샤브샤브', '#친구네', '#잘먹었다']",2021-10-19,0,
