,content,hashtag,date,like,place
0,#협찬 #우리간식 (@its_our_gansik)⠀오늘점심은 옛스러운 음식들에 그렇지 못한 커피컵으로 한 상 가득 👵🏻☕️ 성심당표 타르트랑 수제약과•코코로나인표 약과휘낭시에•그리고 우리간식에서 보내주신 #맛있두 에 또똣한 커피 마시니 천국이 따로 없네유 🤤⠀저는 견과류 중에서 호두를 제일 안 좋아하는데 #호두강정 은 또 환장하거든요 ^_^ 겉에 발린 꿀 최고 ㅠ🥲 그래서 맛있두도 참 좋아하는 간식 중 하나인데 ! 맛있두표 호두강정은 꿀•우유•버터•계란이 전혀 들어가지 않은 #비건간식 이라고해요 ! 그래서 먹고 나도 속이 편하고 뒷 맛이 깔꼼한 스타일 💟⠀냉장보관 했다 먹으면 더 빠삭해지니 당떨어지는 오후나 식후땡으로 맛있두하셔요 🥜✨,"['#협찬', '#우리간식', '#맛있두', '#호두강정', '#비건간식']",2021-10-06,0,
1,"☁️ 성심당 대전역점 ☁️🥪 에그샐러드 샌드위치🥖 튀김소보루🍈 메론크림빵🥖 순우유 크림빵🥐 몽블랑대전하면 들러야하는 성심당😆빵 종류가 진짜 너무 다양해서 눈 돌아갈뻔했다🤤다행히 열심히 고민해서 산 빵들🤔바로바로 빵을 만들고 계셔서 뜨끈뜨끈한 빵도 있었다🤭내 픽은 에그 샐러드 빵, 튀김 소보루, 메론크림빵, 순 우유크림빵, 몽블랑😌고소하고 빵이 결대로 찢어져서 넘 맛있닥❣️",[],2021-09-21,0,대전역
2,가을엔 공주 알밤 케이크🍁🌰오직 가을에만 맛볼 수 있는 공주 알밤 케이크공주 알밤으로 만들어 더욱 찐하고 부드러운 밤크림의 풍미😋.공주 알밤 케이크는 성심당 케익부띠끄 매장에서 만나보실 수 있습니다 :).#성심당 #공주알밤케익 #가을엔몽블랑 #가을엔공주알밤 #공주알밤 #🌰 #sungsimdang,"['#성심당', '#공주알밤케익', '#가을엔몽블랑', '#가을엔공주알밤', '#공주알밤', '#🌰', '#sungsimdang']",2021-10-19,0,성심당 케이크 부띠크
3,"#대전 #성심당나정도는 빵순이 아니라 했짜나여… 이게 찐 빵순이 클라스입니다😎 어나더레벨 빵순이 칭구칭긔가 대전가서 털어 온 귀하신 몸들…😬 얘가 털었다니까 진짜 털었다 싶었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 역시 성심당 빵 자체를 다 잘합니돠!! 샌드위치도 실하고 케이크도 왕맛도리💓 첨 먹어보는 #탁순희빵 도 안에 계란, 베이컨 야무지게 들어간 맛난 조리빵임🤤 #뽕구_대전 79덕분에 하나 추가요~👀 대전은 역시 성심당👊🏻","['#대전', '#성심당나정도는', '#탁순희빵', '#뽕구_대전']",2021-10-14,0,
4,#대전 #성심당 주말에 대전 신세계백화점 다녀왔어용바로 옆에 성심당이 있다고 하여 빵순이가 지나칠수 없쬬 🍞🥐튀소세트🥐 1.0튀김소보로 (팥) 6개가 들어있답니다.남자친구가 대전에 일이있어서같이 따라 갔다가 선물로 사줘서집가서 욤뇸뇸뇸 해써용 😘저는 에프가 없어서 후라이팬에구워먹었는데 역시 쫀맛탱 💓.....#튀김소보로 #성심당 #대전성심당 #소보로 #먹스타그램 #먹팔 #맛스타그램 #첫줄반사 #첫줄 #튀김 #빵스타그램 #빵 #대전맛집 #좋반 #좋튀,"['#대전', '#성심당', '#튀김소보로', '#성심당', '#대전성심당', '#소보로', '#먹스타그램', '#먹팔', '#맛스타그램', '#첫줄반사', '#첫줄', '#튀김', '#빵스타그램', '#빵', '#대전맛집', '#좋반', '#좋튀']",2021-09-27,0,대전 성심당
5,전설을 만나다. 영국이나 유럽 거래처들 중에는 100년 넘는 회사들도 많았는데 그런 회사랑 만나러 갈 때는 미팅을 간다는 느낌 보다는 역사 또는 전설을 만나러 뮤지엄에 가는 느낌이 들곤 했어요. 그들과 이야기를 하다보면 회사에 대한 자부심과 신뢰가 느껴지곤 합니다. 회사소개는 마치 오래된 전설을 듣는 거 같구요. 오늘 성심당 본사에 전설을 들으려고 다녀왔습니다. 새로 준비하시는 프로젝트 이야기를 듣고 간단하게 회사소개만 들었는데도 가슴이 벅차네요. ㅎㅎㅎㅎㅎㅎ 대전에 온게 너무나 기쁜 나머지 미팅 전 2시간 안에 맛집 두곳을 도느라 땀 뻘뻘. 매운 양념의 두루치기와  수육에 나온 마늘을 듬뿍 먹어서. ㅎㅎㅎ 미팅 가기가 정말 부끄러웠습니다.  양치질이라도 하고 싶었지만 여의치 않아서 자일리톨 한통을 다 씹었네요. 양손에 성심당 빵을 가득 들고 집으로 향하는 열차에 탔습니다.  아 뿌듯해. 레전드의 새 이야기를 쓰는데 무언가 같이 할 수 있다는게 넘나 신나네요.  ㅎㅎㅎㅎ 이런건 신나서 해야하는 거예요. ㅎㅎㅎ #성심당 #레전드 #페들라,"['#성심당', '#레전드', '#페들라']",2021-10-06,0,성심당 Sung Sim Dang
6,바게트 어디꺼냐 물어보시던딩 #성심당 #대전,"['#성심당', '#대전']",2021-06-20,0,성심당
7,"<21.09.12.Sun> #부르스약과 🥮(16개입 ₩18,000, 성심당 홈페이지에서 구매) #대전빵집 하면 떠오르는 #성심당 에서 파는 #약과 예요! 요게 또 요즘 뜨는 것 같다는 추천 제보를 받고 바로 택배 시켜묵어봤어요😝 상온에 뒀다가 먹으면 확실히 부드랍고 기름짐이 촥 베어나오는 식감! 이런 걸 보고 #약즙 ,, 이라해도되나🤣 이 식감, 질감 마치 #꿀고구마 🍠ㅋㅋㅋㅋㅋㅋㅋ 냉장고에 뒀다가 먹으면 적당한 꾸덕바삭함이고 냉동에 뒀다가 먹으면 아주 단단한 꾸덕이라 잇자국 짱 잘 나는st🎶 셋 다 매력이 달라서 전 여러가지로 즐기는 스타일✌🏻약과 본연의 기름진 맛을 최대로 느끼고싶으시다면 상온 추천이예오! 꾸덕빠삭한 식감은 없지만뇨🥲 겉에 따로 물엿 코팅 안돼있어서 냉동해도 장인한과 파지약과 같은 식감은 안 나구요~ #시나몬 풍미 1도 없어서 제 서탈이었어요💗 👉🏻전체적으로 장인한과보다 안쪽이 촉촉+기름진맛 이라서 마니 먹었을 때 좀 더 늬끠하긴한데 누구나 다 조아할 맛이라 추천 박습니다🙋🏻‍♂️","['#부르스약과', '#대전빵집', '#성심당', '#약과', '#약즙', '#꿀고구마', '#시나몬']",2021-09-12,0,
8,오늘 아침은 사라다빵!💛보드라운 빵에 듬뿍 들어있는 사라다 역쉬👍🏻🙋🏻‍♀️ 납작복숭아크림떡 체험단모집은 내일 자정까지만 받고 마감하겠습니다🍑,[],2021-08-25,0,출근길
9,"장거리 시승 가서고객님들 만나고 올때면지역의 맛집 들러서 포장해오던겨사원 겨주임 겨대리 시절이 떠오른다어제 대전 다녀오면서 대전의 명물 #성심당송도 전시장 식구들 위해서 사온 민쿠퍼@_mincooper_ 역시 잘 되는 사람들은 베푸는 여유도,,,나와 공통점이 많네 후후혹시 다음에 대전가면 꿈돌이 꿈순이 열쇠고리 좀 사다줄 수 있니?#MINI바바리안모터스 #biglove챌린지","['#성심당송도', '#MINI바바리안모터스', '#biglove챌린지']",2021-10-22,0,대전 성심당 본점
