,content,hashtag,date,like,place
0,"#광고 [연남동/ #문 Moon]대왕깔조네랑 특별히 더맛있는 파스타 땡길땐 여기!깔조네는 사진으로 봤을땐 손바닥 만할줄알았는데대왕사이즈에요!! 🖐🏽🖐🏽⠀🏷 레드문 (가지), 올드문 (치킨), 페퍼크림파스타, 명란오일파스타, 레몬에이드, 논알콜 모히또2⠀#신라호텔 출신 셰프님👨🏻‍🍳이 요리해주시는맛깔나는 음식들 👏🏼⠀파스타 두가지 다 너무 맛있었어요페퍼크림파스타는 꾸덕꾸덕하니 제법 매콤하고명란오일파스타는 명란 진짜 많이 들어갔어요!⠀올드문 (치킨) 깔조네는 할라피뇨가 들어있어서매콤한편이고레드문 (가지) 깔조네는 매운맛이 하나도 없어요!제가 주문한 네가지 메뉴들이 엄청 합이 잘 맞더라구요 ㅋㅋ 꿀맛 💜⠀⠀한번에 만족시키기 참 어려운 언니랑 엄마랑다 대만족해서 간만에 좀 뿌듯했네요 😬레몬에이드도 진짜 맛있었어요~~시럽말고! 진짜 레몬 짜서 만드신거같아요 🤭⠀⠀⠀#연남동문 #연남동데이트 #연남동맛집 #연남동찐맛집 #숨은맛집 #연남동피자 #연남동파스타⠀⠀⠀","['#광고', '#문', '#신라호텔', '#연남동문', '#연남동데이트', '#연남동맛집', '#연남동찐맛집', '#숨은맛집', '#연남동피자', '#연남동파스타⠀⠀⠀']",2021-10-19,0,홍대 연남동
1,굿모닝💓 주말 잘 보내고 계신가요.아침 일찍부터 부지런떨어 조식부페 뿌시기🐦다이어트 하는 동안 팬케이크랑 와플 너무 먹고싶었거든요.역시 밥은 남이 해주는 밥이 꿀맛!아침 늦잠 포기하고 따라나와준 내새끼들도 사랑입니다.과식 후 달포해포도 필수이구요.다들 행복한 주말 되세요💓💓...#꿀주말#조식부페#먹는행복🐽#양쥐맛집,"['#꿀주말', '#조식부페', '#먹는행복🐽', '#양쥐맛집']",2021-10-17,0,
2,오늘은 외부일정 보느라 피드가 조용~~~~하쥬?🙄🙄🙄⠀⠀✅쥬베라 온열뷰러는 11시전 주문 당일출고 도와드렸구요송장은 오후에 문자로 날아갈거에용(👉화이트는 다음주 수요일 출고인거 아시죠?)⠀⠀온열뷰러는 내일 자정 마감되어요ㅠ^ㅠ다음 공구는 4-6개월 정도 텀이구요다음 피드로는 꿀팁 !!!그리고 내일 공구 끝나기전알려드릴 수 있는 정보 더 많이 많이 공유할게요오늘 받아보실 분들~~ 꼭 이따 꿀팁 확인해주세요❤️..⠀,[],2021-10-15,0,
3,1번 2번 뭐가 더 나아요?둘다 맘에 드롱😭나 진짜 햄복한 미리 생일이다아ㅠㅠ햄 뽁 🤍..,[],2021-10-09,0,The Shilla Hotels & Resorts - 신라호텔
4,(⸝⸝⸝°-̫° ⸝⸝⸝)🤍,[],2021-10-19,0,The Shilla Hotels & Resorts - 신라호텔
5,"-드디어 미루고 미루던 #돌잔치 끝 🤍속이 이렇게 후련할수가 있을까? 싶을만큼 속시원ㅋ일정만 네번바꾸고 전날까지 시간도 막 바꿔새벽부터 메이크업하고 준비했지만 🥺 걱정과 달리 잘 진행되서 너무 좋았다 👍🏻스냅 나오려면 한참 걸리겠지만 일단은 끝냈다는걸로 만족 ㅋㅋ🤍 심지어 셀카 사진도 화장실에서 찍은거 두장밖에 없을만큼 정신없었다 ,, 후 한복도 스냅도 장소도 드레스도 내가 하자는 대로 다 맞춰주고 같이 준비해줘서 고마우이 남편 ♥️나중에 스냅 나오면 정보 올릴게유 👐🏻🏷드레스 @ezer_by_dabininjeju 🏷메이크업 @choi_milan__makeup ........#신라호텔 #팔선돌잔치 #돌끝맘","['#돌잔치', '#신라호텔', '#팔선돌잔치', '#돌끝맘']",2021-10-21,0,The Shilla Hotels & Resorts - 신라호텔
6,#신라호텔 #영빈관 이 장미 정원으로 변신했어요🌹향기로운 공간에 눈부신 빛을 더한 #피아제 #하이주얼리 컬렉션 💎 한국에서 보기 힘든 귀한 피스들이 한자리에 모였네요! 앰배서더 @rovvxhyo 님의 미소도 찰칵 📸 #공블리 뒤에 #윤블리 😅,"['#신라호텔', '#영빈관', '#피아제', '#하이주얼리', '#공블리', '#윤블리']",2021-10-19,0,
7,나는 날씨요정🧚🏻‍♀️근데 왜 짬뽕을 못먹음 후 신라호텔 짬뽕 드셔보신 분후기점요… 상상으로라도 맛을 느끼구 싶어여ㅠㅠㅠㅠ😮‍💨🙄😮‍💨🙄..,[],2021-10-10,0,The Shilla Hotels & Resorts - 신라호텔
8,따 듯 한 벨 벳 의 계 절 🤍✨,[],2021-10-17,0,
9,#코우#사시미 포장됩니다 ^^오늘도 싱싱하고 맛있습니다. ...#jeju#제주#제주도#서귀포#제주코우#코우#서귀포코우#제주도맛집#제주도민맛집#서귀포맛집#강정동맛집#중문맛집#서귀포신시가지맛집#신서귀포맛집#서귀포신시가지#서귀포이자카야#서귀포일식 #서귀포벨류호텔#서귀포빠레브호텔#롯데호텔#신라호텔 #제주여행#제주도여행,"['#코우', '#사시미', '#jeju', '#제주', '#제주도', '#서귀포', '#제주코우', '#코우', '#서귀포코우', '#제주도맛집', '#제주도민맛집', '#서귀포맛집', '#강정동맛집', '#중문맛집', '#서귀포신시가지맛집', '#신서귀포맛집', '#서귀포신시가지', '#서귀포이자카야', '#서귀포일식', '#서귀포벨류호텔', '#서귀포빠레브호텔', '#롯데호텔', '#신라호텔', '#제주여행', '#제주도여행']",2021-10-21,0,
