,content,hashtag,date,like,place
0,목포일주일살기 - 맛의 도시 목포.Local 맛집 No.13 씨엘비 베이커리.새우바게트와 크림치즈바게트 🥖빵과 같이 먹을 밀크쉐이크도 🥤겉바속촉 바게트. 역시 목포의 명물 !@clbbakery-#목포일주일살기 #맛의도시목포 #낭만목포 #목포문화재단 #목포여행 #목포가볼만한곳 #목포맛집 #목포카페 #목포커피 #목포맛집추천 #목포카페추천 #목포여행지 #목포여행지추천 #목포핫플 #목포핫플레이스 #목포데이트코스 #목포데이트 #목포로컬맛집 #목포현지인맛집 #혼여 #혼행 #목포베이커리 #목포빵집 #씨엘비베이커리 #clb베이커리 #새우바게트 #크림치즈바게트 #바게트빵 #바게트맛집 #빵지순례,"['#목포일주일살기', '#맛의도시목포', '#낭만목포', '#목포문화재단', '#목포여행', '#목포가볼만한곳', '#목포맛집', '#목포카페', '#목포커피', '#목포맛집추천', '#목포카페추천', '#목포여행지', '#목포여행지추천', '#목포핫플', '#목포핫플레이스', '#목포데이트코스', '#목포데이트', '#목포로컬맛집', '#목포현지인맛집', '#혼여', '#혼행', '#목포베이커리', '#목포빵집', '#씨엘비베이커리', '#clb베이커리', '#새우바게트', '#크림치즈바게트', '#바게트빵', '#바게트맛집', '#빵지순례']",2021-09-02,0,Mokpo
1,.목포의 찐빵집 #씨엘비베이커리 🤭오랜만에 #크림치즈 랑 #새우바케트 먹고시픔ㅠㅠㅠ#밀크쉐이크 도 존맛인거 알쥐?.@@빵지순례 갈 사람🙋‍♀,"['#씨엘비베이커리', '#크림치즈', '#새우바케트', '#밀크쉐이크']",2020-08-10,0,
2,"하루에 한 번씩 빵 먹어야 하는,빵 없으면 못 살겠는,빵순이 빵돌이들 모두 모여라!!⠀빵지순례 가야할 각이닷🍞🍞저장해놓고 하나씩 뽀개볼까?⠀@@누가 나랑 빵지순례 같이갈래??⠀#오빠랑여행갈래#빵지순례 #국내여행#강릉빵다방 #곽지원빵공방 #궁전제과#맘모스제과 #삼송빵집 #성심당 #씨엘비베이커리#옵스 #이성당 #풍년제과 #하얀풍차","['#오빠랑여행갈래', '#빵지순례', '#국내여행', '#강릉빵다방', '#곽지원빵공방', '#궁전제과', '#맘모스제과', '#삼송빵집', '#성심당', '#씨엘비베이커리', '#옵스', '#이성당', '#풍년제과', '#하얀풍차']",2020-01-31,0,
3,.빵덕후들은 꼭가야할 바게트존맛집🥐🥯🍞🥖겉바속촉 믿먹빵집인거 다들 알G알G~~🥰@@새우바게트랑 크림치즈바게트..다먹을래(♡°▽°♡)#목포 #명륜동 #씨엘비베이커리,"['#목포', '#명륜동', '#씨엘비베이커리']",2021-02-20,0,
4,"빵순이 빵돌이들 모이세요🙆‍♀️가고싶어서 짜본 전국 #빵지순례생각만해도 기분 좋아지는 빵 빵 빵 🥐⠀🍞안동 #맘모스제과미슐랭으로 선정되고 수요미식회 맛집.치즈가 잔뜩 들어간 쫘안득하고 부드러운 크림치즈빵. 식감이 미쳤대요.(경북 안동시 문화광장길 34)⠀🍞서울 #태극당매장 인테리어부터 전통이 느껴지는 느낌.가본 사람들이면 모두 인정한다는 찹쌀모나카 !쫀득한 과자부분과 달콤한 아이스크림이 완전 찰떡.(서울 중구 동호로24길 7)⠀🍞목포 #씨엘비베이커리목포 사람들은 다 아는 찐 원조!!!코롬방 운영하던 사장님이 새로 차린 곳이래요!새우바게트 속 머스터드소스랑 새우가 완전 예술🍤🥖(전남 목포시 영산로75번길 14)⠀🍞대전 #성심당""대전에서 가야하는 곳=성심당"" 이거 너무 유명하죠?!튀김소보로, 토요빵, 부추빵 등이 유명한데 제 픽은 부추빵💚아.. 또 언제다시 먹나요? 아는 맛이 제일 무서워요(대전 중구 대종로480번길 15)⠀🍞대구 #삼송빵집대구가 원조인거 저만 이제 알았나여..?🌽옥수수가루가 듬뿍 뿌려져있어서 너무 고소한맛.원조 마약빵이 바로 이 곳.이미 많이 먹어봤지만 대구에서 먹어보고싶어!!!(대구 중구 중앙대로 395)⠀🍞광주 #궁전제과바게트 속에 감자랑 에그샐러드를 채워넣은공룡알빵이 이 집 시그니처🥚거의 야구공만한 크기라서 하나만 먹어도 배가 둔둔~!!(광주 동구 충장로 93-6)⠀🍞군산 #이성당1945년에 생긴 국내 1호 빵집.진짜 클래식하고 베이직한 팥앙금빵.투박하지만 어릴 때 먹던 팥빵 갬성이 그대로 느껴지는 곳🤎(전북 군산시 중앙로 177)⠀🍞부산 #비앤씨제과BNC 모르면 부산사람 아이그든.페스츄리빵에 팥앙금, 호두, 밤이 잔뜩 들어간 파이만주🌰바삭하고 오독하면서 달콤한 식감이 미쳤어요!너무 달지 않아서 더 좋은 곳.(부산 중구 구덕로34번길 3-1)⠀🍞춘천 #대원당빵 종류가 워낙 많아서 빵순이들 가면 완전 눈 뒤집어질 곳.크림 잔뜩 들어간 버터크림빵이랑 생크림슈는 꼭 먹어야해요!(강원 춘천시 퇴계로 183)#빵집추천 #빵순이 #빵식단 #간식#전국빵맛집 #빵택배 #빵집투어 #빵집추천","['#빵지순례생각만해도', '#맘모스제과미슐랭으로', '#태극당매장', '#씨엘비베이커리목포', '#성심당""대전에서', '#삼송빵집대구가', '#궁전제과바게트', '#이성당1945년에', '#비앤씨제과BNC', '#대원당빵', '#빵집추천', '#빵순이', '#빵식단', '#간식', '#전국빵맛집', '#빵택배', '#빵집투어', '#빵집추천']",2021-06-19,0,전국 방방곡곡
5,"🍤 #씨엘비베이커리 #새우바게트⠀목포가면 꼭 사와야한다는 바게트,, 씨엘비랑 코롬방 두 군데가 있는데 씨엘비가 원조라고 들어서 씨엘비로 방문 😌👏🏻 속에는 겹겹이 머스타드 + 피클이 발려있고 새우가루코팅(?)이 되어있는 두툼한 바게트 🥖 바게트가 엄청 질깃한 편이라 속에 머스타드가 발린게 그나마 촉촉함을 더해주는 느낌 ❗️위에 새우코팅은 딱 새우깡맛인데 빵에서도 은근하게 새우맛이 나는 스타일,,! 특별한 맛은 아닌데 묘하게 계속 끌리는 매력이 있는 빵이였다 바게트다보니 다음날 먹으면 너무 딱딱한 느낌이라 사자마자 바로 먹는걸 추천 !⠀바게트말고도 빵 종류가 엄청 많았는데 비건 쿠키류들이 있어서 색달랐다 😉⠀• 새우바게트 5,000원⠀","['#씨엘비베이커리', '#새우바게트⠀목포가면']",2021-08-27,0,목포
6,(21.08.05-07)목포여행 06#목포씨엘비베이커리 #씨엘비베이커리#목포빵집#목포맛집#맛집#빵지순례#목포 #목포여행 #목포맛집 #가볼만한곳 #여행지 #국내여행지 #전라도여행#새우바게트 #크림치즈바게트,"['#목포씨엘비베이커리', '#씨엘비베이커리', '#목포빵집', '#목포맛집', '#맛집', '#빵지순례', '#목포', '#목포여행', '#목포맛집', '#가볼만한곳', '#여행지', '#국내여행지', '#전라도여행', '#새우바게트', '#크림치즈바게트']",2021-08-12,0,
7,#씨엘비베이커리 韓國五大麵包店之一的CLB麵包店，終於有機會來啦！查了部落格們，說這裡熱賣的是奶油跟蝦醬的法棍，原本打算買了就走，但發現現場有試吃的，我吃了一口蝦醬口味嚇了一大跳，有點難吃😂 可能因為試吃品是冷冷的蝦醬配硬硬的麵包，整個不知在吃啥的感覺，反正蝦醬沒有吸引到我，但奶油起司就很棒，內餡香甜軟綿～最後我們只買了起司奶油法棍！真的很好吃～😆👍🏻推推！每個人口味不同，也許各位嚐嚐蝦醬，也會跟很多韓國部落客一樣覺得好吃？哈哈哈哈哈畢竟我真的太挑嘴🤣#木浦旅遊 #목포카페 #씨엘비베이커리 #목포여행 #koreabuddies #koreabuddies2020 #전라남도 #전남,"['#씨엘비베이커리', '#木浦旅遊', '#목포카페', '#씨엘비베이커리', '#목포여행', '#koreabuddies', '#koreabuddies2020', '#전라남도', '#전남']",2020-11-30,0,
8,210802 케이블카 기다리다 하루 끝 😩.............#목포 #목포여행 #내일로 #여행 #기차여행 #목포해상케이블카 #목포근대역사관 #고하도전망대 #커피파나쉐 #장터식당 #갓바위 #씨엘비베이커리 #럽스타그램,"['#목포', '#목포여행', '#내일로', '#여행', '#기차여행', '#목포해상케이블카', '#목포근대역사관', '#고하도전망대', '#커피파나쉐', '#장터식당', '#갓바위', '#씨엘비베이커리', '#럽스타그램']",2021-08-04,0,목포
9,가볍게 걸쳐 입기 좋은 코듀로이 남방!세미크롭 기장으로 편하게 입어요✨편하고 따뜻하지만 예쁨도 놓치지 않은_여리여리 아방한 핏감✔️🏷 인스타 dm으로 배송 주문 가능오늘은 조금 일찍 오픈해 있어요저녁 8시까지 열려 있답니다:)#목포 #목포옷가게 #그날의계절 #옷추천 #보세 #가을신상 #가을코디 #배송가능 #재난지원금,"['#목포', '#목포옷가게', '#그날의계절', '#옷추천', '#보세', '#가을신상', '#가을코디', '#배송가능', '#재난지원금']",2021-10-22,0,
