,content,hashtag,date,like,place
0, ,[],,0,
1,아!이맛이야 철판산성행주산성 자유로초입 원조국수가 유명한 그동네에 큰철판에 고기를 구워주는 집이있어요 자전거타시는분들의 오래된 힙플레이스 자전거타시다 국수한그릇씩 드시거나 일인 철판드시고 가는 곳평일엔 1인 삼겹살구이+국수 1.3혜자로운가격 주말엔 1인1.5인당 시키고 비빔국수 볶음밥 먹으면 👍멀리 안나가고도 외곽 근교여행을 한거같은 기분 낼수 있는곳 근처 원조국수 어탕국수도 맛있어요인원이 정원 12명 이하로가면 합석 해야하니 합석싫으신분들은 인원맞춰가도 좋겠쥬맛이 기가막히다라기보단 분위기 기분내기더 좋은곳이라 할수있겠네요☺️#술슐랭가이드#뚜슐랭가이드_고양,"['#술슐랭가이드', '#뚜슐랭가이드_고양']",2020-10-12,0,아이맛이야장작철판구이
2,오늘은 바람이 선선하길래 냉큼 다녀왔다😎,[],2020-06-14,0,아이맛이야장작철판구이
3,기름이 자글자글하지 않은 담백한 맛유명하면 맛없던데 나름 맛있게 먹음일부러 하트까지 만들어주셨음옆에 #커피아저씨 라는 카페가 허름한데 의위의 커피 맛집#아이맛이야장작철판구이 #흑돼지삼겹살 #행주산성맛집 #이영자맛집,"['#커피아저씨', '#아이맛이야장작철판구이', '#흑돼지삼겹살', '#행주산성맛집', '#이영자맛집']",2021-02-13,0,아이맛이야장작철판구이
4,"초대형 철판에 대용량으로 구워주시는 부추김치삼겹살집.#행주산성 근처에 있는 #아이맛이야장작철판구이삥 둘러앉으면 긴 주걱으로 각자에게 배달해주는 시스템인데저는 이런거 넘 잼나요ㅠㅋㅋ무슨 쇼 보는거 같엉 ㅜㅜ킥킥-여긴 흑돼지를 취급하는데라 고기에 붙어있는 껍데기까지쫀독쫀독 넘 맛나버리고ㅠ(근데 간혹 고기에서 냄새 난다는 후기도 있더라고요..? 저는 그런거에 안 민감해서 괜찮았음!!!!)김치+부추+콩나물+마늘 다 같이 볶아주는거라사실 한국인이라면 싫어할 수 없는 맛임당ㅠ-쌈을 몇 쌈이나 싸먹었는지 몰겠어여 ㅇㅅㅇ 히히쌈 안에 비빔국수 넣어가꼬 먹어주면 또 장난없는거 아시죠,,아 글고 여긴 볶음밥 시키면 눈 앞에서 뽀까주는게 아니라쪼그만 후라이팬에 볶은 채로 나오는데철판에 걍 부어서 남은 고기들이랑 섞어먹는게 또 맛납니당❤️‍🔥-저는 본관 갔다가 사람 많아서 2관으로 갔는데웬만하면 본관으로 가는거 추천 ~~~~~~행주산성 근처 드라이브 오시면 가보는거 추천~~~~막 엄청 대존맛집이라기 보단 분위기가 잼나고 좋아여가족단위로도 많이 오는 듯 ㅇㅅㅇ어른들이 더 좋아하시는 쑈쑈쑈~~~!","['#행주산성', '#아이맛이야장작철판구이삥']",2021-09-20,0,아이맛이야장작철판구이
5,오늘의 맛집.인별에서 핫한! #아이맛이야장작철판구이 근데 핫 한 곳 정말 맞나요? 이 큰 테이블에 우리만😂근데 사실 그래서 더 좋았다. 뭔가 전세낸 기분🤣삼겹살 + 목살 잘라서 김치랑 콩나물에 부추에 구워구워🙌따로 볶아서 주는 볶음밥도 맛있고 완전 술이 술술.얼마만의 이즈백이냐 ㅜㅜㅜㅜ 지대로 불금🙌:#일상그램 #알콜그램 #아이맛이야장작철판구이 #이영자맛집 #전참시 #맛집 #일산 #행신동맛집 #일산맛집 #불금그램 #불타는금요일 #플레이모빌 #playmobil #플모랑놀자 #장작구이 #삼겹살목살 #고기는옳다 #술그램 #우리만얌얌 #전세그램 #플모만드는여자 #좋아요 #추천 #좋아요반사,"['#아이맛이야장작철판구이', '#일상그램', '#알콜그램', '#아이맛이야장작철판구이', '#이영자맛집', '#전참시', '#맛집', '#일산', '#행신동맛집', '#일산맛집', '#불금그램', '#불타는금요일', '#플레이모빌', '#playmobil', '#플모랑놀자', '#장작구이', '#삼겹살목살', '#고기는옳다', '#술그램', '#우리만얌얌', '#전세그램', '#플모만드는여자', '#좋아요', '#추천', '#좋아요반사']",2020-11-20,0,
6,#아이맛이야장작철판구이 어쩔...#맛있다👍 집에서 #뒹굴모드앞머리 떡진채로 #궈궈울두찌 차에서 자다 #짜증과투정고기한입먹고 바로 #먹방모드 😘😘.....#전지적참견시점 #이영자맛집 #이영자맛집리스트 #삽겹살맛집 #철판구이 #맛집투어#맛집그램 #순삭각 #진짜맛나다👍#주말저녁#외식그램,"['#아이맛이야장작철판구이', '#맛있다👍', '#뒹굴모드앞머리', '#궈궈울두찌', '#짜증과투정고기한입먹고', '#먹방모드', '#전지적참견시점', '#이영자맛집', '#이영자맛집리스트', '#삽겹살맛집', '#철판구이', '#맛집투어', '#맛집그램', '#순삭각', '#진짜맛나다👍', '#주말저녁', '#외식그램']",2020-03-01,0,아이맛이야
7,행주산성 라이딩 #아이맛이야장작철판구이 뭐가 아 이맛이라는 건지 ㅋㅋㅋ,['#아이맛이야장작철판구이'],2020-11-22,0,아이맛이야장작철판구이
8,"코로나 시작으로 힘들었던 3월을 보내며~국장님 카드로 #아이맛이야장작철판구이 흑돼지 삼겹살, 비빔국수, 볶음밥까지 배터지게 먹고~~.입가심으로 팀장님들이 디저트 쏘기로 했는데 둘다 마치 짠 것처럼(?) 카드를 본의 아니게 가져 오지 않은 거 있죠~~ 제가 말이죠. 😅국장님이 밥, 커피까지 몽땅 쏘신 날~~ 국장님이 사주신 맛있는 꼬기, 커피 먹고4월에는 우리 마포동부 15 목표달성 합니다👍마포동부 15 식구들 행복하자고요~~😘. .#국장님표회식 #국카의힘 #힘들었던3월아잘가#웅진북클럽 #아이맛이야장작철판구이 #회식이다 #커피아저씨행주산성점 #봄이오는소리 #워킹맘 #식구들과함께 #남들일할때노는게꿀잼 #고기가진리#잘놀고일잘하는마포동부15","['#아이맛이야장작철판구이', '#국장님표회식', '#국카의힘', '#힘들었던3월아잘가', '#웅진북클럽', '#아이맛이야장작철판구이', '#회식이다', '#커피아저씨행주산성점', '#봄이오는소리', '#워킹맘', '#식구들과함께', '#남들일할때노는게꿀잼', '#고기가진리', '#잘놀고일잘하는마포동부15']",2020-03-31,0,아이맛이야장작철판구이
9,드라이브는 역시 #먹여행 🚗.#행주산성#행주산성맛집#아이맛이야장작철판구이,"['#먹여행', '#행주산성', '#행주산성맛집', '#아이맛이야장작철판구이']",2021-10-17,0,아이맛이야장작철판구이
