,content,hashtag,date,like,place
0, ,[],,0,
1, ,[],,0,
2,(속닥👂) 강남 소개팅 성지 알려드립니다.티본스테이크 한입에 (++점수확보)분위기까지 좋아서 갔다오면  솔.탈임!!!👫💝@@썸탄다/연애한다/솔탈=무조건 여기#강남 #어거스트힐...#먹스타그램 #맛스타그램 #강남맛집 #강남데이트 #강남소개팅 #소개팅장소 #배고파 #스테이크맛집 #파스타맛집 #데이트맛집 #서울데이트코스 #로제파스타맛집 #로제파스타 #steak #pasta #티본스테이크 #티본스테이크맛집 #foodporn #강남맛집추천 #강남술집,"['#강남', '#어거스트힐...', '#먹스타그램', '#맛스타그램', '#강남맛집', '#강남데이트', '#강남소개팅', '#소개팅장소', '#배고파', '#스테이크맛집', '#파스타맛집', '#데이트맛집', '#서울데이트코스', '#로제파스타맛집', '#로제파스타', '#steak', '#pasta', '#티본스테이크', '#티본스테이크맛집', '#foodporn', '#강남맛집추천', '#강남술집']",2020-11-20,0,
3,"스테이크 좋아하세요? 그럼 여깁니다.고기가 꽤 두툼한데 입에서 그냥 녹고요,소개팅성지로도 이미 유명하니 일단 가보세요.#강남 #어거스트힐 ..#강남맛집 #먹스타그램 #맛스타그램 #강남역 #신논현맛집 #스테이크 #데이트코스 #데이트 #크리스마스 #맛집 #맛집투어 #스테이크 #stake #고기 #고기맛집 #냠냠 #선팔하면맞팔 #koreanfood #foodstagram","['#강남', '#어거스트힐', '#강남맛집', '#먹스타그램', '#맛스타그램', '#강남역', '#신논현맛집', '#스테이크', '#데이트코스', '#데이트', '#크리스마스', '#맛집', '#맛집투어', '#스테이크', '#stake', '#고기', '#고기맛집', '#냠냠', '#선팔하면맞팔', '#koreanfood', '#foodstagram']",2020-08-14,0,
4,소개팅 99% 성공하는 강남 스테이크집.jpg먹자마자 녹는 대왕 스테이크 한 입이면존맛콩깍지 씌여서 성공률 올라간대요!@@이거먹고 나랑....4👂📏#강남 #어거스트힐 ...#스테이크 #스테이크맛집 #티본스테이크 #steak #beef #소개팅맛집 #소개팅장소 #배고파 #강남맛집 #신논현맛집 #강남데이트 #파스타맛집 #맛집추천 #먹스타그램 #맛스타그램 #오늘뭐먹지 #맛점 #dailyfood,"['#강남', '#어거스트힐', '#스테이크', '#스테이크맛집', '#티본스테이크', '#steak', '#beef', '#소개팅맛집', '#소개팅장소', '#배고파', '#강남맛집', '#신논현맛집', '#강남데이트', '#파스타맛집', '#맛집추천', '#먹스타그램', '#맛스타그램', '#오늘뭐먹지', '#맛점', '#dailyfood']",2020-02-21,0,
5,"#생파 #어거스트힐강남점 🍷🍴캐주얼 다이닝 숍 무드특유의 분위기는 좋았으나,#T본스테이크 (79,900) 는 질겨서 가격 대비 아쉬웠고,#새우오일파스타 (19,000) 는 나쁘지 않은 정도?!랍스타처럼 탱글하고 오동통한왕새우 식감 하나는 예술이었다 !😍새우살 하나하나 섬세하게 발라 준그대의 친절함에 감사감사🙂🙏🏻그래서 더 맛있게 느껴졌는지도 모르겠다.디저트로 아이스크림이나 나왔으면좋겠다고 생각했는데, 마침 뙇 나와줘서디저트를 제일 맛있게 먹은 1인 😆옥수수콘 향과 맛에 텁텁한 견과류 가루,초코와 시럽이 조화롭게 어울려서굉장히 독특한 풍미를 자아내서 인상적이었다.스테이크는 T자 모양을 기준으로왼쪽이 안심, 오른쪽이 등심이라는데,안심은 겨우 먹을 만 했고,등심은 질겨서 먹기가 힘들었다.와인은 부드러워서 괜찮았고, 이곳에서서빙 로봇도 처음 만났는데 신선했다.잔잔하고 클래식한 음악도 좋고,통유리창의 3층 구조에 뷰도 만족스러웠다.약간 한남동 느낌의 여유가 흘러나오는느긋한 매력이 있는 핫플레이스 중 하나로,사람도 적당히 있지만 또 시끄럽지 않고대화에 집중할 수 있어 마음에 들었으나 -전반적으로 다시 오고 싶은 정도라거나아지트로 삼고 싶은 정도까지는 아니고,다음엔 스테이크 특유의 부드러움과 녹아내리는 황홀함을 느끼고 싶어서 조만간 다른 스테이크 전문점 방문각이다😭😆#이태원 #오레노 에나 가야겠다 !! 💃간만에 시니컬한 #프로앤 모드 풀가동🔥누군가에게 이 솔직후기가 도움 되길 바라며:).....#어거스트힐 #생일파티 #레스토랑 #데이트장소추천 #스테이크맛집 #강남맛집 #새우요리 #와인맛집 #핫플 #핫플레이스 #서울핫플레이스 #핫플투어 #핫플맛집 #핫플추천 #스테이크 #스테이크요리 #강남역11번출구 #강남역맛집 #캐주얼다이닝 #솔직후기","['#생파', '#어거스트힐강남점', '#T본스테이크', '#새우오일파스타', '#이태원', '#오레노', '#프로앤', '#어거스트힐', '#생일파티', '#레스토랑', '#데이트장소추천', '#스테이크맛집', '#강남맛집', '#새우요리', '#와인맛집', '#핫플', '#핫플레이스', '#서울핫플레이스', '#핫플투어', '#핫플맛집', '#핫플추천', '#스테이크', '#스테이크요리', '#강남역11번출구', '#강남역맛집', '#캐주얼다이닝', '#솔직후기']",2021-07-28,0,어거스트 힐 August Hill 강남점
6,#어거스트힐 #파스타,"['#어거스트힐', '#파스타']",2021-07-05,0,
7,강남 소개팅핫플로 유명한 어거스트힐💝두툼한 토마호크🍖하나면 오늘부터 1일ㅎ@@연말 쏠탈하러 가볼래?#강남 #어거스트힐..#강남맛집 #먹스타그램 #맛스타그램 #강남역 #신논현맛집 #스테이크 #데이트코스 #데이트 #크리스마스 #맛집 #맛집투어 #스테이크 #stake #고기 #고기맛집 #냠냠 #선팔하면맞팔 #koreanfood #foodstagram,"['#강남', '#어거스트힐..', '#강남맛집', '#먹스타그램', '#맛스타그램', '#강남역', '#신논현맛집', '#스테이크', '#데이트코스', '#데이트', '#크리스마스', '#맛집', '#맛집투어', '#스테이크', '#stake', '#고기', '#고기맛집', '#냠냠', '#선팔하면맞팔', '#koreanfood', '#foodstagram']",2019-12-09,0,
8,"#광고 <<여친, 남친 없으면 일단 저장해둬>>스파게팅(스테이크+파스타+소개팅) 맛집인데육즙 꽉 찬 스테이크에 대왕 랍스타 올려주는꾸덕 파스타 ㄱㄱ하면 그날 적중률 5000퍼 장담^^단골만 아는 비밀인데 지하 분위기가 작살입니다🤫💘#강남 #어거스트힐...#먹스타그램 #맛스타그램 #강남맛집 #강남데이트 #강남소개팅 #데이트코스 #데이트맛집 #소개팅장소 #배고파 #스테이크맛집 #파스타맛집 #데이트맛집 #서울데이트코스 #파스타 #steak #pasta #티본스테이크 #티본스테이크맛집 #foodporn #강남맛집추천 #강남술집","['#광고', '#강남', '#어거스트힐...', '#먹스타그램', '#맛스타그램', '#강남맛집', '#강남데이트', '#강남소개팅', '#데이트코스', '#데이트맛집', '#소개팅장소', '#배고파', '#스테이크맛집', '#파스타맛집', '#데이트맛집', '#서울데이트코스', '#파스타', '#steak', '#pasta', '#티본스테이크', '#티본스테이크맛집', '#foodporn', '#강남맛집추천', '#강남술집']",2021-03-26,0,
9,.결혼 4주년...#결혼기념일 #4주년 #논현동 #어거스트힐 #티본스테이크맛집 #맛있었음👍,"['#결혼기념일', '#4주년', '#논현동', '#어거스트힐', '#티본스테이크맛집', '#맛있었음👍']",2021-10-21,0,어거스트 힐 August Hill 강남점
