,content,hashtag,date,like,place
0,엘더버거 @elderburger 오늘은 이원일셰프와 김보민 아나운서가 오셔서 즐거운 촬영을 했습니다. 물론 저희부부는 셰프가 아니니 뒤에서 구경만 하다가 끝나고 사진만 찍었죠📷📸ㅋ근데 뒤에 성대현은 뭐하니? 같이찍지ㅋ...#엘더버거 #elderburger #REF #성대현 #이원일 #이원일셰프 #이원일쉐프 #김보민 #김보민아나운서 #성수동맛집 #서울숲맛집 #햄버거맛집 #수제버거 #셰프의맛집 #쉐프의맛집 #엄지척👍,"['#엘더버거', '#elderburger', '#REF', '#성대현', '#이원일', '#이원일셰프', '#이원일쉐프', '#김보민', '#김보민아나운서', '#성수동맛집', '#서울숲맛집', '#햄버거맛집', '#수제버거', '#셰프의맛집', '#쉐프의맛집', '#엄지척👍']",2019-09-25,0,ElderBurger
1,엘더버거 @elderburger 가 8월 서울 성수동 서울숲길에  오픈을합니다. 이제 오리지날 미국 스타일의 버거를 엘더버거에서 느껴보세요. ...Photo by @secretstan ..#엘더버거 #ElderBURGER #BestBURGER #BURGER #sandwich #햄버거 #버거 #ChefEdie #성수동 #서울숲 #서울숲길 #성수동맛집 #서울숲맛집 #햄버거맛집 #엄지척👍,"['#엘더버거', '#ElderBURGER', '#BestBURGER', '#BURGER', '#sandwich', '#햄버거', '#버거', '#ChefEdie', '#성수동', '#서울숲', '#서울숲길', '#성수동맛집', '#서울숲맛집', '#햄버거맛집', '#엄지척👍']",2019-07-29,0,ElderBurger
2,#마케팅과제 #성수동핫플와우 멤버들과 성수동 마케팅 트렌드 과제완료 했습니다!^^1.#할머니레시피2.#엘더버거 #elderburger3.#센터커피 #centercoffee4.#밑미 #meetme5.#서울앵무새 #seoulangmusae6.#무식당#홍성태교수님 #모비브#모든것은브랜딩이다 #레삐 #repit,"['#마케팅과제', '#성수동핫플와우', '#할머니레시피2.', '#엘더버거', '#elderburger3.', '#센터커피', '#centercoffee4.', '#밑미', '#meetme5.', '#서울앵무새', '#seoulangmusae6.', '#무식당', '#홍성태교수님', '#모비브', '#모든것은브랜딩이다', '#레삐', '#repit']",2021-10-17,0,밑미홈 meet me home
3,성수동길을 걸어보면 과거 익선동 느낌이 나네요. 인기가 있다고 비싸게 파는 느낌. 여기는 엘더버거라는 곳인데 저 버거가 14.5 / 튀김을 시켰는데 양은 많이 주는데 정말 맛없어서 남겼네요. 고기도 별로 안 좋은 거 썼는지 속이 안좋아 설4중이네요. 성수동도 이렇게 가면 또 소비자들의 기호는 바뀔 것인데 안타깝네요.,[],2019-11-10,0,ElderBurger
4,폭풍전야.. 오늘 엘더버거 @elderburger 에 우리나라 최고의 마술사 최현우 @charmingchoimagic 가 왔어요.. 오늘은 태풍이 온다고 그런지 테이크아웃만 많고 손님이 별로 없었는데 현우가 와서 엘더버거 분위기가 너무 좋아졌습니다. 😁오랜만에 만나서 서로 키우는 비숑이들 얘기로 웃으며 시간을 보냈네요..ㅎ데이빗커퍼필드 보다 최현우가 최고👍...#엘더버거 #elderburger #마술사 #최현우 #성수동 #서울숲 #엄지척👍,"['#엘더버거', '#elderburger', '#마술사', '#최현우', '#성수동', '#서울숲', '#엄지척👍']",2019-09-05,0,ElderBurger
5,With me? 9 월 10일 화요일 엘더버거에서 만나요 시간 되시는분들 성수동으로 모이셔요 에디의 치킨버거 너무 먹고싶어 달려가요 쑤기는 엘더버거에 주방과 홀을 누비고 있을겁니다 #화요일 #엘더버거 #만나요 #오세요 #윤현숙 #성수도 #맛집 #elderburger #mukbang #yoonhyunsuk #korea @elderburger,"['#화요일', '#엘더버거', '#만나요', '#오세요', '#윤현숙', '#성수도', '#맛집', '#elderburger', '#mukbang', '#yoonhyunsuk', '#korea']",2019-09-08,0,
6,"Juicy😋+Tender💦 Burger Ever 🍔-방송에도 나오고, 유튜브에도 나오는 수제버거집이라고 하길래,무더위를 뚫고 찾아가봄. 결과는 JMT 😭😭😭햄버거 고민없이 하나 더 추가함ㅋㅋㅋㅋㅋㅋ-🏠엘더버거 @elderburger📍서울 성동구-#이영자 #엘더버거 #elderburger #햄버거 #버거형 #존맛 #육즙팡팡 #burger #hamburger #yum","['#이영자', '#엘더버거', '#elderburger', '#햄버거', '#버거형', '#존맛', '#육즙팡팡', '#burger', '#hamburger', '#yum']",2021-07-31,0,ElderBurger
7,"한남동 찍고 성수동,일일 이맛집🧀☕️🍔🐙💛#디언타이틀드보이드 #엘더버거","['#디언타이틀드보이드', '#엘더버거']",2021-09-30,0,
8,서울숲 위치한 엘더버거🍔🍔나도 수제버거를 좋아해서 먹었는데 맛있다🤤👏🏻👏🏻더블 엘더 클래식버거&엘더 벨리버거🙋🏻‍♂️사이드는 어니언링튀김&감튀🧅🍟빵부터 패티까지 맛있다 인정👍🏻나는 후라이반숙에 할라피뇨찹이랑 베이컨조합이 너무 맛있어서 또 생각나네😋담백짭조롬한 맛이라 중독성이 크다😌어니언링튀김은 내입에는 그닥인듯;;;내가 요리를해서 그런가 나한테는 보통이네😅 전체적으로 맛있어서 좋네ㅎㅎ#엘더버거 #더블엘더클래식버거 #엘더벨리버거 #어니언링튀김 #감자튀김 #수제버거 #서울숲 #햄버거 #존맛탱 #JMT #먹팔 #맞팔 #좋아요 #찐소통,"['#엘더버거', '#더블엘더클래식버거', '#엘더벨리버거', '#어니언링튀김', '#감자튀김', '#수제버거', '#서울숲', '#햄버거', '#존맛탱', '#JMT', '#먹팔', '#맞팔', '#좋아요', '#찐소통']",2021-06-18,0,
9,"EAT - #elderburger #엘더버거 🍔 This trendy burger place has gained more spotlight after being featured in a Korean tv show #전참시. We went there around 11.20am, 10 min before the opening on a holiday, and there were 7 teams already waiting ahead of us. We had classic burgers (cooked medium) with their famous onion rings. Meat was juicy with well grilled flavor and onion rings were crispy but not greasy to the last bite. 📍Address: 서울 성동구 서울숲2길 40-7 1층 엘더버거#seoul #seongsu #seoulforest #서울 #성수동맛집 #서울숲 #서울숲맛집 #서울맛집 #burger #햄버거","['#elderburger', '#엘더버거', '#전참시.', '#seoul', '#seongsu', '#seoulforest', '#서울', '#성수동맛집', '#서울숲', '#서울숲맛집', '#서울맛집', '#burger', '#햄버거']",2021-10-20,0,ElderBurger
