,content,hashtag,date,like,place
0,"오먹애들이 사먹고 쓰는 솔직한 리얼후기#오먹투어 131탄 #익선동 #오죽이네.최자님이 픽한 바로 그집>>오죽이네에 다녀왔어요!닭볶음탕이 아닌 ""닭매운탕""을 파는데 비슷한 생김새지만 국물이 더 많습니다 ㅎㅎㅎ마늘맛이 엄청 강했눈데요!! 칼칼하면서 달짝한게호불호 없는 맛이에요ㅎㅎㅎ,,(술부터 생각나는 어른이^^)닭 크기는 작은 편이지만 그래서 더 야들하고국물이 엄청 잘 스며들어서 간이 너무 잘 됐음>_<칼국수+수제비 사리는 국룰입니댜.... 진짜 잘 들어가요ㅎㅎ흔한 맛 같으면서도 흔치 않은 맛이라 저는 또 갈거예요~~~!!((늦게가면 웨이팅하니 조금 일찍 가세요)).📍오죽이네📍서울 종로구 돈화문로11가길 25📍평일 11:30-22:00(토요일 12:00-22:00), 일요일 휴무📍닭매운탕 소 (25,000원), 칼국수 사리(2,000원), 수제비 사리(1,000원). #익선동데이트 #익선동술집 #익선동맛집 #배고파 #종로맛집 #종로3가맛집 #종로술집 #닭매운탕 #닭볶음탕맛집 #최자로드 #먹스타그램 #안주추천 #안주스타그램 #익선동핫플 #야식추천 #야식스타그램 #닭도리탕맛집 #서울맛집추천 #서울맛집","['#오먹투어', '#익선동', '#오죽이네.최자님이', '#익선동데이트', '#익선동술집', '#익선동맛집', '#배고파', '#종로맛집', '#종로3가맛집', '#종로술집', '#닭매운탕', '#닭볶음탕맛집', '#최자로드', '#먹스타그램', '#안주추천', '#안주스타그램', '#익선동핫플', '#야식추천', '#야식스타그램', '#닭도리탕맛집', '#서울맛집추천', '#서울맛집']",2021-07-05,0,
1,#익선동맛집 도장깨기 !!@맛있겠다..현기증나ㅠㅠ#온천집#빠리맨션#살라댕방콕#반기다#호호식당#오죽이네#르블란서#flex_seoul#서울맛집#종로맛집#익선동맛집추천#익선동핫플#종로3가역맛집#안국역맛집#인사동맛집#인사동카페#서울핫플레이스#오늘뭐먹지,"['#익선동맛집', '#온천집', '#빠리맨션', '#살라댕방콕', '#반기다', '#호호식당', '#오죽이네', '#르블란서', '#flex_seoul', '#서울맛집', '#종로맛집', '#익선동맛집추천', '#익선동핫플', '#종로3가역맛집', '#안국역맛집', '#인사동맛집', '#인사동카페', '#서울핫플레이스', '#오늘뭐먹지']",2020-10-28,0,Seoul
2,"옻닭매운탕이란 이름 하나 보고 찾아간 #오죽이네역시나 최근 인기였는지 사람이 꽤 많은 것이간판 보고 좋았지만 그 때부터 불안한 마음이 스믈 스믈...일반 닭볶음탕의 두 배 가격인 옻닭을 주문,한국식 패스트 푸드인지 착석 후 금방 나와꾸덕지 않은 국물을 맛보니 응? 일반과 차이를 모르겠다양념과 마늘 맛 뿐..졸여야 맛이나려나 하며옻을 찾아 보았는데 아주 자그마한 두 토막이 들어있었다졸여도 감흥이 없기에 사장님께 말씀 드렸더니옻 육수는 따로 끓여 기본 육수와 섞는다고 하시면서옻 육수를 조금 더 내어주셨다.그래도 큰 변함은 없었다, 옻 맛을 찾으며 찾으며 맛보다 보면국물이 다 졸아들었는데 그때까지 자그마한 닭에는 양념맛이 베이지 않았다 그래도 한번은 더 가봐야지..⠀평점 : 🍺🍺주소 : 서울 종로구 익선동 156(종로3가 6출인근)영업시간 : 매일 11:30 - 22:00 일 휴무대표메뉴 : 옻매운탕(50,000원)⠀#노포 #노포훈종로 #노포훈옻매운탕 #종로노포 #닭도리탕 #닭볶음탕 #종로맛집","['#오죽이네역시나', '#노포', '#노포훈종로', '#노포훈옻매운탕', '#종로노포', '#닭도리탕', '#닭볶음탕', '#종로맛집']",2021-01-26,0,종로 오죽이네
3,".#오죽이네닭매운탕 (小) 25,000@eumsungcityboy_9z님의 리뷰 요청으로소개드리는 가게 '오죽이네'는'최자로드'에서 최자님의 단골집으로 유명한 가게입니다.평소 최자로드를 애청하는 만큼 많은 기대를 하고 갔는데요, 기대보다 아쉬움이 많았던 한 끼 였습니다.'닭매운탕' 이름이 처음엔 생소하게 들릴 수 있는데요,닭볶음탕보다는 훨씬 국물이 많고, 걸쭉하지 않은 말 그대로 '매운탕'에 가까운 음식입니다.본관은 대기가 10팀이 있어 신관으로 이동했는데,본관과 신관 모두 장단점이 있습니다.개인적인 의견으로는✅진득하게 한잔한다면 본관✅가벼운 식사를 원한다면 신관으로 가는 것을 추천드립니다!🔅닭 매운탕전골냄비에 빨간 국물과 닭 한마리가 퐁당 빠져있습니다.닭볶음탕 보다는 매운 닭한마리에 가까운 비주얼이구요.냄비가 끓기 시작하면서 알싸한 마늘 향이 그득이 전해집니다.기대가 컸던 만큼 아쉬운 점이 꽤 많았어요.국물은 생각보다 너무 매워 혀가 아릴 정도여서 깜짝 놀랐습니다.(매운거 아주 잘 먹습니다)처음에는 닭 육수의 감칠맛보다는 밍밍한 매운맛이 강하게 올라와조금 더 끓이고 졸여먹었습니다.닭 크기는 교촌 치킨 크기였습니다. 닭이 작을수록 살이 부드럽고 양념이 잘 밴다는 장점이 있지만이건 좀 너무 작지 않나... 싶었습니다. 아쉬웠어요.그래도 술안주로 먹으면 꽤 매력 있겠다는 느낌은 받았습니다.마늘 가득 들어간 칼칼한 국물은 소주에 곁들이기 참 좋은 조합이니까요.🔅칼국수 & 수제비닭매운탕 안에 수제비가 몇 개 들어있긴 합니다만,탄수화물이 적어서 그런지 자동으로 사리에 손이 갑니다.칼국수는 얼큰한 국물에 꽤 잘 어울렸습니다. 면에 국물이 자작하게 배어들어 확실히 맛있었습니다.너무 매워서 콜라 하나 시키긴 했지만요,수제비를 몇 개 건져 먹다보니 이게 또 별미더군요.추가로 수제비 사리를 시켜서 먹었는데, 수제비가 끓으면 국물이 걸죽해집니다. ❗ 맑은 국물을 좋아하시는 분들께는 추천드리지 않습니다.🔅볶음밥밥은 따로 볶아서 가져다주셨는데, 딱 비주얼 만큼의 맛, 그 이상도 이하도 아니었습니다.사실 등촌 칼국수 볶음밥 같은 꼬수운 볶음밥이면 더 좋았을 뻔 지만, 나름 나쁘지 않게 먹었습니다.------기본 반찬도, 닭 크기도 여러가지 아쉬운 점이 많았습니다.원래 더 맛있는 가게인데, 제가 운이 없었던 건지,사람이 많아지면서 맛이 변한건지는 모르겠지만, 여전히 많은 손님들께 사랑받고 있는 가게입니다.저도 그 혀가 아릴 정도의 매운맛이 좀 빠지고닭 크기가 더 커지면, 가끔 먹고 싶어 질 것 같습니다.오늘 재슐랭은 여기까지이구요,다음에 더 좋은 컨텐츠로 찾아뵙겠습니다!감사합니다.",['#오죽이네닭매운탕'],2021-09-03,0,종로 오죽이네
4,[익선동에서 제일 예쁘고 맛있는 카페+맛집 List💕]☕️<익선동카페>#끼룩하우스#청수당#서울커피#낙원역 🥘<익선동맛집>#온천집#종로찌개마을#오죽이네#마츠노하나#송암여관 @@자기야 우리 익선동으로 데이트 가자ㅠㅠ#익선동 #종로 #익선동카페 #익선동맛집 #종로카페#종로맛집 #카페추천 #카페투어 #맛집추천 #맛집투어,"['#끼룩하우스', '#청수당', '#서울커피', '#낙원역', '#온천집', '#종로찌개마을', '#오죽이네', '#마츠노하나', '#송암여관', '#익선동', '#종로', '#익선동카페', '#익선동맛집', '#종로카페', '#종로맛집', '#카페추천', '#카페투어', '#맛집추천', '#맛집투어']",2021-08-10,0,
5,"#익선동 #오죽이네국물의 표면장력ㅋㅋㅋㅋㅋ 넘칠 듯~ 안넘칠 듯~ 아찔하게 밀당중인 넉넉한 국물이라 슴슴할 것 같지만 세상 자극적인 #닭매운탕 입니닷🐔 마늘맛 뿜뿜에 달큰칼칼하고! 닭이 작아서 그런지 간도 잘 스며들고 살도 부드러움🥰!! 칼국수사리 필수이구요, 한국인이라면 볶음밥도 무조건인거 알쥬?🤪 요즘 같은 날씨에 아주 딱 좋은 메뉴임❤️","['#익선동', '#오죽이네국물의', '#닭매운탕']",2021-09-27,0,익선동
6,"“닭한마리 받고 닭두마리로 가” #백부장집닭1마리⠀시장 상인들을 대상으로 닭칼국수를 팔던 한 식당은 커다란 양푼에 닭을 통째로 넣고 육수를 부어 즉석에서 끓여먹는 음식을 개발했고, 단골들이 “여기 닭한마리 주세요.” 라고 주문하는데서 착안하여 음식 이름을 붙였다. 이 음식이 바로 ‘닭한마리’다.⠀추운 겨울날에 딱 어울리지만, 쌀쌀함이 채 가시지 않은 이 계절의 밤에도 썩 잘 어울리는 음식이다. 그리고 저렴한 가격으로 즐기는 최고의 코스 요리이기도 하다. 먼저 뜨끈한 탕으로 몸을 데우고, 샤브샤브한 떡과 야채로 급한 허기를 채운 뒤, 담백한 닭고기와 탕을 곁들여 소주를 기울인다. 취기가 올라오면 칼국수 사리를 넣고, 죽으로 마무리한다. 취한 상태에서 먹는 탄수화물의 맛이란...⠀닭한마리가 태동한 골목으로부터 머지 않은 곳에서 십년 가까이 일을 했기에, 자연스레 이 음식을 자주 접하게 됐다. 여러 식당을 다니면서 든 지배적인 생각은 ‘맛이 다 거기서 거기’ 였지만, 그래도 조금의 차이에서 생겨나는 선호는 분명 있었다. 내가 서울에서 가장 좋아하는 닭한마리집은 동대문 근방의 ‘소문난원할매닭한마리’, 그리고 오늘 소개할 종로의 ‘백부장집 닭1마리’다.⠀담백하고 가벼운 닭육수 위에 원할매가 약재를 사용해 국물의 깊이를 더한다면, 백부장은 닭발을 사용해 진득함을 더한다. DIY 방식의 여타 닭한마리집들과 달리 백부장은 닭을 먹기 좋게 잘라서 넣고, 양념장도 미리 만들어진 상태로 가져다 준다. 괜히 부장 직급을 단 게 아니란 생각이 드는 철저함이다.⠀닭한마리도 닭한마리지만 김치와 양념장이 물건이다. 물김치도 아니고 그렇다고 배추김치도 아닌 허여멀건한 김치는 시원한 달큰함으로 주인공의 무게를 덜어준다. 양념장은 말린 홍고추, 겨자가루, 양파, 식초, 간장을 넣어 갈아서 만드는데 시큼하고 알싸하고 텁텁한 그 맛이 왜 이렇게 입맛을 당기는지 모르겠다. 하얀 닭살 위에 올려 먹는 것도 좋지만, 탱글한 국수를 양념장 위에 올려 사정없이 비벼먹는 게 진짜다.⠀다들 몰라 주는데, 이 곳 닭도리탕도 참 좋다. 육수를 넉넉하게 부어 즉석에서 끓여먹는 방식의 닭도리탕은 유독 종로에서 많이 보이는데, 이제는 전국구 식당이 된 종로의 두 식당 ‘계림’, ‘오죽이네’와 비교해보면 그 중간 정도의 무게감과 간이 느껴지는 닭도리탕이다. 떡볶이같이 진득한 닭도리탕에 익숙한 사람이라면 처음엔 좀 어색할 수도 있지만, 소주를 기울이며 찬찬히 졸여가면서 먹으면 정말 이만한 안주가 없다. 이 곳에 가려면 둘이서 닭1마리 말고, 넷이서 닭2마리 하라고 추천하고 싶다.⠀그나저나 닭한마리는 렌즈에 끼는 김 때문에 도무지 사진을 예쁘게 찍을 수가 없네.⠀#백부장집 #백부장집닭한마리 #닭한마리 #닭한마리맛집 #닭도리탕맛집 #닭볶음탕맛집 #계림 #오죽이네 #진옥화할매원조닭한마리 #소문난원할매닭한마리 #원할매닭한마리 #종로맛집 #종각맛집 #종각역맛집","['#백부장집닭1마리⠀시장', '#백부장집', '#백부장집닭한마리', '#닭한마리', '#닭한마리맛집', '#닭도리탕맛집', '#닭볶음탕맛집', '#계림', '#오죽이네', '#진옥화할매원조닭한마리', '#소문난원할매닭한마리', '#원할매닭한마리', '#종로맛집', '#종각맛집', '#종각역맛집']",2021-05-30,0,백부장집닭1마리
7,"#종로 #익선동 #오죽이네 #닭매운탕 볶음탕이 아닌 매운탕. 처음부터 국물이 한바가지,,절대 싱겁지 않고 깊은 육수+마늘향 🥰 넘 중독적인 국물 맛,,먹자마자 아저씨 소리 나오는,,쏘맥 말게되는,,","['#종로', '#익선동', '#오죽이네', '#닭매운탕']",2019-11-14,0,종로 오죽이네
8,"소문난 맛집이라 꼭 먹어 줘야 한다는서울, 인천 #매운음식 맛집 리스트사진으로만 봐도 군침 돌음,,,오늘 저녁 여기서 시켜먹는 거 어때??@@다 격파하러 다니자#나정순할매쭈꾸미 #천유향마라향솥 #오죽이네 #옥천불난족발 #담산 #남박 #20대 #대학생 #직장인 #데이트코스 #서울맛집 #홍대맛집 #부산맛집 #광주맛집 #연애 #럽스타그램 #데이트 #먹방 #먹데이트 #먹스타그램 #맛스타그램 #데일리 #학생 #유머 #일상 #10대 #30대 #공감스타그램 #정보","['#매운음식', '#나정순할매쭈꾸미', '#천유향마라향솥', '#오죽이네', '#옥천불난족발', '#담산', '#남박', '#20대', '#대학생', '#직장인', '#데이트코스', '#서울맛집', '#홍대맛집', '#부산맛집', '#광주맛집', '#연애', '#럽스타그램', '#데이트', '#먹방', '#먹데이트', '#먹스타그램', '#맛스타그램', '#데일리', '#학생', '#유머', '#일상', '#10대', '#30대', '#공감스타그램', '#정보']",2021-07-11,0,
9,"#오죽이네정직하고, 정성스럽게 최선을 다하는 오죽이네 입니다.갑자기 추워진 날씨에 놀란 마음#닭매운탕 으로 달래주세요❤️찬바람불면 생각나는매콤 달콤한 닭매운탕🔥🔥🔥","['#오죽이네정직하고', '#닭매운탕']",2021-10-20,0,
