,content,hashtag,date,like,place
0, ,[],2020-01-02,0,
1,".문호리마을 프랑스빵집마니피끄 입니다^^.어제도 많은 분들의 방문으로감사한 마음과 함께 하루를 잘 마무리 지었습니다^^.밤새 빵 하나하나를 정성껏 반죽하여예쁘게 모양을 만들어, 충분히 숙성시키고자연발효를 시켜 정성들여 구워냈습니다..맛있게 잘 구워진 빵을 드셨을때갈색빛을 띄며 얇고 바삭한 크러스트레구수한 맛이 느껴지고,투박하고 거친 겉모습 안에 숨겨진쫄깃하고 촉촉한 속결과설탕을 넣지 않았음에도 씹을수록느껴지는 단맛과 드신 후에 더부룩함과신물이 올라오지 않으면서 빵 하나를먹어도 부담스럽지 않은 빵을 만들기 위해.셀 수 없는 시간과 반죽 한 덩어리에집중하여 예민할 정도로 섬세한 수작업을거쳐 한 시도 빵이 구워지는 오븐에서눈을 떼지 않고 흐트러짐 없이 온 정성을들인답니다..이렇게 만들어 얼마를 팔았고, 얼마를벌었으며, 얼마의 이윤을 남겼느냐보다얼마나 완성도 있게 만들었고,얼마나 정직하게 만들었는지를 생각하며제가 구운 빵을 드시며 행복해하시는분들의 얼굴을 보며 간밤의 피로를잊을 수 있었습니다...오늘은 주일 입니다.오늘 하루도 복 되고, 하나님의 사랑을 느끼시며,하나님의 위안과 넘치게 부어주시는 축복과은혜 가운데에 평안한 하루 되시길살아계신 사랑하는 우리 주 예수의 이름으로축복하며 다음주 토요일에도 변함없이맛있는 빵으로여러분들을 찾아뵙겠습니다^^*.감사합니다!..#마니피끄#문호리마을프랑스빵집","['#마니피끄', '#문호리마을프랑스빵집']",2019-09-28,0,
2,.@magnifique.baker1:1 Private baking class<Tartes>.Tarte aux abricots à la pistache.Combinaison fantastiqued'abricot et de pistache 😋👍.마니피끄 아카데미 뒤 빵1대1 개인 베이킹클래스<타르트>.살구와 피스타치오의환상적인 조합!..#마니피끄#베이킹클래스#프랑스빵#프랑스전통빵 #프랑스정통빵#장인의집#프랑스제과#천연발효빵 #천연효모빵 #자연발효빵#프랑스디저트 #타르트#타르트수업,"['#마니피끄', '#베이킹클래스', '#프랑스빵', '#프랑스전통빵', '#프랑스정통빵', '#장인의집', '#프랑스제과', '#천연발효빵', '#천연효모빵', '#자연발효빵', '#프랑스디저트', '#타르트', '#타르트수업']",2020-03-14,0,마니피끄
3,.요즘 제주에서 젤루 핫한데는 오디~⁉️레알 핫한 코스로 준비한 #애월여행코스얘두라 이거 하나면 이제 여행준비할 필요 🙅🏻‍♀️🙅🏻당장공유하고 인생샷&맛집&힐링 다 털업~!🔥🔥⠀⠀#제주여행#제주여행추천#제주가볼만한곳#제주꼭가볼만한곳#제주핫플레이스#애월여행#애월여행추천#애월데이트#제주데이트#제주도민맛집#제주스냅샷#제주인생샷#제주시여행#애월맛집#애월카페#애월술집#애월여행지#제주핫플,"['#애월여행코스얘두라', '#제주여행', '#제주여행추천', '#제주가볼만한곳', '#제주꼭가볼만한곳', '#제주핫플레이스', '#애월여행', '#애월여행추천', '#애월데이트', '#제주데이트', '#제주도민맛집', '#제주스냅샷', '#제주인생샷', '#제주시여행', '#애월맛집', '#애월카페', '#애월술집', '#애월여행지', '#제주핫플']",2019-12-07,0,
4,제주도 먹부림 기록📝1.장인의집-갈비해물만두전골🍲2.판포미인-전복돌솥밥🦪3.성읍칠십리식당-흑돼지오겹살+고사리🥩4.해녀세자매-갈치조림+물회🐟5.동문시장-딱새우회는 못참지🦐...#혬스타그램 #제주도여행 #제주도 #먹스타그램 #맛스타그램 #장인의집 #갈비해물만두전골 #판포미인 #전복돌솥밥 #성읍칠십리식당 #흑돼지오겹살 #해녀세자매 #갈치조림 #전복물회 #제주동문시장 #딱새우회 #맛있다그램 #행복해서그램 #즐스타그램,"['#혬스타그램', '#제주도여행', '#제주도', '#먹스타그램', '#맛스타그램', '#장인의집', '#갈비해물만두전골', '#판포미인', '#전복돌솥밥', '#성읍칠십리식당', '#흑돼지오겹살', '#해녀세자매', '#갈치조림', '#전복물회', '#제주동문시장', '#딱새우회', '#맛있다그램', '#행복해서그램', '#즐스타그램']",2021-10-18,0,제주도 Jeju Island
5,".Pain au chocolat du jour 🍫.100% fait maisonavec pur beurreet sans aucuns additifs.Nos viennoiseries sortentdu four, Pas du carton !..일체 식품 첨가물 및 보존료를넣지 않고 만든 빵 오 쇼콜라.저희의 모든 빵은 오븐에서 나옵니다.상자에서 나오지 않습니다..즉, 공장에서 대량으로 만들어진냉동 생지가 아닙니다..@magnifique.baker#마니피끄#문호리마을프랑스빵집","['#마니피끄', '#문호리마을프랑스빵집']",2019-10-12,0,
6,".안녕하세요!마니피끄 입니다.무더웠던 8월이 지나고시원한 바람이 부는 9월이시작되었습니다^^.이번주 토요일 오전 10시에마니피끄는 구수하고 따뜻하게문을 열고 맛있고 구수하게여러분을 기다리겠습니다^^.직접 배양시킨 천연 발효종으로 저온 장시간숙성을 통해 깊은 맛을가지고 있는 천연 발효빵과프랑스산 100% 우유 버터로 정성껏 만든 크루아상과 빵 오 쇼콜라,그 외에 다양한 페스츄리와 부드러운브리오쉬 빵들을 만듭니다..가을 날씨와 함께 선선하고 화창한주말, 문호리 마니피끄에서 구수한 빵과커피 한잔으로 잠시나마 여유를느껴보세요^^*..#마니피끄#문호리마을프랑스빵집","['#마니피끄', '#문호리마을프랑스빵집']",2019-09-02,0,
7,".해물갈비전골 궁물 최고오 🧡!제주는 , 비주얼 만큼이나 음식 맛도좋아서 완벽했다아 다시 시작된 제주 앓이#제주도#제주여행#제주맛집#장인의집","['#제주도', '#제주여행', '#제주맛집', '#장인의집']",2020-02-04,0,Jeju
8,.Ciabatta sur levain liquideTaux humidité : 95.8%.#마니피끄#magnifique#문호리마을프랑스빵집,"['#마니피끄', '#magnifique', '#문호리마을프랑스빵집']",2019-06-19,0,
9,웰컴투 제주😃ㆍㆍㆍㆍㆍㆍ#제주1일차♡#여자셋첫여행#애월읍#장인의집#국물끝내줌#소주마시고흥오름🧚‍♀️,"['#제주1일차♡', '#여자셋첫여행', '#애월읍', '#장인의집', '#국물끝내줌', '#소주마시고흥오름🧚\u200d♀️']",2021-10-21,0,
