,content,hashtag,date,like,place
0,"📍전라북도_군산✅ #지린성 / 고추짜장 / 고추짬뽕하트점수 : ♥️♥️♥️♥️♥️🖤🖤⠀<전국에서 짜장면으로 가장 유명한 집 : 군산 #지린성>⠀군산하면 떠오르는 그곳! 매운짜장으로 전국적으로 유명한 지린성!입니다. 이름이 왜 지린성인지 먹자마자 알아버렸습니다.. 진짜 맛있더라구요🥲⠀관광객들이 많이 찾아와서 그런지 직원분들이 많았고,초스피드의 빠른써빙!!이 아주 인상적이었어요. 주문하자마자 30초-1분만에 짜장면이 나와서 좋더라구요..ㅋㅋ⠀🍱 고추짜장너무 매워서 화장실에 다녀와야할 정도로 매운 청양고추를혀에 비비는맛 그런맛이랄까요..🥵그래도 단맛과 매운맛이 융화롭게 섞여 맛있게 매워요!⠀🍱 고추짬뽕고추짬뽕은 청양고추를 갈아서 고추즙을 따로 넣은듯 짜증이날 정도로 매운맛이에요; 진짜 매운거 못드시는 분들 지리실 수도... 매운거 잘먹는 제가 생각했던 짬뽕이랑은 조금 달랐...🥲⠀몇년 전부터 꼭 먹고싶었던 짜장면레전드 지린성짜장을 먹고나니 아직 제가 못 먹어본 맛집들 정말 다 가보고 싶다는 생각이 들더라구요!⠀평소 전라도쪽은 연이 없고 또 너무 멀어서 항상 친근한 곳들, 한 번 갔던 곳들만 다녔는데 군산 여행하면서 진정한 맛집은 전부 전라도에 있다는걸 깨닫게 되었습니다!⠀코로나가 가장 아쉬웠던, 그러나 맛만은 가장 만족스러웠던 지린성 고추짜장! 이 지긋지긋한 역병이 끝나면 전라도 맛집 도장깨기 꼭 해보고 싶어요🙌🏼⠀⠀⠀📍 #지린성🏠 전북 군산시 미원로 87🕑 09:30 - 16:00◾️🍱 고추짜장 9.000₩🍱 고추짬뽕 9.000₩⠀#군산맛집 #짜장면 #군산#고추짜장 #고추짬뽕#군산여행 #지린성짜장면","['#지린성', '#지린성>⠀군산하면', '#지린성🏠', '#군산맛집', '#짜장면', '#군산', '#고추짜장', '#고추짬뽕', '#군산여행', '#지린성짜장면']",2021-05-28,0,군산 지린성
1,"군산 = #지린성 확인하러 왔다.🔥작은고추가 맵다고? 아니 고추는 다 매움ㅋ나 지렸는데…? #지린성 말로만 듣던 고추짜장 영접했다!! 지린성 가게 앞에서 웨이팅 할 때부터 고추 특유의 매운 냄새가 코를 콕콕 찌름 ㅋㅋㅋㅋ맵찔이 탱구는 일반 짬뽕, 고추짜장밥 주문함. 짬뽕은 어느 중국집에서나 먹을 수 있는 흔한 맛, 짬뽕 국물이 생명수가 될 줄은 몰랐지… 얼큰칼칼시원한 국물에 탱탱한 면발, 해산물도 낭낭하니 맛있음! 짜장밥 먹기 전에 계란후라이로 위 보호는 필수다… 고기도 큼지막하니 너~무 맛있는데 맵찔이들은 소스 드링킹 금지. 부먹 금지. 매운거 자신있는사람들은 저 대신 고추짬뽕도 조져주시길바랍니다👍🏻++짜장면보다 짜장밥이 맛있다는 후기가 더 많대요!! 짜장밥 도전~!🚘 전북 군산시 미원로 87💸 짬뽕8,000원 고추짜장밥9,000원#군산 #군산맛집 #군산여행 #짜장면 #짜장밥 #짬뽕 #짜장면맛집 #짬뽕맛집 #매운음식 #중식 #탱구_군산","['#지린성', '#지린성', '#군산', '#군산맛집', '#군산여행', '#짜장면', '#짜장밥', '#짬뽕', '#짜장면맛집', '#짬뽕맛집', '#매운음식', '#중식', '#탱구_군산']",2021-08-19,0,군산 지린성
2,식혜필수,[],2021-10-11,0,군산 지린성
3,"전설의 레전드 고추짜장 #지린성'군산 맛집' 하면 제일 먼저 떠오르는 지린성.매우면서도 맛있는 고추짜장으로 엄청난 히트를 친 곳이다.가게 앞을 찾아가면 의외로 줄이 짧은데, 그건 신호등 건너편에 줄을 이어서 서 있기 때문이다 😇 (기본으로 몇십명 서 있음)하지만 가게가 이전하고 나서 내부 좌석이 많아져서 회전이 빠르기 때문에 2~30분 내로 착석이 가능하다.고추짜장은 푸짐하게 들어간 고기와 고추가 정말 매력적이었는데, 체감상 고기 양은 많이 줄은 듯 하다. 하지만 여전히 맛있는 매콤함에 인기가 많은 듯.전보다 덜 매운 것 같은데, 확실히 맵긴 맵다! 맵찔이들 주의 🔥 위장 보호를 위한 식혜 주문 필수!고추짬뽕이 너무 매워서 혼쭐난 기억에 그냥 짬뽕밥 주문! 매운 것에 자신 있는 분들은 고추짬뽕을 주문하세요. 짬뽕은 오징어국처럼 맑은 국물로 아주 개운~하다. 맑은 짬뽕 중에 손에 꼽을 정도로 맛있다! 군산에 가면 꼭 먹는 맛집 😇 나의 추억이 깃들어서 더 좋은 곳.#군산썽쌤 #지린성썽쌤","[""#지린성'군산"", '#군산썽쌤', '#지린성썽쌤']",2021-08-05,0,군산 지린성
4,여기 고추짜장 증말 g린다 🔥 지린성 !! ❤️- 저장해놓고 꺼내먹는 여행지도 #막왁트립매운거 세상에서 제일 조아하는 막왁 거짓안보태고 거의 고추짜장 먹으려고 군산 갓다왔자나요 너어어어무 궁금했다그 😂 저는 거의 오픈 하자마자 방문해서 웨이팅은 없었어요 호우~진한 짜장맛에 고기향 폴폴 청양고추 잔뜩이라 매콤하면서도 풍부한 짜장맛이 진짜 맛부터 식감까지 입안 천국 만드로 🙃 다른 고추짜장 들 많이 나오지만 먹자마자 이게 진짜 찐원조구나 여긴 또와야해 생각했으나!짬뽕의 임펙트는 강하지못했다고한다😢 고추짜장이 매콤한데에비해 짬뽕은 별로 매콤하거나 칼칼한맛이 없는 그냥 보통 짬뽕처럼 느껴졌다 ㅠ 그래두 고추짜장 하나 보고라도 다시오고픈 곳 !! 군산가면 지린성 추천 💕#막왁_군산#지린성#군산여행#군산맛집#군산여행코스#군산여행추천#군산맛집추천#군산맛집여행#전북여행#전북맛집#고추짜장#고추짬뽕#짜장맛집#먹킷리스트#짜장면#먹스타맞팔,"['#막왁트립매운거', '#막왁_군산', '#지린성', '#군산여행', '#군산맛집', '#군산여행코스', '#군산여행추천', '#군산맛집추천', '#군산맛집여행', '#전북여행', '#전북맛집', '#고추짜장', '#고추짬뽕', '#짜장맛집', '#먹킷리스트', '#짜장면', '#먹스타맞팔']",2021-05-26,0,Jilin
5,🥰킷코네 가족은 여행중지금은 군산입니다군산맛집 지린성 입니다얼마나 맛있음 지리는지왔어요 여긴 #고추짜장 👍👍👍칼칼하고 양념고기가 커요면발은 탱글👍짬봉은 오징어가 완전 싱싱여답방은  찬찬히 꼭  돌께욘👌..#군산#여행#군산맛집#지린성#먹방투어,"['#고추짜장', '#군산', '#여행', '#군산맛집', '#지린성', '#먹방투어']",2021-10-01,0,군산 지린성
6,군산은 짜장면밖에 생각안나 기승전#지린성 쩝쩝,['#지린성'],2021-10-11,0,히로쓰 가옥
7,여기 고추짜장 증말 g린다 🔥 지린성 !! ❤️🪧디렉터 : 마구와구 @magoo_wagoo 매운거 세상에서 제일 조아하는 막왁 거짓안보태고 거의 고추짜장 먹으려고 군산 갓다왔자나요 너어어어무 궁금했다그 😂 저는 거의 오픈 하자마자 방문해서 웨이팅은 없었어요 호우~진한 짜장맛에 고기향 폴폴 청양고추 잔뜩이라 매콤하면서도 풍부한 짜장맛이 진짜 맛부터 식감까지 입안 천국 만드로 🙃 다른 고추짜장 들 많이 나오지만 먹자마자 이게 진짜 찐원조구나 여긴 또와야해 생각했으나!짬뽕의 임펙트는 강하지못했다고한다😢 고추짜장이 매콤한데에비해 짬뽕은 별로 매콤하거나 칼칼한맛이 없는 그냥 보통 짬뽕처럼 느껴졌다 ㅠ 그래두 고추짜장 하나 보고라도 다시오고픈 곳 !! 군산가면 지린성 추천 💕#미식클럽_군산#막왁트립#막왁_군산#지린성#군산여행#군산맛집#군산여행코스#군산여행추천#군산맛집추천#군산맛집여행#전북여행#전북맛집#고추짜장#고추짬뽕#짜장맛집#먹킷리스트#짜장면#먹스타맞팔,"['#미식클럽_군산', '#막왁트립', '#막왁_군산', '#지린성', '#군산여행', '#군산맛집', '#군산여행코스', '#군산여행추천', '#군산맛집추천', '#군산맛집여행', '#전북여행', '#전북맛집', '#고추짜장', '#고추짬뽕', '#짜장맛집', '#먹킷리스트', '#짜장면', '#먹스타맞팔']",2021-08-01,0,
8,#맛스타그램 #먹스타그램 #맛집 #맛점하세요😋 #맛점하세요 #맛점😋 #전라북도 #전북 #군산 #지린성 #짬뽕 #최고👍 #오늘아님주의 #익산 #전주 #대전 #골프스타그램 #골프 #골린이🐥 #골프치는SSG팬 #선팔하면맞팔가요 ᆞᆞ오늘 점심은 지린성 짬뽕😊(저번에 먹은 짬뽕)사실은 다른 집에서 먹었어요😊울인님들 점심 뭐 드셨나요???맛점하세요😊😊,"['#맛스타그램', '#먹스타그램', '#맛집', '#맛점하세요😋', '#맛점하세요', '#맛점😋', '#전라북도', '#전북', '#군산', '#지린성', '#짬뽕', '#최고👍', '#오늘아님주의', '#익산', '#전주', '#대전', '#골프스타그램', '#골프', '#골린이🐥', '#골프치는SSG팬', '#선팔하면맞팔가요']",2021-07-18,0,군산 지린성
9,바다#변산반도#바다#회#여행#군산#지린성,"['#변산반도', '#바다', '#회', '#여행', '#군산', '#지린성']",2021-10-21,0,
