,content,hashtag,date,like,place
0,어버이날입니다이맘 때쯤 부모님께 함께 식사하자고 말하면‘힘들게 번 돈 안써도 되니 집에서 밥먹자’는 어머니와‘힘들게 번 돈 너한테 쓰느라 맛있는 거 못먹었다’는아버지의 승강이 속에 외식지를 선택하곤 했습니다-어릴 땐 이런 날이면 식사말미에 눈물의 메소드연기로훈훈한 마무리를 연출하곤 했는데 이제 나이 먹으니오글토글거리는 멘트 날리기도 어려워 고민이 됩니다그래서 이날은 외식인답게 음식에 제 감정을 입혀봤는데요-이제 아들놈 다 큰 줄 알고 안심하고 살았더니등심같이 새로운 일 벌려 걱정이 많으신 부모님!‘얘가 밥은 먹고 살까?’ 염려해주신 덕분에고도비만이란 창의적 결과를 얻을 수 있었습니다이왕이면 ‘얘가 로또는 맞을 수 있을까?’라고고민해주신다면 머지않아 로또회사도 인수하겠어요-고래싸움에 새우살 터진다고 계속 품안에 자식해봐야살 터진 돼지밖에 더 되겠냐며 독립을 선언한 제게아버지는 고기도 숙성을 해야 더 맛있는 법인데용돈은 숙성이 안되는 것 같다고 나갈 땐 나가더라도용돈은 인상하고 나가자고 인상쓰며 말씀하셨어요마음까지 퍽퍽하게 건조숙성되는 기분이었지만MSG없는 참된 사랑을 다시 느낄 수 있었습니다-그래도 즐거웠던 건 평소 건강 땜에 고기 잘 드시지 않던어머니가 <뜨락> 소고기만큼은 양껏 드셨단 거에요이제 그만 먹을 때도 됐는데 끊임없이 먹던 형과 달리 ^^늘 고생하던 어머니가 편히 서빙받는 모습이 짠했던 날입니다-#말은이래도부모님사랑합니다#3개월잔방권획득 #잔소리방지권#청담동 #뜨락 #청담동뜨락,"['#말은이래도부모님사랑합니다', '#3개월잔방권획득', '#잔소리방지권', '#청담동', '#뜨락', '#청담동뜨락']",2019-05-08,0,청담동 뜨락
1,"[뜨락, 청담동]오랜만에 찾은 청담동의 한우구이전문점 뜨락. 영동대교 남단 뒷골목에 숨겨져 있어 위치 자체가 무척 매력인 곳입니다. 1998년에 개업했으니 어느덧 23년차에 접어 들었네요. 수요미식회에 소개된 이후로 안심 맛집이라고 소문이 났지만, 사실 밑반찬부터 어느것 하나 서투르게 내는 것이 없는 아주 맛있는 집입니다. 서비스도 훌륭하구요.그동안은 1층의 홀과 2층의 룸만 있는 줄 알았는데, 3층에 별도로 코스메뉴를 내는 룸 3개가 생겼더군요. 소식을 좀 늦게 접했는데 궁금하던 차에 지인들과 함께 찾았습니다.인당 15만원에 고기를 포함해 총10가지가 넘는 요리가 제공되었는데 하나하나 전부 맛이 좋아서 이 가격에 가능한 코스인가 싶을 정도로 훌륭했습니다. 기본적으로 내주는 밑반찬에 이날은 포항초 비슷한 시금치가 포함되었는데 은은한 단맛이 시작부터 아주 맘에 들었습니다.이어서 죽,샐러드,섭산삼,안심편채,육회,안심육전,어란&부각,오미자주스,한우모듬구이,소꼬리찜,전복솥밥&모시조개국,다과가 준비되었는데, 맛도 맛이지만 사용된 식재료가 아주 좋더군요!공주밤,참송이버섯,횡성더덕,가평잣,나주배,문경오미자,해들쌀과 게우장,백모시조개, 그리고 1.2도의 저온에서 30일 이상 숙성한 투플러스 한우까지.. 메뉴에 나열되어 있는 재료들만 보더라도 얼마나 제대로 준비했는지 짐작할 수가 있었습니다. 맛은 물론이구요!한우모듬구이는 대표메뉴인 안심과 살치살, 안창살, 안심추리가 준비되었고, 이어서 준비된 소꼬리찜도 아주 훌륭했어요.요즘 워낙 한우구이집들이 많이 생겨서 언젠가부터 대부분 비슷비슷한 느낌들이었는데, 뜨락에서 하니 역시 다르네요.👍 오랜만에 맛있게 잘 먹었습니다!@tteurak_jk #청담동뜨락 #한우구이 #p2b_한식","['#청담동뜨락', '#한우구이', '#p2b_한식']",2020-02-13,0,청담동 뜨락
2,<뜨락 후기> - 청담 자이 주민이라면 가볼만하다. 일단 고기를 구울 때... 잘 굽지 못하는 듯 합니다. 호박이나 이런 거는 그냥 태운채로 냅두고요. 고기맛은 나쁘지 않습니다. 뭔가 과거의 명성을 기반으로 장사에 별로 신경쓰지 않는 모습입니다. 재미있는 점은 고기이외의 것들이 맛있습니다. 김차맛집 무맛집이 아닌가하는 생각도 들었고요. 육회는 진짜 맛있었습니다. 다시 가지는 않을 듯 합니다. 그냥 동네 고깃집이니 청담 자이 주민이라면 추천합니다.,[],2020-11-10,0,뜨락
3,"<청담동 뜨락 - 미홀 카페 후기 공유> - 청담 자이 뒤라 위치적으로 불리⠀- 안심을 좋아하면 안심을 먹을만한 곳. 안심에 산토리 한잔 곁들이기⠀- 살치살도 꽤 맛있음. 특히나 안심 육전이 꽤 맛있음. 양은 적음.⠀- 여기 위치가 청담 자이 뒷편이어서 청담에서는 외진 곳이고⠀- 소금도 하나만 주어서 소꿉, 우미학, R고기에 비해서는 아쉬움⠀- 다만.. 너무 유명한 한우집들만 다루는 것도 좋지 않아서(거만해지는 곳이 많음) 뜨락을 다루어봅니다.⠀- 다녀오셨던 분들은 댓글로 후기 남겨주세요. 미홀 여러분들의 집단지성이 진짜 맛집을 만듭니다.",[],2019-12-02,0,청담동 뜨락
4,"청담동에 위치한 최고의 한우 맛집 ""뜨락""...뜨락 3층에는 한식과 한우의 콜라보를 제대로 맛볼 수 있는한우 오마카세 전용 6인, 8인, 12인 룸이 마련되어 있음...@jimin_r 님의 감사한 초대로 멋들어진 테라스 공간이 있는8인 룸에서 뜨락 사장님 그리고 좋은 분들과 함께 정말 맛있고즐거운 시간을 보냈음...일식에 촛점이 맞춰져 있거나 다국적 음식을 내는 다른 한우오마카세 업장들과는 달리, 뜨락은 굳건히 한식을 바탕으로 한제대로 퀄리티 높은 요리들과 한우 구이를 선보이고 있음...그래서 더욱 뜨락을 더욱 인정할 수 밖에 없고, 역시 이번에도아주 훌륭하고 너무 맛있었던 최고의 미식 경험....#일상 #맛집 #맛집스타 #맛집스타그램 #맛 #맛스타 #맛스타그램 #먹방 #먹방스타 #먹방스타그램 #먹스타 #먹스타그램 #푸드 #푸드스타그램 #푸드파이터 #미식 #불꽃로드 #청담동 #청담동맛집 #한우 #한우맛집 #한우오마카세 #안심 #인생안심 #뜨락안심 #뜨락 #청담동뜨락","['#일상', '#맛집', '#맛집스타', '#맛집스타그램', '#맛', '#맛스타', '#맛스타그램', '#먹방', '#먹방스타', '#먹방스타그램', '#먹스타', '#먹스타그램', '#푸드', '#푸드스타그램', '#푸드파이터', '#미식', '#불꽃로드', '#청담동', '#청담동맛집', '#한우', '#한우맛집', '#한우오마카세', '#안심', '#인생안심', '#뜨락안심', '#뜨락', '#청담동뜨락']",2020-03-23,0,
5,청담동 맛집 뜨락신동엽의인생안심!!☺️🙃🙃역시👍👍👍#헬로우의먹방월드#1일10식#술스타그램#먹스타그램 #맛스타그램 #푸드스타그램 #foodie #foodstagram #foodphoto#뜨락#청담동맛집#청담동뜨락#안심맛집#신동엽의인생안심,"['#헬로우의먹방월드', '#1일10식', '#술스타그램', '#먹스타그램', '#맛스타그램', '#푸드스타그램', '#foodie', '#foodstagram', '#foodphoto', '#뜨락', '#청담동맛집', '#청담동뜨락', '#안심맛집', '#신동엽의인생안심']",2020-03-23,0,청담동 뜨락
6,_어제 은정이 생일밥 먹으러.수요미식회 신동엽의 인생안심으로소개되었던 곳이라는데 진짜 너무 맛있어서 7인분이나 흡입했어요@maria_chuu 생일 너무 축하해🥳#뜨락 #청담동뜨락 #파티또있는거실화니,"['#뜨락', '#청담동뜨락', '#파티또있는거실화니']",2020-07-19,0,뜨락
7,"#청담뜨락 🥩💚🥢😋소고기 먹자며 #청담동뜨락 예약했다고 말해놓고선, 안심 올라온거 보자마자 채끝살 추가로 주문해놓고선,, 나만 먹냐며 왜 안 먹냐니깐 나는 그렇게 고기를 좋아하지 않아""라고 말해서 읭?👀ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐라고 ㅋㅋㅋㅋㅋㅋㅋ(다음 달 생일에 오디갈지 정해서 날짜랑 알려쥬세욤 🤲🏻💕)​+3개월 동안 6kg 찐 걸 다 뺄 수는 없겠지만 오늘부터 12월 31일까지 5kg 감량하도록 할게요, 갑자기 분위기 #오늘부터다이어트 😓​​#낭쟈다이어리 ✍🏻","['#청담뜨락', '#청담동뜨락', '#오늘부터다이어트', '#낭쟈다이어리']",2021-10-18,0,청담동 뜨락
8,청담동 뜨락3층의 한우 오마카세는고기구성도 훌륭하지만 함께 나오는메뉴들도 하나같이 정갈하고 맛있다이런 훌륭한 구성을 만든 @tteurak_jk 의대표님 칭찬해요 👏👏👏#헬로우의먹방월드#1일10식#술스타그램#먹스타그램 #맛스타그램 #푸드스타그램 #foodie #foodstagram #foodphoto#뜨락#청담동맛집#청담동뜨락#안심맛집#신동엽의인생안심,"['#헬로우의먹방월드', '#1일10식', '#술스타그램', '#먹스타그램', '#맛스타그램', '#푸드스타그램', '#foodie', '#foodstagram', '#foodphoto', '#뜨락', '#청담동맛집', '#청담동뜨락', '#안심맛집', '#신동엽의인생안심']",2020-08-14,0,청담동 뜨락
9,"#먹방 🥩😋......몇년만에 보는 희연이랑~짧지만 알차게~~~(희연이 남편찬스) 로 맛있는 점심도 먹고,생일선물 까지…고마워~^^😊🙏ㅋㅋㅋ 🤣 세상에 꽁짜 라는건 없는 거예용~목소리 우째🤭......#멋진동생#쌍둥이맘#항상응원해 #청담동뜨락","['#먹방', '#멋진동생', '#쌍둥이맘', '#항상응원해', '#청담동뜨락']",2021-10-19,0,청담동 뜨락
