,content,hashtag,date,like,place
0,#카페노티드 #청담맛집 요즘 핫하다는 카페 노티드의 노티드 도넛!지인이 줄을 서서 사왔다는 말에 원래 단 음식이나 빵을 좋아하지는 않지만 도전🤗우왕... 맛있잖오😋왜 유명한지 이유를 알겠다. 자주 먹기는 좀 그렇지만 당떨어질 때 파워 충전 가능할 듯!3.4/5#노티드도넛 #도넛 #디저트 #빵스타그램 #청담동맛집 #서울맛집 #소통 #일상 #좋아요 #선팔맞팔 #먹팔 #맛집  #푸드스타그램  #집밥스타그램 #맛집스타그램 #먹스타그램 #프로먹방러 #푸드파이터 #daily #fff #f2f #jmt #mukbang #foodporn #foodstagram #foodie #koreanfoods,"['#카페노티드', '#청담맛집', '#노티드도넛', '#도넛', '#디저트', '#빵스타그램', '#청담동맛집', '#서울맛집', '#소통', '#일상', '#좋아요', '#선팔맞팔', '#먹팔', '#맛집', '#푸드스타그램', '#집밥스타그램', '#맛집스타그램', '#먹스타그램', '#프로먹방러', '#푸드파이터', '#daily', '#fff', '#f2f', '#jmt', '#mukbang', '#foodporn', '#foodstagram', '#foodie', '#koreanfoods']",2021-10-10,0,카페 노티드 청담 - Cafe Knotted Cheongdam
1,"노티드의 귀여움은 끝이없다! 몽쉘과의 콜라보로 ‘마롱 몽블랑 케이크 쁘띠몽쉘’이 출시되었다는 소식입니다. 밤이 땡기는(제철인) 계절, 몽블랑 몽쉘과 함께 하시는 것은 어떠신지요…🌰 청담점에서는 ‘몽블랑 도넛’도 만나볼 수 있다는거👀 #노티드X몽쉘 #노티드 #롯데몽쉘 #쁘띠몽쉘마롱몽블랑","['#노티드X몽쉘', '#노티드', '#롯데몽쉘', '#쁘띠몽쉘마롱몽블랑']",2021-10-19,0,
2,"2021.7.카카오프렌즈샵 × 카페 노티드 도넛🙃드디어! 저도 노티드도넛을 먹어보았습니다'◡' 도넛외에 크로아상, 스콘, 샌드위치 등등 먹고 싶은게 너무나도 많았지만 첫번째는 시그니쳐인 도넛을 먹어야쥬❤개인적으로 구매한 것 중에는 우유생크림도넛이 원픽!우유생크림, 클래식바닐라, 레몬슈가, 카야버터를 먹어봤는데다른 추천해주실 메뉴가 있을까요~~?강남 카카오프렌즈샵이 리뉴얼되고 뽀짝해졌어요상자도 귀엽구 인테리어도 귀엽구카카오×노티드 콜라보 칭찬해(ว˙∇˙)ง..#강남카페 #강남역카페 #카페노티드 #노티드도넛 #도넛맛집 #우유도넛 #우유생크림도넛 #클래식바닐라도넛 #레몬슈가도넛 #카야버터도넛 #먹스타그램","['#강남카페', '#강남역카페', '#카페노티드', '#노티드도넛', '#도넛맛집', '#우유도넛', '#우유생크림도넛', '#클래식바닐라도넛', '#레몬슈가도넛', '#카야버터도넛', '#먹스타그램']",2021-08-01,0,
3,"⠀😆 노티드쁘띠 몽쉘 마롱몽블랑케이 (3,360원)여러분!! 노티드랑 쁘띠 몽쉘이랑 콜라보 한 거 아셨어요?대바아아악!! 어제 쓱배송할 거 있어서 주문하다가허얼 노티드 쁘띠 몽쉘이 떠억하니😍😍꺄 소리질러어어어🤣🤣🤣⠀전 그냥 패키지만 콜라본 줄 알았거든요제대로 읽어보지도 않았음요🤣🤣🤣그런데 심지어 맛이 몽블랑!!! 꺄 소리질러어어어어😍😍몽슐랭로드 프로젝트 1탄으로 카페노티드 쉐프들과의 콜라보마롱몽블랑 케이크래요👍🏼👍🏼👍🏼⠀패키지는 말모말모 귀욤 그 자체구요 5개 디자인이예요열어보니 쁘띠 몽쉘이라 저 같은 사람은 그저 한입 크앙🤣은은한 밤 향이 폴폴😍 크림은 연한밤 같아요잘라보니 가운데엔 밤🌰페이스트가!성분보니 밤시럽과 밤페이스트가 조금 들어갔더라구요아메리카노랑 완전 찰떡일듯요👍🏼👍🏼⠀#내돈내산 #노티드 #카페노티드 #knotted #몽쉘 #몽슐랭로드 #쁘띠몽쉘 #마롱몽블랑몽쉘 #디저트그램 #간식스타그램 #오늘뭐먹지 #오늘의간식 #먹스타그램 #먹스타 #먹스타맞팔 #신상과자 #ssg닷컴 #쓱배송 #쓱닷컴","['#내돈내산', '#노티드', '#카페노티드', '#knotted', '#몽쉘', '#몽슐랭로드', '#쁘띠몽쉘', '#마롱몽블랑몽쉘', '#디저트그램', '#간식스타그램', '#오늘뭐먹지', '#오늘의간식', '#먹스타그램', '#먹스타', '#먹스타맞팔', '#신상과자', '#ssg닷컴', '#쓱배송', '#쓱닷컴']",2021-10-12,0,
4,강남카카오프렌드샵x카페노티드귀여운거x귀여운거!!!! ◡̈ 소문나게 맛있는 도넛이랑 요즘 핫한 크로넛 그리고 가성비 대박이라는 케이크까지 있는데 오늘 안갈꺼야!?다양한 포토존도 준비되어있으니도넛먹고 인생샷 찍고오쟈!귀여운 굿즈들도 한가득이니 마음을 단단히 먹고 들어가쟈구!아맞다난 오늘 갈끄야!!!!@@당장달려가자#카페노티드 #카페노티드강남카카오 #노티드 #노티드강남 #강남노티드 #강남역노티드 #강남역맛집 #강남역카페 #강남카카오프렌즈샵 #강남카카오프렌즈 #도넛맛집 #노티드추천도넛 #노티드우유크림도넛 #노티드얼그레이도넛 #강남역디저트 #강남역디저트 #노티드인형 #카카오프렌즈노트,"['#카페노티드', '#카페노티드강남카카오', '#노티드', '#노티드강남', '#강남노티드', '#강남역노티드', '#강남역맛집', '#강남역카페', '#강남카카오프렌즈샵', '#강남카카오프렌즈', '#도넛맛집', '#노티드추천도넛', '#노티드우유크림도넛', '#노티드얼그레이도넛', '#강남역디저트', '#강남역디저트', '#노티드인형', '#카카오프렌즈노트']",2021-08-26,0,
5,평범한 케이크는 싫다는 내 친구 위해 준비하면 감동할 노티드 케이크 추천#노티드 #노티드도넛 #카페노티드 #노티드케이크 #생일케이크추천 #케이크추천 #파티케이크 #디저트 #케이크 #라이프 #데일리 #daily #life,"['#노티드', '#노티드도넛', '#카페노티드', '#노티드케이크', '#생일케이크추천', '#케이크추천', '#파티케이크', '#디저트', '#케이크', '#라이프', '#데일리', '#daily', '#life']",2021-08-05,0,
6,"#방배 #노티드도넛#태양커피 갈 때, 항상 #메종엠오 나 #페이브베이커리 빵 포장했는데 이제 #노티드 추가합니다? 흐헤헤😎 서래점 생긴줄은 알았는데 이 위치 일줄이야~💓 전 무슨 빵들을 사왔을까욧ㅎㅎ 이 날 #빵투어 참으로 알참… 양손 가득히~ 거즘 전신 근력운동 파머스 워크급🙄","['#방배', '#노티드도넛', '#태양커피', '#메종엠오', '#페이브베이커리', '#노티드', '#빵투어']",2021-08-29,0,카페 노티드 서래 - Cafe Knotted Seorae
7,🍌🥛아빠 병원 진료 끝나고 난 #노티드 로~🤭🤭 강남이랑 청담만 가봤는 데 담엔 잠실이나 삼성으로 가봐야지~😁😁💛💚💗#cafeknotted#카페노티드#노티드#노티드도넛#노티드청담#노티드청담점,"['#노티드', '#cafeknotted', '#카페노티드', '#노티드', '#노티드도넛', '#노티드청담', '#노티드청담점']",2021-10-04,0,카페 노티드 청담 - Cafe Knotted Cheongdam
8,노티드와 몽쉘의 합작 마롱몽블랑🌰 밤순이는 이 조합 절대 못참지요😌 일단 패키지가 귀여워서 합격인데 생각보다 밤맛도 진해서 더더 만족스러웠던 오늘의 소비🤎 최근 노티드 콜라보중에 가장 만족스러운 제품이에요👀 예쁘게 플레이팅 했으니까 몽슐랭프로젝트 이벤트도 참여해볼게요? 🧸🎈#몽슐랭프로젝트 #디저트힐링로드 #몽쉘 #노티드#쁘띠몽쉘 #쁘띠몽쉘마롱몽블랑 #롯데제과,"['#몽슐랭프로젝트', '#디저트힐링로드', '#몽쉘', '#노티드', '#쁘띠몽쉘', '#쁘띠몽쉘마롱몽블랑', '#롯데제과']",2021-10-20,0,평화로운 우리집
9,"_____#카페노티드 #노티드강남카카오 #카카오프렌즈샵 #밀키크로와상 우유생크림도넛이랑 동일하게 우유크림 아래 바닐라크림이 있다. 크로와상도 바삭한 편, 우유크림 진짜 실하게 들어있다. 크롸상은 당일에 먹어야 바삭한 식감과 버터맛을 그대로 느낄 수 있는데, 크림이 이렇게 많이 들어가주면 그대로 천국행🤍","['#카페노티드', '#노티드강남카카오', '#카카오프렌즈샵', '#밀키크로와상']",2021-10-21,,
