,content,hashtag,date,like,place
0,오늘아침은 배달의 명가 우리집에 다녀왔어요특 설렁탕과 뚝배기불고기를 시키고소주 대신 스파클링워터 한병양을 많이 먹는대신 밥은 안먹었어요(차라리 밥을 먹구 양을 줄이지 돼지야)열심히 해장하고 다시 소파에 누워줍니다#배달의명가 #우리집 #설렁탕 #뚝불 #해장 #평방옥 #배민,"['#배달의명가', '#우리집', '#설렁탕', '#뚝불', '#해장', '#평방옥', '#배민']",2020-06-20,0,
1,설렁탕은 살 안쪄요 소면 빼고 소금은 친듯만듯 밥은 안먹구고기랑 스지 충분히 먹구 클린 해장 完살은 내가 찌겠죠....ㅡㅡ#해장 #배민 #평방옥 #설렁탕 #클린해장 #다이어트 #어쩌지,"['#해장', '#배민', '#평방옥', '#설렁탕', '#클린해장', '#다이어트', '#어쩌지']",2020-07-02,0,
2,🥘🥗.《평방옥》.뜨끈얼큰한국물과 이가시릴정도의 차가운 냉면의 조화..배추와 우거지 양 넣고 헤비하지 않게끓인 털털이매운탕이 괜찮더라..해장은 역시 온냉을 오가는것이 최고....#역삼역맛집 #평방옥 #해장국 #물냉면#털털이해장국 #국밥 #냉면 #해장#맛스타그램,"['#역삼역맛집', '#평방옥', '#해장국', '#물냉면', '#털털이해장국', '#국밥', '#냉면', '#해장', '#맛스타그램']",2021-01-02,0,평방옥
3,.역삼8년차회사원 맛집탐방기.#평방옥 .(재방문의사있음).#냉면 9.0#만두 6.0.새로 생겨서 한번 가본 집간판은 대충 만든 것 같았는데 ㅋㅋㅋ 모든 메뉴가 고루고루 평타 이상은하는 것 같으다 ! .물냉보다는 비냉김치만두보다는 고기만두가맛이가 있었다 !!!!.담에는 술마시고 털털이해장국을 먹으러가보겠다! .#내돈주고내가사먹은후기#맛있수지다,"['#평방옥', '#냉면', '#만두', '#내돈주고내가사먹은후기', '#맛있수지다']",2020-06-14,0,
4,"#오늘의해장 여기 설렁탕 김치가 핵맛🤭 맛있는녀석들에 나왔다고 해서 배달시켜봤는데따듯하게 오고 넘 잘먹었음👍🏻냉면도 팔던데 다음엔 냉면 도전해봐야지✨✔️설렁탕 9,000",['#오늘의해장'],2020-10-15,0,Yeoksam-dong
5,요즘식당가면단체로오는 손님은거의없고혼자와서 밥만후딱먹고가는 사람들이많타이노메코로나........#평방옥#갈비탕맛집#강남역맛집#강남맛집#역삼동맛집#혼술#혼밥#반주#프로혼술러 #이슬이주세요#jmt,"['#평방옥', '#갈비탕맛집', '#강남역맛집', '#강남맛집', '#역삼동맛집', '#혼술', '#혼밥', '#반주', '#프로혼술러', '#이슬이주세요', '#jmt']",2020-09-04,0,평방옥
6,"룰루 오늘은 혼밥이 아니지비~일터근처에 맛녀석들 다녀간 곳있어서 가봄~  설렁탕이랑 털털이해장국, 회냉면 춉춉설렁탕이랑 해장국은 맛났는데...회냉이 회냉이... 많이 아쉬었다 ㅠㅠ김치는 참맛!! 다음에 설렁탕 먹으러 다시가야징~#평방옥 #맛있는녀석들 #역삼맛집 #설렁탕 #털털이해장국 #회냉면 #저녁 #오늘저녁 #김치 #깍두기 #delicious #seolungtang #naengmyeon #dinner #夕飯　#おいしい","['#평방옥', '#맛있는녀석들', '#역삼맛집', '#설렁탕', '#털털이해장국', '#회냉면', '#저녁', '#오늘저녁', '#김치', '#깍두기', '#delicious', '#seolungtang', '#naengmyeon', '#dinner', '#夕飯', '#おいしい']",2020-10-15,0,평방옥
7,교정진료 받고 복덩이님 만나서 따뜻하고 맛난 점심♡여러겹 옷을 껴 입었는데도 춥다;; 길은 미끌거리고ㅠ따뜻한 설렁탕 먹고 싶다고 하니 맛집으로 데리고 감.맛있는녀석들 촬영 한 테이블에 앉아서 설렁탕에 고기만두로 든든한 점심을 먹었다^^#강남엔치과 #강남역10번출구 #클리피씨교정 #평방옥 #맛있는녀석들맛집,"['#강남엔치과', '#강남역10번출구', '#클리피씨교정', '#평방옥', '#맛있는녀석들맛집']",2021-01-07,0,
8,털털이해장국??? 그냥 내장탕이라고 보믄된다김치만두가 내스타일.... ...#평방옥#해장국맛집#김치만두맛집#설렁탕맛집#역삼동맛집#강남맛집#강남역맛집#혼술#혼밥 #프로혼술러 #혼술스타그램 #반주 #반주스타그램 #술스타그램 #이슬이주세요#jmt,"['#평방옥', '#해장국맛집', '#김치만두맛집', '#설렁탕맛집', '#역삼동맛집', '#강남맛집', '#강남역맛집', '#혼술', '#혼밥', '#프로혼술러', '#혼술스타그램', '#반주', '#반주스타그램', '#술스타그램', '#이슬이주세요', '#jmt']",2020-01-19,0,평방옥
9,아침에비도왓고날씨도쌀쌀11시에 화이자2차 백신접종하고매운뚝불로점심😆간만에먹으니더맛있었당 쿄쿄화이자부작용인지1차랑똑같이엄청졸리네😅#먹스타그램#맛스타그램#먹방#먹부림#데일리#일상#맞팔#선팔#팔로우#팔로잉#인친#소통#오늘점심#점심메뉴#매운뚝배기불고기#역삼#직장인#평방옥#오랜만에#동영상으로남기기#맛있음👍,"['#먹스타그램', '#맛스타그램', '#먹방', '#먹부림', '#데일리', '#일상', '#맞팔', '#선팔', '#팔로우', '#팔로잉', '#인친', '#소통', '#오늘점심', '#점심메뉴', '#매운뚝배기불고기', '#역삼', '#직장인', '#평방옥', '#오랜만에', '#동영상으로남기기', '#맛있음👍']",2021-10-15,0,평방옥
