,content,hashtag,date,like,place
0,🥂🍾✨갈수록 눈만 높아져서 큰 일...🤦🏻‍♂️🤑어젯밤 #돔페리뇽 #빈티지2008#한병으로모자라 ㅋㅋㅋㅋㅋㅋ#소맥도물론좋아합니다만#샴페인같이한잔이라면언제든오케이🙋🏻‍♂️,"['#돔페리뇽', '#빈티지2008', '#한병으로모자라', '#소맥도물론좋아합니다만', '#샴페인같이한잔이라면언제든오케이🙋🏻\u200d♂️']",2019-09-18,0,Four Seasons Resort Chiang Mai
1,"⠀⠀⠀ ⠀⠀⠀ ⠀ 내 피부 광 뭐선129 ,, 💫아낌없이 줄게 다 흡수시키렴💛그나저나 월요일 같은 수요일 끝 !모두 굳 빰 - 하세요 💛💛💛",[],2021-05-12,0,"Ulsan, South Korea"
2,"sᴇᴏᴜʟ ②⓪②①. ᴘᴀʀᴇɴᴛs' ᴅᴀʏ.니콜라이 버그만, 플라워 박스.",[],2021-05-07,0,"Seoul, Korea"
3,휴가마지막날 배터지게 조지기!!!!어젠 쿠우쿠우 오늘은 포시즌스 !!!!!!#맛스타그램 #맛집 #먹스타그램 #먹방 #포시즌스 #수성호텔 #호캉스 #휴가 #먹팔 #선팔 #맞팔 #fff #수성못 #일상,"['#맛스타그램', '#맛집', '#먹스타그램', '#먹방', '#포시즌스', '#수성호텔', '#호캉스', '#휴가', '#먹팔', '#선팔', '#맞팔', '#fff', '#수성못', '#일상']",2020-08-04,0,대구 수성호텔 포시즌스
4,니콜라이 버그만 팀이 여름을 맞아 새롭게 선보이는 포시즌스 호텔 로비 장식 앞에서 사진을 찍어보세요. 아주 완벽한 포토 스팟이 될 거예요. #포시즌스호텔The perfect photo spot for the summer by Nicolai Bergmann and his team. Share your photo with us by tagging #sharemyfs,"['#포시즌스호텔The', '#sharemyfs']",2020-06-08,0,Four Seasons Hotel Seoul 포시즌스 호텔 서울
5,"우리답게 준비한 웨딩 🕊작지만 오래오래, 아침부터 저녁까지 사랑하는 사람들과 행복한 시간을 보냈다. #호수웨딩🥂​1. 마당에서 친지들과 연회를 여는 장면이 바로 상상되어 마음을 뺏긴 #락고재 실제 130년 역사의 한옥이란 점에 매료되었다. 다른 시절로 여행온듯한 기분이길 바라며 영화 Midnight In Paris 풍의 재즈 곡들로 서곡부터 피날레까지 직접 골랐다.2. 특별히 초대받는 느낌을 주고자 전시 티켓처럼 만든 청첩장.3-4. 우리 식대로 기록하고 싶어 준비한 폴라로이드. 친구들이 도착할 때마다 은호가 직접 찍었다.5. 내가 적은 place card. 그림을 그리거나 별명을 적기도. 뒤에는 프라이빗 메시지를 남겼다. (너무 프라이빗해 못 본 사람들도 있다는,,🤫) 팀에서 하나하나 꽃 장식을 해주셨다.그리고 훌륭한 맛은 물론 무척 친절했던 #포시즌스 채식하는 친구들 식사도 따로 준비해 주셔서 모두 즐겁게 먹을 수 있었다.​​6. 반려자에게 각자의 친구들을 소개했다. 매끄럽게 말하진 못했지만 우리 둘에게 의미있던 시간. 7. 가족과 친구들이 남긴 조언과 축하 메시지. 방명록 대신 준비했는데 너무 좋아서 여러번 읽었다.​8. 편지 받는 걸 좋아하는 우리를 위해 예식에서 엄마가 축도를, 축하연에서 친구들이 축사를 해 주었다. ​9. 따로 단체사진 찍는 시간을 갖기보단 자연스러운 장면을 담고 싶어 준비한 샴페인 토스팅. 저녁에는 다 같이 짠,하고 난 후 마당에 서서 자유로이 즐기는 친구들 덕에 근사한 파티가 됐다.10. 친구들과 눈 맞추고 함께 이야기할 시간이 많아 특히 좋았다. 직접 맞이하고 문 앞까지 나가 한 명 한 명 배웅하니 정말 우리집에 초대해 잔치한 느낌.​모든 과정을 같이 준비하고 기획하신 @small_with_yun​ 과많은 결정을 함께 해주신 @inhyehwang0919​ 고맙습니다.그리고 축하해 주신 모든 분들 다시한번 감사합니다!🤍","['#호수웨딩🥂\u200b1.', '#락고재', '#포시즌스']",2021-10-06,0,Rakkojae Seoul Bukchon 락고재 서울 북촌
6, ,[],2019-09-19,0,Four Seasons Hotel Seoul 포시즌스 호텔 서울
7,"Sept. 16th, 2020 * greeting september in fourseasons- a day with a lot of walking and talking.삼청동부터 연희동까지 다이나믹한 하루였지 이날!포시즌스 보칼리노는 광화문에서 이탈리안이 먹고싶다면 강력 추천!.#포시즌스 #보칼리노","['#포시즌스', '#보칼리노']",2020-09-16,0,Four Seasons Hotel Seoul 포시즌스 호텔 서울
8,"#보칼리노 #포시즌스호텔서울So touching, Thanks a million!😃💎 @dadocigno 그리고 항상 잘챙겨주시는 친절하신 직원분들 정말 감사합니다❣️","['#보칼리노', '#포시즌스호텔서울So']",2021-03-10,0,Four Seasons Hotel Seoul 포시즌스 호텔 서울
9,포시즌 호텔 보칼리노 여긴 좀 로컬화 되었어요 덜짜요 #포시즌스#보칼리노#welcometoJBworld #웰컴투재범스월드 #jbwrold #재범맛집,"['#포시즌스', '#보칼리노', '#welcometoJBworld', '#웰컴투재범스월드', '#jbwrold', '#재범맛집']",2021-10-21,0,
