,content,hashtag,date,like,place
0,"한 입 먹자마자 벨트 풀고 흡입했다. 알곤이 칼국수라니 술꾼들 미쳐 돌아버릴 맛이다.#하니칼국수 #피그웨이브_신당저녁만 되면 쌀쌀한 요즘 매콤칼칼한 국물이 땡긴다. 거기에 알과 곤이가 풍덩 빠져있다. 이건 술 안 먹으면 범죄다. 고소하고 담백한 알에 국물 한 입 호로록하면 소주 원샷은 국룰.재첩 쌀국수는 서울 중심부 중구를 지리산과 섬진강으로 배산임수가 완벽한 하동인 것처럼 만든다. 국물이 너무 시원하서 섬진강을 바라보며 국물을 마시는 듯하다. 수육은 만 원도 안하는데 맛있다. 퀄리티가 꽤 좋다. 김치와 싸먹으면 찰떡궁합.게다가 이 집은 밥이 무료다. 매콤한 국물에 밥 말아먹으니 이거야 말로 밥도둑이다. 📍 서울 중구 퇴계로 411-15◾알곤이칼국수 ₩10,000◾재첩칼국수 ₩7,000◾️수육 ₩9,000🏷 피웨 부캐 노포 간판 수집가 @nopo__joa#신당동맛집 #신당맛집 #칼국수 #칼국수맛집 #중구맛집 #동대문맛집 #동대문역맛집 #을지로맛집 #종로맛집","['#하니칼국수', '#피그웨이브_신당저녁만', '#신당동맛집', '#신당맛집', '#칼국수', '#칼국수맛집', '#중구맛집', '#동대문맛집', '#동대문역맛집', '#을지로맛집', '#종로맛집']",2021-10-05,0,서울 중구 신당동
1,"신당동에 생기자마자 핫한 비쥬얼쩔 알곤이칼국수🍜꼬소한 알곤이에 매콤칼칼한 국물, 탱글한 면까지 완벽!쏘주 한잔하면 술마시면서 바로 해장도 가능ㅋㅋ살살녹는 수육이랑 같이 호로록 땡기면 혓바닥 천국간대TT푸지미한 알곤이로도 배부르지만 꼭 밥도 말아먹기!💗얼큰 칼칼한 칼국수 호로록땡기러@@-🍜 #하니칼국수 📍 중구 퇴계로 411-15⏰ 11:30 – 22:00 브레이크타임 15:00 – 17:00-#서울맛집추천 #신당동맛집 #신당동밥집 #신당맛집 #신당맛집추천 #서울칼국수 #알곤이칼국수 #칼국수맛집 #서울신상맛집 #서울핫플_맛집 #서울핫플_신당동","['#하니칼국수', '#서울맛집추천', '#신당동맛집', '#신당동밥집', '#신당맛집', '#신당맛집추천', '#서울칼국수', '#알곤이칼국수', '#칼국수맛집', '#서울신상맛집', '#서울핫플_맛집', '#서울핫플_신당동']",2021-04-27,0,
2,"#내돈내산#하니칼국수 #알곤이칼국수✔️하니 칼국수 10,000원알이 듬뿍 푸짐한 매콤 칼국수!!충아센에서 뮤지컬 관람후 매콤한게 땡긴다면 강추에요!!해장 느낌나는 동시에술 생각나는 맛🍺미나리랑 알이랑 곤이가 진~짜 푸짐하게 들어있어서너어무 든든하더라구요!!😜사진은 못 찍었지만 양이 아쉬운 분들을 위한밥도 무한리필로 준비 되어있어서 양 많은분들도 든든히 먹을 수 있을 것 같아요!👍🏻📍서울 중구 퇴계로 411-15 (신당역에서 걸어서 5분)⏱평일 11:30 - 22:00 (브레이크 타임 15:00-17:00) (점심 주문 마감 14:30) (저녁 주문 마감 21:00)⏱주말 11:30 - 22:00 (저녁 주문 마감 21:00)#중구 #신당역 #흥인동 #신당동 #슈얌얌_흥인동 #슈얌얌_신당동 #슈얌얌_술 #슈얌얌_밥 #슈얌얌_중구 #슈얌얌_서울","['#내돈내산', '#하니칼국수', '#알곤이칼국수✔️하니', '#중구', '#신당역', '#흥인동', '#신당동', '#슈얌얌_흥인동', '#슈얌얌_신당동', '#슈얌얌_술', '#슈얌얌_밥', '#슈얌얌_중구', '#슈얌얌_서울']",2021-10-10,0,하니칼국수
3,📍서울_신당역✅ #하니칼국수 / 알곤이칼국수하트점수 : ♥️♥️♥️♥️♥️♥️🖤⠀<해장으로 완벽한 알곤이칼국수의 탄생✨ : #하니칼국수>⠀얼큰하고 칼칼한 국물에 명태 알(곤이)과 이리가산더미처럼 올라간 #알곤이칼국수 먹고왔습니다.⠀국물먼저 한 숟갈 먹었는데 칼칼한 대구탕이 느껴지는 맛이었습니다. 매콤한 맛 때문인지 속이 삭- 풀리는데 해장으로 이맛 이길수있는 칼국수는 없을것 같더라구요..🥲⠀땀 꾸멍이 전부 열려서💦 흐르는 땀 닦으면서 먹었어요간만에 맛있게 먹은 칼국수였습니다.재첩칼국수는 섬진강 재첩이 많이 들어가서 맑은 국물의 칼국수인데 청양고추가 들어가서 칼칼한 하고 시원한 맛이에요🌶🍜동그랑땡🌟: 동글동글 주먹만한 수제 고기완자입니다. 맛나게 튀긴 동그랑땡이 촉촉하고 칼국수와 잘 어울립니다.⠀+🍚 공기밥이 무료 제공입니다. 개꿀🍯쫄깃한 칼국수면 먹을때와 남은 국물에 공기밥 말았을때 맛이 완전히 다릅니다. 국물에 스며든 쌀맛이 기가막히는 맛입니다.. 코박고 그릇바닥 보일때까지 퍽퍽 다 퍼먹었습니다🥲⠀배가 부르더라도 반공기만 말아서 드셔보세요.잊지못할 맛입니다. 다음에 또 맛보러 갈거에요..⠀⠀◾️ #하니칼국수◾️ 11:30 - 21:00 / BT 15:00 - 16:00◾️ 서울 중구 퇴계로 411-15◽️◾️ 알곤이칼국수 10.000₩◾️ 해장칼국수 8.000₩◾️ 재첩칼국수 7.000₩◾️ 동그랑땡 15.000₩⠀#신당동맛집 #신당역맛집#동대문맛집 #알곤이칼국수,"['#하니칼국수', '#하니칼국수>⠀얼큰하고', '#알곤이칼국수', '#하니칼국수◾️', '#신당동맛집', '#신당역맛집', '#동대문맛집', '#알곤이칼국수']",2021-09-02,0,하니칼국수
4,"요즘 외식 기업 중 가장 핫한 코리아미트클럽(KMC)에서 운영하는 웨이팅맛집 탐방 1탄 #하니칼국수 😍 ※ KMC 대표님들이 운영하는 식당은 뜨락(청담동), 행진(합정동), 금돼지식당(약수동), 영동장어(논현동), 두툼(충정로), 몽탄(삼각지), 초원(남영동), 수티(더현대서울), 하니칼국수(신당), 뚝도농원(성수)으로 엄청나게 화려합니다!!!",['#하니칼국수'],2021-09-10,0,하니칼국수
5,"코시국엔 #속초여행 대신 #신당동 이 답이에요!⠀⠀⠀⠀⠀⠀⠀알쓰, 알귀들도 ((주당 빙의)) 가능한 #하니칼국수 입니다😇6호선 #신당역 12번 출구, 도보 2분 거리에 위치하고 있어영⠀⠀⠀⠀⠀⠀⠀#알곤이칼국수 와 재첩칼국수, 모둠 한접시(동그랑땡+수육)그리고 단짠단짠의 극치인 돼지갈비를 주문했습니다⠀⠀⠀⠀⠀⠀⠀사실상 겁나 푸짐한 비주얼에서 게임 끝나버린 알곤이칼국수는저 걸쭉하고 시뻘건 국물 한 숟갈에 존맛의 기운이 느껴집니다어찌나 얼큰한지 괜히 맵부심 부리다가 염라대왕님 만날 뻔;;;먹자마자 속이 풀려서 전날 술 안마셨어도 절로 해장되는 너낌곤이와 이리 양이 상당해서 알탕에 칼국수사리 넣은 수준이에요⠀⠀⠀⠀⠀⠀⠀🌽옥수수🌽를 베이스로한 쬰득+쫠깃한 칼국수면도 맛있어서면수니분들 환장하실 듯ㅠ 게다가 𝒔𝒆𝒍𝒇공깃밥은 무려 공짜~!~!아무리 배불러도 저 국물에 밥을 패스하는건 직무유기에요,,ㅎ⠀⠀⠀⠀⠀⠀⠀섬진강의 맛, 재첩칼국수는 먹자마자 넘나 시원해서 계곡온줄한 그릇 뚝딱 비우자 30년 묵은 체증이 내려가는 듯 했습니다간이 세지 않고, 슴슴하지만 맑은 국물에 빠지면 답도 없죠⭐️알싸한 마늘향이 스치는 매콤한 김치를 턱- 얹어서 호로록하면도저히 소주 한 병 시키지 않고서는 견딜수가 없으실걸요👉👈⠀⠀⠀⠀⠀⠀⠀부들부들한 수육은 마늘소스를 푹 적셔 먹으면 ㄹㅇ 꿀맛쓰♥️비계와 살코기의 비율이 갓벽해서 웬만한 보쌈전문점 뺨쳐여돼갈만 먹으러 온다는 사람이 있을 정도로 돼지갈비 역시 존맛탱⠀⠀⠀⠀⠀⠀⠀운좋게 ((점심 한정))으로만 판매하는 #신메뉴 재첩칼비빔면과재첩회(면 추가 3,000원)도 맛볼수 있었는데ლ(´ڡ`ლ)조그마한 재첩을 하나하나 전부 직접 손질한 정성이 더해져서들숨에 소주 한잔, 날숨에 재첩 한쌈으로 천국 가버렸읍니다⠀⠀⠀⠀⠀⠀⠀워낙 술맛 살발한 집이라 이 집 갔다오면 다음날 사진첩에초점 잃은 사진 한 장 정도는 있는게 국룰이니 죠심하세영🥲⠀⠀⠀⠀⠀⠀⠀📍서울 중구 퇴계로 411-15(흥인동 38)☎️ 02-3298-6909🕰 매일 11:30 – 22:00(평일만 B.T 15:00 ~ 17:00)⠀⠀⠀⠀⠀⠀⠀#아토짱_신당 #신당역술집 #칼국수맛집 #신당동데이트#흥인동맛집 #신당맛집 #신당술집 #신당역점심 #신당점심#신당동맛집 #신당동술집 #신당동칼국수 #신당역맛집","['#속초여행', '#신당동', '#하니칼국수', '#신당역', '#알곤이칼국수', '#신메뉴', '#아토짱_신당', '#신당역술집', '#칼국수맛집', '#신당동데이트', '#흥인동맛집', '#신당맛집', '#신당술집', '#신당역점심', '#신당점심', '#신당동맛집', '#신당동술집', '#신당동칼국수', '#신당역맛집']",2021-06-28,0,하니칼국수
6,"💜알곤이 듬뿍 칼국수맛집 하니칼국수⭐️요즘 신당동에 핫플 맛집이 많이 생겨서몇군데 둘러봤는데….진짜 알곤이칼국수는 제 인생칼국수라고 말하고 싶을정도로 너무 맛있었어요💜운이 좋아서 제가 입장하자마자 몇분 있다가 웨이팅 생겼는데,,,칼국수 먹어보니 웨이팅 할만하네요^^내부는 테이블과 바좌석으로 되어있고,테이블 앉자마자 메뉴판 보지도 않고알곤이칼국수와 재첩칼국수를 주문했어요.옆테이블에  동그랑땡을 너무 맛있게 드시는거보고 모둠한접시도 같이 주문해봤습니다😍✅알곤이칼국수  10,000✅재첩칼국수  7,000✅모둠한접시  15,000알곤이칼국수는 비주얼뿐 아니라알과 곤이가 먹어도 먹어도 줄지않아요.정말 듬뿍 들어잇는데 넓직하고 쫄깃한 면발에 칼칼한 국물은 면치기를 안할수가 없더라구요^^알곤이칼국수 먹다가 재첩칼국수를 먹으니 좀 심심하다고 해야하나,,,ㅎㅎ야들야들한 수육과 두툼한 크기의 동그랑땡도 칼국수와 궁합이 너무 좋았습니다.칼국수 좋아하는분들은 꼭 알곤이 칼국수드셔보시길 바래요🙏🙏울님들 즐건 휴일 보내시고,오늘도 맛난거 드시면서 힐링하세요😍#하니칼국수#신당동하니칼국수#신당동맛집#신당동칼국수맛집#알곤이칼국수#칼국수맛집#수육맛집#동그랑땡맛집#맛집공유하기#맛집탐험가#신당동핫플#보라_신당동","['#하니칼국수', '#신당동하니칼국수', '#신당동맛집', '#신당동칼국수맛집', '#알곤이칼국수', '#칼국수맛집', '#수육맛집', '#동그랑땡맛집', '#맛집공유하기', '#맛집탐험가', '#신당동핫플', '#보라_신당동']",2021-09-12,0,하니칼국수
7,화보 촬영끝나고 배고파죽겠…저번부터 먹고 싶었던 #하니칼국수 얼큰하니 최고…..소주 땡겼디만 ㅋㅋ운전해야 하는 관계로 너무 아쉬웠어오 🤦‍♀️🤦‍♀️ 알하고 고니가 듬뿍 들어있고 알이 싱싱해서 부드럽고 비린맛 없는 칼국수 였어요 제입맛엔 짜서 물부어 먹었지만 얼큰하니 요즘 날씨에 굿!!!밥도 무료 리필이라 밥도 말아먹고🐷매운거 못먹눈다면 #재첩칼국수 ..▪️주차 어려움 근처공영 ▪️ 서울특별시 중구 퇴계로 411-15▪️매일 11:30~22:00▪️평일브레이크타임 15:00 ~ 17:00▪️웨이팅필수 !!!,"['#하니칼국수', '#재첩칼국수']",2021-10-19,0,하니칼국수
8,"⠀신당역 ""하니칼국수""알곤이칼국수⠀⠀⠀⠀⠀[두줄평]제법 얼큰한 육수에 곤이와 이리가 가득면발은 비교적 평범하지만 가끔씩 생각나는 별미⠀⠀⠀⠀⠀*토막상식⠀일반적으로 곤이 혹은 고니라고 부르는 꼬불꼬불한것은곤이가 아니라 수컷의 정소인 이리가 맞는 표현이다곤이는 알집, 즉 암컷의 난소가 바로 곤이그러므로 위 알곤이칼국수의 구성은 알과 곤이가 아니라곤이와 이리가 정답!! 많이들 혼동하는것 같아서 주절거림⠀⠀⠀⠀⠀⠀돈까스전원에서 치킨까스 한그릇 먹고얼큰한게 생각나서 오랜만에 하니칼국수를 들렸다⠀⠀시간대가 잘맞은건지 운좋게 웨이팅없이 바로 입장매운걸 못먹는 사람들을 위한 재첩칼국수도 있지만뭐 고민할것도 없다! 무조건 알곤이칼국수⠀⠀⠀⠀⠀⠀알곤이칼국수 (10,000원)⠀⠀하얀 면기에 빨간 육수위로 곤이와 이리가그야말로 듬뿍 들어있고 대파와 미나리가 조금 올려진 비주얼상당히 매워보이지만 적당히 얼큰하고 적당히 달큰한 맛깊이감이 엄청나고 그런건 아니지만 매운칼국수가땡길때 속을 확 풀어주기엔 딱이다⠀⠀이자카야의 어설픈 냉동 알탕에 비하면곤이나 이리의 식감 모두 부드러운 편,,하나씩 간장소스에 찍어먹다보면 은근히 배부르다⠀⠀유일한 아쉬움이 면발인데 조금 더 쫄깃했으면 하는생각이 드는건 어쩔수 없다,, 라멘을 워낙 많이 먹다보니면에 대한 기준점이 점점 높아져서 그렇게 느끼는거 같기도 하고⠀⠀그래도 얼큰한 국물과 함께 호르륵 먹다보면양이 꽤 많아보이지만 어느덧 빈그릇,,한여름에 먹으면 땀 꽤나 흘릴듯ㅎㅎ⠀⠀⠀⠀⠀⠀""맛난 칼국수 잘먹었습니다""...#신당역 #하니칼국수#알곤이칼국수 #칼국수#얼큰칼국수 #칼국수맛집#신당역맛집 #가끔생각나#얼큰한맛 #중앙시장맛집#시원한맛 #재첩칼국수#맛있는 #매운칼국수#첫줄반사 #첫줄좋반#먹방투어 #먹방그램#좋반 #좋아요반사#혼밥 #프로혼밥러#spicy #noodles#noodlestagram#foodstagram#spicynoodles#noodleslover⠀","['#신당역', '#하니칼국수', '#알곤이칼국수', '#칼국수', '#얼큰칼국수', '#칼국수맛집', '#신당역맛집', '#가끔생각나', '#얼큰한맛', '#중앙시장맛집', '#시원한맛', '#재첩칼국수', '#맛있는', '#매운칼국수', '#첫줄반사', '#첫줄좋반', '#먹방투어', '#먹방그램', '#좋반', '#좋아요반사', '#혼밥', '#프로혼밥러', '#spicy', '#noodles', '#noodlestagram', '#foodstagram', '#spicynoodles', '#noodleslover⠀']",2021-10-11,0,하니칼국수
9,넘나 얼큰! 알 곤이 좋아하시면 무조건 추천이요!,[],2021-10-22,0,하니칼국수
