,content,hashtag,date,like,place
0,🔅홍미닭발 강남점🔅🔅무뼈닭발 18000원🔅소금 닭똥집 14000원 🔅계란찜 7000원🔅주먹밥 2000원🔅순한맛인데도 기본적으로 매운것같아요! 역시 닭발은 매운게 짱이죠〰️🔥 불맛도 강하게 나서 좋앗어요ㅎㅅㅎ 소금 닭똥집도 꿀맛이네요🥰 계란찜은 푸딩같이 부드럽고 매운걸 없애줘서 필수템이예요〰️😋 주먹밥은 밥이랑 김만 주시는데도 맛잇엇네요☺️ 메뉴 성공적이네요❤️ #강남맛집 #홍미닭발 #닭발맛집 #무뼈닭발,"['#강남맛집', '#홍미닭발', '#닭발맛집', '#무뼈닭발']",2021-05-21,0,
1,"[호계동_홍미불닭발]✔️무뼈세트 (₩23,000)무뼈닭발 + 계란찜 + 주먹밥 이렇게 나오는 세트로 주문‼️주먹밥이랑 단무지, 열무김치, 콩나물국, 깻잎부터 셋팅되는데주먹밥 조물조물 동그랗게 만들고 있으면 닭발도 곧 나온다!닭발 나오자마자 불향이 솔솔솔 나서 침샘 고장부터 난다😭무튼! 깻잎에 닭발이랑 부추무침 올려서 먹으면 바로 소주소주🔥살짝 맵다 싶으면 계란찜도 먹구 주먹밥도 먹구나면 퍼펙😎맛있는 저녁이자 술안주였당👀🔥#안양맛집 #홍미불닭발 #홍미닭발 #무뼈닭발 #계란찜 #주먹밥","['#안양맛집', '#홍미불닭발', '#홍미닭발', '#무뼈닭발', '#계란찜', '#주먹밥']",2021-05-03,0,"Anyang, Kyonggi-Do, Korea"
2,아침부터  닭발ㅠㅠㅠ쵸ㅣ구야👅ㆍㆍㆍ#홍미닭발 #홍미불닭발 #박달동맛집 #농심가 #안양맛집 #닭발맛집 #일직동#광명역 #아침메뉴 #일상스타그램 #인스타그램 #데일리 #먹스타그램 #인친 #좋아요반사 #좋반 #첫줄반사 #선팔 #선팔하면맞팔 #팔로미 #팔로워 #팔로우미 #인스타그램 #일상스타그램 #맞팔 #소통 #소통해요 #팔로우100 #맞팔100,"['#홍미닭발', '#홍미불닭발', '#박달동맛집', '#농심가', '#안양맛집', '#닭발맛집', '#일직동', '#광명역', '#아침메뉴', '#일상스타그램', '#인스타그램', '#데일리', '#먹스타그램', '#인친', '#좋아요반사', '#좋반', '#첫줄반사', '#선팔', '#선팔하면맞팔', '#팔로미', '#팔로워', '#팔로우미', '#인스타그램', '#일상스타그램', '#맞팔', '#소통', '#소통해요', '#팔로우100', '#맞팔100']",2020-10-09,0,
3,오늘은 직화닭발로 불금😊💜너넨 증말 내친구들같아....🌝 고맙다💓💓💓,[],2020-04-24,0,홍미닭발
4,영자누난 홍미닭발이지만 솔직히 별로라 우린  숙이네!!!! 오돌뼈주먹밥에 소주2병각이야#이영자맛집 #홍미닭발 #별로#숙이네#짱,"['#이영자맛집', '#홍미닭발', '#별로', '#숙이네', '#짱']",2018-12-19,0,숙이네
5,"🥢그동안 뭐 먹었지?•불목엔 역시 빨간맛 ! 닭발 & 오돌뼈 🔥주먹밥에 오돌뼈랑 김치를 넣어서 먹으면 맛이 2배 🔥.-무뼈닭발 18,000원 / 오돌뼈 14,000원 / 계란찜 7,000원 / 주먹밥 2,000원.#먹스타 #먹스타그램 #음식스타그램 #맛스타그램 #맛집스타그램 #먹방 #맛집 #맛집추천 #음식 #맛있다 #핫플레이스 #food #foodie #foodstagram #like #like4likes #likeforlikes #굿뜨 #쫀맛 #신사 #신사역맛집 #신사동맛집 #가로수길맛집 #가로수길 #홍미닭발 #닭발 #오돌뼈 #주먹밥 #계란찜 #빨간맛","['#먹스타', '#먹스타그램', '#음식스타그램', '#맛스타그램', '#맛집스타그램', '#먹방', '#맛집', '#맛집추천', '#음식', '#맛있다', '#핫플레이스', '#food', '#foodie', '#foodstagram', '#like', '#like4likes', '#likeforlikes', '#굿뜨', '#쫀맛', '#신사', '#신사역맛집', '#신사동맛집', '#가로수길맛집', '#가로수길', '#홍미닭발', '#닭발', '#오돌뼈', '#주먹밥', '#계란찜', '#빨간맛']",2019-04-05,0,홍미닭발
6,"맵덕들 심쿵하는🌶전국 닭발맛집 BEST7🌶닭발 주기적으로 먹어줘야 되는 사람=나🙋‍♀️@@당장 닭발투어 각,,,저장 ㄱㄱ..#닭발 #닭발맛집 #매운닭발 #닭발집 #엽기꼼닭발 #모자온달 #호미불닭발 #닭발의지존 #신정닭발 #홍미닭발 #맵덕 #맵찔 #닭발맛집추천 #냠냠 #먹스타그램","['#닭발', '#닭발맛집', '#매운닭발', '#닭발집', '#엽기꼼닭발', '#모자온달', '#호미불닭발', '#닭발의지존', '#신정닭발', '#홍미닭발', '#맵덕', '#맵찔', '#닭발맛집추천', '#냠냠', '#먹스타그램']",2021-03-22,0,
7,🥢그동안 뭐 먹었지?•신사동 홍미닭발😙 친구랑 메인메뉴 클리어!! 오돌뼈랑 주먹밥이랑 비벼먹으면 맛이 2배로 맛있어 집니다 ㅎㅎㅎ 👍🏻계란찜이 7000원이라서 비싸다고 생각했지만 먹다보면 그런 생각 다 사라지고 양도 많고 계속 먹게 돼요 ㅋㅋㅋㅋㅋ🤣.#먹스타그램 #음식스타그램 #맛스타그램 #맛집스타그램 #먹방 #맛집 #맛집추천 #음식 #맛있다 #핫플레이스 #food #like #굿뜨 #쫀맛 #신사 #신사동 #신사역 #홍미닭발 #닭발 #오돌뼈 #주먹밥 #계란찜,"['#먹스타그램', '#음식스타그램', '#맛스타그램', '#맛집스타그램', '#먹방', '#맛집', '#맛집추천', '#음식', '#맛있다', '#핫플레이스', '#food', '#like', '#굿뜨', '#쫀맛', '#신사', '#신사동', '#신사역', '#홍미닭발', '#닭발', '#오돌뼈', '#주먹밥', '#계란찜']",2019-01-05,0,홍미닭발
8,.......아놔😤 나는 #홍미닭발 을 원했는데 #가위바위보져서 #한신포차 왔어😭#으아악......#나#프로가위바위보러#인데오늘졌어#말도안돼거짓말#역시승부처에서는#주먹#이야#가위#용서하지않을거야!!!!!!!!,"['#홍미닭발', '#가위바위보져서', '#한신포차', '#으아악......', '#나', '#프로가위바위보러', '#인데오늘졌어', '#말도안돼거짓말', '#역시승부처에서는', '#주먹', '#이야', '#가위', '#용서하지않을거야!!!!!!!!']",2018-04-27,0,
9,닭발은 언제나 정답😘,[],2021-10-20,0,
