,content,hashtag,date,like,place
0,"⠀⠀⠀⠀현석동에 위치한 곰탕전문점 #고담정⠀처음에 상호 없이 '곰탕수육전문'였는데 추후에 '고담정'이라는 이름을 달았습니다.⠀캐주얼한 분위기의 실내..⠀이 날은 배칠수 맛집원정대 대흥역 투어 코스가 진행 중이어서식사를 하지 않고 간단히 수육만 주문해 소주 한 잔 기울였습니다.⠀수육을 주문하니 벌집 양, 양이 위에 올려져 나오고아래 양지가 깔려 나왔습니다.⠀채양지를 받아서 사용하시는 것 같은데 차돌양지 부위가 보입니다.⠀한눈에 보기에도 등급이 높은 한우임을 알 수 있는데요.1++양지로 보이는데 최소 1+⠀한우 암소를 사용하고 등급도 이렇게 좋은 걸 쓰니 고기가 맛이 없을 수 없죠.⠀기름이 많으니 국물에서 풍미도 잘 나오고요.물론 곰탕 끓이는 과정 중에 어느정도 기름은 계속 걷어내시겠죠.⠀수육에 딸려 나오는 국물도 맛보았는데 아주 깔끔합니다.섞박지랑 김치도 시원하니 맛이 좋고요.⠀근처 계신 분들은 해장 아이템으로 이용하시면 좋을듯요 ^^⠀​⠀참고로 곰탕은 고기로 육수를 내는 거라 보시면 되고,설렁탕은 뼈로 육수를 내는 걸로 보시면 되겠습니다.⠀그래서 곰탕 국물은 보통 맑고, 설렁탕은 뽀얗죠..⠀최근 몇 년 새 서울에서는 평양냉면집과 곰탕집 붐이 일었었죠.⠀특히 방짜 유기에 양지와 내포를 섞어내는 하동관식 곰탕집들이 많이 생겨났습니다.⠀하동관은 개업 연도가 1938년인 한국을 대표하는 오래된 식당 가운데 한 곳입니다.⠀시동생이 대치동에 하동관을 오픈하고 나가면서 본점과 갈등이 생기고⠀이후에 대치동 하동관에서 수하동을 만들어 나가게 되는데,공교롭게 그 이후부터 비슷한 곰탕집들이 많이 생겨나게 됩니다.⠀다양한 해석들이 더해진 곰탕집들이 생겨나는 것은 소비자로서는 참 반가운 일이기도 하죠 ^^⠀⠀명동 #하동관청진동 #수하동합정동 합정옥논현동 #언주옥현석동 고담정도화동 #도하정공덕동 #곰탕반역삼동 #세석정합정동 파주가마솥설렁탕⠀⠀*양곰탕⠀방이동 #봉피양방이동 벽제갈비다동 #부민옥을지로3가 양미옥한강로1가 #평양집삼성동 평화옥양재동 소문난설렁탕정릉동 손가네국밥⠀⠀*곰탕⠀북창동 #애성회관연남동 #련남면옥역삼동 #이도곰탕서초동 #이여곰탕목동 아빠곰탕수유동 옛곰탕집가산동 동남집초동 파주옥용강동 마포옥방화동 두손진곰탕⠀⠀*나주곰탕⠀성내동 나주관한남동 나주곰탕서초동 나주곰탕봉천동 나주곰탕역삼동 나주곰탕북창동 나주곰탕대현동 나주곰탕남대문로3가 금성관방화동 #원조나주곰탕도화동 곰작골나주곰탕적선동 나주소나주곰탕서림동 #김영자나주곰탕합정동 파주가마솥설렁탕남대문로3가 나주곰탕나주전영등포동 원조나주곰탕남평식당⠀​*우족곰탕⠀서초동 #장인우족곰탕주교동 #문화옥도화동 #한양설렁탕노량진동 진솔양평동 해남진성옥양평동 양평옥합정동 파주가마솥 설렁탕⠀​*꼬리곰탕⠀당산동 부여집염창동 진주꼬리곰탕영등포동 #덕원식당영등포동 #대한옥영등포동 만미정영등포동 우진꼬리곰탕신대방동 등나무집양평동 #길풍식당양평동 양평옥돈의동 영춘옥초동 제일옥남창동 은호식당남창동 #진주집을지로3가 은성장을지로 4가 순흥집수유동 엄마손맛신설동 옥천옥상계동 해주곰탕화양동 하루방석촌동 본가설렁탕서초동 참설농탕⠀​*도가니탕⠀행촌동 #대성집삼청동 부영도가니탕충무로3가 황소집도화동 한양설농탕서초동 우작설렁탕도화동 마포양지설렁탕행운동 삼미옥중림동 중림장수유동 소나무집⠀​*소머리곰탕⠀풍납동 #태백식당통인동 인왕식당상계동 풍미연용답동 장성식당명륜3가 명신식당영등포동 만미정자양동 춘영관고덕동 옛날소머리국밥응암동 오케이소몰이국밥문래동 신토불이소머리국밥마천동 유가네한우소머리곰탕구로동 내고향소머리국밥동교동 동촌소머리국밥⠀​*돼지곰탕⠀서교동 #옥동식정동 광화문국밥가락동 옥돌현옥신당동 미미담​⠀*닭곰탕⠀인현동2가 #황평집인현동1가 호반집남창동 닭진미강원집서교동 다락투연남동 최사장네닭영등포동 진미닭곰탕대흥동 마포닭곰탕신사동 우형준정미소일원동 서평기사식당사당동 백암집당산동 부촌가마솥닭곰탕⠀⠀⠀","['#고담정⠀처음에', '#하동관청진동', '#수하동합정동', '#언주옥현석동', '#도하정공덕동', '#곰탕반역삼동', '#세석정합정동', '#봉피양방이동', '#부민옥을지로3가', '#평양집삼성동', '#애성회관연남동', '#련남면옥역삼동', '#이도곰탕서초동', '#이여곰탕목동', '#원조나주곰탕도화동', '#김영자나주곰탕합정동', '#장인우족곰탕주교동', '#문화옥도화동', '#한양설렁탕노량진동', '#덕원식당영등포동', '#대한옥영등포동', '#길풍식당양평동', '#진주집을지로3가', '#대성집삼청동', '#태백식당통인동', '#옥동식정동', '#황평집인현동1가']",2020-03-19,0,
1,..@moggy21 목 선생님과 맛집탐방...#인현상가 #황평집.#닭찜 #닭전골 #닭껍질 #닭다리 #닭곰탕 #닭무침 #맛스타그램 #먹스타그램 #술스타그램 #참이슬 #맞팔 #맛집탐방 #인현동 #을지로맛집 #seoul #chickensoup #foodpic #foodporn #instafood #seoulrestaurant,"['#인현상가', '#황평집.', '#닭찜', '#닭전골', '#닭껍질', '#닭다리', '#닭곰탕', '#닭무침', '#맛스타그램', '#먹스타그램', '#술스타그램', '#참이슬', '#맞팔', '#맛집탐방', '#인현동', '#을지로맛집', '#seoul', '#chickensoup', '#foodpic', '#foodporn', '#instafood', '#seoulrestaurant']",2018-09-04,0,황평집
2,"을지로 황평집...점심에 닭곰탕으로 배 따아땃하게 먹기도 너무 좋지만, 저녁엔 역시 닭무침과 내장탕🐔 소주 마실땐 역시 빨간색과 먹어야 👍👍 ...보기만 해도 입에 침이 고이게 만드는 닭무침. 야들야들한 살코기와 쨍한 양념과 무침야채들. 닭곰탕 베이스에 다대기로 칼칼하고 얼큰한 국물이 최고인 닭내장탕. 개인적으로는 황평집 1등메뉴는 내장탕👍👍",[],2021-06-13,0,황평집
3,신당동 중앙시장 찐맛집 #황평집 - 쫄깃쫄깃한 노계 닭한마리신당동 중앙시장은 터줏대감 찐 노포들 부터 최근에 오픈한 힙한 업장들까지 한번에 경험할 수 있는 아주 멋진 곳입니다. 아직 못가본 곳이 많아 아쉬웠는데 우리 @cmykhc82 대장님이 이끌어 주셔서 신당동 투어를 한번 다녀왔습니다. 오늘 소개드리는 함평집은 술꾼들에게 정말 최적화된 곳입니다. 먼저 닭한마리와 머리고기 소자를 주문 했습니다. 닭한마리는 우리가 주로 알고 있는 육수에 푹 담궈서 먹는 모습이 아니라 백숙에 가깝습니다. 닭이 꽤 큰 노계라 씹을 거리도 많고 정말 쫄깃쫄깃 합니다. 닭 국물도 기본으로 제공해주시는데 간이 담백해서 머리고기와 같이나온 새우젓을 조금 넣었더니 딱 감칠맛 폭팔 하더라구요.머리고기는 이게 소자 맞나 싶을정도로 양도 많고 맛있었습니다. 정신없이 소주를 들이키다보니 국물 생각이 간절해저 해장국(5천원)을 시켜봤습니다. 선지도 푸짐하게 들어있고 소고기도 들어 있는데 밥포함 5천원이라니!! 회사 근처였으면 정말 자주 왔을듯 합니다. 신설동 어머니대성집 해장국이 생각나는 맛이네요!!다음에는 소고기 수육도 한번 먹어봐야겠어요. 사진 보면서 여기 딱 내 스타일이네 하는 분들 있으면 꼭 한번 가보세요!! 2차는 제가 얼마전에 올렸던 #신당동산전 에서 오뎅탕에 소주 어떠세요?😉💡주소: 서울 중구 퇴계로85길 17#타미진_신당 #타미진로드 #중앙시장 #중앙시장맛집 #신당동맛집 #신당맛집 #닭한마리 #수육 #신당동중앙시장맛집 #맛스타그램 #먹스타그램 #먹팔 #맞팔 #일상 #내돈내산 #내돈내먹 #머리고기 #해장국맛집 #해장국,"['#황평집', '#신당동산전', '#타미진_신당', '#타미진로드', '#중앙시장', '#중앙시장맛집', '#신당동맛집', '#신당맛집', '#닭한마리', '#수육', '#신당동중앙시장맛집', '#맛스타그램', '#먹스타그램', '#먹팔', '#맞팔', '#일상', '#내돈내산', '#내돈내먹', '#머리고기', '#해장국맛집', '#해장국']",2021-10-19,0,함평집
4,"...#황평집...황평집은 노계를 잘 활용한 대표적인곳으로, 닭곰탕과 닭무침 조합 예술이에요...이 날씨에 내 입이 얼마나 호사를 느끼겠다고 줄을 서야 되나 했는데, 곰탕 국물에 밥 말아서 마늘쫑무침이랑 먹는 순간.. 이번주 노고가 싹 풀렸어요. 🤣 대기는 길지만 기다릴 가치 충분히 있는 40년 된 노포집입니다....서울시 중구 인현동2가 135-13 (11:00 - 21:30) 일요일휴무...#노포맛집 #황평집 #황평집닭곰탕 #황평집닭무침 #을지로맛집 #마늘쫑무침 #좋아요 #맛집추천 #조명거리 #충무로맛집 #닭곰탕 #닭무침 #대기한시간 #먹스타그램 #소통 #daily","['#황평집...황평집은', '#노포맛집', '#황평집', '#황평집닭곰탕', '#황평집닭무침', '#을지로맛집', '#마늘쫑무침', '#좋아요', '#맛집추천', '#조명거리', '#충무로맛집', '#닭곰탕', '#닭무침', '#대기한시간', '#먹스타그램', '#소통', '#daily']",2019-02-16,0,황평집
5,"을지로 #황평집요약 : 닭잡아 먹고 헤롱헤롱을지로 인근에 위치한 40년이 넘는 역사의 닭곰탕 전문점 황평집오랜 시간 닭곰탕과 닭찜, 닭내장탕 등의 닭을 주제로 한 요리로 많은 주당들을 양성해낸 곳이죠.닭은 이전부터 저렴한 가격으로 서민들의 사랑을 많이 받아온 식재료였으나 황평집은 인근의 사랑방칼국수, 산골면옥(이전) 등과 더불어 닭을 주제로 저렴한 가격에 수 많은 사람들의 배고픔과 주량을 채워주곤 했습니다.그 인기는 여전하여 아직도 피크타임엔 웨이팅을 각오해야 하는 곳이 곳의 15년 단골인 찐맛집러 @toyonghoon 님의 인도로 드디어 방문할 수 있었습니다.점심시간대엔 닭곰탕만 가능하기에 오후부터 먹을 수 있는 닭찜과 닭내장탕노계를 부드럽게 삶아낸 닭찜을 주문하면 닭곰탕의 국물을 아낌없이 내어주고 리필까지 해주는 인심깔끔한 감칠맛의 닭곰탕 국물은 소주를 마구 불러들이는 치트키가 되고, 쫄깃한 닭의 살코기는 씹는 즐거움까지 더해주네요.그리고 이 닭찜을 주문한 가장 큰 이유는 바로 닭의 껍질 때문!노계를 활용하여 이런 식감을 내기 위해선 꽤 오랜시간 끓여내야 했을텐데 그러다보면 껍질의 식감도 무뎌지기 쉽상이죠. 그런데 황평집의 닭껍질은 쫀득한 식감뒤에 고소한 풍미까지 그대로 담고 있어 또 소주를 부르고 마네요.그리고 이 집에 들어서자마자 사장님께 물어봐야할 대사 ""지금 닭내장탕 되나요?""이 집의 15년 단골조차도 성공한 건 손에 꼽을정도로 만나기 쉽지 않은 닭내장탕!안그래도 진한 이 집의 닭곰탕을 육수삼아 닭의 내장과 특제 다데기, 다진마늘을 넣어 만든 닭내장탕은 그야말로 미친 안주네요.신선한 생닭만을 사용하기에 잡내는 1도 없이 칼칼한 맛의 국물을 떠먹는 재미와 다양한 닭의 내장을 건져먹는 재미까지 더해져 숙취 중상 환자들을 양성해내는 마성의 맛특히 완전한 달걀이 되지 못한 미성숙란은 계란 노른자를 농축시킨듯한 고소고소고소함의 끝판왕!호불호가 갈릴 수 없는 닭곰탕과 닭찜, 그리고 마성의 닭내장탕까지숙취를 예상하고서 다음날 연차내고 가야할 곳 우리 모두 달려가 봅시다.🐓영업시간 : 매일 11시 - 21시 반🐓휴무일 : 매주 일요일, 공휴일🐓주소 : 서울 중구 마른내로 74🐓문의전화 : 02-2266-6875#먹스타그램 #맛스타그램 #맛집 #맛집추천 #맛탐영을지로 #을지로맛집 #을지로 #충무로맛집 #닭곰탕 #닭내장탕 #황평집_맛탐영 #소주 #food","['#황평집요약', '#먹스타그램', '#맛스타그램', '#맛집', '#맛집추천', '#맛탐영을지로', '#을지로맛집', '#을지로', '#충무로맛집', '#닭곰탕', '#닭내장탕', '#황평집_맛탐영', '#소주', '#food']",2021-01-31,0,황평집
6,📍#황평집어느새 서울 날아옴ㅋㅋㅋ여러번의 시도 끝에 드디어 다녀온 #황평집닭곰탕 🐔#닭무침 이라는 신세계에 눈을 떴다🤩양념이 맵지도 않고 넘 맛있었다😙#닭곰탕 국물도 대박이었음👍다음엔 꼭 #닭찜 먹어봐야지🐔#을지로맛집 #을지로핫플 #먹스타그램 #맛스타그램 #chicken #food #foodporn #instafood #foodie,"['#황평집어느새', '#황평집닭곰탕', '#닭무침', '#닭곰탕', '#닭찜', '#을지로맛집', '#을지로핫플', '#먹스타그램', '#맛스타그램', '#chicken', '#food', '#foodporn', '#instafood', '#foodie']",2021-08-28,0,황평집
7,"#찐맛집 _다양한 #닭요리 를 즐길 수 있는 곳💕#한국거주일본인이소개하는맛집 #simpleisthebest 오늘은 사진 딱 한장이에요!📷 그리고 사진 못찍을 때 찍어서 안 이쁘네요😂근데 왜 올리냐고?? 너무 땡겨서.. (*≧∀≦*)여기 진짜 맛있어요... 워낙 유명하니까 이미 가보신분들도 많겠죠??황평집의 노계를 삶은 ""닭찜""은 정말 너무 너무 너~~~~무 맛있다❤️그리고 닭찜을 시키면 닭곰탕 국물 주는 점도 너무 좋다🍻이 집에서 한 가지 더 꼭 시켜야하는 메뉴는 ""닭무침""이다. 이것도 진짜 술 안주로 너무 좋아요... ✨꼭 2시 이후에 방문해주세요. 그 전에는 안주 메뉴 주문 불가고 닭곰탕만 주문 가능해요! 주의필요🤗오늘은 드디어 금요일이네요! 사실 오늘까지만 이천으로 출퇴근을 할 줄 알았는데, 연장 되어서 슬픈 아침이지만, 다들 출근 조심하시고 황평집, 꼭 한번 방문해보시길 추천합니다!ヾ(๑╹◡╹)ﾉ"" #tgif  황평집☆Tel.: 02-2266-6875☆주소: 서울 중구 마른내로 74☆월-토 11:00 - 21:30 / 일요일&공휴일 휴무☆닭찜 18,000원, 닭무침 20,000원#황평집 #닭곰탕 #닭곰탕맛집 #노포 #노포맛집 #맛집 #충무로 #충무로맛집 #을지로맛집 #아야카세 #아야카세을지로 #아야카세충무로 #을지로3가맛집 #을지로4가맛집 #닭찜 #닭무침 #아야카세을지로3가 #아야카세을지로4가 #ソウル #ソウルグルメ #ソウル旅行 #닭 #マッコリ #韓国 #韓国料理","['#찐맛집', '#닭요리', '#한국거주일본인이소개하는맛집', '#simpleisthebest', '#tgif', '#황평집', '#닭곰탕', '#닭곰탕맛집', '#노포', '#노포맛집', '#맛집', '#충무로', '#충무로맛집', '#을지로맛집', '#아야카세', '#아야카세을지로', '#아야카세충무로', '#을지로3가맛집', '#을지로4가맛집', '#닭찜', '#닭무침', '#아야카세을지로3가', '#아야카세을지로4가', '#ソウル', '#ソウルグルメ', '#ソウル旅行', '#닭', '#マッコリ', '#韓国', '#韓国料理']",2021-01-14,0,황평집
8,.황평집추운날 황평집에서 닭찜과 소주면 말다했지!...“곰탕국물 무한리필”,[],2020-11-05,0,황평집
9,주말에 서울데이트 하기로해서어찌나 설레던지 ^^가끔 오는 서울은 넘나 좋다 😊,[],2021-10-23,0,"Seoul, Korea"
