,content,hashtag,date,like,place
0,사진첩 보다 발견한 삼계탕사진ㅋㅋ남편이 맛있다고 데려가줬는데삼계탕을 사먹는게 이해안가는 사람이었는데 이 집은 사먹는게 이해가 가던 맛집🤭😍#백세삼계탕 #삼계탕맛집 #닭발편육 #걸죽한국물이일품,"['#백세삼계탕', '#삼계탕맛집', '#닭발편육', '#걸죽한국물이일품']",2021-09-23,0,
1,"일주일동안 근육통과 피로로 고생하고,어젠 목에 주사를 4번이나 맞았다,,자도자도 졸리고,, 축 쳐지는 몸뚱아리친정와서 몸보신하고 바디프렌드 하는중,,미운 31살,,😭",[],2019-07-07,0,
2,수원 쩝쩝박사님들 주목@@오직 맛만 보고 뽑은 수원 찐맛집 모아옴;;@나랑 같이 뿌시러 갈 새럼?...#수원맛집 #수원핫플 #수원핫플레이스 #수원데이트 #인계동맛집 #행궁동맛집 #성대맛집 #백세삼계탕 #운멜로 #봉수육 #이나경송탄부대찌개 #코이라멘 #한신우동 #오피큐알,"['#수원맛집', '#수원핫플', '#수원핫플레이스', '#수원데이트', '#인계동맛집', '#행궁동맛집', '#성대맛집', '#백세삼계탕', '#운멜로', '#봉수육', '#이나경송탄부대찌개', '#코이라멘', '#한신우동', '#오피큐알']",2020-07-24,0,
3,#백세삼계탕 #강황삼계탕 #편육,"['#백세삼계탕', '#강황삼계탕', '#편육']",2021-06-29,0,
4,#한방상황삼계탕 어제먹은점심메뉴😋요즘 짝지가 살도마니빠지고(저는찌고😑ㅋ) 기운없어하니 수원에 백세삼계탕가서 한방삼계탕으로 몸보신했어요~😻양도많고 졸맛탱ㅎㅎ 👍👍상황삼계탕도먹어봤는데 둘차이를 딱히모르겠지만 더비싸니 몸에도 더좋겠쥬머완뚝하고 캠핑고래가서 캠핑용품구경하면서 배꺼주고 담주캠핑을위해살꺼좀사고광명동굴로 갑자기 고고씽했답니다🤣🤣급으로가는 요런거좋아~~😁광명동굴피드는 부계정에따로 올려볼께요🤗@hayoon_2906#수원맛집 #백세삼계탕 #상황삼계탕 #한방상황삼계탕 #몸보신 #완뚝 #맛스타그램 #먹스타그램 #먹방스타그램 #점심메뉴,"['#한방상황삼계탕', '#수원맛집', '#백세삼계탕', '#상황삼계탕', '#한방상황삼계탕', '#몸보신', '#완뚝', '#맛스타그램', '#먹스타그램', '#먹방스타그램', '#점심메뉴']",2021-06-18,0,백세삼계탕
5,"#유료광고수원 이모네 놀러간 김에 백세삼계탕 본점가서 몸보신 겸 낮술.상황버섯이 들어가서 그런지 황금빛으로 보글보글 끓으며 등장하는 삼계탕은 눈으로만 봐도 걸죽하고 진한 농도의 국물에 찹쌀 뚠뚠하게 품은 영계한마리가 들어있는데, 젓가락으로 스윽스윽해도 잘 발라질 만큼 부드러웠고 버섯향이 은은하게 느껴지면서 고소한 스타일.기본 상황삼계탕에 한방약재가 들어가서 갈색빛이 도는 국물에 좀 더 보약틱해보이는 한방상황삼계탕은 한방 특유의 향과 끝맛의 쌉싸름함이 과하지 않아서 오히려 좋았던.사실 삼계탕으로 원기충전하면서 가볍게 반주 했다면 서브로 시켜본 메뉴들이 진짜 본격적인 낮술 레이스를 펼치게 했는데, 매콤한 닭발을 쫄깃쫄깃한 편육으로 만들어 씻은묵은지에 싸먹는 방식의 닭발편육과 기대이상으로 해물이 잔뜩 들어간 도톰한 해물파전이 삼계탕집의 서브메뉴라 하기에 하드캐리#백세삼계탕 #북수원본점 #수원파장동맛집 #삼계탕맛집#삼계탕 #닭발편육 #해물파전#파나짱_수원","['#유료광고수원', '#백세삼계탕', '#북수원본점', '#수원파장동맛집', '#삼계탕맛집', '#삼계탕', '#닭발편육', '#해물파전', '#파나짱_수원']",2020-07-08,0,
6,#삼계탕 #복날어제 복날이였죠!백파더랑 오랜만에 외식했어요🤗코로나때문에 매주 집에만 박혀있다가집앞에 진짜 맛집인 곳이 있어서 삼계탕은 진짜 너어어어어무 먹고싶더라고요#백세삼계탕 노오란 국물이 하 또먹고싶네? #상황버섯 으로 끓여서 저렇게 노오란 가봐요 ㅎ 김치 척 올려서 한입 앙!!!국물까지 싹싹 비웠어요!몸보신 제대로 했어요❤️,"['#삼계탕', '#복날어제', '#백세삼계탕', '#상황버섯']",2021-07-22,0,백세삼계탕
7,#첫줄이거슨 여름보양식 이열치열지렸다 #백세삼계탕 ✔️수원 백세삼계탕 존맛이라길래 먼길뚫고방문😆맛있는거는 멀어도 가봐야겠죠👍🏻@panajjjjang 님도 맛있게드셨다길래 매우기대😌상황버섯향 가득한 삼계탕 등장👏🏻기냥 딱봐도 국물 걸죽하니 닭고기 야들야들해보여요🤤닭고기 입에 한입 집어넣는순간 녹아내리는 부드러움❣️이맛에 여름오는거 기다리는것도 없지않아있쥬🤔먼길달려와도 후회 1도없이 맛있게 먹고갑니다🙋🏻‍♂️점바점따위 고민하지말고 본점 @100se_ 에서 드셔보세요💁🏻‍♂️#삼계탕은사랑입니다----#수원맛집 #삼계탕맛집 #북수원맛집#여름맛집 #본점맛집 #일상 #점심 #백세삼계탕본점 #삼계탕 #야들야들 #이열치열 #jmt,"['#첫줄이거슨', '#백세삼계탕', '#삼계탕은사랑입니다----', '#수원맛집', '#삼계탕맛집', '#북수원맛집', '#여름맛집', '#본점맛집', '#일상', '#점심', '#백세삼계탕본점', '#삼계탕', '#야들야들', '#이열치열', '#jmt']",2020-07-11,0,백세삼계탕
8,🐓아우 덥다🔥 중복은 삼계탕으로🐓🐓🐓#여름 #중복 #삼계탕 #백세삼계탕 #더위야가라,"['#여름', '#중복', '#삼계탕', '#백세삼계탕', '#더위야가라']",2021-07-21,0,
9,"아직도 안드셔보셨다구요?😲한번 맛보면 자꾸만 생각나는 진~한 황금빛 국물!#쯔양 도 5뚝배기 뿌신 #상황삼계탕#백세삼계탕 에서 맛보실 수 있습니다~🤗수원, 안산, 동탄 전 지점 가족직영점!!어디서나 동일한 맛! 최고의 서비스를 약속드립니다~~🤗","['#쯔양', '#상황삼계탕', '#백세삼계탕']",2021-10-22,0,백세삼계탕
10,"#협찬 #백세삼계탕의정부점몸보신 하면 바로 생각나는 곳이라이사때매 이것저것 신경쓰시는 의정부 엄니, 아부지뫼시고 몸보신 시켜드리러 들이댔다👉 상황삼계탕 / 16,000전에 한번 먹어보고 중랑 부모님 뫼셔가고의정부 부모님까지 뫼실정도로 그냥 몸보신 끝판왕.찌이인하다는 표현으로도 부족한 국물과야들야들 알차게 밥 품은 닭까지 완벽하다입 짤은 아부지께서 먹어 본 삼계탕 중 최고라고하셨고 미식가 엄니도 먹고 포장해갈까를 고민하심👉 해물파전 / 18,000테두리 바삭바삭에 야채 그득 해물 그득딱 좋은 사이드 메뉴라서 하나 시켜벌임👉 1인용 닭발편육 / 네이버 영수증 이벤트엥...? 닭발? 싶을 수 잇는데 야들야들 콜라겐 덩어리에식감도 좋고 같이주신 백김치랑 먹으면 짱맛임의정부 엄니 아부지 식당 뫼시고 가서 이렇게만족도 높은 곳은 처음리였다 바로 재방문 생각하심다른 지점도 가봤는데 여기가 유독 찐해서의정부점만 가게되는 것 같음-#ㅅㅎ커플 #럽스타그램 #커플 #데이트 #의정부 #먹스타그램 #의정부삼계탕 #의정부몸보신 #백세삼계탕 #삼계탕 #메뉴추천 #일상 #좋아요 #팔로우 #데일리 #food #koreafood #chicken #date #couple #daily #follow #금요일 #출근 #morning #아침","['#협찬', '#백세삼계탕의정부점몸보신', '#ㅅㅎ커플', '#럽스타그램', '#커플', '#데이트', '#의정부', '#먹스타그램', '#의정부삼계탕', '#의정부몸보신', '#백세삼계탕', '#삼계탕', '#메뉴추천', '#일상', '#좋아요', '#팔로우', '#데일리', '#food', '#koreafood', '#chicken', '#date', '#couple', '#daily', '#follow', '#금요일', '#출근', '#morning', '#아침']",2021-10-21,0,Uijeongbu
11,2차 접종 완료!! ㅋㅋㅋ 카더라 통신에 접종하고 삼계탕 먹으면 안아프다길래 바로 가서 먹음 ㅋㅋ #백신접종완료 #백세삼계탕,"['#백신접종완료', '#백세삼계탕']",2021-10-21,0,
12,뚝! 떨어진 기온!🥶 뜨끈~한 국물☺ 생각나시죠?몸 안쪽부터 따뜻하게 채워주는 황금빛 삼계탕!가을몸보신으로 제격인 #상황삼계탕#백세삼계탕 에서 맛보실 수 있습니다~🤗,"['#상황삼계탕', '#백세삼계탕']",2021-10-21,0,백세삼계탕
13,급 추워진 날씨에 뜨끈한 국물 먹으러 갔다가~바로옆 디저트 카페까지^^이학순베이커리☆ 빵순이빵돌이에겐 천국이에영^♡^배가 너무 불러 많이 먹질 못해서 다시 가야겠어요@@ #빵맛집#굶고가야할듯#할로윈축제까지^^#이학순베이커리#이학순베이커리수원#수원빵집#수원빵맛집#백세짬뽕#백세삼계탕,"['#빵맛집', '#굶고가야할듯', '#할로윈축제까지^^', '#이학순베이커리', '#이학순베이커리수원', '#수원빵집', '#수원빵맛집', '#백세짬뽕', '#백세삼계탕']",2021-10-20,0,
14,#점심뭐먹지 자신있게 추천합니다🤗#짬뽕맛집 신메뉴! #불차돌짜장차돌과 새우를 넣어 고소한 풍미가 일품!🤤매콤한 청양고추를 넣어 느끼함 1도없는 맛있게 매운맛!🌶🌶🌶#수원맛집 #백세짬뽕 에서 맛보실 수 있습니다~🤗,"['#점심뭐먹지', '#짬뽕맛집', '#불차돌짜장차돌과', '#수원맛집', '#백세짬뽕']",2021-10-20,0,백세삼계탕
