,content,hashtag,date,like,place
0,밥아니고❌ 빵맞습니다⭕보슬보슬 카스테라에 부드러운 크림이 잔뜩💛먹고나서 도자기는 걍 가져가면 됨. ㄱㅇㄷ++) 막걸리 잔으로 딱일듯!!!#이천 #이진상회 .#이천카페 #이천카페추천 #카페추천 #카페투어 #카페스타그램 #먹스타그램 #빵스타그램 #맛스타그램 #이천맛집 #이천맛집추천 #빵순이 #밥순이 #도자기 #오늘뭐먹지 #오먹_카페투어,"['#이천', '#이진상회', '#이천카페', '#이천카페추천', '#카페추천', '#카페투어', '#카페스타그램', '#먹스타그램', '#빵스타그램', '#맛스타그램', '#이천맛집', '#이천맛집추천', '#빵순이', '#밥순이', '#도자기', '#오늘뭐먹지', '#오먹_카페투어']",2021-09-28,0,
1,_#이진상회 #카페투어 어제 #빵순이 빵털러 이진상회 다녀왔어요! 이천에 위치한 이진상회는 겉모습 사진은 없지만 #인도하우스 #나포리가든 이라는 식당도 붙어있고 #도자기소품 들이 판매하는곳도 있어요!!!🧡 메종쁘띠부르 쉐프님이 전수하신건지 계신건지 모르겠는데 나날이 빵의 퀄리티가 발전하고 있는거 있죠 ㅋㅋㅋ👍🏻👍🏻 타르트에 커피한잔 마시면 끝낭 납니다ㅜㅜ빵순이는 오늘도 총총🧡#타르트 #타르트맛집 #앙버터 #크루와상 #빵스타그램 #빵맛집 #카페 #경기카페 #이천카페 #카페스타그램 #카페추천 #서울카페 #경기도카페 #커피 #커피스타그램 #먹스타그램 #먹방 #먹팔 #맛방 #coffee #bread #cheese #cake #cheesecake,"['#이진상회', '#카페투어', '#빵순이', '#인도하우스', '#나포리가든', '#도자기소품', '#타르트', '#타르트맛집', '#앙버터', '#크루와상', '#빵스타그램', '#빵맛집', '#카페', '#경기카페', '#이천카페', '#카페스타그램', '#카페추천', '#서울카페', '#경기도카페', '#커피', '#커피스타그램', '#먹스타그램', '#먹방', '#먹팔', '#맛방', '#coffee', '#bread', '#cheese', '#cake', '#cheesecake']",2020-10-12,0,이진상회
2,#이진상회오늘은 안성 다녀오는 길에 이진상회에 들렀어요.이름만 들었을때는 작고 소박한 레트로한 까페일거라 생각했는데 고급스러운 엔틱소품들이 초록초록 식물들과 잘 어우러진 대형 베이커리 까페였어요.평일에 비가 조금씩 오는데도 다양한 연령대의 손님들이 꽤 있더라구요.평일 어머님들 모임에 추천합니다~^^...#이천핫플#이천까페#경기도까페 #까페투어 #서이천 #안성까페 #이천맛집 #온실까페 #브런치 #홈까페#윤마담추천까페#맘스타그램 #커피#카페라떼 #라떼아트#주부스타그램 #육아#용인맘#수지맘#coffeegram #coffeelover #coffeeaddict #cafetour#coffeeholic #photography #nikon #カフェ #コーヒー,"['#이진상회오늘은', '#이천핫플', '#이천까페', '#경기도까페', '#까페투어', '#서이천', '#안성까페', '#이천맛집', '#온실까페', '#브런치', '#홈까페', '#윤마담추천까페', '#맘스타그램', '#커피', '#카페라떼', '#라떼아트', '#주부스타그램', '#육아', '#용인맘', '#수지맘', '#coffeegram', '#coffeelover', '#coffeeaddict', '#cafetour', '#coffeeholic', '#photography', '#nikon', '#カフェ', '#コーヒー']",2019-04-26,0,이진상회
3,낮부터 밤까지.밤에도 이쁜 ....#일상#이천카페#이진상회#밤뷰#낮에가서#밤에나오기#아까운시간#진짜로#꽉꽉#하루#채우기..#일상스타그램#카페스타그램#여행스타그램#인스타그램#인친#소통#좋아요,"['#일상', '#이천카페', '#이진상회', '#밤뷰', '#낮에가서', '#밤에나오기', '#아까운시간', '#진짜로', '#꽉꽉', '#하루', '#채우기..', '#일상스타그램', '#카페스타그램', '#여행스타그램', '#인스타그램', '#인친', '#소통', '#좋아요']",2020-10-03,0,이진상회
4,이천에 일있어 들렀다커피수혈이 필요해 급 들른 카페알고보니 유명한 곳이더라구요. 일반 베이커리에서 맛볼수 없는 퀄리티애정말 인생 역대급 맛이였어요. 이 빵집 가고싶어 이천갈판....🤣#이천카페 #카페맛집 #사진촬영 #산책로 #장소대관 #카페대관 #이진상회 #이천아울렛 #에그타르트 #야외카페 #이천맛집 #씨클3기 #씨클 #씨클3기스터디모임 #판매특공대 #mkyu,"['#이천카페', '#카페맛집', '#사진촬영', '#산책로', '#장소대관', '#카페대관', '#이진상회', '#이천아울렛', '#에그타르트', '#야외카페', '#이천맛집', '#씨클3기', '#씨클', '#씨클3기스터디모임', '#판매특공대', '#mkyu']",2020-12-07,0,이진상회
5,-정성 가득한 빵들.-이진상회에서 만낫던 메종드쁘띠푸르와는 다르게 제주에 특화된 제품이 드문드문 보인다. 본점 반대편에는 식빵 전문점도 있으니 꼭 들려보기😉,[],2020-09-27,0,메종 드 쁘띠 푸르
6,#이천 #맛집 #카페 #드라이브 #베이커리 #이진상회 #더이진소품가게가 같이있고 정원에서 사진찍고 즐기기 좋아요늘 혼잡한곳입니다늦으면 주차도 못해요경기 이천시 마장면 서이천로 656매일 10:00 - 22:00 LAST ORDER 21:30http://instagram.com/ijinsanghoe,"['#이천', '#맛집', '#카페', '#드라이브', '#베이커리', '#이진상회', '#더이진소품가게가']",2021-03-15,0,이진상회
7,.처가식구들과 이천 이진상회 갔다가장모님과 찰칵~ 5천평 규모인데 계산대가 코딱지만해서빵 고르는사람 커피 주문하는사람 이리치이고 저리치이고 ㅋㅋ 난리도아님....#첫줄#아빠스타그램#cafe#coffee#이진상회#사진스타그램#snapshot#picture#photo#photography#canon#6dmark2#iphone8#일상#일상그램#맞팔#선팔#데일리#daily#love#ootd#f4f,"['#첫줄', '#아빠스타그램', '#cafe', '#coffee', '#이진상회', '#사진스타그램', '#snapshot', '#picture', '#photo', '#photography', '#canon', '#6dmark2', '#iphone8', '#일상', '#일상그램', '#맞팔', '#선팔', '#데일리', '#daily', '#love', '#ootd', '#f4f']",2019-09-15,0,
8,[이천 이진상회]✔ 맛있는 디저트와 커피 한 잔 후 둘러볼 수 있는 산책길+공방이 있는 카페 (ง ᵕᴗᵕ)ว.........#이천이진상회 #이진상회 #이진상회카페 #이천커피맛집 #이천카페 #이천카페추천 #이천맛집 #이천디저트맛집 #이천디저트 #커피맛집 #이천데이트 #이천데이트코스 #이진상회베이커리 #이천빵집,"['#이천이진상회', '#이진상회', '#이진상회카페', '#이천커피맛집', '#이천카페', '#이천카페추천', '#이천맛집', '#이천디저트맛집', '#이천디저트', '#커피맛집', '#이천데이트', '#이천데이트코스', '#이진상회베이커리', '#이천빵집']",2021-06-23,0,이진상회
9,이천맛집 원이쌀밥오늘도 정상영업중.,[],2021-10-22,0,별빛정원 우주
