,content,hashtag,date,like,place
0,카페를 통 못가서 예전 사진으로 연명중 *^^* 빵천국체고 #scoff,['#scoff'],2020-10-16,0,"Seoul, South Korea"
1,못생긴애중에 제일 이쁜애랑! 좋았다!.3시 매표소 오픈을 3시 공연으로 잘못 알고 2시에 출발한 우리…⭐️(라고쓰고 송영현이라고 읽는다).덕분에 춥고 바람부는 서촌 열심히 돌아다니고 맛있는 쿠키도 먹었다!.이제 집게핀으로 머리도 묶인다!.공연장 들어가자마자 첫곡에 감동의눈물 광광 매일 듣는 지브리 음악을 오케스트라로 듣다니…🥲.#히사이시조영화음악콘서트 #지브리ost #광화문 #서촌 #문화생활 #세종문화회관 #지브리 #히사이시조 #서촌스코프,"['#히사이시조영화음악콘서트', '#지브리ost', '#광화문', '#서촌', '#문화생활', '#세종문화회관', '#지브리', '#히사이시조', '#서촌스코프']",2021-10-17,0,세종문화회관 대극장
2,다들 주말 잘보내고 계신가용?이벤트를 하고 싶은데 어떤 이벤트를 해야 좋을까용?🤔쉬는날에도 일생각뿐🥲좋은 아이디어 있으면 댓글 남겨주세용🥰🥰,[],2021-04-25,0,서울특별시 은평구
3,"먹고싶어라..😣💛린넨세트 택배작업 완료했어요,내일 블로그에 송장번호 올려드릴게요오!",[],2017-05-03,0,Scoff
4,#스코프 #서촌 방송에서 봤을 때부터 가봐야지 가봐야지 했는데 결국 막방하는 오전에 다녀왔어요🐧 오픈하자마자 갔더니 빵이 많이 있어 기분이 좋았다는🧡 일찍 간 보람이 있었닷✌⠀요기 메인은 바로 브라우니🍫🥧꾸덕함이 꽉꽉 눌려져 있어 엄청 달고 또 쫀득하기까지! 너무 달콤해서 아아랑 같이 먹어줘야 하는 조합🧊☕ 당충전 하기에 최고최고🍯⠀여기 부암동점도 있다는데 담엔 부암동에도 가봐야겠어요😃⠀⠀#첫줄 #첫줄반사 #scoff #부암동 #종로 #브라우니 #인생브라우니 #서촌스코프 #하트시그널3 #박지현 #서촌카페 #카페 #카페추천 #베이커리 #빵지순례 #스콘맛집 #종로맛집 #먹스타그램 #먹스타 #먹스타맞팔 #서울카페 #핫플 #좋아요 #좋아요반사 #데이트추천 #서울맛집 #서촌데이트,"['#스코프', '#서촌', '#첫줄', '#첫줄반사', '#scoff', '#부암동', '#종로', '#브라우니', '#인생브라우니', '#서촌스코프', '#하트시그널3', '#박지현', '#서촌카페', '#카페', '#카페추천', '#베이커리', '#빵지순례', '#스콘맛집', '#종로맛집', '#먹스타그램', '#먹스타', '#먹스타맞팔', '#서울카페', '#핫플', '#좋아요', '#좋아요반사', '#데이트추천', '#서울맛집', '#서촌데이트']",2020-07-08,0,서촌 Scoff
5,.오늘 나의 어려운 과제를 도와준 영균쓰에게 감사함의 스코프... 난 이제 정리하러 학교로 총총 🤘🏼,[],2017-05-26,0,SCOFF
6,.스코프 두가지 스콘🤭헤이즐넛 초콜렛 스콘은 맛없을 수가 없지만 파마산 치즈 스콘은 반신반의하며 큰 기대를 안했는데 짭쪼름하니 대존맛ㅠㅠ 오히려 파마산 치즈가 더 내 스타일이었던😋-#스코프 #서촌카페 #혁_서촌,"['#스코프', '#서촌카페', '#혁_서촌']",2019-04-27,0,서촌 Scoff
7,"#빵유민_서울 #빵유민_빵지순례통인동 #서촌 #레앤르 .-레앤르만의 독특한 점은 잡화점과 베이커리카페를 한 곳에서 같이 운영한다는것☝️('레'가 빵집이고 '르'가 잡화점인듯?!)-사실 막 음층 끌리던 곳은 아닌데 #서촌스코프 들른 김에 근처에 있어서 갔다와따🤗후기 찾아보니 #타마고산도 팔길래 의도치않게 리스트에 추가💫-보시다시피 대부분의 빵이 #패스츄리 류인데, 내 울산 최애빵집 중 하나☝️ #오블레  가 급 떠올랐다고한다..😉-근데 타마고산도 말고도 #밀푀유 사먹으려고 생각하구갔는데 이제 안파는듯😭","['#빵유민_서울', '#빵유민_빵지순례통인동', '#서촌', '#레앤르', '#서촌스코프', '#타마고산도', '#패스츄리', '#오블레', '#밀푀유']",2018-10-15,0,서촌
8,역시 스코프 디저트들은 하나같이 다 터프해🍰#셀렉해봄_서촌,['#셀렉해봄_서촌'],2020-04-05,0,서촌 Scoff
9,브라우니 맛집💙,[],2021-10-20,0,서촌 Scoff
10,#서촌스코프 #주말인데 #너무추움 #가을없이겨울#서촌데이트,"['#서촌스코프', '#주말인데', '#너무추움', '#가을없이겨울', '#서촌데이트']",2021-10-18,0,서촌
11,요시고사진전에서 교양 쌓기🏞(쌓은것은 음식이 아닐지....)⠀#요시고사진전 #그라운드시소서촌 #한옥달 #서촌스코프,"['#요시고사진전', '#그라운드시소서촌', '#한옥달', '#서촌스코프']",2021-10-18,0,서촌
12,언니강추 스코프에서 스콘쿠키케잌 잔뜩사고 커피랑 티도 한잔씩~ 하루종일 밀가루범벅#서촌스코프,['#서촌스코프'],2021-10-17,0,
13,🫕🍗🍫🥛#포스트 #그래놀라 #시리얼#허닭 #닭가슴살 #슬라이스닭가슴살 #훈제맛👍 #스코프 #서촌스코프 #브라우니 #디저트 #매일우유 #우유#식단 #식단일기 #하루식단 #먹팔 #먹스타그램,"['#포스트', '#그래놀라', '#시리얼', '#허닭', '#닭가슴살', '#슬라이스닭가슴살', '#훈제맛👍', '#스코프', '#서촌스코프', '#브라우니', '#디저트', '#매일우유', '#우유', '#식단', '#식단일기', '#하루식단', '#먹팔', '#먹스타그램']",2021-10-17,0,
