,content,hashtag,date,like,place
0,#제천맛집 #제천낭만짜장 #낭만짜장 #チャジャン #チャンポン #jjajangmyeon #韓国グルメ#日本人と繋がりたい #韓国好きな人と繋がりたい #日常生活 #グルメ女子 #グルメ #食べスタグラム #食べログ#韓国生活 #日本語勉強 #ベーキング #料理 #食べ物 #food #먹스타그램 #일본어공부 #요리스타그램 #foodporn #foodie #foodstagram #foodphotography,"['#제천맛집', '#제천낭만짜장', '#낭만짜장', '#チャジャン', '#チャンポン', '#jjajangmyeon', '#韓国グルメ', '#日本人と繋がりたい', '#韓国好きな人と繋がりたい', '#日常生活', '#グルメ女子', '#グルメ', '#食べスタグラム', '#食べログ', '#韓国生活', '#日本語勉強', '#ベーキング', '#料理', '#食べ物', '#food', '#먹스타그램', '#일본어공부', '#요리스타그램', '#foodporn', '#foodie', '#foodstagram', '#foodphotography']",2020-06-06,0,
1,"21.10.16~10.17 in 의림지 🏕의림지에서 183,171 사진 찍기 ㅎㅎ예쁜 사진 찍어줘서 고마워~ 낭만짜장 크림탕수육 또 먹고싶다…",[],2021-10-19,0,
2,이사후 첫 외식~~!!!맛있다고 소문난 낭만짜장~가족이랑 함께하니 행벅햇♥#첫외식#제천#낭만짜장#냉짬뽕#크림탕수육#제천의림지#가족#행복#눈누난나#씐이난다#새출발,"['#첫외식', '#제천', '#낭만짜장', '#냉짬뽕', '#크림탕수육', '#제천의림지', '#가족', '#행복', '#눈누난나', '#씐이난다', '#새출발']",2021-06-30,0,
3,제천 낭만짜장#낭만짜장#제천맛집#의림지맛집#짜장면#볶음밥#탕수육#짱뽕#가을비#여행#연휴#대체공휴일,"['#낭만짜장', '#제천맛집', '#의림지맛집', '#짜장면', '#볶음밥', '#탕수육', '#짱뽕', '#가을비', '#여행', '#연휴', '#대체공휴일']",2021-10-04,0,
4,#충청도여행 #점심메뉴 로의림지 주차장에서 가까운 #중식 #낭만짜장 #탕수육 #짜장면 #짬뽕 까지 해서세트에 30000 원 🤗,"['#충청도여행', '#점심메뉴', '#중식', '#낭만짜장', '#탕수육', '#짜장면', '#짬뽕']",2021-06-05,0,낭만짜장
5,#제천#의림지#낭만짜장 의림지 구석에 자리잡은 중식당인데 사람들이 끊임없이 찾아오는 집인듯.  불맛나는 짜장맛이 좋았음. 담에 다른종류도 시도해볼만함.,"['#제천', '#의림지', '#낭만짜장']",2021-10-07,0,제천 의림지
6,제천 낭만짜장오늘 점심은 낭만세트(탕수육+짜장+짬뽕)2인분인데 둘이 다먹지를 못하네🤣🤣🤣#낭만짜장#rooftileking,"['#낭만짜장', '#rooftileking']",2021-05-11,0,
7,#잘놀았습니다 ~💯 ..#일상 #제천 #맛집 #투어 #빨간오뎅 #오성통닭 #두꺼비식당 #파릴리 #덩실분식 #낭만짜장 #리솜포레스트 #먹스타그램 #맛스타그램 #먹방스타그램 #음식스타그램 #술스타그램 #카페스타그램 #여행스타그램,"['#잘놀았습니다', '#일상', '#제천', '#맛집', '#투어', '#빨간오뎅', '#오성통닭', '#두꺼비식당', '#파릴리', '#덩실분식', '#낭만짜장', '#리솜포레스트', '#먹스타그램', '#맛스타그램', '#먹방스타그램', '#음식스타그램', '#술스타그램', '#카페스타그램', '#여행스타그램']",2019-10-24,0,
8,다들 너무 배가 고팠고 너무 맛있었던 제천의 중국집#맛스타그램 #먹스타그램 #제천맛집 #제천의림지 #낭만짜장 #낭만짜장마늘찹쌀탕수육 #짬뽕 #해장 #맛있다 #일상 #소통 #맞팔 #김준현다녀간곳,"['#맛스타그램', '#먹스타그램', '#제천맛집', '#제천의림지', '#낭만짜장', '#낭만짜장마늘찹쌀탕수육', '#짬뽕', '#해장', '#맛있다', '#일상', '#소통', '#맞팔', '#김준현다녀간곳']",2019-09-02,0,
9,#제천 #제천맛집 #낭만짜장 #크림탕수육 김준현이 왔다간 집..,"['#제천', '#제천맛집', '#낭만짜장', '#크림탕수육']",2021-10-11,0,
10,행복한 하루였다🍀#주말순삭 #타르타르제천의림지#낭만짜장#두유라이크제천점#술그리고술그리고술🍻#오늘도다이어트는저멀리#ㅋㅎㅋㅎㅋㅎㅋ,"['#주말순삭', '#타르타르제천의림지', '#낭만짜장', '#두유라이크제천점', '#술그리고술그리고술🍻', '#오늘도다이어트는저멀리', '#ㅋㅎㅋㅎㅋㅎㅋ']",2021-10-10,0,충청북도 제천시
11,#제천#낭만짜장#크림탕수육#간짜장#냉짬뽕  신랑님추천으로 저번에 갔다가 사람 느므 많아서패쓰~이번엔 다행히 대기도 안하구 기대이상으로 맛나게~,"['#제천', '#낭만짜장', '#크림탕수육', '#간짜장', '#냉짬뽕']",2021-10-10,0,
12,케이블카는 지자체 성과를 올리기 위한 광팔이 수단이라 생각했던 내 자신이 부끄럽다.마지막으로 가슴이 탁 트여봤던게 언제일까 싶을 정도로 웅장하고 감동적이었다.#청풍호반케이블카#비봉산#제천여행#레이크호텔#낭만짜장#청풍황금떡갈비#이런남편또없을테죠#남편잘만난여자#이런아빠또없을테죠#일등남편#좋은남편코스프레#서울사람#서울남자#서울살이,"['#청풍호반케이블카', '#비봉산', '#제천여행', '#레이크호텔', '#낭만짜장', '#청풍황금떡갈비', '#이런남편또없을테죠', '#남편잘만난여자', '#이런아빠또없을테죠', '#일등남편', '#좋은남편코스프레', '#서울사람', '#서울남자', '#서울살이']",2021-10-10,0,
13,-오늘 두끼밖에 못먹였네 ㅠ내일은 검색 열심히 할예정 #카페슬로비 #낭만짜장,"['#카페슬로비', '#낭만짜장']",2021-10-10,0,
14,민족 대이동을 3시간30분만에 뜛고 겨우 도착해서 짧은시간이나마 미친듯이 놀았더니 삭신이 쑤신다 ㅋㅋ#의림지#제천여행#용추폭포#레이크호텔#낭만짜장#청풍황금떡갈비#이런남편또없을테죠#남편잘만난여자#이런아빠또없을테죠#일등남편#좋은남편코스프레#서울사람#서울남자#서울살이,"['#의림지', '#제천여행', '#용추폭포', '#레이크호텔', '#낭만짜장', '#청풍황금떡갈비', '#이런남편또없을테죠', '#남편잘만난여자', '#이런아빠또없을테죠', '#일등남편', '#좋은남편코스프레', '#서울사람', '#서울남자', '#서울살이']",2021-10-09,0,
15,제천낭만짜장김준현이 먹고간 맛집이라서 가봤는데탕수육 찐맛집 인정!#탕수육#제천#맛집#낭만짜장#여행#맛스타그램,"['#탕수육', '#제천', '#맛집', '#낭만짜장', '#여행', '#맛스타그램']",2021-10-01,0,낭만짜장
16,졸업고사 보러 간거 맞지??...#99#99년생#23살#대학생#졸업고사#졸업고사는뒷전#나는놀거다#낭만짜장#마늘탕수육#짬뽕#이맛집을이제야알다니#아쉽당#블랙베어#블랙베어카페#자몽에이드🍊#여기도좋다👍🏻#내가만든체리팔찌#우정팔찌#오늘도재밌는하루❤️,"['#99', '#99년생', '#23살', '#대학생', '#졸업고사', '#졸업고사는뒷전', '#나는놀거다', '#낭만짜장', '#마늘탕수육', '#짬뽕', '#이맛집을이제야알다니', '#아쉽당', '#블랙베어', '#블랙베어카페', '#자몽에이드🍊', '#여기도좋다👍🏻', '#내가만든체리팔찌', '#우정팔찌', '#오늘도재밌는하루❤️']",2021-09-28,0,
17,#제천여행#제천의림지#용추폭포💦 #용추폭포유리전망대#제천의림지파크랜드🎡 #오리배타기🐥🚣🏻#1박2일촬영지 #제천맛집#낭만짜장#김준현이다녀간맛집 #크림탕수육낭만짜장 먹고 낭만적인 오리배 타기폭포인데 물이 없네유리 전망대는 보수중파크랜드도 보수중 ㅋㅋ숙소에 체크인 후 발 뻗고 티비 보면서 쉬니까 너무 좋아요 😍 내일은 스파에서 하루 종일 놀 예정 👍,"['#제천여행', '#제천의림지', '#용추폭포💦', '#용추폭포유리전망대', '#제천의림지파크랜드🎡', '#오리배타기🐥🚣🏻', '#1박2일촬영지', '#제천맛집', '#낭만짜장', '#김준현이다녀간맛집', '#크림탕수육낭만짜장']",2021-09-27,0,제천 의림지
18,#제천여행 #낭만짜장#의림지#오리배타기#예쁘다#힐링,"['#제천여행', '#낭만짜장', '#의림지', '#오리배타기', '#예쁘다', '#힐링']",2021-09-27,0,
19,#낭만짜장,['#낭만짜장'],2021-09-26,0,
20,우리끼리 명절즐기기♡2021.09.20아점먹고 제천 출발#제천의림지 #의림파크랜드 #소풍코스#엇피치솜사탕#오리배타기 #간만에타보네#바이킹 #제천바이킹 #무섭다😱 #디스코팡팡 #이쁜딸들💕#제천맛집#낭만짜장#마늘찹쌀탕수육#해물쟁반짜장 #짱맛남👍#잼나지만힘듬#함께여서좋다💕 #고생했어요♡,"['#제천의림지', '#의림파크랜드', '#소풍코스', '#엇피치솜사탕', '#오리배타기', '#간만에타보네', '#바이킹', '#제천바이킹', '#무섭다😱', '#디스코팡팡', '#이쁜딸들💕', '#제천맛집', '#낭만짜장', '#마늘찹쌀탕수육', '#해물쟁반짜장', '#짱맛남👍', '#잼나지만힘듬', '#함께여서좋다💕', '#고생했어요♡']",2021-09-24,0,
21,<추석 가족 강원도 여행>2021.09.19. ~ 2021.09.21.매년 가는 휴가 매년 강원도...#추석 #2021년 #9월 #가족여행 #강원도 #땀띠공원 #방화다리약수터 #선비촌 (토니안 어머니 송어횟집) #한반도면 #낭만짜장 #의림지 #좋은날씨 #사진 #할머니나쁜손,"['#추석', '#2021년', '#9월', '#가족여행', '#강원도', '#땀띠공원', '#방화다리약수터', '#선비촌', '#한반도면', '#낭만짜장', '#의림지', '#좋은날씨', '#사진', '#할머니나쁜손']",2021-09-21,0,PyeongChang
22,제천엔 맛집이 없지는 알았는데...숨어 있었네ㅋ울 오마니 추천 의림지 낭만짜장!올만에 쟁반짜장 맛있게 묵읏네ㅋ마늘탕슉도 맛있다역시 명절엔 외식이지명절엔 원래 살찌는거니까 괜찮아 괜찮아ㅋ#봉담인#제천맛집#낭만짜장#의림지#쟁반짜장#마늘탕수육#인스타그농,"['#봉담인', '#제천맛집', '#낭만짜장', '#의림지', '#쟁반짜장', '#마늘탕수육', '#인스타그농']",2021-09-19,0,
