,content,hashtag,date,like,place
0,뭐 먹을지 고민일 땐 역시 중식이지~#양산중식맛집 모음.zip!!다 맛있어보여서 어디갈지행복한 고민좀해야할듯~⠀#양산맛집#양산맛집추천#양산물금맛집#양산중식맛집#양산중국집#장가계#공린미방#유림회관#북경#진성각#짬타이거#서유기짬뽕#양산가볼만한곳⠀#사장님들힘내세요#자영업자화이팅#의료진분들감사합니다#개인위생철저히 🤲#사회적거리두기 🚶🚶#마스크필수 😷#5인이상집합금지,"['#양산중식맛집', '#양산맛집', '#양산맛집추천', '#양산물금맛집', '#양산중식맛집', '#양산중국집', '#장가계', '#공린미방', '#유림회관', '#북경', '#진성각', '#짬타이거', '#서유기짬뽕', '#양산가볼만한곳⠀', '#사장님들힘내세요', '#자영업자화이팅', '#의료진분들감사합니다', '#개인위생철저히', '#사회적거리두기', '#마스크필수', '#5인이상집합금지']",2021-02-20,0,
1,"양산 물금 #서유기짬뽕쟁반짜장에 오징어볶음 조합, 복분자탕수육특이한 조합 오징어볶음 추가로 있었으면좋겠다~~🤔#양산#물금#쟁반짜장#오징어볶음#탕수육","['#서유기짬뽕쟁반짜장에', '#양산', '#물금', '#쟁반짜장', '#오징어볶음', '#탕수육']",2020-02-25,0,Yangsan
2,"《당진시 신평면 서유기짬뽕》.불 맛 가득 통통한 식감의매콤한 오징어새우야채볶음과달달한 짜장의 #환상케미물기 없이 꾸덕꾸덕하게 볶아낸 게 특징🤔따로 먹어도 맛있고 같이 먹으면 더 맛있음밥 한 공기 말기에 딱 적당한 소스 양짬뽕은 Soso~.#쟁반짜장 - 17,000원#짬뽕 - 8,000원.#당진맛집 #당진맛집추천 #쟁반짜장맛집 #삽교호맛집 #서유기짬뽕 #오징어볶음 #밥말기는필수 #합덕성당 #당진502 #먹스타맞팔 #먹스타그램 #맛집탐방","['#환상케미물기', '#쟁반짜장', '#짬뽕', '#당진맛집', '#당진맛집추천', '#쟁반짜장맛집', '#삽교호맛집', '#서유기짬뽕', '#오징어볶음', '#밥말기는필수', '#합덕성당', '#당진502', '#먹스타맞팔', '#먹스타그램', '#맛집탐방']",2021-09-09,0,서유기 짬뽕
3,#일요일 #점심 #서유기짬뽕 #쟁반짜장#짬뽕 얼큰하니 맛있네:))🍜#증산신도시 #20201025,"['#일요일', '#점심', '#서유기짬뽕', '#쟁반짜장', '#짬뽕', '#증산신도시', '#20201025']",2020-10-25,0,서유기 짬뽕
4,#당진핫플#달고나#서유기짬뽕#서유기쟁반짜장 #삽교호놀이동산 #아미미술관 #한파주의보 갑자기 너무 추워졌어요오늘 패딩입은 가족 보았어요 #놀람😱 추워도 열심히 댕겼다는ㅎㅎ서유기짬뽕 기본 웨이팅이 1시간이라던데 다행히 일찍도착해서 20분정도 기다렸네요..줄도길고 날도춥고 중간메뉴추가도 안되고..뭐 안되는것도 많아서 좀 별로다했는데..먹어보니 신세계!! 짜장에 저 매운 오징어볶음 비벼먹으면 진짜 짱!! 탕수육도 짬뽕도 다 맛있네요ㅋㅋ우리애들 줄서있는분들한테 진짜 맛있어요라고😅 미술관도 놀이동산도 다 좋았는데 쓰고보니 짬뽕집만있네ㅋㅋㅋ#먹는데진심이구만#집밥#집밥스타그램#홈쿡#홈푸드#맛집#맛스타그램#먹스타그램#여행#당진#당진여행#초등맘#맘스타그램,"['#당진핫플', '#달고나', '#서유기짬뽕', '#서유기쟁반짜장', '#삽교호놀이동산', '#아미미술관', '#한파주의보', '#놀람😱', '#먹는데진심이구만', '#집밥', '#집밥스타그램', '#홈쿡', '#홈푸드', '#맛집', '#맛스타그램', '#먹스타그램', '#여행', '#당진', '#당진여행', '#초등맘', '#맘스타그램']",2021-10-16,0,
5,#서유기짬뽕 #쟁반짜장#볶음밥 맛은 애들이 좋아라 할만하네오징어가 베이스인 집평타는 하는곳,"['#서유기짬뽕', '#쟁반짜장', '#볶음밥']",2021-10-18,0,양우내안애2차 파크애버뉴
6,😆속풀린다 속풀려( ⁼̴̤̆◡̶͂⁼̴̤̆ )저 김치 한포기 박살낸듯 핵사이다😆...#당진#삽교호#해물칼국수#해장용#살려죠용😱,"['#당진', '#삽교호', '#해물칼국수', '#해장용', '#살려죠용😱']",2019-03-31,0,삽교호
7,추석에 먹었던 그리고 집으로 싸 가져 온 추석 음식이 동날 무렵에 맛 보는 맵싸한 #짬뽕 한그릇의 맛이란..소화제도 이런 소화제가 없다.#희동왕자 #희동왕자맛집 #서유기짬뽕 #양산짬뽕 #희동욍자_서유기짬뽕 #매운짬뽕,"['#짬뽕', '#희동왕자', '#희동왕자맛집', '#서유기짬뽕', '#양산짬뽕', '#희동욍자_서유기짬뽕', '#매운짬뽕']",2021-09-24,0,
8,"#양산 #물금 #서유기짬뽕-뭐시여.... 어떻게 겨우 두 달 만에 맛이 이렇게 변하누 ;;-오픈 초기에 가보고 맛있어서 꽤 호평을 썼던 집이다. 그런데 친구가 얼마 전 다녀왔는데 탄 맛이 너무 심했다고 해서 그 친구 데리고 한 번 더 와봤다.오픈이벤트를 살짝 축소하셔서 15,000원짜리 쟁반짜장을 이제는 12,000원이 아니라 13,000원에 파신다. 그런데 진짜 친구 말대로 음식이 나오기도 전부터 탄 냄새가 난다. 서빙된 음식을 보니 고춧가루가 볶아진 게 아니라 완전히 타서 거무튀튀하다. 그 외의 맛은 전과 비슷했는데 이 탄 맛과 텁텁함이 아주아주 심해서 기분이 나쁘다. 이건 거의 기본 예의도 없는 정도이고 호불호의 문제가 아니다. 일시적인 문제가 아닌 게, 오히려 이번이 친구가 저번에 왔을 때보다 탄내가 적었다고 한다.충남 당진 본점과 비교해보니 비쥬얼부터 확 다르고 그릇도 다르다;; 본점은 그릇도 예쁘고 음식도 먹음직스러운데 여기는 ㅋㅋㅋㅋ 아디오스 🖐궁금해서 시켜본 미니탕수육도 그냥 아, 너는 탕수육이구나 싶은 정도.-✔오징어 쟁반짜장: 15,000원 -> 13,000원✔탕수육 미니: 10,000원-#양산맛집 #물금맛집 #증산맛집 #양산중국집 #물금중국집 #양산짜장면 #먹상민_양산 #먹상민_짜장면","['#양산', '#물금', '#서유기짬뽕-뭐시여....', '#양산맛집', '#물금맛집', '#증산맛집', '#양산중국집', '#물금중국집', '#양산짜장면', '#먹상민_양산', '#먹상민_짜장면']",2020-03-24,0,Yangsan
9, ,[],,0,
