,content,hashtag,date,like,place
0,".오후 4시엔 빨래를 걷는다, 큰언니집에 팥거두러 간 엄마 대신 엄마가 말리려고 널어둔 호박이며 도토리, 팥과 단감 썰어둔것들을 채반에 다시 담고 kbs콩 classic FM 노래의 날개위에를 들으며 빨래를 개고 있다, ‘산길’이 흘러 나오는데 엄청 오랜만에 듣는 가곡이다, 치과를 예약했는데 다음주 목요일 진료다, 뭐든 한참 걸리는 곳,새벽 기차로 출근한 남편은 점심때 전화와서 준희만나 서울역에서 곰탕 먹고 스벅에서 커피 마신다고, 서울이 좋다고 한다, 아휴 그래 좋겠다고 했다, 이번주는 나보고 서울 올라오라고, 몇밤 자고 가라고(집나간 엄마 찾는것도 아니고),안그래도 겨울옷을 좀 사야하기도 하고 덕수궁이랑 정동길도 한번 들러야지 했다, 오랫만에 조계사도 가보고 싶고,#서천_letter #서천라이프#시골집#시골생활#시골살이","['#서천_letter', '#서천라이프', '#시골집', '#시골생활', '#시골살이']",2021-10-18,0,
1,".수돗가의 엄나무를 엄마는 베자고 하고 나는 저 잎의 아름다움을 보고 안된다하고!나무가 지붕높이를 올라가면 안좋다고(도대체 뭐가?!!!) 엄나무가지를 두 전주 이가가 한가지 잘라서 내 마음이 상당히 아팠던 지난 주말,#서천_letter#서천라이프#시골집#시골집고치기 #시골집리모델링 #시골집인테리어 #엄나무","['#서천_letter', '#서천라이프', '#시골집', '#시골집고치기', '#시골집리모델링', '#시골집인테리어', '#엄나무']",2021-10-08,0,
2,"#광고-[COSMIC MANSION _ 당신만을 위한 향기 👃🏻]--향을 중요하시는거 어떻게 아시고_🧐--하루 중 온전히 나에게 집중하는 시간이 있나요?나만의 향기, 나만의 공간향을 제안해드리는프리미엄 향기브랜드 코스믹맨션을 만나보세요_🥸--나의 취향을 말하니 취향에 맞게 보내주셨네요.-각 향들이 정말 취향저격 당한것처럼 섬세하게 셀렉을 _🧐--각 라인업별 제품이 다양해서내가 원하는 향을 쉽게 찾을 수도 있어요.(코스믹맨션 홈페이지 참고)--특히 와이프가 요즘 날씨에 손이 잘 트는데,핸드크림을 그렇게 마음에 들어하네요_😎--여러분도 집안의 향을 한번 잡아보세요_🙏---sony | a7riii | sel35f14gm#cosmicmansion #코스믹맨션#방향제 #룸스프레이 #디퓨져 #바디로션","['#광고-[COSMIC', '#cosmicmansion', '#코스믹맨션', '#방향제', '#룸스프레이', '#디퓨져', '#바디로션']",2021-10-19,0,
3,"전남 곡성 한적한 산골짜기에 타이니하우스 '농막싸다구' 6평 미니주택 주인 찾아 삼만리자연과 벗 삼은 농막주택이이렇게 아름다울수가 있을까자연 경관이 앞마당 조경이 되고주변 새소리가 음악으로 들려지고작은농막은 호텔 부럽지 않구나농막 라이프스타일을 뚝딱뚝딱 만들고 싶다면'농막북"" 팔로워@nongmakbook농막북 우리의 슬로건은'먹고 자고 입고 논다'#타이니하우스매거진 #농막북 #농막싸다구#전남 #곡성 #타이니하우스 #농막 #작은집#농막주택 #농막라이프 #주택라이프 #시골집","['#타이니하우스매거진', '#농막북', '#농막싸다구', '#전남', '#곡성', '#타이니하우스', '#농막', '#작은집', '#농막주택', '#농막라이프', '#주택라이프', '#시골집']",2021-08-17,0,
4,#마누 #manu #시골집 #고향같아 #ruy #루이 #아침시간 #여유로움 #주인장 #여행작가 #변종모 #힐링굿모닝 ~~힐링 아침!!!@maldive9 화내는거 아님♡,"['#마누', '#manu', '#시골집', '#고향같아', '#ruy', '#루이', '#아침시간', '#여유로움', '#주인장', '#여행작가', '#변종모', '#힐링굿모닝']",2021-09-27,0,
5,.날씨요정과 함께했던 삼시세끼 봉화편사진보니 국희두 즐거웠구나 웃고있네🐶💛집에와서 짐풀고 세탁기 돌려놓고 밀린 갯차보며 즐거웠던 연휴마무리 :)#잘먹고잘놀았다#시골집 #봉화,"['#잘먹고잘놀았다', '#시골집', '#봉화']",2021-10-11,0,
6,⁣⁣⁣과연 궁댕이는 맨손으로 잠자리를 잡을 수 있을것인가??⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣2마리나 잡았습니다😲😲⁣⁣⁣⁣⁣⁣⁣#곤충소녀⁣#대다나다⁣⁣⁣,"['#곤충소녀\u2063', '#대다나다\u2063\u2063\u2063']",2021-10-18,0,
7,"#메이의동화 지나가다가 너무 예뻐서 기웃대다가 주인 할머니께 허락 받고 호다닥 찍었던 사진✨ 시골 할머니댁에 온듯한 느낌 완젼 취저였구,, 혼여의 매력은 이렇게 정처 없이 걷다 예상 외에 장소를 발견하게 되는게 아닐까 싶었던 날👻 보물찾기하는 느낌〰️여름에 저 마루에 앉아 수박먹으면 얼마나 좋을까 생각만해도 행복해,,🍉♥️",['#메이의동화'],2021-10-13,0,시골풍경
8,끌림...#제주도 #시골집 #안거리밖거리 #끌림 #밭담 #밭 #korea_jeju,"['#제주도', '#시골집', '#안거리밖거리', '#끌림', '#밭담', '#밭', '#korea_jeju']",2021-09-07,0,
9,...20211016..오랜만에 친정나들이..시골은 내복바람으로 돌아다녀도 주변사람 신경쓰지 않아도 되고..늘어지게 푹자고 내복 바람에 마루 산책 중..#신난다그램 #시골,"['#신난다그램', '#시골']",2021-10-21,0,
