,content,hashtag,date,like,place
0,".[을지칼국수] 서울 을지로3가-많이 알려진 곳은 아니지만 을지로 직장인들은 대부분 안다는 을지로3가 맛집 을지칼국수. 이곳 칼국수는 특이하게 쑥을 넣은 쑥면으로 만들어냅니다. 사실 저는 초록색면이 식욕을 다소 떨어트린다는 생각도 하는데 어딘가 건강한 느낌이 들긴 하죠. 과하지 않게 은은하게 쑥향이 오르는 면 식감도 좋고 감칠맛 돋는 사골 베이스의 국물도 깔끔하게 잘 떨어지네요. 그야말로 웰메이드 칼국수가 아닐까 싶습니다. 칼국수 못지 않게 매일 빚는다는 만두가 더 인상에 남더군요. 두껍지 않은 피를 가진 큼직한 만두에는 속이 가득 차있습니다. 테이블에 비치된 고추장아찌를 곁들여 먹으니 아주 맛있더라구요. 아마도 계절 메뉴인 듯한 칡냉면도 시원하게 먹기에 좋았지만, 이 집에서는 칼국수와 만두를 우선적으로 추천드립니다. 둘 모두를 먹고 싶은 혼밥 고객들은 만칼이라 부르는 손만두칼국수를 주문하면 되겠죠. 메뉴에 삼겹살이 있는 것도 눈길이 가네요. -* 주소 : 서울특별시 중구 충무로 54-3* 전화번호 : 02-2278-5003* 영업시간 : 10:30~22:00 (토요일 17:00까지 영업)* 휴일 : 일요일 휴무* 주차 : 불가* 가격 : 웰빙손칼국수 8000원/왕만두 8000원-#을지로3가맛집 #을지로3가역맛집 #을지칼국수 #파라원을지로3가 #파라원을지로3가역","['#을지로3가맛집', '#을지로3가역맛집', '#을지칼국수', '#파라원을지로3가', '#파라원을지로3가역']",2021-09-01,0,
1,[을지로 을지칼국수]#사골칼국수 #칼만두국 #손칼국수 #을지로3가 우리교수님의 원픽칼국수집이래서 해장하러 가봤다. #아저씨입맛 .비주얼보고 에이- 이랬는데 국물이 왓😦✨✨✨국물드링킹원샷👍 면이랑 만두도 너무맛있또🥺✨ #자꾸생각나는맛 ...#을지칼국수 #을지로맛집 #을지로3가역 #칼국수맛집 #먹스타그램 #맛스타그램 #술스타그램 #아재입맛 #food #foodstagram #맞팔 #소통 #좋아요 #달잔_중구 #달잔_을지로,"['#사골칼국수', '#칼만두국', '#손칼국수', '#을지로3가', '#아저씨입맛', '#자꾸생각나는맛', '#을지칼국수', '#을지로맛집', '#을지로3가역', '#칼국수맛집', '#먹스타그램', '#맛스타그램', '#술스타그램', '#아재입맛', '#food', '#foodstagram', '#맞팔', '#소통', '#좋아요', '#달잔_중구', '#달잔_을지로']",2020-03-30,0,을지칼국수
2,#을지로3가맛집#을지손만두칼국수_을지로에는 좋은 식당들이 참 많네요점심에 어디 갈지 전날부터 고민고민_오늘은 오랜만에 을지로3가 을지손만두칼국수를 다녀왔습니다이 집은 예전에 일요일에 방송하던 ‘찾아라 맛있는 TV’에소개되면서 많은 분들이 찾고 있는 식당이죠_직접 빚는 왕만두 3덩어리에 쑥 넣어 뽑아낸 면발까지칼만두 한그릇에 모든걸 수제로 만드는 정성스러운 요리네요_이 집의 포인트는 만두를 반으로 잘라한쪽에 준비되어있는 고추장아찌 올려서 먹는게 제맛입니다!_면도 직접 제면해서 그런지 쫄깃하고 주문하지 않아도 밥 한공기도 가져다주시니남은 국물에 밥 말아주시고 만두 한알 으깨서 드시면칼국수에서 만두국밥으로 메뉴가 바뀝니다_#을지로칼국수집참많다#칼국수에만두에밥까지,"['#을지로3가맛집', '#을지손만두칼국수_을지로에는', '#을지로칼국수집참많다', '#칼국수에만두에밥까지']",2019-12-02,0,을지칼국수
3,"#을지로맛집 #을지칼국수 #칼만두우중충한 날씨엔, 뜨끈한 칼국수 한그릇🍜역시 날씨 조금 쌀랑해지면 국물있는 면요리가 땡기자나요!칼국수는 라면 다음으로 가장 쉽고 저렴하게먹을 수 있는 면요리가 아닐까 싶어요💕칼국수의 영원한 단짝, 만두도 함께하면 더 좋지요.저는 만두도 진짜 좋아해서 꼭 같이 시키는 편이에요☺️떡만두국도 좋고, 칼만두, 그냥 만둣구국도 정말 맛있죠💓이 집은 면발이 초록색인데 쑥으로 반죽을 해서 그렇다네요.면발이 부드러워서 호로록 먹기 참좋았어요.사실 이 집은 만두가 맛있어서 더 기억에 남아요.진짜 손으로 빚은 손만두인데 속이 참 알차요👍고기만두인데 전혀 기름지거나 느끼하지 않고만두피도 쫄깃쫄깃, 두께도 적당해서 딱 좋아요👌요기에 같이 주는 간장고추를 한조각 올려 먹으면 최고!부담없이 꾸리꾸리한 날에 먹으면괜히 더 맛있게 느껴지는 칼만두였습니당🙌📍#을지칼국수 🛎손만두칼국수(8.0)","['#을지로맛집', '#을지칼국수', '#칼만두우중충한', '#을지칼국수']",2021-08-24,0,
4,#왕사마 #서울맛집 #먹방 #맛집 #먹스타그램 #맛스타그램#을지로맛집 #을지로3가맛집 #을지로3가역맛집 #을지로칼국수 #을지로3가칼국수 #칼국수맛집#을지로 #을지로3가 #을지로3가역 #충무로 #충무로역#칼국수 #만두#을지칼국수 #을지손칼국수꽤 맛나는 칼국수맛집인데위치가 애매하서 모르시는분들이 많은듯.마니아분들은 기냥 추천~!,"['#왕사마', '#서울맛집', '#먹방', '#맛집', '#먹스타그램', '#맛스타그램', '#을지로맛집', '#을지로3가맛집', '#을지로3가역맛집', '#을지로칼국수', '#을지로3가칼국수', '#칼국수맛집', '#을지로', '#을지로3가', '#을지로3가역', '#충무로', '#충무로역', '#칼국수', '#만두', '#을지칼국수', '#을지손칼국수꽤']",2018-08-21,0,
5,충무로에서 인터뷰한 김에 혼밥. 보슬보슬 비 오는 오늘 날씨에 보들보들 칼국수 맛있다! (만두국 시키는 사람도 꽤 있는 걸 보니 칼만두국으로 먹어도 맛있었겠다.) 무엇보다 다대기 넣어야 진짜 맛의 완성👍👍👍 다른 동네 올 때면 다른 동네의 즐거움을 누려야지. 비록 일로 왔어도. :) #을지칼국수 #을지로3가맛집 #혼밥 #비오는날엔🍜,"['#을지칼국수', '#을지로3가맛집', '#혼밥', '#비오는날엔🍜']",2021-06-15,0,
6,[을지로] 을지손칼국수(을지칼국수)쑥으로 만든 면이 인상적인 '을지손칼국수' (네이버나 인스타는 을지칼국수로 등록)사골육수에 감자도 큼직큼직 들어있어 입에 짝 붙는 국물이다.두툼한 만두는 저 고추&마늘 소스 조합을 찍어먹어야 제 맛!칼국수 외 만두가 3알 들어있는 일명 만칼도 인기메뉴다.202101 어느 날#을지로맛집 #칼국수맛집 #을지칼국수 #을지손칼국수 #쑥칼국수 #만칼 #만두에는고추마늘양념 #맛스타그램 #칼국수스타그램,"['#을지로맛집', '#칼국수맛집', '#을지칼국수', '#을지손칼국수', '#쑥칼국수', '#만칼', '#만두에는고추마늘양념', '#맛스타그램', '#칼국수스타그램']",2021-01-29,0,을지칼국수
7,오랜만에 먹으니 맛있다 #을지칼국수#성시경맛집,"['#을지칼국수', '#성시경맛집']",2020-09-26,0,
8,📌 #을지칼국수 다들 맛집인데 한번 갔을땐 맛있고 두번 세번 방문했을땐 그저 그런집 있지 않았나욤?🥲나는 여기 진짜 다섯번 열번 와도 너무너무 맛있게 먹고 가는 집인 거 같움 !!!만두 덕후인 나에게 내려준 신의 선물 🧡🤤👍🏼🥟👍🏼만두를 사장님께서 직접 만드시는 거 같은데 만두도 왕크고 ! 만두속도 진짜 푸짐하게 차있다 ! 숙주랑 고기가 꽈아아아악 차있음 !칼국수 국물도 맛있고 뭔가 육포같은 고기도 진짜 감칠맛남 ㅜㅜ 갑자기 또 먹고싶네 🥟🤤🤤🤤🤤을지로에서 점심 매일 먹다시피 하지만 다섯 손가락 안에 꼽는 집임 🧚🏻❤️‍🔥여기서 점심에 막걸리에 만둣국 먹는 사람이 승자다 . ✨👍🏼이 세상 사람 모두가 알았으면 좋겠어ㅜㅜ❤️❤️ 을지칼국수🧡 서울 중구 을지로12길 7💛 장만옥 건너편 집이예용 ! 만두 꼭 먹어야돼ㅜ이건 필수야!!..........#을지로 #을지로3가 #을지로맛집 #을지로3가맛집 #을지로술집 #을지로3가술집 #을지로핫플 #을지로데이트 #을지로점심 #점심맛집 #중구맛집 #서울맛집 #맛집추천 #맛스타그램 #맛집스타그램 #맛집탐방 #칼국수맛집 #만두맛집 #수제만두 #먹스타그램 #먹팔 #맞팔 #명동맛집 #선팔하면맞팔 #먹스타맞팔 #을지로4가,"['#을지칼국수', '#을지로', '#을지로3가', '#을지로맛집', '#을지로3가맛집', '#을지로술집', '#을지로3가술집', '#을지로핫플', '#을지로데이트', '#을지로점심', '#점심맛집', '#중구맛집', '#서울맛집', '#맛집추천', '#맛스타그램', '#맛집스타그램', '#맛집탐방', '#칼국수맛집', '#만두맛집', '#수제만두', '#먹스타그램', '#먹팔', '#맞팔', '#명동맛집', '#선팔하면맞팔', '#먹스타맞팔', '#을지로4가']",2021-10-19,0,을지로 3가
9,#을지로3가#을지칼국수#칼만두국#만두#건강검진후#넘나맛나#배가고파서인지#맛있다그램,"['#을지로3가', '#을지칼국수', '#칼만두국', '#만두', '#건강검진후', '#넘나맛나', '#배가고파서인지', '#맛있다그램']",2021-10-08,0,
