,content,hashtag,date,like,place
0,"드디어 평양면옥 먹었다, 소원성취😭 온유가 감탄하며 혼자 완냉했다. 이곳 제육(돼지고기 수육)도 기가막히는데, 김치에 말아먹으면 끝장난다. 아인이는 고기+김치가 정말 맛있었는지 면도 안먹고🦁 같은 평양냉면 동지인 남편 생각이 절로 났다😭 평냉동지가 가족이면 진짜 천군만마 얻은 기분",[],2020-11-01,0,의정부 평양면옥
1,#강훈님많은 질문에도 늘 세세하게다 알려주시는 강훈님과 📸평양 냉면이 생각나는 아침이네.오늘도 화이팅👍#에즈금융서비스 #챔프지점 #8팀#서울남자 #부산남자 #현장실습 #버즈 #소통 #선한영향력 #대물림 #순한맛 #강후이가 #양강후이가#잊지못할 #평양면옥 #오늘걷지않으면내일은뛰어야한다,"['#강훈님많은', '#에즈금융서비스', '#챔프지점', '#8팀', '#서울남자', '#부산남자', '#현장실습', '#버즈', '#소통', '#선한영향력', '#대물림', '#순한맛', '#강후이가', '#양강후이가', '#잊지못할', '#평양면옥', '#오늘걷지않으면내일은뛰어야한다']",2021-06-24,0,에즈금융서비스 챔프지점
2,#20200825화요일 #평양면옥 #잠원동 ..평양면옥 의정부 계열 계보는 의정부는 홍영남 김경필 부부가 창업 후 의정부는 며느리 하남 스타필드는 아들이 딸 셋에게는 힘든 평양냉면을 가업으로 물려 주지 않으려고 잘사는 집으로 시집을 보냈는데 배운게 도둑질이라고 딸 세명 모두 평양냉면을 개업 김경필 할머니는 하더라도 의정부 평양면옥을 상호로 사용 하지 말라 하셔서 첫째딸은 필동면옥 둘째딸은 을지면옥 셋째딸은 본가면옥 이라는 각각 다른 상호를 써게 되었고 아무것도 가르치지 않은 막내 가게는 2년 정도 직접 가르쳐 주셨단다 그런데도 필동 을지에 비해 뭔가 2% 부족하다 그래도 하남 스타필드 보다는 낫다는 건우 생각이다 그리고 장충동 계열 보다는 의정부..#평양냉면 #평양냉면나들이 #의정부계열 #3째딸 #잠원동 #본가면옥 #잘하네👍 #육수 #알아서리필 #이런적처음 #접시만두 #북한식만두 #슴슴 #쫄깃 #여긴또간다,"['#20200825화요일', '#평양면옥', '#잠원동', '#평양냉면', '#평양냉면나들이', '#의정부계열', '#3째딸', '#잠원동', '#본가면옥', '#잘하네👍', '#육수', '#알아서리필', '#이런적처음', '#접시만두', '#북한식만두', '#슴슴', '#쫄깃', '#여긴또간다']",2020-08-25,0,본가평양면옥
3,"오늘의 점심 🍜 장충동 평양면옥 평양냉면, 제육 반 만두 반싸이클 타고 나면 평양냉면이 너무너무 땡기는거 같아서 싸이클 타고 씻자마자 갔습니다.요기도 발렛가능이라 좋아하는 곳 중 하나",[],2021-08-25,0,장충동 평양면옥
4,".슬푸담..,, 남편이랑 평양냉면 먹으러 왔는데 휴업이래요얼마전부터 진짜 먹고싶었는데....😭추석끝나구 바로와야지 아쉬운대로 코다리냉면 먹고왔어요추석 전부터 입터져서 큰일^^..#평양면옥 #평양냉면 #먹스타그램 #의정부맛집","['#평양면옥', '#평양냉면', '#먹스타그램', '#의정부맛집']",2020-09-27,0,의정부 평양면옥
5,벌컥벌컥,[],2021-03-17,0,평양면옥 도곡점
6,기면주랑 올해의 첫 평냉 스타트😋(댓글&디엠 오늘밤에 다 답변 드릴께요오💕)...#의정부맛집 #평양면옥 #평양냉면 #맛스타그램 #먹스타그램 #selfie #셀스타그램 #얼스타그램,"['#의정부맛집', '#평양면옥', '#평양냉면', '#맛스타그램', '#먹스타그램', '#selfie', '#셀스타그램', '#얼스타그램']",2021-05-27,0,의정부 평양면옥
7,🥢...#평양면옥#일상 #데일리 #많이먹은어느날#평양냉면 #제육 #만두 #평냉 #냉면#냉면맛집 #먹스타그램 #맛스타그램#naengmyeon #coldnoodles #koreanfood,"['#평양면옥', '#일상', '#데일리', '#많이먹은어느날', '#평양냉면', '#제육', '#만두', '#평냉', '#냉면', '#냉면맛집', '#먹스타그램', '#맛스타그램', '#naengmyeon', '#coldnoodles', '#koreanfood']",2021-02-06,0,평양면옥
8,#이벤트 진정한 먹고수의 해장은 평양냉면으로🍜냉면국물이 목을 타고 내려가며 갈증마져 씻겨주는흐아...이건 원샷해줘야함요.어제 요러콤 먹고 마셨는데도 소화도 잘 시키고숙취 없는건왜 때문이게요???힌트: ㄷㅍㅎㅍ😎..5명의 양쥐팸께 정답쏠께요!좋은건 나눠먹자구요!우린 깐부 아이가!!!🤼‍♀️....#알콜도분해하지요#단백질흡수를돕구요#지방까지분해합니다#달포해포 #효소#양쥐맛집,"['#이벤트', '#알콜도분해하지요', '#단백질흡수를돕구요', '#지방까지분해합니다', '#달포해포', '#효소', '#양쥐맛집']",2021-10-16,0,
9,뜨끈한 국물 생각나는 계절이라니..날씨 변화가 빠름이 무섭네요. 😭건강한 음식먹고 잘 이겨내자. 겨울도!!#뜨끈한국물이생각날때 #평양면옥 #어복쟁반,"['#뜨끈한국물이생각날때', '#평양면옥', '#어복쟁반']",2021-10-21,0,장충동 평양면옥
10,#평양면옥#냉면#소고기수육#만두,"['#평양면옥', '#냉면', '#소고기수육', '#만두']",2021-10-21,0,
11,#평양면옥#의정부평양면옥#의정부맛집#평양냉면맛집#돼지고기수육 🐷 #만두#평양냉면#쭈맛집 #jjoo맛집#레이크우드cc 갔다가 의정부로💛오랜만에 #평양면옥본점 맛있었다요💛,"['#평양면옥', '#의정부평양면옥', '#의정부맛집', '#평양냉면맛집', '#돼지고기수육', '#만두', '#평양냉면', '#쭈맛집', '#jjoo맛집', '#레이크우드cc', '#평양면옥본점']",2021-10-21,0,의정부 평양면옥
12,"#협찬  이지만 집밥 먹고 싶을 때 꼭 들러봐도 좋을 법한 #흑돼지김치찌개 에 가마솥밥 맛있던 집 .♦️평양면옥♦️.⏩제주 서귀포시 서귀동 464-4 #제주밀면맛집#서귀포맛집#제주맛집#제주여행#제주맛집추천#올레시장맛집#올레시장밀면#밀면맛집#빈대떡맛집#제주여행코스#제주여행계획#제주핫플#서귀포핫플#서귀포점심#서귀포추천맛집#평양면옥.한라산 다녀온 뒤 자리보전하고 며칠째 끙끙거리는 중인데요😥😥.그래도 하산후 바로 든든하게 한식먹고 싶어서 달려간 게 신의 한수‼.진짜 집밥같은 반찬들과 계란후라이, 큼직하게 두부썰어넣고 흑돼지랑 당면이랑 김치 송송 넣어 팔팔 끓여낸 진득한 김치찌개👍👍👍👍.거기에 좋은 쌀로 갓 지어낸 가마솥밥 그릇에 따로 덜어두고 그 솥에 물 부으면 그대로 구수한 누룽지 완성👏👏👏👏.꼼꼼하게 잘 빚은 메밀만두까지 흡입했더니 배 든든 꽉 찬 만족감 굿이었어요🤗🤗🤗🤗.#마이쪄 #먹방스타그램 #먹방 #먹스타맞팔 #맞팔해요","['#협찬', '#흑돼지김치찌개', '#제주밀면맛집', '#서귀포맛집', '#제주맛집', '#제주여행', '#제주맛집추천', '#올레시장맛집', '#올레시장밀면', '#밀면맛집', '#빈대떡맛집', '#제주여행코스', '#제주여행계획', '#제주핫플', '#서귀포핫플', '#서귀포점심', '#서귀포추천맛집', '#평양면옥.한라산', '#마이쪄', '#먹방스타그램', '#먹방', '#먹스타맞팔', '#맞팔해요']",2021-10-21,0,
13,#맛스타그램 #평양면옥 #평양냉면 #어복쟁반 #양재역맛집,"['#맛스타그램', '#평양면옥', '#평양냉면', '#어복쟁반', '#양재역맛집']",2021-10-20,0,평양면옥
14,규영이와 동대문 평양면옥~~ 간만에 고기까지~~ #평양면옥,['#평양면옥'],2021-10-20,0,Dongdaemun History & Culture Park Station
15,"제주도민이 추천하는빈대떡 맛집 서귀포 #평양면옥 에 다녀왔어요 !평양이 고향이신사장님의 부모님으로부터 이어져 내려오는전통 평양식 녹두빈대떡으로,100% 녹두와 신선한 재료로 만들어맛있고 가격 또한 저렴한 빈대떡 💗막걸리와 먹고 싶었지만 차가 있어 아숩 😭하지만 메밀막국수와도 정말 잘어울리더라구요서귀포에서 제대로 된 빈대떡을 맛보고 싶으시다면평양면옥 추천합니당..#제주밀면맛집 #서귀포맛집 #제주맛집 #제주여행 #제주맛집추천 #올레시장맛집 #올레시장밀면 #밀면맛집 #빈대떡맛집 #제주여행코스 #제주여행계획 #제주핫플 #서귀포핫플 #서귀포점심 #서귀포추천맛집 #서귀포밀면 #서귀포맛집추천","['#평양면옥', '#제주밀면맛집', '#서귀포맛집', '#제주맛집', '#제주여행', '#제주맛집추천', '#올레시장맛집', '#올레시장밀면', '#밀면맛집', '#빈대떡맛집', '#제주여행코스', '#제주여행계획', '#제주핫플', '#서귀포핫플', '#서귀포점심', '#서귀포추천맛집', '#서귀포밀면', '#서귀포맛집추천']",2021-10-20,0,평양면옥
16,고모랑 할무니집 들렸다가 집으로 가는길 경유지에서~~ㄱ처음으로 밥먹을때 얌전해주심#고양스타필드#평양면옥#만두국#이서하#생후47일#나도유모차타고싶다#딸램#소띠아기#소띠맘,"['#고양스타필드', '#평양면옥', '#만두국', '#이서하', '#생후47일', '#나도유모차타고싶다', '#딸램', '#소띠아기', '#소띠맘']",2021-10-20,0,
17,"나와 뽀롱식사.그리고 이벤트 예고😅1번: 어제 뽀롱함무니가 뽀롱이 봐주신다고 약속있음 편히 나가라고 해서, 3시간 정도 개육아 잠시 탈출😆😅(뽀롱이 보는거 넘 좋지만, 3시간정도 자유를 갖으니 그래도 신나네요?ㅋ)집근처 파인다이닝 #서울다이닝->런치가격  완전 굿!!!!❤2번: 오늘아침 뽀롱식사(프라이멀+단호박+토마토+마지막에 허브가루와 코코넛워터뿌려줌)입원기간 3박4일중 대변을 딱한번 봤고.. 퇴원해서 이틀째인데 대변을 안봄;;; 그래서 어젠 습식파우치 주고, 물많이먹이고, 코코넛워터랑 산양유 먹이고, 오늘 식사에 단호박,토마토,코코넛워터 등 축축하게 수분과 식이섬유 많이줌.. 제발똥싸..3,4번: 뽀롱이 입원전 최근 평소식단-> 건강검진을 아주 구석구석 디테일 하게하구, 영양밸런스도 검사했는데, 모든 영양소가 어쩜그리 골고루 잘 있는지.ㅎ 선생님께 칭찬받았다~ 단, 단백질수치는 살짝낮으니 단백질은 조금더 높여도 된다셨다. 전체 양을 늘리진 않을거고 비율에서 단백질을 조금더 채울예정!! 앞으로 다리근육 많이 붙어야해서 골고루 먹이되, 단백질 조금늘리고, 과하지않도록 중간중간 밸런스검사 할 예정.5,6,7: 아주 잘 먹고있는 뽀롱맘.ㅋㅋㅋ 뽀롱이 케어하려면 잘먹어야지!!!^^ 곱창라면, 불짜장, 평양면옥 만두국,평양냉면,만두. ㅋㅋㅋ8번. 👉 아나바다겸, 뽀롱미카 퇴원기념이벤트 예고#요크셔테리어뽀롱#대퇴골탈구#대퇴골두절단수술#선척적인고관절이형성증#3박4일입원 퇴원후 회복중#아주잘걷고 뛰기도해서 자제시키는중#미쉐린가이드맛집#파인다이닝#런치5만원대박집근처맛집 #서울다이닝#미쉐린가이드집근처 #평양면옥 본점#집근처맛집많아서개좋음ㅋㅋ#아나바다 #이벤트#행복하자뽀롱아","['#서울다이닝->런치가격', '#요크셔테리어뽀롱', '#대퇴골탈구', '#대퇴골두절단수술', '#선척적인고관절이형성증', '#3박4일입원', '#아주잘걷고', '#미쉐린가이드맛집', '#파인다이닝', '#런치5만원대박집근처맛집', '#서울다이닝', '#미쉐린가이드집근처', '#평양면옥', '#집근처맛집많아서개좋음ㅋㅋ', '#아나바다', '#이벤트', '#행복하자뽀롱아']",2021-10-20,0,
18,우와 이건 지짜 ...먹어본 평냉중에 제일 BEST❤️.#평양냉면 #평양면옥 #만두맛집 #맛집 #담백 #시원 #춥춥 #겨울엔냉면 #일상 #저녁메뉴,"['#평양냉면', '#평양면옥', '#만두맛집', '#맛집', '#담백', '#시원', '#춥춥', '#겨울엔냉면', '#일상', '#저녁메뉴']",2021-10-20,0,
19,우와 이건 지짜 ...먹어본 평냉중에 제일 BEST❤️.#평양냉면 #평양면옥 #만두맛집 #맛집 #담백 #시원 #춥춥 #겨울엔냉면 #일상 #저녁메뉴,"['#평양냉면', '#평양면옥', '#만두맛집', '#맛집', '#담백', '#시원', '#춥춥', '#겨울엔냉면', '#일상', '#저녁메뉴']",2021-10-20,0,
20,드디어 먹어봅니다 평냉 #평양면옥,['#평양면옥'],2021-10-19,,
21,어제 먹었던 맛집 😋날씨 꾸리꾸리한데 어복쟁반너무 맛있게 먹었어요..평양면옥 동대문 쪽인데 집이랑 멀지 않아 슝 다녀왔네요어복쟁반 먹고 사우나 하고 제대로 힐링한 월요일 하..띵까 띵까 노는거 같지만 매일이일 투성에 해결할 일이 산더미에요오늘도 열심히 살아보자아 🤟🏻✌🏻,[],2021-10-19,0,장충동 평양면옥
22,.월요일이 쉬는 날이라오전은 집에서 잉여롭게 뒹굴다가느즈막한 오후 종로 5가 나들이.평양면옥 기대는 안 하고 갔는데매우 만족도가 높았음다음엔 어복쟁반 ㄱ. 효도는 어렵다아 조경오 감독 보고싶은데ㅡㅡ.#평양면옥 #평양냉면,"['#평양면옥', '#평양냉면']",2021-10-18,0,장충동 평양면옥
23,"#장충동 #평양면옥 ..하,,, 위염 시작 D-1,,,","['#장충동', '#평양면옥']",2021-10-18,0,
24,친구들과 함께한 이번 여름의 마지막 냉면 #평양면옥 #장충동평양면옥,"['#평양면옥', '#장충동평양면옥']",2021-10-18,0,
25,#갈비살 #살치살 #등심🥩#어복쟁반👍#평양냉면🍜 #칭구생파🎂 #평양면옥,"['#갈비살', '#살치살', '#등심🥩', '#어복쟁반👍', '#평양냉면🍜', '#칭구생파🎂', '#평양면옥']",2021-10-18,0,
26,"#평양면옥 #장충동평양면옥-서울 중구 장충동-2, 4, 5호선 동대문역사문화공원역 5번 출구 도보 3분-물냉면 12000원정말 오랜만에 간 장충동 평양면옥면은 정석국물은 맑고 깔끔이전에는 짜고 새콤한 맛이 셌던 거 같은데오늘은 새초롬했다.고명으로 나온 돼지고기가 좀 느끼했던 게 아쉬운 포인트총점: 4.1/5.0#평양면옥 #장충동평양면옥 #냉면 #평양냉면 #평냉","['#평양면옥', '#장충동평양면옥-서울', '#평양면옥', '#장충동평양면옥', '#냉면', '#평양냉면', '#평냉']",2021-10-18,0,
27,"#첫줄패스 의정부파 #평양냉면 #을지면옥 #냉면 #냉면맛집애기 때는 #필동면옥 종종 갔었는데5~6년 전부터는 직장과 가까워 을지면옥으로 #평양면옥 도 애기 때 한두 번 가보고하남 스타필드에 생겨서 가봤는데편의성 👍🏻 맛도 거진 비슷? 똑같아!? 단골 예약갈 때마다 왠지 불안불안..혹여 맛이 변할까 봐🥺 10,000원 일 때가 제일 맛있던 을지면옥..3만원에 수육에 냉면 먹을 때가 가을 같다..#점심 #점심메뉴 #오늘의점심","['#첫줄패스', '#평양냉면', '#을지면옥', '#냉면', '#냉면맛집애기', '#필동면옥', '#평양면옥', '#점심', '#점심메뉴', '#오늘의점심']",2021-10-18,0,
28,으르신들의 성지(?) 의정부 #평양면옥 에서 온갖 시선을 안주(?)삼아 완냉한 5년전~ 😝😝😝..역시 젊은게 좋아~,['#평양면옥'],2021-10-17,0,
29,막걸리를 먹고싶었던 자의 냉털과음 후 6시간째 두개골 작살나는 중 ㅜㅜ...#사람잡네 #좌뇌가뽑히는것가타여 #모두냉동실출신 #집밥 #낮술 #평양냉면 #냉동식품 #평양면옥 #완자 #지평생막걸리 #수육 #막걸리안주 #테이블웨어 #테이블데코 #술상차림,"['#사람잡네', '#좌뇌가뽑히는것가타여', '#모두냉동실출신', '#집밥', '#낮술', '#평양냉면', '#냉동식품', '#평양면옥', '#완자', '#지평생막걸리', '#수육', '#막걸리안주', '#테이블웨어', '#테이블데코', '#술상차림']",2021-10-17,0,
30,맛있는 면요리를 위한 맛기행은 계속됩니다 #평양면옥,['#평양면옥'],2021-10-17,0,장충동 평양면옥
