,content,hashtag,date,like,place
0,오랜만에 최수 진용이도 보고 함께 dj병♡ 환자인 승환이도 보고 결론은 와킹 배워야할듯 낄낄 #20211018 #20211020 #서래마을 #서래마을맛집 #봉피양샤브 #신논현맛집 #대포집 #부속고기 #와킹 #스우파 #낄낄,"['#20211018', '#20211020', '#서래마을', '#서래마을맛집', '#봉피양샤브', '#신논현맛집', '#대포집', '#부속고기', '#와킹', '#스우파', '#낄낄']",2021-10-20,0,
1,🥩🍲샤브용 고기가 맛나당~~🥰#서래마을 #봉피양샤브 #마블링좋다 #한우샤브,"['#서래마을', '#봉피양샤브', '#마블링좋다', '#한우샤브']",2021-09-07,0,봉피양샤브
2, ,[],,0,
3,"#봉피양샤브신동엽 맛집으로 유명해서 한우등심스키야키 먹으러 아픈다리 이끌며 찾아감.깔끔한 세팅에 고기 마블링이 예술임~마무린 칼국수로 했는데, 여기 유명한 돼지본갈비와 평양냉면을 안먹으면 섭섭할거같아 1인분 주문해서 맛봄.안먹었음 후회할뻔한 맛👍 ...#서래마을맛집#큰딸잘먹었어#고마워#배터지는줄😛","['#봉피양샤브신동엽', '#서래마을맛집', '#큰딸잘먹었어', '#고마워', '#배터지는줄😛']",2021-08-15,0,
4,캬.#봉피양샤브 #👍,"['#봉피양샤브', '#👍']",2021-08-02,0,
5,휴가 종료 D-1수현이와 장난치다 또 귀에서 돌이 빠져버렸다ㅜ 급하게 이비인후과 가서 치료하고 또 빠질까봐 예방차원에서 봉피양 샤브 방문. 역시 아플 땐 남의 살이 최고!#봉피양샤브 #설화채끝 #돼갈돼갈 #남의살최고 #이석증꺼져,"['#봉피양샤브', '#설화채끝', '#돼갈돼갈', '#남의살최고', '#이석증꺼져']",2021-08-02,0,봉피양샤브
6,원래는 비발디 소노펠리체에서 고기굽고 있었어야 하는디 거리두기 상향이랑 집단감염때매 파토 ㅠㅠ 아쉬우니까 스끼야키라두 먹고 카페😂😂 #20210725 #서래마을 #봉피양샤브 #한우등심스키야키 #양곰탕 #퀸즈파크서래점,"['#20210725', '#서래마을', '#봉피양샤브', '#한우등심스키야키', '#양곰탕', '#퀸즈파크서래점']",2021-07-25,0,서래마을 어딘가
7,드디어 왔다.....#봉피양샤브 #서래마을 #스키야키 #미우새맛집 #맛집 #맛집스타그램 #손맛스타그램,"['#봉피양샤브', '#서래마을', '#스키야키', '#미우새맛집', '#맛집', '#맛집스타그램', '#손맛스타그램']",2021-07-25,0,봉피양샤브
8,늘.#봉피양샤브 #👍,"['#봉피양샤브', '#👍']",2021-07-05,0,
9,"평양냉면의 계절 🍜돌아서면작꾸 또 생각나는평양냉면의 심심한 매력에빠져버렸어여 ,, 저 여기 또 갈꼬에요 추천추천 🤍-#봉피양샤브 #평양냉면","['#봉피양샤브', '#평양냉면']",2021-06-20,0,
10,".재택근무하는것 중 젤 좋은것은출퇴근시간 절약 하고, 좀 더 늦잠잘수있고평일 저녁약속도 잡을 수 있다는것^^일은 회사가 더 잘되는것같다😢🤣#봉피양샤브#등심#평양냉면","['#봉피양샤브', '#등심', '#평양냉면']",2021-06-14,0,봉피양샤브
11,(#내방역맛집 #봉피양샤브 ) 국수🍜 안 먹었으니 살은 안찌겠지😋 #좋은사람은오래만나야돼 #자주봐야돼 #표현해야돼,"['#내방역맛집', '#봉피양샤브', '#좋은사람은오래만나야돼', '#자주봐야돼', '#표현해야돼']",2021-06-08,0,
12,#봉피양샤브 #현주엽맛집 #샤브샤브맛집 #빨간날 #서울나들이 #일상 #좋아요반사,"['#봉피양샤브', '#현주엽맛집', '#샤브샤브맛집', '#빨간날', '#서울나들이', '#일상', '#좋아요반사']",2021-05-05,0,서초구방배동
13,"4월 22일 점심생일이라 월차를 낸 남편과 봉피양샤브를 가다. 신동엽 맛집이라고 유명한 곳인데이곳 스키야키가 먹고 싶어 오래전부터 벼르던 곳이다. 비싼데, 맛있다. 전복구이를 왜 몰라줬을까.살짝 겉에만 그을리듯 구워서 주는데적당한 불맛과 부드러운 살코기(?)굽기전에 전복을 미리 보여주고 구워주는 것도 좋았다.다음엔 고기를 먹어봐야지. 연예인이 좋아하는 맛집이든,유명한 맛집이든, 내 입에 별로면 끝인데..이 집은 인정..신동엽 씨 입맛 인정.. 🤗#식단일기#식단기록#생일외식#봉피양샤브#비싸도한번먹을만한곳#다음엔고기다#전복구이","['#식단일기', '#식단기록', '#생일외식', '#봉피양샤브', '#비싸도한번먹을만한곳', '#다음엔고기다', '#전복구이']",2021-04-22,0,
14,#봉피양샤브⠀신동엽이 추천 했다던 그집😊깔끔하게 잘 나오고 맛도 너무 맛있다한우등심스키야키 입에서 녹는고만!!돼지갈비도 내가 좋아하는 스타일👍👍⠀#강남#강남맛집#방배#방배맛집#서래점#한우#스키야키#돼갈#먹스타그램#선팔#맞팔#팔로우#일상,"['#봉피양샤브⠀신동엽이', '#강남', '#강남맛집', '#방배', '#방배맛집', '#서래점', '#한우', '#스키야키', '#돼갈', '#먹스타그램', '#선팔', '#맞팔', '#팔로우', '#일상']",2021-04-18,0,방배동
15,꼬기먹고 테라스에서 웨이팅중ㅋㅋ 중단발이었을때🙎🏼‍♀️🙎🏼‍♀️ 머리를 다시 자를지 고민중 #봉피양샤브 #latergram,"['#봉피양샤브', '#latergram']",2021-03-11,0,벽제갈비 서래점
16,#봉피양샤브 #본갈비 #신동엽맛집 #갈비맛집 #평양냉면 #물냉 #비냉 #주말나들이,"['#봉피양샤브', '#본갈비', '#신동엽맛집', '#갈비맛집', '#평양냉면', '#물냉', '#비냉', '#주말나들이']",2021-02-28,0,
17,꿀맛 #봉피양 #봉피양샤브,"['#봉피양', '#봉피양샤브']",2021-02-27,0,"Seoul, Korea"
18,#평양냉면#처음먹어봄#돼지갈비#봉피양샤브#서래마을점#먹스타그램#맛스타그램,"['#평양냉면', '#처음먹어봄', '#돼지갈비', '#봉피양샤브', '#서래마을점', '#먹스타그램', '#맛스타그램']",2021-02-20,0,
19,스끼야끼 호로록🐷...#봉피양샤브 #봉피양샤브서래점 #스끼야끼 #스끼야끼맛집,"['#봉피양샤브', '#봉피양샤브서래점', '#스끼야끼', '#스끼야끼맛집']",2021-02-03,0,
20,"#봉피양샤브 와우 너무 맛있어 솔직히 마지막 고기는 그닥,,",['#봉피양샤브'],2021-01-18,,
21,자발적 자가격리나 다름없이 생활하고 있다보니 차타고 가는 그 짧은 시간에 잠깐보는 바깥세상과 바깥공기에 기분이 좋아져 식욕이 아주 상승함😄..#평소엔뭔맛으로먹는지도몰랐던#평양냉면도맛있네#봉피양샤브 #봉피양샤브서래점 #봉피양 #고기 #고기스타그램 #먹방 #먹스타그램 #맛스타그램 #인스타푸드그램 #푸드스타그램 #일상 #일상스타그램,"['#평소엔뭔맛으로먹는지도몰랐던', '#평양냉면도맛있네', '#봉피양샤브', '#봉피양샤브서래점', '#봉피양', '#고기', '#고기스타그램', '#먹방', '#먹스타그램', '#맛스타그램', '#인스타푸드그램', '#푸드스타그램', '#일상', '#일상스타그램']",2021-01-14,0,
22,오늘 또 ☃️ 가성비괜찮은 #와인 #wine #mahiwines #marlborough #pinotnoir #서래마을 #봉피양 #봉피양샤브 #스키야키 #한우석쇠불고기 #양곰탕 #J와인,"['#와인', '#wine', '#mahiwines', '#marlborough', '#pinotnoir', '#서래마을', '#봉피양', '#봉피양샤브', '#스키야키', '#한우석쇠불고기', '#양곰탕', '#J와인']",2021-01-12,0,
23,불고기♥---#봉피양 #벽제갈비 #불고기 #불고기맛집 #불고기맛집추천 #봉피양샤브 #koreanbeef #맛스타 #맛스타그램 #먹스타그램 #먹스타그래머 #먹스타 #맛집 #맛집스타그램 #맛집추천 #서래마을맛집 #방배맛집 #서초맛집추천 #서초맛집,"['#봉피양', '#벽제갈비', '#불고기', '#불고기맛집', '#불고기맛집추천', '#봉피양샤브', '#koreanbeef', '#맛스타', '#맛스타그램', '#먹스타그램', '#먹스타그래머', '#먹스타', '#맛집', '#맛집스타그램', '#맛집추천', '#서래마을맛집', '#방배맛집', '#서초맛집추천', '#서초맛집']",2020-12-27,0,
24,"#서래마을 #봉피양샤브 #봉피양 처음부터 끝까지 다 맛있는 봉피양'샤브'🧡상호명에 샤브가 붙은 이유가 있다. 한우스키야키가 찐이다. 달찌도 짜지도 않고 오히려 담백한 육수에 야채랑 고기 익혀서 계란물 찍어먹으면, 환-상🥰 단점은 비싼데 고기양이 적어서 추가해야 한다는 점...🤣🤣벽제갈비랑 같이하는 곳이라 돼지갈비도 시켰다. 말할 필요도 없다! 입 안에 넣자마자 녹아버리는 부드러운 고기에 완벽한 양념까지ㅎㅎㅎㅎㅎ 빠질 수 없는 맛보기 냉면까지!!! 추울 때 먹는 평냉 최고다👍🏻 우래옥 가고싶다😢🍚한우스키야키 ₩42,000🍚돼지갈비(270g) ₩27,000🍚맛보기냉면 ₩9,000","['#서래마을', '#봉피양샤브', '#봉피양']",2020-12-26,0,서초구방배동
25,#벽제샤브샤브#봉피양샤브#서래점#스키야키#맛잇어요,"['#벽제샤브샤브', '#봉피양샤브', '#서래점', '#스키야키', '#맛잇어요']",2020-12-15,0,
26,#봉피양 #봉피양샤브 🐂🐂🐂🐮🐮🐮🐂🐂🐂,"['#봉피양', '#봉피양샤브']",2020-12-07,0,봉피양샤브
27,미식가 신동엽의 단골 맛집이라는#봉피양샤브 👍,['#봉피양샤브'],2020-11-28,0,벽제갈비 서래점
28,#봉피양샤브 스키야키 달고짜서 별로 안좋아하는데 여긴 딱 맛있네ㅎㅎ 갈비도 양념 적당히 부드러운게 너무 맛있고 진한 양곰탕도 맛있었다 마무리는 평냉 #스키야키#양곰탕#숯불갈비#평양냉면#봉피양샤브서래점#서래맛집#방배동맛집#봉피양#1인3메뉴,"['#봉피양샤브', '#스키야키', '#양곰탕', '#숯불갈비', '#평양냉면', '#봉피양샤브서래점', '#서래맛집', '#방배동맛집', '#봉피양', '#1인3메뉴']",2020-11-25,0,봉피양샤브
