,content,hashtag,date,like,place
0,먹부림성지 #서울무한리필 최종 종결판‼맛난 음식들 배터지게 먹으러@@-#서울무한리필맛집 #서울맛집 #서울맛집추천 #서울맛집투어 #서울맛집탐방 #바이킹스워프 #잠실맛집 #홍대맛집 #서울핫플 #서울핫플_맛집,"['#서울무한리필', '#서울무한리필맛집', '#서울맛집', '#서울맛집추천', '#서울맛집투어', '#서울맛집탐방', '#바이킹스워프', '#잠실맛집', '#홍대맛집', '#서울핫플', '#서울핫플_맛집']",2021-10-01,0,
1,"부산 기장 << 바이킹스워프 >>2021년 9월 10일 기장 미식일상에 오픈 한 #바이킹스워프 의 담당자분과의 인연으로 감사하게도 #협찬 , #식사권제공 으로 다녀왔습니다.맛있는 #랍스타 무제한 리필에 다양한 코너의 음식과 프리미엄 디저트들을 무제한으로 드실 수 있어 수도권에서 인기가 좋으며 지방에는 첫 매장으로 부산 기장에 오픈 하였습니다.미식일상 2층에 자리 잡은 바이킹스워프는 입구에서 손소독 후 입장 !!자리를 안내 허겁지겁 랍스타에게로 달려 갑니다.대략 500g 으로 추정 되는 랍스타는 맛있게 쪄 있으며 요청시 먹기 좋게 직원분이 잘라 주십니다. 취향에 맞게 칠리소스와 버터소스를 곁들이시면 좋을것 같다.랍스타 한접시 후 뒤늦게 매장을 둘러보니 랍스타 이외에도 다양한 코너가 있다.• SeaFood개불, 피조개, 키조개, 참소라, 전복, 가리비 등이 신선하게 랍스타와 함께 보관 되어 있습니다. 요청 시 먹기 좋게 생으로 잘라 내어주십니다. 식감 좋고 신선하고 바다내음이 느껴지니 식욕을 돋군다.• Sushi분명 랍스타 무한리필이라고 보고 왔는데 .. 초밥의 종류들이 정말 많습니다. 거기에 눈다랑어, 연어, 황새치도 먹기 좋게 회로 내어 줍니다. 네타의 종류도 다양하고 샤리의 양은 적으나 기대 이상으로  맛이 좋아 다른 음식들도 기대 되었다.• Korean Food전복죽, 갈비탕, 해물된장찌개, 새우전, 한방보쌈, 낙지볶음 !! 아니 랍스타 전문이라면서 ㅋㅋ 한식도 참 다양하다ㅋㅋㅋㅋ특히 #해물된찌 는 꽃게가 아닌 랍스타가 들어 있었다 ㅋㅋㅋㅋㅋㅋ• Tradition Food창난젓, 멍게젓, 명란젓, 오징어젓, 가자미식해, 낙지젓 다양한 젓갈류와명이나물, 보쌈김치, 백김치, 갓김치, 나박김치 다양한 김치류까지 구비 되어 있으며 꼬막비빔밥과 새우장이 있다.사실 왜 있는지 모르겠다. 어울리는 음식이 생각보다 없었다. 맛이 없는게 아니라 어울리진 않는 듯 하였다.• Hot Food씨푸드아보카도, 그린홍합그라탕, 미니자켓포테이토, 레본베이크대구, 궁보기정, 해산물파스타, 갈릭쉬림프, 오븐파스타, 칠리크랩, 가리비볶음밥 의 메뉴들을 요청시 원하는 만큼 접시에 덜어 주신다. 종류는 다양하였으며 개인적으로 크게 튀지 않는 일반적인 맛이었다. 특히 가리비볶음밥 계란옷이 잘 입혀져 고소하고 맛있었다.• Grill갈비, 홍새우, 베이크랍스터, 연어스테이크, 수비드스테이크와 전복을 주문 즉시 요리 해주신다. 전메뉴 다 먹어 봤는데 연어스테이크의 비리지 않고 부드러운 식감이 너무 인상에 남았다. 살살 녹는다라는 표현이 맞을 듯 하다.• Dessert맛있는 #지파시 의 젤라또 !! 통째로 가져가서 먹고 싶었...케이크는 #노아베이커리 !! 레어치즈케익과 얼그레이쉬폰으로 먹었는데 오우.. 여기 구성 미쳤네..커피는 #폴바셋 .. 라떼못참지 !!과일은 망고망고 그리고 착즙쥬스 .. 정말 정말 취저 !!이용가격은 전일 IBK기업은행 최종고시 기준 환율에 따라 책정 되며 부가세 포함 성인 $100이다.호텔 뷔페 못지 않은 가격이며 퀄리티는 뒤쳐지지 않는 것 같다. 다만 쇼핑몰과 인접하여 다양한 손님층이 방문하며 테이블 간격은 생각보다 넓지 않아 손님이 몰린다면 주문이 조금 늦어지거나 다소 어수선 할 수 있을 것 같다는 걱정을 해본다.하지만 그럼에도 불구하고 바이킹스워프의 매력은 랍스타 랍스타 랍스타 였으며 다양한 코너와 맛있는 디저트들임에는 변함이 없을 것 같다.다음에 와이프가 랍스타 먹고 싶다 하면 내돈내산으로 방문 해보고 싶은 곳이었다.  • #바이킹스워프동부산점 👫🦞• #예약제운영  • 주소 : 부산 기장군 기장읍 동부산관광로 34 미식일상 2층• 수,목,금 영업 : 12:00 ~15:00, 18:00 ~ 21:00• 브레이크타임 : 15:00 ~ 18:00• 주말 및 공휴일 영업 : 11:30 ~ 13:20 / 13:40 ~ 15:30 런치17:00 ~ 18:50 / 19:10 ~ 21:00 디너• 브레이크타임 : 15:30 ~ 17:00• 휴무 : 월, 화• 주차 : 들판 같은 주차장  #부산맛집 #기장맛집 #기장밥집#기장호롤 #호롤뷔페 #호롤밥집#미소랑 #쇼핑 #솔직후기 #진짜임#신발에물튀어도괜찮았어요 #하하#네일추천 #맛스타그램 #먹스타그램","['#바이킹스워프', '#협찬', '#식사권제공', '#랍스타', '#해물된찌', '#지파시', '#노아베이커리', '#폴바셋', '#바이킹스워프동부산점', '#예약제운영', '#부산맛집', '#기장맛집', '#기장밥집', '#기장호롤', '#호롤뷔페', '#호롤밥집', '#미소랑', '#쇼핑', '#솔직후기', '#진짜임', '#신발에물튀어도괜찮았어요', '#하하', '#네일추천', '#맛스타그램', '#먹스타그램']",2021-09-10,0,미식일상
2,".❤ ""바이킹스워프"" 동부산점 OPEN ❤국내최초 랍스터 무제한 맛집 바이킹스워프!부산에 오픈했다는 소식🎉🎉신선한 랍스터 외에도 제철 해산물,망고, 폴바셋, 노아베이커리까지싹 다 무.제.한으로 이용 가능하다구😆이 비쥬얼 보고도 안갈거야,,? ㄹㅇ가능,,?@@같이 랍스터뿌실 파티 모집🙋‍✅동부산관광로 34 오시리아 테마파크 미식일상 2F(부산 동해선 오시리아역)✅1644-6221 (100%사전예약제)✅@vikingswharf_official#랍스터무제한 #바이킹스워프 #바이킹스워프동부산점 #기장맛집 #부산맛집 #부산여행 #부산가볼만한곳 #부산핫플 #부산핫플레이스 #해운대맛집 #서면맛집 #광안리맛집 #양산맛집 #김해맛집","['#랍스터무제한', '#바이킹스워프', '#바이킹스워프동부산점', '#기장맛집', '#부산맛집', '#부산여행', '#부산가볼만한곳', '#부산핫플', '#부산핫플레이스', '#해운대맛집', '#서면맛집', '#광안리맛집', '#양산맛집', '#김해맛집']",2021-09-27,0,
3,"부산에 드.디.어 상륙한 [랍스터 무제한] 레스토랑🦞찜/구이 내맘대로 배터지게 골라먹기 가능🧡생망고+그릴+핫푸드+해산물까지 싹-다 무한인데,@@@ 부산러들아 당장 안가구 모해!!!(100% 사전예약제래여! 얼릉ㄱㄱㄱ)#바이킹스워프 #동부산점.#랍스터맛집 #랍스터무제한 #랍스타 #부산맛집 #부산여행 #부산맛집추천 #부산기장맛집 #기장맛집추천 #기장맛집 #부산핫플 #무한리필 #무한리필맛집 #무제한맛집 #레스토랑추천 #맛스타그램 #먹스타그램 #해산물 #생망고 #망고 #한식 #핫푸드 #디저트천국 #냠냠 #배터짐 #맛있다그램 #오늘뭐먹지","['#바이킹스워프', '#동부산점.', '#랍스터맛집', '#랍스터무제한', '#랍스타', '#부산맛집', '#부산여행', '#부산맛집추천', '#부산기장맛집', '#기장맛집추천', '#기장맛집', '#부산핫플', '#무한리필', '#무한리필맛집', '#무제한맛집', '#레스토랑추천', '#맛스타그램', '#먹스타그램', '#해산물', '#생망고', '#망고', '#한식', '#핫푸드', '#디저트천국', '#냠냠', '#배터짐', '#맛있다그램', '#오늘뭐먹지']",2021-09-10,0,
4,"국내최초 #랍스터무제한 #기장 #바이킹스워프9월10일(금) 부산 기장에 오픈!!! 랍스타를 무제한으로 먹는것도 모자라샐러드,핫푸드코너,제철 해산물,망고에폴바셋,노아베이커리등 프리미엄 디저트까지싹 다 무제한이래!! >< 주문 즉시 조리해서 개별 용기에 제공하기 때문에안전하게 믿고 먹을수 있어서 더 좋아♥1인 100달러에 평생 먹을 랍스터 다 뿌시기@@✅✔예약필수 : 1644-6221 (100%사전예약제)✔위치 : 부산 기장군 기장읍 동부산관광로 34 오시리아 테마파크 미식일상 2F(부산 동해선 오시리아역)#부산맛집 #기장맛집 #바이킹스워프동부산점 #랍스터무제한 #오시리아 #기장핫플 #미식일상 <해당 식품/식당을 리뷰하면서제작지원비를 제공 받았습니다.>","['#랍스터무제한', '#기장', '#바이킹스워프9월10일(금)', '#부산맛집', '#기장맛집', '#바이킹스워프동부산점', '#랍스터무제한', '#오시리아', '#기장핫플', '#미식일상']",2021-09-09,0,
5,".❤ ""바이킹스워프"" 동부산점 OPEN ❤국내최초 랍스터 무제한 맛집 바이킹스워프!부산에 오픈했다는 소식🎉🎉신선한 랍스터 외에도 제철 해산물, 망고, 폴바셋, 노아베이커리까지싹 다 무.제.한으로 이용 가능하다구😆이 비쥬얼 보고도 안갈거야,,? ㄹㅇ가능,,?@@같이 랍스터뿌실 파티 모집🙋‍✅동부산관광로 34 오시리아 테마파크 미식일상 2F(부산 동해선 오시리아역)✅1644-6221 (100%사전예약제)✅@vikingswharf_official#랍스터무제한 #바이킹스워프 #바이킹스워프동부산점 #기장맛집 #부산맛집 #부산여행 #부산가볼만한곳 #부산핫플 #부산핫플레이스 #해운대맛집 #서면맛집 #광안리맛집 #양산맛집 #김해맛집","['#랍스터무제한', '#바이킹스워프', '#바이킹스워프동부산점', '#기장맛집', '#부산맛집', '#부산여행', '#부산가볼만한곳', '#부산핫플', '#부산핫플레이스', '#해운대맛집', '#서면맛집', '#광안리맛집', '#양산맛집', '#김해맛집']",2021-09-17,0,
6,"#식사제공 @vikingswharf_official 랍스타가 무제한이라구?!🦞▫️바이킹스워프 동부산점아아📣 부산분들께 희소식 알립니다랍스터를 무한으로 먹을 수 있는 뷔페 바이킹스워프가 드디어 부산에서도 만나보실 수 있다는 소식 !!🦞🍴랍스터만 무한으로 먹을 수 있는게 아닌싱싱한 해산물, 과일, 스시, 그릴요리, 한식 등등 ! 이 모든게 무한으로👋다른 뷔페랑 다르게 원하는 음식을 주문하여 직원분이 눈앞에서 직접 담아주시고 요리해주셔서 요즘같은 코시국에 안전하게 뷔페를 즐길 수 있어서 더 좋았다는 사실‧˚₊*̥(* ⁰̷̴͈꒨⁰̷̴͈)‧˚₊*̥..🖤랍스터 10마리 먹고와야지 했다가다른음식들도 너무 맛있어서 이것저것 다 먹다보니 배가불러 10마리 못먹은게 아쉬운 지금,,🦞음식 하나하나 맛있었지만 저는 해산물이 너!!!! 무 !! 싱싱하고 맛있어서 해산물 러버들에게 꼭 ! 추천 해드리고 싶어요🦪🐚(더 자랑하고 싶은데 왜 10장밖에 안올려지나요....)📝 예약제로 운영되는곳이니 꼭 예약해주시고 방문해주세요",['#식사제공'],2021-09-16,0,미식일상
7,".❤ ""바이킹스워프"" 동부산점 OPEN ❤국내최초 랍스터 무제한 맛집 바이킹스워프!부산에 오픈했다는 소식🎉🎉신선한 랍스터 외에도 제철 해산물, 망고, 폴바셋, 노아베이커리까지싹 다 무.제.한으로 이용 가능하다구😆이 비쥬얼 보고도 안갈거야,,? ㄹㅇ가능,,?@@같이 랍스터뿌실 파티 모집🙋‍✅동부산관광로 34 오시리아 테마파크 미식일상 2F(부산 동해선 오시리아역)✅1644-6221 (100%사전예약제)✅@vikingswharf_official#랍스터무제한 #바이킹스워프 #바이킹스워프동부산점 #기장맛집 #부산맛집 #부산여행 #부산가볼만한곳 #부산핫플 #부산핫플레이스 #해운대맛집 #서면맛집 #광안리맛집 #양산맛집 #김해맛집","['#랍스터무제한', '#바이킹스워프', '#바이킹스워프동부산점', '#기장맛집', '#부산맛집', '#부산여행', '#부산가볼만한곳', '#부산핫플', '#부산핫플레이스', '#해운대맛집', '#서면맛집', '#광안리맛집', '#양산맛집', '#김해맛집']",2021-09-17,0,
8,".❤ ""바이킹스워프"" 동부산점 OPEN ❤국내최초 랍스터 무제한 맛집 바이킹스워프!부산에 오픈했다는 소식🎉🎉신선한 랍스터 외에도 제철 해산물, 망고, 폴바셋, 노아베이커리까지싹 다 무.제.한으로 이용 가능하다구😆이 비쥬얼 보고도 안갈거야,,? ㄹㅇ가능,,?@@같이 랍스터뿌실 파티 모집🙋‍✅동부산관광로 34 오시리아 테마파크 미식일상 2F(부산 동해선 오시리아역)✅1644-6221 (100%사전예약제)✅@vikingswharf_official#랍스터무제한 #바이킹스워프 #바이킹스워프동부산점 #기장맛집 #부산맛집 #부산여행 #부산가볼만한곳 #부산핫플 #부산핫플레이스 #해운대맛집 #서면맛집 #광안리맛집 #양산맛집 #김해맛집 #울산맛집 #수영맛집 #동래맛집 #창원맛집","['#랍스터무제한', '#바이킹스워프', '#바이킹스워프동부산점', '#기장맛집', '#부산맛집', '#부산여행', '#부산가볼만한곳', '#부산핫플', '#부산핫플레이스', '#해운대맛집', '#서면맛집', '#광안리맛집', '#양산맛집', '#김해맛집', '#울산맛집', '#수영맛집', '#동래맛집', '#창원맛집']",2021-09-24,0,
9,"🥳벌써 너모 디지게 신나,,,🥳#바이킹스워프 #생일상","['#바이킹스워프', '#생일상']",2021-10-21,0,
