,content,hashtag,date,like,place
0,쓰까묵는 붓싼의 특이한 음식들!어메이징 갓붓싼인들은이런거 먹고 산다😲쩝쩝박사들이 많은 부산_bb#부산이색음식....#옥당분식 #가쯔렛 #삼촌호떡 #카이시소소 #맛나분식 #유명분식 #노들강변 #해운대포장마차촌 #깡통시장,"['#부산이색음식....', '#옥당분식', '#가쯔렛', '#삼촌호떡', '#카이시소소', '#맛나분식', '#유명분식', '#노들강변', '#해운대포장마차촌', '#깡통시장']",2021-01-03,0,
1,.부산에 있다는 초코파이+돈까스 #초코파이돈까스 🤎돈까스 속에 초코파이를 넣고 튀겼다는데 존맛이라함ㄷㄷ@@이거 맛있ෆෆ꿀궁합임#화명동 #가쯔렛,"['#초코파이돈까스', '#화명동', '#가쯔렛']",2021-01-09,0,
2,부산에 있는 특이한 음식들 총집합#부산이색음식비주얼부터 예사롭지 않은존맛탱구리들~@@@이거나 다 뿌셔보실??......#부산데이트추천 #부산맛집투어 #먹스타그램 #찹쌀떡젤라또 #찹쌀떡타르트 #계란말이국수 #계란김밥 #간식추천 #해삼국수 #부산맛집추천 #부산이색맛집 #부산특이한음식 #부산여행 #깡통시장 #초코파이돈까스 #솜사탕짜장면 #계란만두 #돼지갈비후라이드 #닐리리빠빠 #호랑이젤라떡 #재마니김밥 #깡돼후 #가쯔렛 #미쓰꾸냥 #야스마루 #맛나분식,"['#부산이색음식비주얼부터', '#부산데이트추천', '#부산맛집투어', '#먹스타그램', '#찹쌀떡젤라또', '#찹쌀떡타르트', '#계란말이국수', '#계란김밥', '#간식추천', '#해삼국수', '#부산맛집추천', '#부산이색맛집', '#부산특이한음식', '#부산여행', '#깡통시장', '#초코파이돈까스', '#솜사탕짜장면', '#계란만두', '#돼지갈비후라이드', '#닐리리빠빠', '#호랑이젤라떡', '#재마니김밥', '#깡돼후', '#가쯔렛', '#미쓰꾸냥', '#야스마루', '#맛나분식']",2021-08-11,0,
3,포근함이고픈 계절로 향하는 중..이럴 땐#계란이불김밥 #배민 해서 힐링하는 게 체고💛———————————————————-부산에 있는 특이한 음식들 총집합#부산이색음식비주얼부터 예사롭지 않은존맛탱구리들~@@@이거나 다 뿌셔보실??......#부산데이트추천 #부산맛집투어 #먹스타그램 #찹쌀떡젤라또 #찹쌀떡타르트 #계란말이국수 #계란김밥 #간식추천 #해삼국수 #부산맛집추천 #부산이색맛집 #부산특이한음식 #부산여행 #깡통시장 #초코파이돈까스 #솜사탕짜장면 #계란만두 #돼지갈비후라이드 #닐리리빠빠 #호랑이젤라떡 #재마니김밥 #깡돼후 #가쯔렛 #미쓰꾸냥 #야스마루 #맛나분식,"['#계란이불김밥', '#배민', '#부산이색음식비주얼부터', '#부산데이트추천', '#부산맛집투어', '#먹스타그램', '#찹쌀떡젤라또', '#찹쌀떡타르트', '#계란말이국수', '#계란김밥', '#간식추천', '#해삼국수', '#부산맛집추천', '#부산이색맛집', '#부산특이한음식', '#부산여행', '#깡통시장', '#초코파이돈까스', '#솜사탕짜장면', '#계란만두', '#돼지갈비후라이드', '#닐리리빠빠', '#호랑이젤라떡', '#재마니김밥', '#깡돼후', '#가쯔렛', '#미쓰꾸냥', '#야스마루', '#맛나분식']",2021-08-15,0,
4,#가쯔렛 #화명동맛집 #부산북구맛집#수제돈까스 #부산돈까스전문점#초코파이까스 #초코파이#머시멜로우,"['#가쯔렛', '#화명동맛집', '#부산북구맛집', '#수제돈까스', '#부산돈까스전문점', '#초코파이까스', '#초코파이', '#머시멜로우']",2020-06-12,0,
5,#부산 #화명동 #가쯔렛 #돈까스 #비밀수첩 #히레까스 #로스까스 #옛날돈까스 #까스동 느끼하지 않게 잘 튀겨냈네..,"['#부산', '#화명동', '#가쯔렛', '#돈까스', '#비밀수첩', '#히레까스', '#로스까스', '#옛날돈까스', '#까스동']",2019-12-15,0,가쯔렛
6,"#내돈내산#부산 #화명동 #가쯔렛 (부산 북구 화명신도시로 132)화명동에서 엄청 오래된 돈까스 집이죠! 10년은 훌쩍 넘었을거에요💓오랜만에 방문했어요!! 까즈렛의 매력은 깨를 직접 빻아서 소스에 섞어먹는 맛이죠🤤예전에는 정식이 있었던 거 같은데 없어서 냉모밀이랑 모듬까스 먹었어요👍냉모밀은 이렇게 더운날 너무 딱 아닌가요! 시원하고 맛도 너무 최고죠🥰그리고 고민고민하다가 모듬까스로 시켰는데 새우,로스까스,생선까스 등 5종류가 나오더라구요🐷🐷다 맛있지만 저는 로스까스가 젤 맛있었어요! 어디든 오리지널이 제일 맛있는법이죠😆이런 돈까스집에 가면 밥이 한덩이만 나와서 매번 부족했는데 까쯔렛는 추가로 받지도 않고 너무 좋았어요❤️역시 오래 장사하는 곳에는 이유가 있는 법이죠! 재방문의사 ⭐️⭐️⭐️⭐️#화명동맛집 #화명동밥집 #돈까스","['#내돈내산', '#부산', '#화명동', '#가쯔렛', '#화명동맛집', '#화명동밥집', '#돈까스']",2021-05-28,0,화명동
7,#화명동맛집 #가쯔렛부산에만 있는 특이한 음식!!돈까스 안에 초코파이 넣고 튀킨 대존맛 돈까스!!의외로 맛있는 미친조합 얼른 영접해야함@먹어본 칭구들 후기좀@.주소 : 북구 화명신도시로 132.#선팔하면맞팔 #선팔하면맞팔가요 #맞팔100 #디엠 #좋반환영 #좋반댓 #먹스타 #먹스타그램 #음식스타그램 #likeforlikes #부산맛집 #서면맛집 #해운대맛집 #광안리맛집 ##부산이색음식 #초코파이돈까스 #초코파이 #화명동맛집 #부산돈까스맛집 #북구맛집 #북구밥집,"['#화명동맛집', '#가쯔렛부산에만', '#선팔하면맞팔', '#선팔하면맞팔가요', '#맞팔100', '#디엠', '#좋반환영', '#좋반댓', '#먹스타', '#먹스타그램', '#음식스타그램', '#likeforlikes', '#부산맛집', '#서면맛집', '#해운대맛집', '#광안리맛집', '#부산이색음식', '#초코파이돈까스', '#초코파이', '#화명동맛집', '#부산돈까스맛집', '#북구맛집', '#북구밥집']",2021-01-20,0,
8,화명동 가쯔렛#가쯔렛 #가쯔렛돈까스 #가쯔렛화명점 #화명동가쯔렛 #화명동 #화명동맛집 #화명역 #화명역맛집 #와석 #돈까스 #돈까스맛집 #돈까스그램 #돈까스맛집추천 #돈까스맛집🐷 #돈까스맛집🍴 #돈까스맛집그램 #초코파이까스 #부산돈까스맛집 #부산돈가스 #부산돈가스맛집 #부산돈까스맛집 #부산북구 #부산북구맛집,"['#가쯔렛', '#가쯔렛돈까스', '#가쯔렛화명점', '#화명동가쯔렛', '#화명동', '#화명동맛집', '#화명역', '#화명역맛집', '#와석', '#돈까스', '#돈까스맛집', '#돈까스그램', '#돈까스맛집추천', '#돈까스맛집🐷', '#돈까스맛집🍴', '#돈까스맛집그램', '#초코파이까스', '#부산돈까스맛집', '#부산돈가스', '#부산돈가스맛집', '#부산돈까스맛집', '#부산북구', '#부산북구맛집']",2020-08-31,0,
9,화명동 돈까스 비밀수첩 가쯔렛박성욱 한돈 돈까스에서 돈까스를 먹고 화명동에 온김에 특이한? 돈까스가 있다고 해서 가쯔렛으로 갔다.들어는 보았는가 초코파이 돈까스라고?ㅎ 궁금해서 한번 가보았다.들어가서 온도체크와 안심전화를 하고 자리에 앉았다.그리고 주문했다. 초코파이돈까스 하나요ㅎ주문을 하자마자 깨가 나왔다. 깨를 열심히 갈았다. 가루될때 까지ㅎ갈고 소스를 부어 돈까스소스를 만들었다. 소스자체는 깨가 들어가서 그런지 고소하고 맛있었다.돈가스가 나오고 이리저리 둘러보았다.양배추 깍두기 단무지 그리고 장국이 나오고 모지라면 셀프바에서 가지고 와서 먹으면 되는방식이었다.양배추는 소스를 뿌려 샐러드를 만들었다.궁금했던 초코파이돈까스 먹어보았다. 한입먹었는다 입가에 미소가 가득ㅎ웃음이 나왔다. 진짜 달달하니 이색적인 맛이었다. 돈까스안에는 초코와 마시멜로 모짜렐라 치즈가 들어 있었다. 먹는내내 웃으면서 먹었다. 나름 매력있는 돈까스였다. 초코파이돈까스를 깨소스에 찍어먹어 보았는데 그다지 어울리지 않았다. 달달한 돈까스와는 안 어울리는듯. 일반 돈까스와는 잘 어울릴듯 하다ㅎ 밥도 잘 안어울렸다. 돈까스를 다먹고 밥을 반찬과 같이 먹었다. 이색적인 초코파이돈까스 의외로 먹을만했다.ㆍㆍㆍ#210927 #두번째돈까스집 #화명동돈까스 #가쯔렛 #이색돈까스 #초코파이돈까스 #깨를갈아서소스만들기 #비주얼에놀라고 #맛에놀라고 #돈까스안에 #초코 #마시멜로 #모짜렐라치즈 #웃으면서먹음 #달달한돈까스 #깨소스와밥과는안어울림 #돈까스따로 #밥따로먹음 #중독되는맛 #의외로맛있음 #또생각나네요 #먹스타그램 #맛스타그램 #돈가스그램 #맛있다그램 #이색돈까스그램 #달달하니기분좋아짐 #선팔하면맞팔,"['#210927', '#두번째돈까스집', '#화명동돈까스', '#가쯔렛', '#이색돈까스', '#초코파이돈까스', '#깨를갈아서소스만들기', '#비주얼에놀라고', '#맛에놀라고', '#돈까스안에', '#초코', '#마시멜로', '#모짜렐라치즈', '#웃으면서먹음', '#달달한돈까스', '#깨소스와밥과는안어울림', '#돈까스따로', '#밥따로먹음', '#중독되는맛', '#의외로맛있음', '#또생각나네요', '#먹스타그램', '#맛스타그램', '#돈가스그램', '#맛있다그램', '#이색돈까스그램', '#달달하니기분좋아짐', '#선팔하면맞팔']",2021-09-30,0,화명동 가쯔렛
