title,link,description,bloggername,bloggerlink,postdate
명동 미쉐린가이드 -금산제면소 ,https://blog.naver.com/minjuki?Redirect=Log&logNo=222535532115,선정된 # 금산제면소를 다녀옴 국수 맛집임 아니 국수 아니고 탄탄면임 마라향이 아주 가~득 함 마라탕...금산제면소메뉴 주문방법은 그냥 탄탄면 단일메뉴에 막 이것저것 돈더내고 추가해서 먹는거임... ,HUSTLE한 일상블로그,https://blog.naver.com/minjuki,2021-10-13
[홈밀키트] 금산제면소탄탄멘 N번째 구매후기,https://blog.naver.com/outdo1600?Redirect=Log&logNo=222543289471,그동안 먹은 냉동 및 밀키트 제품 중에서 나의 첫 포스팅으로 뽑힌금산제면소 의 탄탄멘에 대해 적어보려고 한다. 첫 구매는 SSG에서 구매했었는데 어느날 안팔더니 마켓컬리로 옮겨갔더라. 그리고 이제는... ,샐리의 취향수집,https://blog.naver.com/outdo1600,2021-10-21
 금산제면소탄탄멘 : 맛이 있겠냐 없겠냐 (feat. 정창욱 셰프님),https://blog.naver.com/gus45e?Redirect=Log&logNo=222505049644,명동 맛집금산제면소평일 11:00-22:00 (브레이크 타임 15-16시) 주말 11:00-20:00 정창욱 셰프의 맛집으로 유명한금산제면소벌써 압구정에 2호점까지 낸 어마어마한 면 맛집이다 주말 4시쯤 방문했더니 웨이팅이... ,스쳐간 것들의 기록,https://blog.naver.com/gus45e,2021-09-14
"미슐랭가이드 서울 빕구르망 면요리 3곳 :: 우래옥,금산제면소 ... ",https://blog.naver.com/nyj0171?Redirect=Log&logNo=222516796877,"위치 | 을지로4가역 4번 출구에서 1분 가격 | 전통평양냉면 14,000원 불고기 1인 37,000원 운영시간 | 11:30 - 21:30 (월요일 휴무) 02금산제면소탄탄멘 남산공원으로 이어지는 언덕 위금산제면소 . 메뉴는 하나뿐이... ",지금은 이지트래블,https://blog.naver.com/nyj0171,2021-09-25
 금산제면소탄탄멘 밀키트 추천 : 내돈내산 : 정창욱 셰프 曰... ,https://blog.naver.com/paperplate?Redirect=Log&logNo=222518511733,"정창욱 셰프의금산제면소탄탄멘 내돈내산 난 캐비아몰(KAVIAR)에서 개당 7,900원에 샀는데 (정가 주고... 구매함금산제면소매장에서 먹으면 12,000원) # 금산제면소#정창욱 #탄탄멘 # 금산제면소 탄탄멘 #밀키트... ",고민보다 GO,https://blog.naver.com/paperplate,2021-09-27
"[명동 혼밥] 탄탄멘의 선택과집중,금산제면소 ",https://blog.naver.com/gtmasta?Redirect=Log&logNo=222355216971,"그 곳은 탄탄멘 매니아들 사이에서 성지로 불리우는 곳,금산제면소 . 설마 이렇게 비오는 일요일 아침에 사람이 있겠어? 어 있어! 그것도 많이!금산제면소서울특별시 중구 소공로6길 13 오전 11시 오픈인데 10시... ",아침꽃을 저녁에 줍다,https://blog.naver.com/gtmasta,2021-05-18
미쉐린가이드 서울금산제면소탄탄멘 비상사태! (주차꿀팁포함),https://blog.naver.com/sin0788?Redirect=Log&logNo=222526239787,명동맛집 미쉐린가이드 서울 2021 정창욱셰프 ' 금산제면소 ' 평일 11:00 ~ 20 :00 오후 3시~4시 휴식시간 토요일 일요일 11:00 ~ 20 :00 주말휴식시간 없음 명절연휴 빼고 무휴 가보고 싶었던금산제면소 에 휴일맞아... ,Happily Ever After,https://blog.naver.com/sin0788,2021-10-04
[내돈내산 후기] 명동역 맛집금산제면소 ,https://blog.naver.com/kimnim1004?Redirect=Log&logNo=222381876473,오늘은 정창욱쉐프의 맛집으로 유명한 명동역의금산제면소 를 소개드리고자 포스팅을 작성하게... 그래서 중간에 온천달걀 넣는것을 잊지마시고 마지막에 밥까지 비벼먹으면 금면제면소의 탄탄면을 완전히... ,Minking's econstory,https://blog.naver.com/kimnim1004,2021-06-03
"서울 중구-금산제면소 (2020미슐랭빕구르망 리스트,정찬욱쉐프)",https://blog.naver.com/wkddbswp5?Redirect=Log&logNo=222219270357,우연히 4대문 안으로 갈일이 있어서 좌표를 찍어놓은 음식점 중 한곳인금산제면소 에 다녀왔다. 다녀온... 현재 서울에는 60여개의 빕구르망이 있고 그중에 하나가금산제면소 다. 냉부해에서 얼굴을 알린... ,모순덩어리의 블로그,https://blog.naver.com/wkddbswp5,2021-01-25
미쉐린가이드2021에 실린 정창욱셰프의금산제면소 ,https://blog.naver.com/midnightgongdeok?Redirect=Log&logNo=222542156293,미쉐린가이드 2021에 실린 # 금산제면소에 다녀왔습니다. 평소 정창욱셰프의 완전 팬인 준이때문에 방문하게 되었어요.. 울 준이 소원이 이루어졌니? ㅋㅋ금산제면소# 금산제면소 본점 # 금산제면소 명동 명동역... ,달콤달콤 명랑한 하루보내기,https://blog.naver.com/midnightgongdeok,2021-10-19
