title,link,description,bloggername,bloggerlink,postdate
뚝섬역 카페 성수동카페 ' 서울앵무새 ' 드디어 나도 가봄.,https://blog.naver.com/hellobear28?Redirect=Log&logNo=222456035285,서울특별시 성동구 서울숲9길 3 B1~2F 0507-1466-2049 연중무휴 요즘 핫한 곳이라 그런지 웨이팅이 어마무시... 뚝섬역 카페서울앵무새로고가 너무 귀엽지 않나요?ㅎㅎ 저 커피먹는 앵무새 졸.귀.탱 저희는 한... ,u n i q u e _,https://blog.naver.com/hellobear28,2021-08-03
"뚝섬역 카페 | 서울숲 핫플,서울앵무새 ",https://blog.naver.com/eunacho0323?Redirect=Log&logNo=222418275597,"진짜로 앵무새 체험하는 곳인 줄 알았다고..해서.. 경악 ㅋㅋㅋㅋㅋㅋㅋ 그래... 내가 설명이 마이 부족했지? 여기는 뚝섬역 카페란다... ^^;; / 아무튼 서울숲 카페,서울앵무새 는 1층에서 주문을 하고 지하 or... ",POSSOFARE,https://blog.naver.com/eunacho0323,2021-07-03
서울숲 카페서울앵무새(접시커스텀하기),https://blog.naver.com/amanda_som?Redirect=Log&logNo=222320093462,"#서울숲카페 # 서울앵무새영업시간: 08:00-23:00 연중무휴 뚝섬역 8번출구에서 257m 동생이랑 서울숲 근처... 왜 앵무새일까? 서울참새, 서울까치도 있는데 앵무새가 제일 말이 많고 화려해서 그럴까?... ","아만다솜의 행복, 한 스푼",https://blog.naver.com/amanda_som,2021-04-23
성수빵집서울 앵무새퀸아망 데이트코스,https://blog.naver.com/mcteens?Redirect=Log&logNo=222475518238,"서울숲 데이트코스로서울 앵무새 를 잡은 분들은 꼭 알아두셔야 하는 것이 있는데 바로 주문하기 전에... 2층에는 패키지 판매를 하는지, 앵무새 굿즈들이 정말 많았고, 접시에 낙서 할 수 있도록 마카펜도... ","슈퍼문 Fashion, Golf, Life Log",https://blog.naver.com/mcteens,2021-08-19
서울숲 카페 최근 핫한 성수동서울앵무새 ,https://blog.naver.com/8full?Redirect=Log&logNo=222540607496,얼마전에 아는 지인이 아는분으로부터서울앵무새디저트를 선물받은 사진을 올리신적이있어서... 마닐라케이크랑 서울롤 그리고 앵무새라떼 주문했습니다 워낙 디저트가 정말 정말 많아서 다른것들도 다... ,홍수박,https://blog.naver.com/8full,2021-10-18
퀸아망 짱맛 뚝섬역 성수동 카페 -서울앵무새 ,https://blog.naver.com/earth_rabbit?Redirect=Log&logNo=222457982531,"요즘 서울에서 가장 핫하다고 말할 수 있는 뚝섬역 성수동 카페,서울 앵무새 ! 화려한 무지갯빛 외관과 넘나 감각적인 공간도 좋지만, 무엇보다도 디저트가 어마어마하게 맛있다구! 유명했던 퀸아망을 모든 맛... ","From. 지구토끼, 달토끼에게 전하는 지구이야기",https://blog.naver.com/earth_rabbit,2021-08-05
뚝섬역빵집 핫플 가볼만한곳 '서울앵무새',https://blog.naver.com/kikiao12?Redirect=Log&logNo=222470479794,"뚝섬역빵집서울앵무새 , 다음번엔 서울숲으로 피크닉갈 때 베이커리와 커피 사러 가봐야겠어요~ - 매장정보 - 주소 - 서울 성동구 서울숲9길 지하1층~2층 전화번호 - 0507-1466-2049 영업시간 - 매일 08:00 ~ 23:00... ",by Churi,https://blog.naver.com/kikiao12,2021-08-15
서울숲빵집 추천 성수서울앵무새퀸아망 종류별로 얌 !,https://blog.naver.com/hhhddw?Redirect=Log&logNo=222516572049,ㅎㅎ 성수서울앵무새 는 서울숲빵집 답게 입구에서부터 I love 시나몬롤을 외치는 앵무새로부터 시작한답니다. ㅎㅎㅎ 저 역시나서울앵무새퀸아망이랑 시나몬롤이 너무너무 궁금했는데 저 앵무새처럼 I love를... ,반갑구만 반가워요~♬,https://blog.naver.com/hhhddw,2021-09-25
뚝섬역빵집서울앵무새바질어니언시나몬롤 추천!,https://blog.naver.com/1616sm?Redirect=Log&logNo=222414426595,한 줄 요약 -서울앵무새이제는 핫한 지역이 된 건대-성수-뚝섬 라인. 친구도 만날 수 있는 최적의... 제로 - 앵무새라떼(ice) 늠늠 - 서울라떼(ice) 잠시 들러 본 지하 1층. 전체적으로 개성이 강한 공간 답게 채도가... ,박로우 : 천천히 걸어가기,https://blog.naver.com/1616sm,2021-06-29
뚝섬역 성수동 카페 |서울앵무새 ,https://blog.naver.com/gyrudp?Redirect=Log&logNo=222514115672,"굿즈 가격을 봤을 때 비싸지 않아서 앵무새를 좋아한다면 부담없이 구매하기 괜찮겠다. 서울숲이랑 멀지 않은서울앵무새 는 센스있는 구성으로 피크닉 세트를 판매하고 있었다. 시나몬롤 1종, 퀸아망 2종... ",orizzang,https://blog.naver.com/gyrudp,2021-09-23
서울숲 카페서울앵무새 ,https://blog.naver.com/queenyje?Redirect=Log&logNo=222433514974,보였던 서울숲 카페서울앵무새 에 다녀왔당 인스타나 여기저기에 웨이팅이다 핫플이다 많이 올라오던... (완전정복 앵무새 ㅋ) 하고옴 구경할것도 많고 여러모로 잼나던 아 플레이트에 그림그리는거 그거는... ,램프의 요정,https://blog.naver.com/queenyje,2021-07-16
뚝섬역 카페서울앵무새퀸아망 대박,https://blog.naver.com/mingming_93?Redirect=Log&logNo=222535360461,귀여운 앵무새 캐릭터가 그려져 있던 뚝섬역 카페서울앵무새퀸아망과 시나몬롤로 유명한 곳이라 잔뜩 기대를 하고 왔는데 평일 저녁이었는데도 다 팔리고 롤케익 몇종류밖에 안 남아있더라고요 물론 롤케익도... ,해피밍의 해피한 일상 ♥ㅅ♥,https://blog.naver.com/mingming_93,2021-10-13
서울숲 카페 성수동서울앵무새 ,https://blog.naver.com/dltmftmf?Redirect=Log&logNo=222501581889,"4,800 서울라떼 6,000 앵무새라떼 6,500 성수동 카페서울앵무새오시면 1인 1음료는 기본이고 1인 1디저트도 필수랍니당 ㅎㅎ 서울롤은 진짜 달달구리 해 보이고 바질 어니언 시나몬롤은 서울숲을 연상시키는 ㅎㅎ... ",나는 사슴이다,https://blog.naver.com/dltmftmf,2021-09-10
성수역 카페 퀸아망과 롤빵이 유명한 디저트 가득서울앵무새 ,https://blog.naver.com/mybeauty1181?Redirect=Log&logNo=222528786416,퀸아망과 롤빵이 유명한서울앵무새 라는 곳인데 여기 콜드브루커피도 맛있구 인기가 많아서 저녁에는... 서울숲9길 3 *영업시간 8:00~23:00 개성있는 건물 외관도 상당히 멋지다고 느꼈는데 그 알록달록한 앵무새... ,따뜻한 도시의 Make up - ★,https://blog.naver.com/mybeauty1181,2021-10-06
