title,link,description,bloggername,bloggerlink,postdate
"청주맛집, 떡볶이추천!신성당 / 뚝배기떡볶이",https://blog.naver.com/kpcc6959?Redirect=Log&logNo=222324506760,떡볶이맛집신성당 ! 알고보니 생활의달인에도 나오고 이미 청주에서는 꽤 유명한 곳이더라구요?ㅋㅋㅋ 몇년동안 청주 다녔지만 처음알고 바로 가보았습니다ㅎㅎㅎ신성당충북 청주시 상당구 사직대로 360... ,♥베베의 유쾌한 세상♥,https://blog.naver.com/kpcc6959,2021-04-27
* 충주 맛집 * 내돈내산 용산동신성당뚝배기떡볶이 세트... ,https://blog.naver.com/knl7573?Redirect=Log&logNo=222517587740,얼마 전에 새로 오픈한 뚝배기떡볶이 전문점신성당 ! 떡볶이킬러인 나는 너무 궁금했기에 주말에 오빠랑 애기델고 방문해보았당 ㅋㅋ 위치는 용산동 충주중학교 입구쪽!! 메뉴는 크게 뚝배기떡볶이와... ,"역마살 그녀의, 일상기록",https://blog.naver.com/knl7573,2021-09-26
생활의 달인신성당뚝배기떡볶이 먹고왔어요,https://blog.naver.com/mary_zzine?Redirect=Log&logNo=222123534980," 신성당 에 1시반쯤 도착했는데, 오전에 준비한 재료 모두 소진됐대요 ㅠㅠㅠㅠㅠㅠㅠ 나 갱기도에서...신성당영업시간은 오전 11시부터구요. 브레이크타임이 14시30분부터 17시까지 17시부터 21시까지... ",마리의 제이슨이야기,https://blog.naver.com/mary_zzine,2020-10-23
"청주 성안길 뚝배기떡볶이,신성당 ",https://blog.naver.com/yeoul420?Redirect=Log&logNo=222404073834, 신성당청주 성안길에 위치한 뚝배기떡볶이집신성당 입니다! 생활의 달인에도 나왓었네요ㅋㅋㅋ 메뉴판입니다~ 뚝배기떡볶이가 메인이구요 세트메뉴도 있더라구요ㅋㅋㅋ 전메뉴 포장과 배달도... ,Gemma's,https://blog.naver.com/yeoul420,2021-06-20
" 신성당 , 청주 유명 떡볶이라길래!",https://blog.naver.com/hanjs_?Redirect=Log&logNo=222387886033," 신성당 , 청주 유명 떡볶이라길래신성당○ 주소: 충북 청주시 상당구 사직대로 360, 1층(서문동) ○ 영업시간: 매일 11:00~20:30 ○ 라스트오더: 8시 ○ 브레이크타임: 없음 청주여행 갔을 때 분식이 먹고 싶어서... ",일상기록 ¨̮♡︎,https://blog.naver.com/hanjs_,2021-06-07
"생활의달인 청주 뚝배기 떡볶이, 성안길 맛집 :신성당 ",https://blog.naver.com/dlrkfka626?Redirect=Log&logNo=222174254314, 신성당영업시간 11:00 - 21:00 (재료 소진시 조기 마감) 브레이크 타임 15:00-17:00 충북 청주시 상당구 사직대로 360 1층신성당신성당메뉴판 생활의달인에 뚝배기 떡볶이 달인으로 나왔던신성당청주 성안길... ,raaaaami,https://blog.naver.com/dlrkfka626,2020-12-15
청주 성안길신성당뚝배기떡볶이 든든한 한끼,https://blog.naver.com/daily_seowoo?Redirect=Log&logNo=222423539888,"우리가 점심먹으려고 찾아간곳은, 청주 성안길 맛집,신성당이라는 뚝배기떡볶이 집이에요... 단품메뉴로신성당튀김 전골도 있었어요 !신성당튀김전골도 먹어보고싶었는데 이왕 온거 오리지날로 한번... ","소띠맘, 데일리S 일상블로그",https://blog.naver.com/daily_seowoo,2021-07-07
충주신성당뚝배기떡볶이 먹어봄,https://blog.naver.com/lja6494?Redirect=Log&logNo=222527429865,충주에도 생겼다고 해서 친구랑 같이 가봤어요~ 충주 용산동에 위치해 있고 충주여고랑 충주중 사이에 있습니다 브레이크타임은 따로 없는 것 같았어요 충주신성당내부입니다! 생긴지 얼마 안된 곳이라... ,그냥_일상이야기,https://blog.naver.com/lja6494,2021-10-05
[청주맛집] 서문동신성당뚝배기떡볶이,https://blog.naver.com/soulmalgum?Redirect=Log&logNo=222526003799,[청주맛집] 서문동신성당뚝배기떡볶이신성당메뉴 단무지는 셀프 일반 단무지와 유자 단무지 셀프주먹밥 밥에 참기름 김가루 단무지 마요네즈 튀김소스 모둠튀김 김말이 오징어 야채 만두 떡... ,정글은언제나맑은뒤흐림,https://blog.naver.com/soulmalgum,2021-10-04
청주 성안길 맛집신성당뚝배기떡볶이로 한끼해결!,https://blog.naver.com/ehowlnn0?Redirect=Log&logNo=221914780329,청주 성안길 맛집신성당안녕하세요.바니파파입니다^^ 쉬는 일요일날 간만에 볼일도 보고 저녁먹을 곳을 이리저리 둘러보다 시내를 지나가던중 지하상가에 눈에 들어온 청주 성안길에 위치한신성당 !... ,바니커플,https://blog.naver.com/ehowlnn0,2020-04-18
충주 용산동에도 생긴 청주 성안길 뚝배기 떡볶이 맛집신성당 ... ,https://blog.naver.com/ssong__92?Redirect=Log&logNo=222529180768,안녕하세요:) 넘모 오랜만에 올리는 이번 포스팅은 충주 용산동에 새로 생긴신성당 입니당신성당 은 생활의 달인에 나온 떡볶이 달인 맛집인데 청주 성안길에서 뚝배기 떡볶이 맛집으로 유명한곳이에용!!... ,꾸리꾸리놀뀨먹뀨,https://blog.naver.com/ssong__92,2021-10-07
"청주 성안길 맛집, 생활의 달인 뚝배기 떡볶이 :신성당 ",https://blog.naver.com/kch41826?Redirect=Log&logNo=222523605813,맛집신성당 에 다녀온 후기입니다!신성당청주 생활의 달인 맛집 청주신성당 의 위치는 성안길 큰길가에 위치해 있어요. 그리고 주차장은 따로 없어서 주변에 하시고 걸어오시는게 편하답니다~ 청주 뚝배기... ,쏠레미의 여행 다니기 좋은 날들 *,https://blog.naver.com/kch41826,2021-10-02
청주) 신성당뚝배기 떡볶이 꼭 드세요!! 두번 드세요!! 핵맛,https://blog.naver.com/fox5047?Redirect=Log&logNo=221922847922, 신성당nugusister photo #청주떡볶이 #청주시내맛집 # 신성당 떡볶이 #청주배달떡볶이 #뚝배기떡볶이 #떡볶이맛집 #청주시내 #청주맛집 방문 2020년 4월 21일 수요일 오후3시쯤 위치 예전부터 시내가면 눈여겨... ,누구언니_블로그,https://blog.naver.com/fox5047,2020-04-22
