title,link,description,bloggername,bloggerlink,postdate
서울숲엘더버거: 이영자 버거를 먹어보자,https://blog.naver.com/nowwegom?Redirect=Log&logNo=222398287121,하지만 난 그걸 잊어버렸음 ㅋㅋㅋ 달걀 노른자가 흘러내리기 때문에 이 버거는 포장이 어렵다고 한다. 서울숲엘더버거 의 엘더클래식과 마찬가지로 여기서 많이 먹는 메뉴인 듯 했다. 안에는 달걀 프라이와... ,먹기 위해 사는 위장 환자,https://blog.naver.com/nowwegom,2021-06-15
"서울숲, 성수, 뚝섬역, 수제버거 맛집, 이영자 맛집엘더버거 ",https://blog.naver.com/wlsb606?Redirect=Log&logNo=222408611039,"참고로 우리가 시킨 다른 메뉴인 뉴 클래식은 엘더번 와규 척 아이롤 수제패티, 하이드로 로메인, 양파 마말레이드, 구운 방울토마토, 구다치즈, 엘더 소스, 엘더 번 의 구성! 다른 버거집과는 다르게엘더버거 는... ",무한대 거대한 울림,https://blog.naver.com/wlsb606,2021-06-24
서울숲 수제버거 맛집엘더버거 (feat. 어니언링 맛집),https://blog.naver.com/psunhea1029?Redirect=Log&logNo=222346262509,내돈내산입니다)엘더버거재료 하나 하나 All 수제 버거엘더버거평일/ 주말 11:30 - 20:30 Last Order (20:00)... 제일 메인은 엘더 클레식 인것 같아요 저는 더블엘더클래식과 엘더벨리버거를 시켰어요 사이드 메뉴도... ,써니사이드(Sunny's side),https://blog.naver.com/psunhea1029,2021-05-11
서울숲 성수동 수제버거 맛집엘더버거 ,https://blog.naver.com/theshine2015?Redirect=Log&logNo=222440813943,성수동엘더버거아쉽게도 메뉴판은 남기지 못했지만 5가지 정도 되는 수제 버거가 있었는데 저는 그 중에서 더블 엘더버거클레식을 주문했습니다. 햄버거 하나 먹기에는 뭔가 부족하잖아요?! 치즈가... ,자동차관리의 모든것 카짐입니다. 대구썬팅/대구광택,https://blog.naver.com/theshine2015,2021-07-23
서울숲 맛집엘더버거전참시 이영자 버거 이게 진짜 수제버거지!,https://blog.naver.com/kidult93?Redirect=Log&logNo=222396503670,"먹는 버거맨ㅎㅎ Previous image Next image엘더버거메뉴판 엘더 클래식 11,0 엘더 베이컨 치즈 버거 12,5 어니언링 7,0 코카콜라 제로 2,5 주문쓰 제로콜라가 있다니 사장님 완전 배우신 분이다ㅠㅠ 우리의 버거... ",Shine We Are!,https://blog.naver.com/kidult93,2021-06-13
성수엘더버거서울숲 산책,https://blog.naver.com/ipuzicucu?Redirect=Log&logNo=222514819903,"성수 # 엘더버거당첨! 이영자님(?)이 전참시에서 이 버거집을 소개하면서. 패티며 빵이며, 얼마나 시간과... 패티와 베이컨 둘다 먹어볼 수 있는 엘더 베이컨 치즈버거와 사이드로 어니언링. 그리고 낮이지만... ",ipuzicucu님의 블로그,https://blog.naver.com/ipuzicucu,2021-09-24
성수엘더버거육즙교도소 수제버거? (feat 어니언링),https://blog.naver.com/hhhddw?Redirect=Log&logNo=222460115428,ㅎㅎ엘더버거엘더클래식. 생각보다 아담한 크기에 살짝 놀랬는데 사진에서 톡 오려낸 것 같은 먹음직스러운 비주얼에 입에 침이 막 고이더라고요ㅋㅋㅋ 수제버거라 그런지 가장 눈에 띄는게 윤기나는 번이랑... ,반갑구만 반가워요~♬,https://blog.naver.com/hhhddw,2021-08-07
뚝섬 수제버거 싹싹비운엘더버거성수동데이트코스,https://blog.naver.com/l0l7l3l5l?Redirect=Log&logNo=221762128388,수제버거란 말에 살짝 땡기더라구요 ㅎ 성수동 데이트코스도 즐길겸엘더버거 로 고고 오전 11:30~ 20:30... 더블엘더 클래식버거 친구는 클래식한 느낌과 더블패티의 꽉참을 느끼고싶어서 주문했는데요 역시... ,블링블링한남매,https://blog.naver.com/l0l7l3l5l,2020-01-06
[성수] 서울숲 맛집엘더버거 ,https://blog.naver.com/jihlee86?Redirect=Log&logNo=222250766276,이번엔 신랑이 좋아하는 버거를 먹으러가기로 결심을하고 엄청난 서치끝에 ' 엘더버거 '로 결정!! 전 제품을 사진으로도 볼수있어 사진으로도 선택가능한 ㅎㅎ 저희는 엘더 베이컨치즈버거와 엘더벨리버거... ,내풀로(=내마음대로),https://blog.naver.com/jihlee86,2021-02-22
수제버거집 모음 - 바스버거 / 핑거팁스/엘더버거 ,https://blog.naver.com/lijuanjing?Redirect=Log&logNo=222001726067," 엘더버거외관엘더버거내부 유니끄한 벽트임과 화장실 아니, 메뉴판을 안찍어왔네!! 저는 기본메뉴를 시키기로 합니다. 여기는 세트메뉴는 없었구요, 단품으로 하나씩 시켜야합니다. 엘더클래식버거 (11... ",我的☆ & 我的♡,https://blog.naver.com/lijuanjing,2020-06-15
"[서울숲 맛집]엘더버거 , 전참시 이영자픽 서울숲 수제버거 맛집",https://blog.naver.com/dlwodus92?Redirect=Log&logNo=222414934774,과한 욕심이 빚어낸 수제버거 메뉴의 선택 결과 엘더클래식에 두 배라고 해도 과언이 아닌 더블 엘더버거 가 나왔습니다.엘더버거 의 수제버거의 경우 육즙에 번에 베일 수 있도록 먼저 번을 꾹 눌렀다가... ,소소한여유,https://blog.naver.com/dlwodus92,2021-07-03
[서울-성수]엘더버거elderburger - 버거패티와 어니언링... ,https://blog.naver.com/yonggon1?Redirect=Log&logNo=222513556528,"엘더밸리버거 14,000원엘더버거는 수제패티로 미디움으로 추천드립니다. 웰던으로 도 먹어보았는데 왜 미디움으로 기본으로 나오는 확이해가 되더라구요. 추천하는 먹는 방법으로 드시는 것을... ",석진아빠,https://blog.naver.com/yonggon1,2021-09-22
"성수동 수제버거,엘더버거 에서 미국을 만나다.",https://blog.naver.com/zzingka1622?Redirect=Log&logNo=222435144847,"14,000 엘더 벨리버거 14,000 뉴클래식버거 11,000 서울 성동구 서울숲/성수동에 위치한엘더버거 는 재료를 아끼지 않는 곳으로 유명한데요. 특히 햄버거에 들어가는 베이비로메인은 매장에서 직접 키워... ",조용한 관종,https://blog.naver.com/zzingka1622,2021-07-17
"성수 서울숲 맛집 |엘더버거 (Elder Burger), 미국 버거... ",https://blog.naver.com/chloesjmin?Redirect=Log&logNo=222395702839,"성수 서울숲 맛집 |엘더버거 (Elder Burger), 미국 버거 챔피언, 전참시 이영자 버거 맛집 친구가... 남자들은 더블 엘더 클래식(14.) 패티가 2장이라 푸짐하다. 고기 맛이 풍부한데 생양파가 들어있어서 난 빼고... ",Chloe N the City,https://blog.naver.com/chloesjmin,2021-06-12
(내돈내먹) 서울숲 수제버거맛집 [ 엘더버거 ],https://blog.naver.com/galaxytwo2?Redirect=Log&logNo=222456656735,"룸메랑 밥먹으면서 유튜브 보다가 꽂혀가지고 방문하게 된 성수동에 있는 수제버거 맛집엘더버거 !!... 클래식 버거, 엘더 베이컨 치즈 버거 하나씩 시키고 어니언링이랑 콜라 시켰음다 버거는 호불호가... ",기똥찬주의 기똥찬 기록,https://blog.naver.com/galaxytwo2,2021-08-04
전참시 이영자버거 성수동엘더버거 ,https://blog.naver.com/zlxlaka1004?Redirect=Log&logNo=222395812219,전참시 이영자버거로 맛집로드에 오른엘더버거 . 이미 다른 방송에서도 꽤 소개된 곳이라고 하는데 맛 표현이 서툰 송실장은 헛웃음으로 표현 다 했다! 번이 유난히 촉촉하다는데 다 비법이 있는 듯~ 하긴 직접... ,전지적 코스메틱 참견 시점,https://blog.naver.com/zlxlaka1004,2021-06-13
"서울숲엘더버거, 정성이 돋보이는집",https://blog.naver.com/mynamco?Redirect=Log&logNo=222334706662,햄버거는 많다고 생각한다 맥도날드처럼 대량 생산으로 해도 맛있고엘더버거 처럼 빵하나부터 풀떼기... 생각한다 엘더벨리? 버거이다 정확한 명칭이 기억이 안나서 (죄송).. 계란 후라이에 베이컨에 화려하다... ,Don Quixote,https://blog.naver.com/mynamco,2021-05-03
서울숲 수제버거 @ 성수동엘더버거 ,https://blog.naver.com/yesican1?Redirect=Log&logNo=222447686323,"- 햄버거 종류는 엘더클래식과 패티가 2장 들어간 더블엘더클래식, 베이컨 치즈버거, 베이컨칠리치즈버거, 벨리버거 등이 있다. -엘더버거 를 맛있게 먹는 방법. 번을 5초간 꾹~ 누르라는 것과... 피클은... ",쭌의맛집 since 2003,https://blog.naver.com/yesican1,2021-07-27
외국느낌 물씬 풍기는 서울숲 수제버거맛집엘더버거 ,https://blog.naver.com/mcalck1_2?Redirect=Log&logNo=222374180322,"30분 웨이팅에 고민 끝에, 미국 유학파가 추천하는 서울숲 수제버거맛집엘더버거 를 방문하게 되었다.... 그 다음으로 나온 나의 픽 엘더클래식 직접 손으로 반죽하여 만든 엘더번에 참나무로 구운 100% 호주산... ",철들지 않는 미련한 블로그,https://blog.naver.com/mcalck1_2,2021-05-29
서울숲 버거 맛집 테라스도 있고 직원들도 친절한엘더버거 ,https://blog.naver.com/you_0604?Redirect=Log&logNo=221968523123,엘더클래식1 고민없이 주문하고 메뉴보고 신중하게 엘더벨리버거1 당연히 먹어야만 하는 감자튀김1... 튀김옷 너무 맛있어서엘더버거 에서는 신발을 튀겨도 맛있을 판... 아! 한우버거도 나왔다고 하니 다음번에... ,"블로그야,내 기억을 부탁해",https://blog.naver.com/you_0604,2020-05-18
맛집로드 271 서울/성수동/서울숲 -엘더버거(Elder... ,https://blog.naver.com/yuiwang3?Redirect=Log&logNo=222487273052,"서울숲 옆의엘더버거 . 서울숲이란 도심공원과 성수동 지리가 맞물려 상당히 핫플(?)로 알려져있다.... 더블 엘더 클래식 14,000 서브된 버거인데요. 비주얼은 합격입니다. 나름대로 수제버거 중에서도... ",호돈신,https://blog.naver.com/yuiwang3,2021-09-23
서울숲 수제버거 맛집)엘더버거 (Elder Burger): 알게 된 계기... ,https://blog.naver.com/sjn1203?Redirect=Log&logNo=222459476529," 엘더버거 (Elder Burger) 메뉴가격엘더버거메뉴는 엘더 클래식(11,000원), 더블 엘더 클래식(14,000원), 엘더 베이컨 치즈 버거(12,500원), 엘더 베이컨 칠리 치즈버거(14,000원), 엘더 벨리 버거(14,000원), 뉴 클래식... ","나미의 관심, 사고, 생활",https://blog.naver.com/sjn1203,2021-08-06
봄이 온 서울숲 그리고엘더버거 ,https://blog.naver.com/skssnrnwp?Redirect=Log&logNo=222308483284,싶은 버거들이 많았다. 그 중 하나였던 이엘더버거메뉴판도 마치 무슨 디자인 컨셉 설명서같이 예쁘게 자세히 버거에 대해 설명되어있다. 대략적으로 보면 번- 매일 손으로 반죽해서 하루 발효하여 구워서... ,U m e,https://blog.naver.com/skssnrnwp,2021-04-13
" 엘더버거 , 아샷추 그리고 7월의 마지막주.",https://blog.naver.com/pakximine?Redirect=Log&logNo=222450693402,"그리고 드디어 다녀온엘더 버거언니와 함께 시간 맞춰서 꼭 한 번 다녀오자고 했던 수제버거집... 그리고 가장 기대했던 수제버거, 더블엘더클래식치킨 샌드위치♡ 버거는 당연히 더블이지! 를 외치면 주문한... ",정리 그리고 균형,https://blog.naver.com/pakximine,2021-07-30
