title,link,description,bloggername,bloggerlink,postdate
성수동 카페옹근달연못/루프탑,https://blog.naver.com/kh750?Redirect=Log&logNo=222127366930,성수동 카페옹근달가보고 싶은 카페들이 많이 모여있는 성수동이지만 집에서 멀어서 못 가기도 했는데 강남에 갔다가 #성수카페 # 옹근달에 가보았어요 연못에 루프탑까지 분위기 좋고 디저트랑 빵도... ,커피사랑 경화의 소소하고 맛깔난 이야기들,https://blog.naver.com/kh750,2020-10-27
성수 카페 추천 테라스 카페옹근달 ,https://blog.naver.com/alfp2208?Redirect=Log&logNo=222109240252,"빠르게 다녀왔지만 이제서야 포스팅을 하는,, ㅎㅎ ㅜㅜ 지금도 핫하게 떠오르고 있는 성수 카페 중옹근달 인데 그럼 소개해 볼게요!옹근달 의 외부 모습이에요! 성수역에서 한 5분 정도 걸리는 위치해 있었고... ",밀로그,https://blog.naver.com/alfp2208,2020-10-14
성수옹근달연못이 있는 분위기 좋은 루프탑 디저트 카페,https://blog.naver.com/dydals111?Redirect=Log&logNo=222450927445,Gourmet travel 예쁜 연못과 맛있는 디저트가 있는 성수 루프탑 카페옹근달이번에 다녀온 곳도 인스타에서 인기가 많은 곳입니다. 바로 성수옹근달 입니다. 이곳은 특이하게 총 3층으로 되어 있고 1층 테라스에는... ,가장 가까이 다가서서 본 추억,https://blog.naver.com/dydals111,2021-07-31
"[서울/성수] 빵순이를 위한 디저트 천국, 성수동 카페 ‘ 옹근달 ... ",https://blog.naver.com/star903715?Redirect=Log&logNo=222407782285,어쩌다 찾은 디저트가 너무 맛있었던 ‘ 옹근달 ’! 성수에 사람이 너무 많아서 그냥 자리 남아있는 카페... 그래도옹근달 은 꽤 넓은 편이어서 자리가 남아있었당 무작정 들어갔지만 넘넘 만족스러웠다 여기가... ,씽씽카의 씽나는 데일리라잎,https://blog.naver.com/star903715,2021-06-23
성수 카페옹근달무화과 크로아상 짱맛 .,https://blog.naver.com/win218?Redirect=Log&logNo=222524386154,한 달에 한번 가는 성수 이번엔 어딜 가볼까 하다가 업무지 근처에 아는분이 소개해주신옹근달 에... ㅠ옹근달로고가 너무 예쁘게 박혀있어서 반해버려 *.* 냉장쇼케이스에는 이렇게 또 눈이 휘둥그레 할 만한... ,Daisy's Daily,https://blog.naver.com/win218,2021-10-02
연못이 있는 성수동옹근달 ,https://blog.naver.com/nowwegom?Redirect=Log&logNo=221945005914,성수동옹근달 이다. 옹근이란 조금도 축나지 않고 전부 있는 것을 말한다. 그러니까 보름달이라고 보면 되겠다. 약 한달 전인 3월 말에 오픈했다. 성수역 4번 출구에서 도보로 10분 안 걸리는 거리에 있는 # 옹근달 ... ,먹기 위해 사는 위장 환자,https://blog.naver.com/nowwegom,2020-05-04
성수 카페옹근달+ 루프탑에서 즐기는 커피,https://blog.naver.com/uehara0309?Redirect=Log&logNo=222005573364,"오늘 소개해드릴 카페는 성수에 위치한옹근달 입니다. 성수동은 맛있는 음식점도 많고, 매력적인... 성수옹근달 의 위치입니다. 성수역기준으로 봤을때는, 카페거리에 위치한 카페들 보다는 조금 안쪽으로... ",빈커드의 사진첩.,https://blog.naver.com/uehara0309,2020-06-19
성수 루프탑카페 :옹근달 ,https://blog.naver.com/hruaend?Redirect=Log&logNo=222045728825,"발견했던옹근달카페에 다녀왔어요. 외관만 보고 갤러린가? 싶었는데 1층,2층에 루프탑까지 갖춰진 커다란 카페였어요! 여유로운 주말 토요일에, 점심 먹고 커피마시러 다녀왔답니댱!옹근달외관이에용. 저는... ",ZZUYA WORLD,https://blog.naver.com/hruaend,2020-08-01
성수 카페옹근달 은 디저트맛집,https://blog.naver.com/kjy911203?Redirect=Log&logNo=221984924801,"성수 카페 ' 옹근달 ' 성수카페옹근달안뇽하세요, 유니유니입니다. 오랜만에 카페 포스팅이죠??? 저도 지금 하고싶은 포스팅들이 많이 있지만... 저에겐 계획이 있기에! 조금만 기다려주세요...ㅋㅋㅋ 인테리어... ",위풍당당 그녀의 일상,https://blog.naver.com/kjy911203,2020-05-31
 옹근달- 성수동 루프탑을 즐길 수 있는 카페,https://blog.naver.com/melichi?Redirect=Log&logNo=222524312625,"저녁을 먹기 전에 성수동을 돌아다니면서 찜 해놓은 카페 두 군데, 마를리와옹근달 . #마를리 는 메뉴, 자몽홍차케이크가 너무 맛있어 보였고, # 옹근달은 분위기가 좋았다. 1번 픽은 마를리였으나, 마를리는... ",I am a Lifelogger.,https://blog.naver.com/melichi,2021-10-02
'성수역 성수동' [ 옹근달 ] 가볼만한 성수 카페,https://blog.naver.com/queenyje?Redirect=Log&logNo=221954027162,다녀왔오욤옹근달매일 11:00 - 22:00 성수에 가보고 싶었던 카페였던 연무장 찾아갔다가 만석이여서 바로 근처에 있던옹근달 에 간것임 연무장은 뜬금없이 건물 8층에 있는데도 사람이 바글바글한데... ,램프의 요정,https://blog.naver.com/queenyje,2020-05-09
[성수]옹근달- 크로핀이 유명한 루프탑 감성 카페,https://blog.naver.com/rakuraku1?Redirect=Log&logNo=222513525544,이번엔 고심 끝에 크로핀으로 유명하다는옹근달 로 행차했다.옹근달매일 11:00 - 22:00 서울시 성동구 성수동 2가 333 - 52 02-499-5012 2층 짜리 건물을 리모델링 해서 만든옹근달규모가 생각보다 큰 건물이어서... ,라꾸라꾸의 심플맛집블로그,https://blog.naver.com/rakuraku1,2021-09-22
성수동 맛집 # 낮술과 돼지고기 몽련 (ft.옹근달 ),https://blog.naver.com/jen_jen89?Redirect=Log&logNo=222425765638, 옹근달 ) 출산 후 포스팅이 육아가 아닌 맛집 포스팅이라니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다이어트... 몽련에서 배불리 먹고 주변 산책 좀 하다가 와보고 싶었던 # 옹근달도착 :D 보기만해도 기분 좋아지는 작은 분수가... ,모든 순간을 소중히 ❤️,https://blog.naver.com/jen_jen89,2021-07-09
루프탑 테라스와 베이커리를 갖춘 성수동 카페옹근달 ,https://blog.naver.com/toqursofls?Redirect=Log&logNo=222295506686,"넓은 공간을 자랑하는 베이커리 카페옹근달 . 성수역 4번출구에서 5분이면 도착해요. 성수동은 골목골목 있는 듯 없는 듯 화려한 카페들이 자리잡고 있는데요,옹근달 은 아래 사진과 같은 벽화를 발견하면 그... ","오버더문 ""Over the Moon""",https://blog.naver.com/toqursofls,2021-04-01
성수 카페 ' 옹근달 ' 루프탑연못 예뻤어요!,https://blog.naver.com/feel_good_j?Redirect=Log&logNo=222517726185,"성수 카페 -옹근달가성비 좋았던 '헤비스테이크 성수점'에서 배를 채우고, 커피 한잔하면서 이야기도 나눌 겸 근처 카페를 찾아갔어요. 미리 알아보지 않고, 그냥 걷다가 좋아보여서 들어갔는데... 루프탑에서... ",평생사춘기,https://blog.naver.com/feel_good_j,2021-09-27
