title,link,description,bloggername,bloggerlink,postdate
"[성수]제스티살룬(와사비쉬림프, 아메리칸치즈)",https://blog.naver.com/ssmhmd?Redirect=Log&logNo=222502405931,* 내돈내먹 리뷰입니다 * 티비에서 보고 엄청 맛있나 보다 해서 한번 가보고 싶었던제스티살룬 ! 드뎌 다녀왔었습니다 ㅋ 점심시간 살짝 지나서 갔나 했는데요 웨이팅이 꽤나 길더라고요! 매장이 2층에 위치하고... ,そらのバナナ,https://blog.naver.com/ssmhmd,2021-09-11
[성수] 1시간 기다려 먹은 새우버거 ' 제스티살룬 ',https://blog.naver.com/taewo2c?Redirect=Log&logNo=222307425197,새우버거가 유명한 곳 그냥 평점이 좋고 댓글이 많길래 방문한 성수제스티살룬 . 이영자님이 먹고 간... 버거 2개는 여기의 대표라고 할 수 있는 와사비 쉬림프와 제스티갈릭으로 주문했다. 한번에 맥주까지 다... ,기타치고 노래하고 밥먹고,https://blog.naver.com/taewo2c,2021-04-19
연남동 와사비쉬림프버거 진심맛집제스티살룬 ,https://blog.naver.com/jibiji56?Redirect=Log&logNo=222247053238,이번엔제스티살룬 에서 와사비 쉬림프버거를 먹었봤어요! 알고보니 연예인 이영자님이 소개 했던... 지난번에 먹었던 새우버거보다 더 제 입맛에 잘 맞았던거 같아요제스티살룬연남점 위치제스티살룬 ... ,ꈍ◡ꈍ,https://blog.naver.com/jibiji56,2021-02-17
성수 맛집제스티살룬이영자 새우버거 주말 2시간 대기.. 메뉴... ,https://blog.naver.com/boogie_about_town?Redirect=Log&logNo=222107522645,"전에 이미 한번 방문한 적 있는 성수제스티살룬 . 이영자맛집, 이영자 새우버거집으로 유명하다. 첫... 뭐 결제하고 확인 안 하는 스타일이라 전혀 몰랐는데 굉장히 비싸구낳ㅎㅎㅎ ^^ 아 참고로 제스티갈릭... ",맛따라멋따라,https://blog.naver.com/boogie_about_town,2020-10-06
# 성수역 맛집제스티살룬이영자 전참시 새우버거,https://blog.naver.com/minijunior?Redirect=Log&logNo=222278093848,"귀여운제스티살룬그림ㅋㅋㅋㅋㅋ 메뉴판 *_* 우리는 제스티갈릭1, 와사비 쉬림프1, 콘샐러드 테이터텃츠 플레인, 콜라2 이렇게 주문했어요 ~ 2인이서 먹기에 무지 푸짐했음ㅋㅋㅋㅋㅋ 귀여운 캐릭터를 만든... ",낭만빵순희의 지구별여행,https://blog.naver.com/minijunior,2021-03-17
[성수/서울숲 맛집] 제스티살룬입안에서 새우가 펄떡이는 것... ,https://blog.naver.com/cnnd1003?Redirect=Log&logNo=222484971360,이영자맛집으로 유명하디 유명한제스티 살룬 에 다녀왔다. 연남동에 2호점도 생겼다. 평일 점심 13시... 일반적인 식당들은 예상 웨이팅 시간보다 빨리 들어가는 경우가 많은데제스티살룬 은 오히려 더... ,잡식하는 푸딩쓰,https://blog.naver.com/cnnd1003,2021-08-26
웨이팅하며 먹어본제스티살룬성수 솔직 후기,https://blog.naver.com/berry__chu?Redirect=Log&logNo=222321243051,이영자 버거 맛집으로 유명한제스티살룬다녀왔어요. 이쪽으로 몇 번씩 지나다녀봐서 웨이팅이 심한...제스티살룬포장해서 가져가는 분들도 꽤 많더라고요. 저도 집이 가까운데 다음부턴 테이크아웃으로... ,"달콤함이 가득한 공간,",https://blog.naver.com/berry__chu,2021-04-24
 제스티살룬연남 와사비 쉬림프 버거 짱맛 ෆ,https://blog.naver.com/choi6048?Redirect=Log&logNo=222157293237,"제스티 갈릭(싱글) - 9,300원제스티살룬 의 베스트 메뉴 제스티 갈릭. 싱글 또는 더블 패티를 선택할 수 있는데 싱글이어도 충분히 도톰한 편이죠? 패티에 치즈, 베이컨 그리고 채소, 위에는 갈릭 소스가 뿌려진... ",Viva Primavera ෆ,https://blog.naver.com/choi6048,2020-11-28
210626_ 제스티 살룬 [Zesty Saloon]_연남동 수제버거 맛집,https://blog.naver.com/bitna3434?Redirect=Log&logNo=222410406106," 제스티 살룬 _Zesty Saloon 연남점 우선 스크롤을 내려가시기 전에, ※업체로부터 제품을 제공받아... Menu Burger 제스티 갈릭 와사비 쉬림프 트러플 머쉬룸 프라이즈(테이터 텃츠) Indica ipa Coke❤️ 우리자리... ",Bella anima,https://blog.naver.com/bitna3434,2021-06-26
"[서울숲]제스티살룬: 와사비 쉬림프, 치즈 줄리엔 프라이즈",https://blog.naver.com/rmflsxl6032?Redirect=Log&logNo=222394031365, 제스티살룬성동구 서울숲2길 19 원래도 유명했지만 전참시에 이영자 맛집으로 나온 후 엄~~청 유명해진제스티살룬이제 평일이고 주말이고 웨이팅 없이는 갈 수 없는 곳이 되었다 ^_ㅠ 나도 이전부터 와보고... ,Dana's Favorite,https://blog.naver.com/rmflsxl6032,2021-06-11
