title,link,description,bloggername,bloggerlink,postdate
단양 가볼한곳 : 남한강 뷰가 멋진 [ 카페산 ],https://blog.naver.com/loveofyh?Redirect=Log&logNo=222463961080,"바로 단양카페산 이라는 곳인데요,우선 이곳을 포스팅 하기 전, 글의 분류에서 살짜쿵 고민했어요. 뷰가... 산 뷰에 묻혔을 뿐^^ 오전에 이미 캠핑장 앞 서강에서 물놀이 한 번 하고,더운 한 낮에는 더 시원하게... ",칠봉이네 이야기,https://blog.naver.com/loveofyh,2021-08-10
"단양 소노문 소금정공원 산책,카페산패러 글라이딩",https://blog.naver.com/villajung?Redirect=Log&logNo=222514617629,한병 사고 싶었지만 일정상 패스~ 1층에 비비큐 카페 매장이 있었다. 비비큐는 집에서 배달시켜먹는... 액자에 끼워야하는데 아직 못하고 있네ㅠ 단양카페 산워낙 유명한 곳이라... 이 곳에 앉아서 하루종일도... ,너른고을 역세권투자,https://blog.naver.com/villajung,2021-09-23
단양여행 #1 단양 패러글라이딩 -카페산패러글라이딩... ,https://blog.naver.com/chooojee88?Redirect=Log&logNo=222515562369,안그래도카페산가고 싶어서 그쪽 업체 알아보고 있었는데 넘나 다행이었다 가서 보니 지도상에는 산넘어넘어 멀어 보였는데 도깨비카페도 다 보이고 거기서 거기였다 그래도 중간 보다는 이쪽 활공장이 좀... ,CHUNIVERSE: the World of CHU,https://blog.naver.com/chooojee88,2021-09-24
[충청북도] 단양 - 단양잔도 /카페산/ 두진한우명가 / 구경시장... ,https://blog.naver.com/lovelyhyun21?Redirect=Log&logNo=222526186217,아무튼 탈서울 느낌 풍경이 너무 예쁜 단양잔도를 뒤로 하고 카페를 못갔으니 이 근처에서 핫하다는 카페 ' 카페산 '이라는 곳에 가 보기로 했돵 진짜 말 그대로 카페가 산에 있었다^.^ㅎㅎㅎ 패러글라이딩... ,연로그,https://blog.naver.com/lovelyhyun21,2021-10-04
단양당일치기 ;카페산올갱이해장국 구경시장 고수동굴,https://blog.naver.com/diosarein?Redirect=Log&logNo=222480171223,"다행히 날은 좋았음 단양에서 카페는 두군데를 봐뒀는데, 단양 대표 관광지라고 해도 될정도로 유명해진카페산 . 그곳은 1순위였고, 다른 곳은 시간적여유가 되면 가려고 했으나 못갔기 때문에 언급패스 ..... ",보통날이고 싶은,https://blog.naver.com/diosarein,2021-08-22
"단양 여행 :카페산 , 클레이사격, 송어, 하이디하우스",https://blog.naver.com/hissjoo?Redirect=Log&logNo=222506270065, 카페 산올라가는데 진짜 꼬불길 미쳤음 어지러워서 토할뻔했잖아요 직접 운전했으면카페산 만 갔다가 그대로 숙소 들어가서 뻗을 각.. 너무 유명한카페산도착 패러글라이딩 안 타고 걍 배경으로 사진... ,빵집,https://blog.naver.com/hissjoo,2021-09-15
단양카페산패러글라이딩 여행 뷰 추천 :),https://blog.naver.com/mfb5643?Redirect=Log&logNo=222431210990,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 좋은건지 나쁜건지 하지만 사진은 굉장히 잘찍히는 날이엿어여 단양카페산 에서 패러글라이딩도 같이 운영하는듯 했는데 카페 바로옆에서 사람들이 패러글라이딩을 매고서 산밑으로... ,DDONG'S,https://blog.naver.com/mfb5643,2021-07-14
단양카페산단양산 위에 자리잡은 전망좋은 카페,https://blog.naver.com/mortareg?Redirect=Log&logNo=222532864255, 카페 산로고가 그려진 굿즈들이 시선을 사로잡더라구요. 제가 좋아하는 미르(miir) 텀블러도 있어서 사고 싶었지만 집에 많아서 참기~ 단양 산 카페는 이렇게 구조가 되어 있었는데요. 야외 테라스가 있어서... ,고미리레 의 세상 탐험 여행 블로그,https://blog.naver.com/mortareg,2021-10-10
단양 :) 단양유람선. 고수동굴.카페산 . 오늘 하루 코스로는 딱!,https://blog.naver.com/siennamin?Redirect=Log&logNo=222452627612,단양핫플은♡카페산산망댕이에 있어요 입이 떡 벌어질 이 절경은... 우리 어릴때 그림 그리라고하면 산 뒤에 산 뒤에 산 뒤에 색깔도 그라데이션. 진짜 손으로 그린 듯한 그 산에 맞닿아있는 구름까지... ,Sienna's Diary,https://blog.naver.com/siennamin,2021-07-31
"단양여행 패러글라이딩 체험, 단양카페산추천해요",https://blog.naver.com/ekstn26?Redirect=Log&logNo=222423940037,밥먹고 낮잠 잤지만 자고 일어났으니 또 배가 고플 것이고 단양카페카페산 에서 파는 빵으로 간식 줬어요 아이스티와 함께 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ (이젠 별걸 다먹네요)... ,단비의 일상 블로그,https://blog.naver.com/ekstn26,2021-07-08
단양카페산:: 단양 여행코스 필수 방문지!,https://blog.naver.com/thymeyun?Redirect=Log&logNo=222104679687,"단양 여행코스 계획하며 찾아보니, 거의 관광지처럼 사람들이 많이 찾는 카페가 있었다. 단양카페산이라는 곳. tv에도 나오고, 워낙 뷰가 좋은 곳이라 유명해진 것 같은데, 직접 가보니 왜 유명한지 알 것 같은... ",밤토리의 다락방,https://blog.naver.com/thymeyun,2020-10-04
단양카페산 _미친뷰 감상 가능,https://blog.naver.com/babastu?Redirect=Log&logNo=222522924122,단양여행에서 꼭 가야하는 곳 TOP3 안에 드는 곳 ㅋㅋㅋㅋㅋㅋㅋ 그냥 카페인데 풍경이 미쳤습니다 단양카페산(썸네일=나)카페산 은 패러글라이딩 하는 곳 바로 옆에 위치해있어서 산꼭대기로... ,Paradise is where I am,https://blog.naver.com/babastu,2021-10-02
[단양가볼만한곳] 마음이 뻥 뚫리는 단양필수코스- 카페산 ... ,https://blog.naver.com/kong0516?Redirect=Log&logNo=222514505155, 카페산이번 단양여행은 순전히 ‘패러글라이딩’ 때문이었다. 하지만 우리가 패러글라이딩을 하려고... 미련을 버리지 못하고 혹시나 해서 패러글라이딩을 예약했던 ‘ 카페산 ’으로 갔지만 해발 600m에서 보는... ,여행자의 북마크,https://blog.naver.com/kong0516,2021-09-23
"단양 (만천하스카이워크,카페산 )",https://blog.naver.com/aga1070?Redirect=Log&logNo=222465002859, 카페산 에서 느껴지던 바람이 아쉬워서 님이 찍어준 사진 한번 더 남겨 보기^^ 카페산전경시시각각... 할수 있게 해주는 느낌^^ 역시 난 여름엔 바다보다는 산 바람이 좋은 듯 바다는 겨울바다지 정말 조심조심... ,실로 이어진 연 (tattingCloveR),https://blog.naver.com/aga1070,2021-08-11
단양 카페 X 패러글라이딩 하는 거 구경하는카페산 ,https://blog.naver.com/nadiatour?Redirect=Log&logNo=222522418245,단양 카페카페산 을 간 순간 진짜 뷰에 깜짝 놀랐어요. 여태까지 가봤던 카페와는 다른 미친뷰...ㅋㅋ 솔직히 저 스위스 온 것 같은 기분이 들더라고요. 여기서 커피 안 마셔도 이것만 보고 가도 너무나... ,나디아 블로그,https://blog.naver.com/nadiatour,2021-09-30
9월 단양여행 : 패러글라이딩카페산 ,https://blog.naver.com/soyen0122?Redirect=Log&logNo=222501249966,굽이굽이 산길을 올라 도착한카페산카페 날씨가 좋아서 진짜 세상 행복하더라구요. ☁️☁️ 오랜만에 다함께 여행. 우리의 단양여행 남는건 사진뿐이라며 앞모습 뒷모습 할거 없이 확그냥막그냥 셔터 눌러... ,"@ At that moment , 진쏘오",https://blog.naver.com/soyen0122,2021-09-10
충북 단양 전망좋은곳- 카페산 ,https://blog.naver.com/52pouch?Redirect=Log&logNo=222430085731,"7,500 카페 입구는 여기 080으로 시작하는 전화한통화로 출입을 인증하고 입장할 수 있어요 입구로... 공기가 좋아서 아주 선명하게 잘 보이더라구요 산 밑의 마을들을 보면카페산 이 얼마나 높은 곳에... ",그녀의 TTeT,https://blog.naver.com/52pouch,2021-07-13
"2안동단양여행 : 선비촌 김기문가옥, 이끼터널,카페산 ... ",https://blog.naver.com/gabriele90?Redirect=Log&logNo=222523539556,"역시 아는맛이 좋더라구요 ㅋㅋㅋ 탕수육도 맛있는데 찹쌀 탕수육이 튀김옷이 두껍긴 하지만 폭신하고 쫀득해서 맛있게 잘 먹었어요카페산패러글라이딩하는 스팟에 있는 전망 좋은 카페,카페산 에 갔어요.... ",OKTRAVEL,https://blog.naver.com/gabriele90,2021-10-01
단양카페카페산단양이 한눈에 보이는 핫플레이스 카페!,https://blog.naver.com/backhyang?Redirect=Log&logNo=222401437348,패러글라이딩 뛰는 곳이 바로 옆이니까 얼마나 높은 곳에 단양카페카페산 이 위치해있는지 알겠죠? 진짜 단양 시내와 남한강이 한눈에 내려다보여서 멋있었어요. 카페가 아니라 산 정상에 올라온 기분! 게다가... ,Always SPRING*,https://blog.naver.com/backhyang,2021-06-17
단양카페산커피와 빵 그리고 패러글라이딩 마운틴뷰 맛집,https://blog.naver.com/goforit_k?Redirect=Log&logNo=222432271740,"하늘을 나는 기분은 역시 패러♡ 이영자가 이 풍경을 두고 이 맛있는 빵과 커피를 두고 책이 눈에 들어왔겠나, 이해가 된다. 카페 그 이상의 풍경 맛집 하늘과 가장 가까운 카페 단양카페산 ",갑녀의 사계절,https://blog.naver.com/goforit_k,2021-07-15
단양 애견동반카페카페산~ 엄청 높아서 무섭고 덥고 그래도... ,https://blog.naver.com/bobo3044?Redirect=Log&logNo=222432496828,"ㅎㅎㅎㅎㅎㅎㅎ 겨울에 눈오고 길 얼면 어케올라오나,,,싶더라구요 그래도 꼭 한번쯤은 와볼만한 곳이에요 충청북도 단양군 애견동반가능카페카페산추천합니다 #단양 카페산# 카페산#단양애견동반카페 #단양... ",방구블리 banggoovely,https://blog.naver.com/bobo3044,2021-07-15
"단양카페산 , 패러글라이딩 뷰~ 여행코스",https://blog.naver.com/anndam?Redirect=Log&logNo=222167425187,베이커리카페 공간이더군요. 그곳으로 단양카페산옥상 전망대도 올라갈 수가 있어서 다른 전망을 보여주었어요. 남한강이 굽어 흐르는 전망은 이곳의 대표적인 뷰인데요. 그 모습을 발아래 두고 가장자리에... ,♥마리안의 여행이야기-마음이 머무는 이곳♥,https://blog.naver.com/anndam,2020-12-09
"[단양 1박2일 여행]2일차_단양 매운칼국수, 카페산 ,사인암",https://blog.naver.com/wldmsl426?Redirect=Log&logNo=222509143380,"왜카페산 을 추천하는지 알겠더라구요!! 탁 트여서 너무 좋았어요!! 아메리카노_블랙수트 6,000원 요걸로 마셨는데 커피맛도 맛있어요!! 카페는 이쁜데 커피가격은 안 이뻐요!!ㅋㅋㅋㅋ 일층에서 한층 올라가면... ",하하호호 찌일상,https://blog.naver.com/wldmsl426,2021-09-17
단양가족여행②(만천하스카이워크/단양카페산 ),https://blog.naver.com/kjszzang10?Redirect=Log&logNo=222316451978,"이제 커피 마시러 간곳은,카페산카페산가는길은 정말 험난했다 일단, 비포장도로 주의!! 오르막길주의!! 그렇게 도착! 이곳에선, 사람많음 주의!!! ㅋㅋㅋㅋㅋㅋ 이야~~~ 뷰가 정말~~~~ 우리의 아아 이 멋진... ",END가 아닌 AND。,https://blog.naver.com/kjszzang10,2021-04-20
단양카페산CAFESANN에서 앙버터와 소세지빵을~,https://blog.naver.com/qortjddms12?Redirect=Log&logNo=222419866681,너무 많이 했네⸝⸝⸝⸝◟̆◞̆ #단양 #단양카페 #단양여행 #국내여행 # 카페산#단양 카페산#cafesann #단양패러글라이딩 #패러글라이딩 #빵 #디저트 #앙버터 #소세지빵 #커피,위드 바이올렛,https://blog.naver.com/qortjddms12,2021-07-04
단양카페산페러글라이딩 타고 하늘을 날아서~~,https://blog.naver.com/jojo515?Redirect=Log&logNo=222513080574,지난 8월초 한여름 후기~^^ 예전 전시참에서 이영자와 매니저가 단양의 어느 산꼭대기 카페에서 풍경을 즐기며 커피와 빵을 먹는모습이 있었다. 그때부터 너무너무 가보고 싶었던 ' 카페 산 '♡ 다녀온 사람들의... ,*J.Holic,https://blog.naver.com/jojo515,2021-09-22
단양 가볼만한곳카페산/ 단양여행 핫플 인증,https://blog.naver.com/foreverck?Redirect=Log&logNo=222255059998,못할카페산 . 패러글라이딩 활공장에 커다란 카페가 위치하고 있다. 하늘이 유독 맑았던 날이라 너무나... 그래도 찹찹한 산 위에서는 달달한 라떼가 딱. 풍광까지 좋으니 기분까지 달달하다. 세상에 불멍... ,새벽별의 감성여행,https://blog.naver.com/foreverck,2021-02-24
