title,link,description,bloggername,bloggerlink,postdate
앙금떡케이크 - 대구평화떡공방 ,https://blog.naver.com/quf7766?Redirect=Log&logNo=222332722368, 평화떡공방 에서 쑥설기 사먹고는 맛있어서 몇군데 알아보고 크게 고민안하고 여기로 결정했다. 주문은... 모양은평화떡공방인스타에서 보고 화사한 걸로 골라서 보내드렸다. 설기 종류 두개로 한 거 샘플은... ,일상다반사,https://blog.naver.com/quf7766,2021-05-02
드디어 먹어본 대구 봉덕시장평화떡공방찹쌀 꿀떡과 앙꼬절편,https://blog.naver.com/hyohye0413?Redirect=Log&logNo=222534451347,대구 찹쌀 꿀떡 유행이 시작된 곳 대구 봉덕시장평화떡공방대구 남구 봉덕로 119 대구 봉덕신시장 입구에 위치한평화떡공방 . 주차할 곳을 따로 찾기가 어려워 여기서 저를 내려주고 남편은 빙글빙글 주변을... ,혜효일상,https://blog.naver.com/hyohye0413,2021-10-12
대구남구 봉덕시장에 가면 꼭 먹어야하는평화떡공방 의 꿀떡과... ,https://blog.naver.com/algidrh?Redirect=Log&logNo=221781478732,그것평화떡 공방 의 꿀떡이 있다 그리고 찹쌀떡 시장통 한가운데 떡카페가 떡하니 참 멋스럽웠다 이렇게 시장과 어우러진 공간 떡만 팔던곳이 떡카페로 변신하여 새롭게 탄생한 신 봉덕시장 떡카페평화떡 공방 ... ,여행이 좋다 .,https://blog.naver.com/algidrh,2020-01-22
[대구/남구] 말랑쫀득 찹쌀 꿀떡 대구평화떡공방 ,https://blog.naver.com/habongbabong?Redirect=Log&logNo=222423178914,들린평화떡공방후기. #대구꿀떡 #찹쌀꿀떡 #대구 봉덕시장 핫플평화떡공방 카페 대구 봉덕시장에... (떡 사진보니 예전에 사먹었던 그 떡 맛이 느껴지는 것 같은 너낌) 그동안 티비출연도 많이했나봄 식혜도... ,하봉하봉의 성장일기,https://blog.naver.com/habongbabong,2021-07-07
(1) 중앙떡볶이 / 랜디스도넛 / 팔공산 곳 카페 /평화떡공방 ,https://blog.naver.com/pds6527?Redirect=Log&logNo=222360178056,"1박 2일 대구여행 (1) 중앙떡볶이 / 랜디스도넛 / 팔공산 곳 카페 /평화떡공방4월 말에 오빠 친구 만날... 사러평화 떡 공방 에 들렸다 바로 먹을 수 있는 실온 제품은 품절이었고, 냉동 꿀떡만 있었는데 어짜피... ",쏘미 취향,https://blog.naver.com/pds6527,2021-05-22
소문난 대구 꿀떡 봉덕시장평화떡공방 ,https://blog.naver.com/june4931?Redirect=Log&logNo=222225768389,이곳이 봉덕시장에서 꿀떡이 맛있다고 소문난 대구평화떡공방 이에요. 정확한 상호는 카페까지 붙여야 되기에 검색하실 때는평화떡공방 카페로 검색하셔야 찾으실 수 있답니다. 매장 입구에 보면 TV에... ,짱아네남집사의 MC STORY,https://blog.naver.com/june4931,2021-01-30
대구 봉덕시장평화떡공방꿀떡가격 및 싸게 먹는법!!,https://blog.naver.com/melasmelas?Redirect=Log&logNo=221784391565,▼ ▼ ▼ 대구 봉덕시장 꿀떡평화떡공방그냥 떡 집인 줄 알았는데 커피음료도 함께 파는 카페 형태로 되어 있습니다. 대구 봉덕시장 꿀떡평화떡공방꿀떡이외의 다양한 종류의 떡들이 형형색색 포장용기에... ,다이어트 톡톡~JBK코치,https://blog.naver.com/melasmelas,2020-01-25
대구 봉덕시장 꿀떡 비교 /평화떡공방vs 소문난떡집 / 어디가... ,https://blog.naver.com/judo4383?Redirect=Log&logNo=222079965990,"줄서있던평화 떡 공방 을 방문 했다. 초등학교 시절 엄마따라 시장에 가서 꿀떡 먹어본 기억이 있다 그... 어머니가 떡 좋아해서 좀 더 사갈껄 그랬나? 소문난 떡집의 꿀떡은 2,000원 입니다. 2/3가격이죠... ",난늘배고파,https://blog.naver.com/judo4383,2020-09-04
대구떡집평화떡공방꿀떡,https://blog.naver.com/gok26214?Redirect=Log&logNo=222214684035,2018년 6월 27일... 떡 .....안먹어....달고 배불러....술 맛 해쳐.... 메모 : 막내가 순대 사달라고해서...순대... 딱 5번인대....... 떡 ...너무...맛있었다...배가...찟어질것처럼....부른대....3일 굶고....첨 먹을 때... ,자연주의.....창농!,https://blog.naver.com/gok26214,2021-01-21
대구 꿀떡 맛집 ㅣ평화떡공방 ,https://blog.naver.com/dearemma_?Redirect=Log&logNo=221924687448,"떡 보관, 드시는 법 - 구매한 다음날까지 직사광선이 없는 실온에서 보관 가능 - 이후에는 냉동 보관... 리뷰였습니당 # 평화떡공방#평화떡집 #대구 평화떡공방#대구평화떡집 #봉덕동 평화떡공방#봉덕동평화떡지... ",디어엠마,https://blog.naver.com/dearemma_,2020-04-23
