,식당명,리뷰수
18,카페 노티드 청담,11392
227,목향원,5174
131,애플하우스,4957
221,다운타우너 한남,3074
163,서촌스코프,2990
125,엘림들깨수제비칼국수,2871
213,로리스 더 프라임 립,2630
248,명동돈가스,2624
118,기와집순두부 조안본점,2575
247,정돈 대학로본점,2463
42,서일순대국,2178
167,네거리식당,2137
79,두꺼비게장,2128
291,하동관명동본점,2004
132,쪼매매운떡볶이 공릉,1946
158,남포면옥,1787
285,깡통만두,1778
149,농민백암순대 본점,1737
278,듀자미,1737
193,진미평양냉면,1733
35,리틀넥 청담,1713
89,미가훠궈양고기,1660
37,사랑방칼국수,1655
215,피터팬1978,1625
71,소금집델리 망원,1603
48,잉글랜드왕돈까스,1517
11,계림,1425
114,수영 돼지국밥,1424
195,정인면옥 본점,1408
277,키에리,1357
269,평양면옥,1346
211,볼트스테이크하우스,1335
143,백부장집 닭한마리,1319
183,동해오징어보쌈,1286
261,셀프하우스,1281
1,락원이북만두,1253
196,바토스 이태원점,1226
233,주은감자탕,1224
133,갈현시장할머니떡볶이,1211
141,구복만두,1198
150,삼거리먼지막순대국,1196
115,옥동식,1120
104,대우부대찌개 강남본점,1031
151,개군할머니토종순대국,995
16,플리즈웨잇,991
61,마코토 청담점,985
265,낙원떡집,969
288,부민옥,969
107,황금콩밭,943
175,사이공리,933
273,안동장,900
263,덕자네방앗간,889
267,장기식당,852
156,이모네생선찜,841
262,루비떡볶이,812
223,메밀촌막국수,811
64,양미옥 을지로본점,811
270,평양집,791
142,강촌숯불닭갈비 본점,791
232,일미집,790
97,윤선희의 평양냉면 양각도,766
144,대관원,766
119,송화산시도삭면,764
194,함흥에겨울냉면,763
298,뜰채,757
228,북악정,756
2,산뜨락 곤드레,746
68,이도곰탕 본점,744
96,만포면옥 본점,743
260,속초생대구,736
206,완도회식당,728
204,칠성동할매콩국수 본점,723
208,엽기꼼닭발,679
108,우동가조쿠,664
290,파주옥 평택본점,660
275,순대일번지,654
173,팜티진쌀국수,654
212,부첼리하우스,647
145,맛이차이나,638
237,시골야채된장,612
164,안주마을,610
98,어메이징브루잉컴퍼니,610
